MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
236,1,Division I,lincolntrailcollege,Mike White,,,,Wing,,,11,3.4625000000000004,4.1000000000000005,2.75,3,22.90909090909091,5.909090909090909,3.6363636363636362,2.3636363636363638,1.0909090909090908,0.0,1.0909090909090908,16.818181818181817,7.545454545454546,6.818181818181818,1.4545454545454546,4.454545454545454,0.5779816513761468,0.518918918918919,103.27868852459017,0.2502153492760163,1.5384615384615385,0.10655737704918032,0.3132530120481928,0.4486486486486487,0.40540540540540543,3.0373831775700935,1.4018691588785046,7.593457943925234,1.4018691588785046,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
285,2,Division I,lincolntrailcollege,Jared Jackson,,,,Wing,,,11,3.385,3.6999999999999997,3.1,3,12.909090909090908,4.636363636363637,2.090909090909091,1.8181818181818181,1.4545454545454546,1.0,2.8181818181818183,8.090909090909092,2.0,3.6363636363636362,1.6363636363636365,3.0,0.6660412757973734,0.6460674157303371,112.16429699842023,0.1298248492555068,1.15,0.1579778830963665,0.5,0.24719101123595505,0.449438202247191,2.336448598130841,3.1542056074766354,5.957943925233645,3.621495327102804,Elite,5,Below Average,2,Very Good,4,Average,3,Average,3,Insufficient Volume,3,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
535,3,Division I,lincolntrailcollege,Asher Evans,,,,Wing,,,11,3.1574999999999998,3.7,2.45,3,6.7272727272727275,1.2727272727272727,1.3636363636363635,0.9090909090909091,1.2727272727272727,0.0,1.5454545454545454,4.7272727272727275,2.4545454545454546,0.9090909090909091,0.45454545454545453,0.8181818181818182,0.6560283687943262,0.6730769230769231,111.44578313253011,0.06809139013085033,1.5,0.1506024096385542,0.37037037037037035,0.5192307692307693,0.19230769230769232,1.1682242990654206,1.6355140186915889,1.6355140186915889,1.985981308411215,Elite,5,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1552,4,Division I,lincolntrailcollege,MJ Murphy,,,,Wing,,,10,2.675,3.05,2.0,3,3.5,1.1,1.6,0.4,0.9,0.1,0.7,2.7,0.4,1.0,0.6,0.5,0.5573248407643312,0.5,98.87005649717514,0.039537169406719086,4.0,0.11299435028248588,0.25,0.14814814814814814,0.37037037037037035,0.5082592121982211,1.2706480304955527,1.3977128335451081,0.8894536213468869,Average,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2334,5,Division I,lincolntrailcollege,Michael Stover,,,,Wing,,,11,2.3999999999999995,2.4999999999999996,2.0,3,4.2727272727272725,2.727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.36363636363636365,1.6363636363636365,3.909090909090909,0.2727272727272727,0.18181818181818182,0.9090909090909091,1.8181818181818181,0.5355515041020966,0.5232558139534884,100.25597269624573,0.04807416218876903,1.0,0.06399317406143344,0.3333333333333333,0.06976744186046512,0.046511627906976744,0.35046728971962615,0.4672897196261682,3.5046728971962615,2.102803738317757,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2406,6,Division I,lincolntrailcollege,Jay Chiles,,,,Wing,,,11,2.375,2.45,2.0,3,10.545454545454545,3.5454545454545454,4.636363636363637,2.3636363636363638,0.8181818181818182,0.09090909090909091,1.9090909090909092,9.636363636363637,5.2727272727272725,1.7272727272727273,0.6363636363636364,2.909090909090909,0.5071703392794683,0.4716981132075472,82.64462809917354,0.14393535419828543,1.9615384615384615,0.18523795953263036,0.3448275862068966,0.5471698113207547,0.1792452830188679,3.0373831775700935,1.1682242990654206,4.55607476635514,2.453271028037383,Below Average,2,Below Average,2,Poor,1,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2915,7,Division I,lincolntrailcollege,Nick Dozier,,,,Wing,,,10,2.225,2.1500000000000004,2.0,3,3.0,2.3,1.1,1.1,0.3,0.3,0.7,2.4,0.9,0.9,0.5,1.8,0.5364806866952789,0.5,77.00205338809035,0.04317567268052661,1.0,0.28234086242299794,0.4444444444444444,0.375,0.375,1.390644753476612,0.7585335018963337,2.907711757269279,0.8849557522123894,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3264,8,Division I,lincolntrailcollege,Jaylen Ellis,,,,Wing,,,11,2.13,1.75,2.3,3,2.727272727272727,5.454545454545454,0.6363636363636364,0.7272727272727273,0.2727272727272727,0.36363636363636365,2.090909090909091,2.8181818181818183,0.0,0.6363636363636364,2.4545454545454546,3.0,0.44014084507042256,0.41935483870967744,71.29277566539925,0.04315189302268346,0.875,0.19011406844106465,,0.0,0.22580645161290322,0.9345794392523364,0.8177570093457944,7.009345794392523,2.6869158878504673,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3370,9,Division I,lincolntrailcollege,"Kenny Hunter, Jr",,,,Wing,,,10,2.0999999999999996,1.9000000000000001,2.0,3,6.9,2.2,0.7,1.3,0.8,0.2,1.3,5.9,1.5,0.7,0.8,1.4,0.5557345360824743,0.5508474576271186,91.90197123068727,0.08320404273239061,0.5384615384615384,0.17314864144912095,0.3333333333333333,0.2542372881355932,0.11864406779661017,1.6434892541087232,1.2642225031605563,2.781289506953224,1.6434892541087232,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3936,10,Division I,lincolntrailcollege,Kai Wood,,,,Wing,,,9,1.925,1.55,2.0,3,2.7777777777777777,1.0,0.1111111111111111,0.7777777777777778,0.3333333333333333,0.3333333333333333,1.4444444444444444,4.111111111111111,1.4444444444444444,0.3333333333333333,0.1111111111111111,0.8888888888888888,0.32620041753653445,0.3108108108108108,55.16328331862312,0.0550962847695001,0.14285714285714285,0.15445719329214475,0.07692307692307693,0.35135135135135137,0.08108108108108109,0.9695290858725761,0.8310249307479224,1.2465373961218837,1.8005540166204985,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
