MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
166,1,Division I,malcolmxcollege,Joaquin Dixon,,,,Wing,,,16,3.6100000000000003,4.15,3.1,3,23.125,4.0625,2.625,2.8125,1.8125,0.3125,2.4375,16.375,4.125,6.0625,0.75,3.3125,0.6071944335040041,0.5553435114503816,105.81102722489133,0.25001429960533084,0.9333333333333333,0.12868908716540836,0.3787878787878788,0.25190839694656486,0.3702290076335878,3.6378334680679063,2.7485852869846403,5.254648342764753,3.152789005658852,Elite,5,Elite,5,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Very Good,4,Poor,1,Very Good,4,Average,3,Unknown
454,2,Division I,malcolmxcollege,Aaron McClure,,,,Wing,,,12,3.295,3.0999999999999996,3.7,3,9.25,6.833333333333333,0.8333333333333334,1.4166666666666667,0.3333333333333333,1.6666666666666667,2.3333333333333335,5.75,0.0,3.4166666666666665,2.0,4.833333333333333,0.6376378676470589,0.6376811594202898,106.68973471741639,0.10016173752310535,0.5882352941176471,0.16339869281045752,,0.0,0.5942028985507246,1.8660812294182216,2.6344676180021955,9.001097694840833,3.0735455543358947,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Very Good,4,Elite,5,Unknown
957,3,Division I,malcolmxcollege,Arnas Samaitis,,,,Wing,,,16,2.9975000000000005,2.4000000000000004,3.85,3,8.3125,6.125,0.3125,1.75,1.25,1.9375,2.5,5.9375,0.9375,2.75,2.125,4.0,0.5814970269324938,0.5157894736842106,93.42511941556616,0.10178459074529542,0.17857142857142858,0.19668446192750771,0.26666666666666666,0.15789473684210525,0.4631578947368421,2.263540824575586,4.12287793047696,7.922392886014551,3.2336297493936943,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
1294,4,Division I,malcolmxcollege,Rashaad Wilson,,,,Wing,,,7,2.8499999999999996,3.3999999999999995,2.0,3,1.8571428571428572,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.5714285714285714,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.5471380471380471,0.5454545454545454,109.42760942760943,0.019465198584349194,99.0,0.0,0.4,0.45454545454545453,0.18181818181818182,0.0,0.37105751391465674,0.18552875695732837,0.18552875695732837,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1321,5,Division I,malcolmxcollege,Cortez Abel,,,,Wing,,,17,2.84,1.7,4.4,3,5.294117647058823,7.235294117647059,1.1764705882352942,1.411764705882353,1.5294117647058822,3.235294117647059,1.9411764705882353,4.588235294117647,0.29411764705882354,2.235294117647059,2.588235294117647,4.647058823529412,0.4750844594594595,0.41025641025641024,75.80862533692722,0.0799719774742004,0.8333333333333334,0.20215633423180593,0.0,0.0641025641025641,0.48717948717948717,1.8285714285714285,6.171428571428572,9.371428571428572,2.5142857142857142,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Unknown
1440,6,Division I,malcolmxcollege,Sam Vil,,,,Wing,,,17,2.79,2.65,2.9000000000000004,3,5.117647058823529,3.3529411764705883,4.235294117647059,1.7058823529411764,1.8823529411764706,0.058823529411764705,1.0588235294117647,3.5294117647058822,1.411764705882353,1.9411764705882353,1.2352941176470589,2.1176470588235294,0.5837359098228664,0.525,84.04173106646058,0.06973297766281356,2.4827586206896552,0.28013910355486865,0.4583333333333333,0.4,0.55,2.2095238095238097,2.5142857142857142,4.3428571428571425,1.3714285714285714,Very Good,4,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1468,7,Division I,malcolmxcollege,Denyell Rush,,,,Wing,,,17,2.7750000000000004,3.2500000000000004,2.0,3,13.941176470588236,3.0588235294117645,1.2352941176470589,1.5294117647058822,0.7647058823529411,0.0,1.4705882352941178,10.176470588235293,2.764705882352941,4.470588235294118,1.1764705882352942,1.8823529411764706,0.5740166634373184,0.546242774566474,101.96179659266907,0.15657586290518144,0.8076923076923077,0.11185682326621924,0.3191489361702128,0.27167630057803466,0.4393063583815029,1.980952380952381,0.9904761904761905,3.961904761904762,1.9047619047619047,Very Good,4,Average,3,Below Average,2,Below Average,2,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1850,8,Division I,malcolmxcollege,Jymier Garry-Shields,,,,Wing,,,12,2.6325000000000003,2.65,2.45,3,6.583333333333333,2.1666666666666665,0.6666666666666666,0.5,1.25,0.08333333333333333,1.25,5.25,1.0,2.8333333333333335,0.75,1.4166666666666667,0.5066700872242175,0.49206349206349204,94.09242496426869,0.0821783728760473,1.3333333333333333,0.07146260123868509,0.3333333333333333,0.19047619047619047,0.5396825396825397,0.6637168141592921,1.7699115044247788,2.8761061946902653,1.6592920353982301,Below Average,2,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1864,9,Division I,malcolmxcollege,Bryan McGill,,,,Wing,,,7,2.625,2.9500000000000006,2.0,3,1.8571428571428572,0.0,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,1.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.8736559139784946,0.8571428571428571,137.71186440677965,0.015294880103694104,0.0,0.21186440677966098,0.6666666666666666,0.8571428571428571,0.14285714285714285,0.36764705882352944,0.0,0.0,0.5514705882352942,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1951,10,Division I,malcolmxcollege,Karim Lebon-Mohamed,,,,Wing,,,13,2.5999999999999996,2.9,2.0,3,7.538461538461538,1.1538461538461537,1.5384615384615385,1.0769230769230769,1.0,0.0,1.0769230769230769,5.153846153846154,1.5384615384615385,3.8461538461538463,0.23076923076923078,0.9230769230769231,0.550561797752809,0.44776119402985076,95.14563106796116,0.09158486271162326,1.4285714285714286,0.13592233009708737,0.1,0.29850746268656714,0.746268656716418,1.4127144298688195,1.311806256306761,1.513622603430878,1.4127144298688195,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2513,11,Division I,malcolmxcollege,Gabe Jackson,,,,Wing,,,12,2.4325,2.25,2.45,3,3.0833333333333335,1.75,2.0,1.5833333333333333,1.25,0.0,1.75,2.5,1.5833333333333333,0.9166666666666666,0.08333333333333333,1.6666666666666667,0.5309988518943742,0.4666666666666667,68.72213967310549,0.051761267497308104,1.263157894736842,0.3528974739970282,0.21052631578947367,0.6333333333333333,0.36666666666666664,2.0652173913043477,1.6304347826086956,2.282608695652174,2.282608695652174,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3203,12,Division I,malcolmxcollege,Jay Adebayo,,,,Wing,,,7,2.25,2.1999999999999997,2.0,3,0.5714285714285714,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.14285714285714285,1.1428571428571428,0.5714285714285714,0.0,0.0,0.0,0.25,0.25,50.0,0.01310787783457858,99.0,0.0,0.0,0.5,0.0,0.0,0.5565862708719852,0.0,0.18552875695732837,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3427,13,Division I,malcolmxcollege,Pape Dieng,,,,Wing,,,9,2.1825,1.75,2.45,3,2.4444444444444446,3.2222222222222223,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.8888888888888888,2.2222222222222223,0.1111111111111111,0.6666666666666666,1.5555555555555556,1.6666666666666667,0.48586572438162545,0.5,79.59479015918959,0.03506724181679777,0.6,0.1808972503617945,0.0,0.05,0.3,0.7194244604316546,1.5827338129496402,4.172661870503597,1.1510791366906474,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
