MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1935,1,Division I,marshalltowncc,Antoine Glasper,,,,Wing,,,16,2.5250000000000004,2.75,2.0,3,10.0,2.5625,2.25,1.1875,0.9375,0.0,1.4375,8.875,4.0,1.4375,0.1875,2.375,0.5259006047856954,0.5035211267605634,93.50163627863488,0.13669915321936413,1.894736842105263,0.11103319308087892,0.359375,0.4507042253521127,0.1619718309859155,1.6659359929855326,1.31521262604121,3.5949145111793075,2.0166593599298555,Below Average,2,Below Average,2,Poor,1,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2068,2,Division I,marshalltowncc,Tristan Christopher,,,,Wing,,,15,2.4749999999999996,2.65,2.0,3,6.8,2.6,0.6,1.2666666666666666,0.8666666666666667,0.0,1.2,5.2,2.466666666666667,1.7333333333333334,0.13333333333333333,2.466666666666667,0.5702146690518783,0.5128205128205128,94.06123201770565,0.0930815450643777,0.47368421052631576,0.1752120988565105,0.43243243243243246,0.47435897435897434,0.3333333333333333,1.7832003754106054,1.2200844673862037,3.660253402158611,1.689347724073205,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2303,3,Division I,marshalltowncc,Tre'Von Coney,,,,Wing,,,16,2.4,2.5,2.0,3,9.6875,2.875,1.75,2.6875,0.6875,0.1875,1.9375,8.1875,4.4375,2.0625,0.75,2.125,0.5325728422210005,0.5,82.21939316783364,0.150599137242371,0.6511627906976745,0.22809251007850626,0.38028169014084506,0.5419847328244275,0.25190839694656486,3.7702761946514687,1.2275317843051294,4.033318719859711,2.7181060938185007,Average,3,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2549,4,Division I,marshalltowncc,Sean Conway,,,,Wing,,,13,2.3325000000000005,2.0500000000000003,2.45,3,5.3076923076923075,1.6923076923076923,1.8461538461538463,1.3076923076923077,1.3076923076923077,0.0,1.0769230769230769,4.615384615384615,2.0,1.5384615384615385,0.3076923076923077,1.3846153846153846,0.501453488372093,0.43333333333333335,80.41958041958043,0.08422664624808576,1.411764705882353,0.19813519813519814,0.23076923076923078,0.43333333333333335,0.3333333333333333,1.8448182311448724,1.8448182311448724,2.387411828540423,1.519262072707542,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2557,5,Division I,marshalltowncc,Hassan Bush,,,,Wing,,,15,2.3324999999999996,2.4,1.95,3,9.533333333333333,4.4,1.3333333333333333,1.3333333333333333,0.26666666666666666,0.7333333333333333,2.8666666666666667,8.333333333333334,1.2666666666666666,2.3333333333333335,1.8666666666666667,2.533333333333333,0.5092592592592592,0.464,89.15211970074813,0.13768240343347643,1.0,0.12468827930174563,0.42105263157894735,0.152,0.28,1.8770530267480057,1.4077897700610043,6.194274988268418,4.035664007508212,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Unknown
2567,6,Division I,marshalltowncc,Pavle Djeric,,,,Wing,,,12,2.33,2.15,2.3,3,8.083333333333334,5.5,1.5833333333333333,1.25,0.25,0.16666666666666666,1.9166666666666667,7.583333333333333,2.4166666666666665,2.25,1.6666666666666667,3.8333333333333335,0.4714230171073095,0.45604395604395603,82.2870715982355,0.1257950228368976,1.2666666666666666,0.12724804886325078,0.2413793103448276,0.31868131868131866,0.2967032967032967,1.7554125219426566,0.5851375073142189,7.723815096547689,2.6916325336454068,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2801,7,Division I,marshalltowncc,Chason St. Vil,,,,Wing,,,14,2.25,2.2,2.0,3,5.285714285714286,2.5,0.2857142857142857,0.6428571428571429,0.42857142857142855,0.21428571428571427,0.42857142857142855,4.642857142857143,0.5714285714285714,1.8571428571428572,0.7857142857142857,1.7142857142857142,0.4840397697540555,0.45384615384615384,86.61048689138578,0.07861322733797065,0.4444444444444444,0.1053370786516854,0.125,0.12307692307692308,0.4,0.9058882737795672,0.9058882737795672,3.5228988424760947,0.6039255158530448,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2872,8,Division I,marshalltowncc,Tom Guma,,,,Wing,,,16,2.2375,1.6500000000000001,2.75,3,8.0625,5.6875,1.875,1.8125,0.875,0.1875,1.5625,8.3125,4.1875,1.0625,1.125,4.5625,0.45914009111617315,0.4323308270676692,76.11517583195658,0.13538903978271288,1.0344827586206897,0.17111163559122022,0.22388059701492538,0.5037593984962406,0.12781954887218044,2.5427444103463395,1.4905743095133712,7.97895659798334,2.1920210434020166,Poor,1,Below Average,2,Poor,1,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
3642,9,Division I,marshalltowncc,Tavon Rhodes,,,,Wing,,,11,2.025,1.75,2.0,3,1.7272727272727273,1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.36363636363636365,1.7272727272727273,0.45454545454545453,1.0,0.45454545454545453,0.5454545454545454,0.39848993288590606,0.3157894736842105,65.88072122052705,0.0332304005162004,0.2,0.17337031900138697,0.0,0.2631578947368421,0.5789473684210527,0.6325110689437066,0.6325110689437066,1.3915243516761544,0.5060088551549652,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3663,10,Division I,marshalltowncc,Jose Carvalho,,,,Wing,,,6,2.025,1.75,2.0,3,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.42016806722689076,0.3333333333333333,69.44444444444444,0.01251412183888068,0.0,0.1736111111111111,0.0,0.6666666666666666,1.3333333333333333,0.24330900243309003,0.0,0.48661800486618007,0.48661800486618007,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
