MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
194,1,Division I,mccookcommunitycollege,Djibril Diawara,,,,Wing,,,14,3.5149999999999997,4.1,2.9000000000000004,3,17.357142857142858,3.357142857142857,4.928571428571429,2.5714285714285716,1.7142857142857142,0.21428571428571427,2.2142857142857144,12.357142857142858,8.071428571428571,4.071428571428571,0.35714285714285715,3.0,0.6133885298869144,0.569364161849711,103.81066302118933,0.19187514344732612,1.9166666666666667,0.15379357484620643,0.3805309734513274,0.653179190751445,0.32947976878612717,3.2967032967032965,2.4725274725274726,4.304029304029304,2.838827838827839,Elite,5,Very Good,4,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
210,2,Division I,mccookcommunitycollege,Nate Coley,,,,Wing,,,16,3.4975000000000005,3.7500000000000004,3.35,3,17.5,3.375,4.875,2.125,1.9375,0.125,1.75,10.75,2.0,7.75,0.8125,2.5625,0.6179378531073446,0.5116279069767442,107.46085354620817,0.18388663053297202,2.2941176470588234,0.13048817930610992,0.25,0.18604651162790697,0.7209302325581395,2.7005559968228754,2.6211278792692614,4.289118347895155,2.2239872915011913,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Poor,1,Average,3,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
641,3,Division I,mccookcommunitycollege,Mo Diao,,,,Wing,,,15,3.1025,2.4,4.15,3,13.066666666666666,8.0,0.5333333333333333,2.0,0.8,2.533333333333333,2.8666666666666667,11.533333333333333,0.9333333333333333,2.6666666666666665,2.0,6.0,0.5141657922350472,0.49710982658959535,88.84859474161378,0.16733418289944776,0.26666666666666666,0.1359927470534905,0.14285714285714285,0.08092485549132948,0.23121387283236994,2.545608824777259,4.2426813746287655,10.182435299109036,3.648705982180738,Below Average,2,Average,3,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Unknown
713,4,Division I,mccookcommunitycollege,Sofiane Benragba,,,,Wing,,,16,3.0575,3.5,2.45,3,9.375,5.3125,1.0625,1.125,0.9375,0.5625,2.0625,6.375,1.3125,1.8125,1.875,3.4375,0.6535378180550714,0.6323529411764706,112.98583910816512,0.0936935411020777,0.9444444444444444,0.13558300692979813,0.6190476190476191,0.20588235294117646,0.28431372549019607,1.4297061159650517,1.9062748212867355,6.751389992057188,2.6211278792692614,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
763,5,Division I,mccookcommunitycollege,Alier Alier,,,,Wing,,,15,3.045,2.95,3.2,3,10.2,5.733333333333333,0.8666666666666667,1.4666666666666666,1.0,0.9333333333333333,2.3333333333333335,7.133333333333334,1.6666666666666667,2.066666666666667,1.4,4.333333333333333,0.6341180371352785,0.6121495327102804,107.26303982052721,0.10819831300442986,0.5909090909090909,0.15423443634324174,0.28,0.2336448598130841,0.2897196261682243,1.8667798048366568,2.460755197284684,7.297411964361476,2.9698769622401358,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Below Average,2,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
945,6,Division I,mccookcommunitycollege,Vladimir Brkovic,,,,Wing,,,6,2.9400000000000004,2.9499999999999997,2.9000000000000004,3,6.0,2.6666666666666665,1.6666666666666667,0.8333333333333334,1.6666666666666667,0.0,1.8333333333333333,4.833333333333333,2.1666666666666665,1.8333333333333333,0.5,2.1666666666666665,0.5319148936170213,0.5344827586206896,92.68795056642635,0.07149168016492417,2.0,0.12873326467559215,0.23076923076923078,0.4482758620689655,0.3793103448275862,1.0626992561105206,2.1253985122210413,3.4006376195536663,2.3379383634431457,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1330,7,Division I,mccookcommunitycollege,Lukas Gudavicius,,,,Wing,,,16,2.7725,2.3,3.35,3,7.4375,5.1875,2.8125,1.75,1.625,0.4375,1.6875,5.8125,0.5,1.875,1.3125,3.875,0.5602636534839924,0.5806451612903226,88.67362146050671,0.09470980126467932,1.6071428571428572,0.20864381520119227,0.0,0.08602150537634409,0.3225806451612903,2.2239872915011913,2.6211278792692614,6.59253375694996,2.1445591739475773,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1803,8,Division I,mccookcommunitycollege,Isayah Pankey,,,,Wing,,,16,2.575,2.85,2.0,3,5.0,2.8125,2.0,0.6875,0.8125,0.0,1.0625,4.4375,2.375,0.5625,0.8125,2.0,0.5336179295624334,0.5140845070422535,93.06654257794324,0.06066508581752485,2.909090909090909,0.12796649604467195,0.39473684210526316,0.5352112676056338,0.1267605633802817,0.8737092930897538,1.0325655281969817,3.574265289912629,1.3502779984114377,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1880,9,Division I,mccookcommunitycollege,Luke Sinisa,,,,Wing,,,13,2.55,2.8,2.0,3,3.5384615384615383,3.5384615384615383,0.5384615384615384,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.6153846153846154,1.6153846153846154,0.0,2.230769230769231,1.4615384615384615,2.076923076923077,0.6812796208530806,0.8095238095238095,107.57717492984098,0.03649959027588091,0.7777777777777778,0.21047708138447146,,0.0,1.380952380952381,0.860832137733142,0.28694404591104733,4.399808703969392,0.7651841224294595,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2832,10,Division I,mccookcommunitycollege,Kaya Mutambirwa,,,,Wing,,,11,2.25,2.2,2.0,3,2.8181818181818183,2.272727272727273,1.9090909090909092,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.2727272727272727,2.727272727272727,1.5454545454545454,0.8181818181818182,0.45454545454545453,1.8181818181818181,0.4564193168433451,0.4666666666666667,73.87988560533842,0.04257823598652433,2.625,0.19065776930409914,0.23529411764705882,0.5666666666666667,0.3,0.935672514619883,0.935672514619883,2.9239766081871346,0.3508771929824561,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
