MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
338,1,Division I,mclennancommunitycollege,Joseph Mayberry III,,,,Wing,,,15,3.3875,3.9499999999999997,2.75,3,12.4,5.733333333333333,1.5333333333333334,1.0666666666666667,1.0,0.13333333333333333,1.4666666666666666,8.466666666666667,0.8666666666666667,3.8,2.066666666666667,3.6666666666666665,0.6115202524986848,0.5433070866141733,110.66158971918134,0.12595923261390884,1.4375,0.09519276534983341,0.46153846153846156,0.10236220472440945,0.44881889763779526,1.4065934065934067,1.4945054945054945,7.56043956043956,1.934065934065934,Elite,5,Below Average,2,Very Good,4,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Very Good,4,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
661,2,Division I,mclennancommunitycollege,Aiden Law,,,,Wing,,,13,3.1500000000000004,4.0,2.0,3,9.307692307692308,2.3846153846153846,0.9230769230769231,0.6923076923076923,0.8461538461538461,0.15384615384615385,1.3846153846153846,7.230769230769231,4.615384615384615,0.38461538461538464,0.6923076923076923,1.6923076923076923,0.6288981288981289,0.6170212765957447,115.0190114068441,0.08973965264271334,1.3333333333333333,0.08555133079847908,0.4,0.6382978723404256,0.05319148936170213,0.9127789046653144,1.3184584178498986,3.1440162271805274,1.8255578093306288,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
929,3,Division I,mclennancommunitycollege,Joe Burgess,,,,Wing,,,17,3.0075000000000003,2.35,3.95,3,7.705882352941177,7.235294117647059,1.2352941176470589,1.0588235294117647,1.2352941176470589,0.7647058823529411,2.1176470588235294,6.882352941176471,0.0,1.7647058823529411,2.235294117647059,5.0,0.5030721966205838,0.5128205128205128,88.39406207827261,0.09752053063802904,1.1666666666666667,0.12145748987854252,,0.0,0.2564102564102564,1.3921113689095128,2.6295436968290797,9.51276102088167,2.7842227378190256,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
1522,4,Division I,mclennancommunitycollege,Avion Jackson,,,,Wing,,,16,2.7575000000000003,2.9,2.45,3,5.1875,2.375,0.75,0.625,1.0625,0.125,1.3125,3.9375,1.375,2.0,0.875,1.5,0.5384016606123508,0.46825396825396826,95.3146531924667,0.06074896751869627,1.2,0.1148369315571888,0.13636363636363635,0.3492063492063492,0.5079365079365079,0.8166598611678236,1.551653736218865,3.10330747243773,1.7149857084524296,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2018,5,Division I,mclennancommunitycollege,Amare Banks,,,,Wing,,,17,2.575,2.85,2.0,3,10.470588235294118,3.176470588235294,1.5294117647058822,1.0,0.8823529411764706,0.0,1.6470588235294117,9.058823529411764,3.588235294117647,2.4705882352941178,1.411764705882353,1.7647058823529411,0.5160018552875696,0.4772727272727273,93.94131306734221,0.12468414403032216,1.5294117647058822,0.08971923158116953,0.3114754098360656,0.3961038961038961,0.2727272727272727,1.3147718484145399,1.160092807424594,4.176334106728539,2.165506573859242,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2072,6,Division I,mclennancommunitycollege,Katayvon Jefferies,,,,Wing,,,6,2.5575,2.5,2.45,3,7.0,1.3333333333333333,0.5,1.1666666666666667,1.1666666666666667,0.16666666666666666,0.16666666666666666,5.833333333333333,4.833333333333333,1.6666666666666667,0.0,1.3333333333333333,0.5329949238578681,0.4857142857142857,90.51724137931035,0.08609812217026644,0.42857142857142855,0.15086206896551724,0.3448275862068966,0.8285714285714286,0.2857142857142857,1.5486725663716814,1.7699115044247788,1.7699115044247788,0.22123893805309736,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2082,7,Division I,mclennancommunitycollege,Kenneth Morrast,,,,Wing,,,8,2.5500000000000007,2.8000000000000007,2.0,3,9.25,2.25,0.625,1.125,0.75,0.0,1.0,7.75,3.5,0.5,0.625,1.625,0.5803011292346298,0.5645161290322581,101.70423309510721,0.10389536212017363,0.5555555555555556,0.12369433754810337,0.42857142857142855,0.45161290322580644,0.06451612903225806,1.5293118096856415,1.0195412064570943,3.058623619371283,1.3593882752761257,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2277,8,Division I,mclennancommunitycollege,Maximilian Blank,,,,Wing,,,11,2.5,2.7,2.0,3,2.5454545454545454,3.4545454545454546,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.18181818181818182,1.0,2.0,0.0,1.0909090909090908,1.5454545454545454,1.9090909090909092,0.5131964809384164,0.4090909090909091,92.47027741083222,0.0308992203763419,1.6666666666666667,0.09907529722589167,,0.0,0.5454545454545454,0.36319612590799033,0.6053268765133172,4.600484261501211,1.3317191283292977,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2377,9,Division I,mclennancommunitycollege,Austin Omondi,,,,Wing,,,8,2.4749999999999996,2.65,2.0,3,2.875,1.75,0.0,0.5,0.625,0.0,1.0,2.125,0.375,0.5,0.375,1.375,0.6130063965884861,0.6176470588235294,101.05448154657293,0.029475756319933696,0.0,0.17574692442882248,0.3333333333333333,0.17647058823529413,0.23529411764705882,0.6216006216006216,0.777000777000777,2.1756021756021755,1.2432012432012431,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2776,10,Division I,mclennancommunitycollege,Oluwatimileyin “Timi” Ibikunle,,,,Wing,,,13,2.35,2.4000000000000004,2.0,3,7.230769230769231,4.538461538461538,1.0,1.2307692307692308,0.7692307692307693,0.07692307692307693,1.6153846153846154,5.615384615384615,0.3076923076923077,2.3076923076923075,2.230769230769231,2.3076923076923075,0.5452436194895591,0.5,91.97651663405088,0.08718053707305422,0.8125,0.15655577299412915,0.25,0.0547945205479452,0.410958904109589,1.6227180527383367,1.1156186612576064,5.983772819472617,2.129817444219067,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
