MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
899,1,Division I,meridiancommunitycollege,Fred Motley,,,,Wing,,,18,3.0225,2.8000000000000007,3.35,3,11.38888888888889,2.0555555555555554,2.888888888888889,1.5,1.6666666666666667,0.2777777777777778,0.5,9.777777777777779,1.3333333333333333,1.7777777777777777,0.7777777777777778,1.2777777777777777,0.539246632996633,0.4971590909090909,94.43523125115165,0.1519657258064516,1.9259259259259258,0.12437810945273631,0.2916666666666667,0.13636363636363635,0.18181818181818182,2.284263959390863,2.961082910321489,3.1302876480541455,0.7614213197969543,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Average,3,Average,3,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1461,2,Division I,meridiancommunitycollege,Mario Forbes,,,,Wing,,,13,2.7800000000000002,3.05,2.3,3,7.0,5.076923076923077,0.3076923076923077,0.8461538461538461,0.46153846153846156,0.3076923076923077,0.9230769230769231,4.769230769230769,0.0,2.769230769230769,2.6923076923076925,2.3846153846153846,0.5845323741007195,0.6129032258064516,102.4313372354795,0.08517737296260787,0.36363636363636365,0.12381809995497522,,0.0,0.5806451612903226,1.2607449856733524,1.146131805157593,7.564469914040115,1.3753581661891117,Very Good,4,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1824,3,Division I,meridiancommunitycollege,Derek Byrd Jr,,,,Wing,,,18,2.6450000000000005,2.1500000000000004,3.2,3,3.5555555555555554,5.222222222222222,0.5555555555555556,0.7222222222222222,0.9444444444444444,0.5555555555555556,0.6666666666666666,2.7222222222222223,0.0,1.2777777777777777,2.4444444444444446,2.7777777777777777,0.5412719891745602,0.5102040816326531,88.74098724348308,0.050487231182795696,0.7692307692307693,0.180255130338325,,0.0,0.46938775510204084,1.0998307952622672,2.284263959390863,7.952622673434856,1.015228426395939,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1870,4,Division I,meridiancommunitycollege,KJ Barnes,,,,Wing,,,18,2.625,2.95,2.0,3,10.666666666666666,1.8333333333333333,1.3333333333333333,1.2777777777777777,0.6111111111111112,0.2222222222222222,0.16666666666666666,8.666666666666666,4.722222222222222,1.7777777777777777,0.5,1.3333333333333333,0.5644402634054562,0.5288461538461539,99.44064636420136,0.1351646505376344,1.0434782608695652,0.11912160762378288,0.3411764705882353,0.5448717948717948,0.20512820512820512,1.9458544839255498,1.2690355329949239,2.7918781725888326,0.25380710659898476,Average,3,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2886,5,Division I,meridiancommunitycollege,James Turner,,,,Wing,,,8,2.325,2.3500000000000005,2.0,3,2.5,2.75,0.125,0.5,0.25,0.125,0.5,1.625,0.125,1.25,1.0,1.75,0.574712643678161,0.46153846153846156,93.45794392523365,0.031189879321401503,0.25,0.1869158878504673,0.0,0.07692307692307693,0.7692307692307693,0.690846286701209,0.5181347150259067,3.7996545768566494,0.690846286701209,Very Good,4,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2887,6,Division I,meridiancommunitycollege,Tramon Bell,,,,Wing,,,8,2.325,2.3500000000000005,2.0,3,2.75,3.25,0.0,0.375,0.375,0.0,0.375,2.375,0.0,0.25,2.125,1.125,0.5533199195171027,0.5263157894736842,96.15384615384616,0.038469298540587796,0.0,0.13111888111888112,,0.0,0.10526315789473684,0.5970149253731343,0.5970149253731343,5.174129353233831,0.5970149253731343,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2958,7,Division I,meridiancommunitycollege,Chasion Wilson,,,,Wing,,,12,2.3075,2.0,2.45,3,3.4166666666666665,2.8333333333333335,1.1666666666666667,1.0,0.9166666666666666,0.3333333333333333,0.6666666666666666,2.75,0.3333333333333333,1.6666666666666667,1.0,1.8333333333333333,0.49043062200956944,0.5151515151515151,76.20817843866172,0.05514781253843946,1.1666666666666667,0.2230483271375465,0.5,0.12121212121212122,0.6060606060606061,1.4751075599262446,1.8438844499078058,4.179471419791026,0.9834050399508297,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3186,8,Division I,meridiancommunitycollege,Kelton Jones,,,,Wing,,,9,2.25,2.2,2.0,3,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,3.0,1.7777777777777777,0.5555555555555556,0.3333333333333333,1.0,0.4109589041095891,0.3888888888888889,72.28915662650601,0.04679483565428202,1.5,0.12048192771084336,0.3125,0.5925925925925926,0.18518518518518517,0.676818950930626,0.338409475465313,2.030456852791878,0.1692047377326565,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3411,9,Division I,meridiancommunitycollege,DJ Johnson,,,,Wing,,,18,2.1900000000000004,1.4500000000000002,2.9000000000000004,3,5.444444444444445,3.4444444444444446,3.1666666666666665,2.1666666666666665,1.2777777777777777,0.05555555555555555,0.5555555555555556,6.611111111111111,1.6666666666666667,1.4444444444444444,0.5555555555555556,2.888888888888889,0.3756516406010426,0.36554621848739494,57.83758262511804,0.11861559139784944,1.4615384615384615,0.2301699716713881,0.16666666666666666,0.25210084033613445,0.2184873949579832,3.299492385786802,2.030456852791878,5.2453468697123515,0.8460236886632826,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3440,10,Division I,meridiancommunitycollege,Ju'Juan Ray,,,,Wing,,,15,2.175,2.0500000000000003,2.0,3,4.266666666666667,2.466666666666667,1.1333333333333333,0.8666666666666667,0.4666666666666667,0.13333333333333333,0.3333333333333333,4.333333333333333,1.3333333333333333,1.2,0.8,1.6666666666666667,0.43883708173340646,0.4,74.487895716946,0.07636518771331058,1.3076923076923077,0.15130353817504655,0.1,0.3076923076923077,0.27692307692307694,1.3756613756613756,0.9523809523809523,3.9153439153439153,0.5291005291005291,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
