MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
5,1,Division I,midlandcollege,Antoine Bo Hurns,23,So,G,Guard,6'8,210,18,4.290000000000001,3.9000000000000004,4.7,5,14.166666666666666,5.611111111111111,2.1666666666666665,1.7777777777777777,1.8888888888888888,0.8888888888888888,1.9444444444444444,9.11111111111111,3.888888888888889,3.0,1.1111111111111112,4.5,0.6790583723902855,0.6615853658536586,116.03567528212596,0.14476943346508564,1.21875,0.1456133964324718,0.38571428571428573,0.4268292682926829,0.32926829268292684,2.323049001814882,3.629764065335753,7.3321234119782215,2.540834845735027,Elite,5,Below Average,2,Elite,5,Below Average,2,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Elite
20,2,Division I,midlandcollege,Yeison Liberato,24,Fr,G,Guard,6'5,205,16,4.1274999999999995,3.7,4.55,5,10.1875,4.4375,3.5,1.375,2.0,0.625,1.5,6.625,0.6875,1.9375,1.5625,2.875,0.6812102975593447,0.660377358490566,115.08048573849196,0.10665341405379355,2.5454545454545454,0.15532335498446767,0.36363636363636365,0.10377358490566038,0.29245283018867924,1.8272425249169435,3.488372093023256,5.897009966777409,1.9933554817275747,Elite,5,Poor,1,Elite,5,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Elite
147,3,Division I,midlandcollege,Darius Carr,2,So,G,Guard,6'4,195,11,3.635,3.9499999999999997,2.75,5,17.272727272727273,2.5454545454545454,2.3636363636363638,2.090909090909091,1.1818181818181819,0.09090909090909091,1.6363636363636365,10.909090909090908,2.3636363636363638,5.0,0.2727272727272727,2.272727272727273,0.6588072122052705,0.6208333333333333,113.63636363636364,0.18666547581833604,1.1304347826086956,0.1375598086124402,0.4230769230769231,0.21666666666666667,0.4583333333333333,2.8290282902829027,1.7220172201722017,3.4440344403444034,2.2140221402214024,Elite,5,Average,3,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
276,4,Division I,midlandcollege,Cayden Reed,0,Fr,G,Guard,5'9,170,18,3.4550000000000005,3.65,3.85,1,10.0,2.8333333333333335,6.111111111111111,1.8333333333333333,2.3333333333333335,0.05555555555555555,1.2222222222222223,6.611111111111111,2.3333333333333335,2.7222222222222223,0.6111111111111112,2.2222222222222223,0.6402959590210586,0.5966386554621849,103.71053238073289,0.11433465085638998,3.3333333333333335,0.19013597603134363,0.42857142857142855,0.35294117647058826,0.4117647058823529,2.395644283121597,3.1215970961887476,3.702359346642468,1.5970961887477313,Elite,5,Poor,1,Average,3,Elite,5,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Poor
311,5,Division I,midlandcollege,NIcholas Anthony,9,So,G,Guard,6'4,195,18,3.415,3.9,2.2,5,8.666666666666666,2.3333333333333335,0.8888888888888888,0.7222222222222222,0.7777777777777778,0.05555555555555555,1.4444444444444444,5.5,2.2777777777777777,1.6666666666666667,0.5555555555555556,1.7777777777777777,0.6951871657754011,0.6464646464646465,124.60063897763578,0.08247694334650857,1.2307692307692308,0.10383386581469649,0.5365853658536586,0.41414141414141414,0.30303030303030304,0.9437386569872959,1.0889292196007259,3.0490018148820326,1.8874773139745917,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
558,6,Division I,midlandcollege,Nayte Spargo,6,Fr,F,Big,6'11,210,14,3.2125000000000004,4.050000000000001,1.6,5,5.5,1.7857142857142858,0.35714285714285715,0.6428571428571429,0.5,0.2857142857142857,0.6428571428571429,3.5,2.2857142857142856,1.2857142857142858,0.14285714285714285,1.6428571428571428,0.6763879128601545,0.6428571428571429,116.80825242718446,0.05627262173051971,0.5555555555555556,0.13652912621359223,0.40625,0.6530612244897959,0.3673469387755102,0.8486562942008486,1.0372465818010372,2.3573785950023574,0.8486562942008486,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
1181,7,Division I,midlandcollege,Solomon Ominu,22,So,F,Big,6'8,225,18,2.8925,3.6500000000000004,2.0,3,6.944444444444445,5.777777777777778,0.3333333333333333,0.9444444444444444,0.7222222222222222,0.8888888888888888,1.6111111111111112,4.722222222222222,0.05555555555555555,1.6111111111111112,1.6666666666666667,4.111111111111111,0.6393207855973813,0.6588235294117647,108.92296967584524,0.07559947299077734,0.35294117647058826,0.14813523875914952,0.0,0.011764705882352941,0.3411764705882353,1.234119782214156,2.1052631578947367,7.549909255898367,2.1052631578947367,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Average
1596,8,Division I,midlandcollege,Romerey Mateus,15,Fr,F,Big,6'8,225,10,2.7325,3.65,1.6,3,3.7,1.9,0.0,0.7,0.3,0.1,1.1,2.2,0.3,1.2,1.1,0.8,0.6781524926686217,0.6363636363636364,107.93465577596265,0.04058341620495335,0.0,0.20420070011668612,0.0,0.13636363636363635,0.5454545454545454,0.9216589861751152,0.5266622778143516,2.5016458196181697,1.4483212639894667,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
2334,9,Division I,midlandcollege,Duane Thompson,1,So,F,Big,6'8,210,13,2.4850000000000003,3.0999999999999996,1.6,3,8.692307692307692,3.0,1.0769230769230769,0.8461538461538461,0.9230769230769231,0.3076923076923077,1.1538461538461537,6.615384615384615,3.3846153846153846,1.6923076923076923,0.6923076923076923,2.3076923076923075,0.590510033444816,0.5406976744186046,105.92425946756654,0.09871562349631713,1.2727272727272727,0.10311211098612673,0.3409090909090909,0.5116279069767442,0.2558139534883721,1.1224489795918366,1.6326530612244898,3.979591836734694,1.530612244897959,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Average
2621,10,Division I,midlandcollege,Kevin Smith-Johnson Jr,,,,Wing,,,14,2.4,2.5,2.0,3,3.2142857142857144,1.0714285714285714,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.0,1.6428571428571428,2.2142857142857144,0.8571428571428571,1.2142857142857142,0.35714285714285715,0.7142857142857143,0.5847193347193347,0.5806451612903226,94.77674810446503,0.04024138047937079,1.0,0.18955349620893006,0.16666666666666666,0.3870967741935484,0.5483870967741935,0.8387698042870456,1.0251630941286114,1.3979496738117427,2.1435228331780056,Very Good,4,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
