MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
491,1,Division I,milescommunitycollege,Uwami Chongo,,,,Wing,,,17,3.2625,3.7,2.75,3,15.823529411764707,6.647058823529412,0.8823529411764706,2.0588235294117645,0.7058823529411765,0.7647058823529411,2.3529411764705883,11.882352941176471,3.3529411764705883,2.7058823529411766,1.2352941176470589,5.411764705882353,0.6052015838732901,0.5891089108910891,104.57160628207122,0.16537235136803125,0.42857142857142855,0.1360597107759291,0.45614035087719296,0.28217821782178215,0.22772277227722773,2.4787535410764874,1.7705382436260624,8.002832861189802,2.8328611898016995,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
496,2,Division I,milescommunitycollege,Azenio Cossa,,,,Wing,,,20,3.26,2.75,4.1,3,20.65,5.95,3.15,3.2,2.4,0.85,2.3,16.05,3.1,6.9,0.9,5.05,0.5409724405323273,0.5062305295950156,92.6590684734811,0.24764423504311497,0.984375,0.1435879027191959,0.1774193548387097,0.19314641744548286,0.42990654205607476,3.896499238964992,3.95738203957382,7.245053272450533,2.800608828006088,Average,3,Elite,5,Poor,1,Below Average,2,Average,3,Poor,1,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Average,3,Unknown
1888,3,Division I,milescommunitycollege,Shad Boyce,,,,Wing,,,20,2.625,2.25,3.0,3,10.5,8.55,0.5,2.35,0.75,1.05,3.05,7.65,0.6,4.5,3.35,5.2,0.545171339563863,0.49019607843137253,87.64607679465776,0.13312294426171215,0.2127659574468085,0.19616026711185308,0.0,0.0784313725490196,0.5882352941176471,2.861491628614916,2.191780821917808,10.41095890410959,3.713850837138508,Average,3,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Average,3,Average,3,Very Good,4,Unknown
2062,4,Division I,milescommunitycollege,Jace Hill,,,,Wing,,,20,2.5575,2.5,2.45,3,9.2,3.75,3.05,2.55,1.1,0.1,1.65,7.15,4.1,2.1,1.0,2.75,0.5697299975229131,0.5384615384615384,86.59638554216868,0.11805493821673038,1.196078431372549,0.2400225903614458,0.3902439024390244,0.5734265734265734,0.2937062937062937,3.105022831050228,1.461187214611872,4.566210045662101,2.009132420091324,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2699,5,Division I,milescommunitycollege,Donnie Haney,,,,Wing,,,17,2.375,2.45,2.0,3,8.117647058823529,3.5294117647058822,1.0588235294117647,1.0,0.9411764705882353,0.0,2.4705882352941178,6.823529411764706,4.117647058823529,2.6470588235294117,1.0,2.5294117647058822,0.508100147275405,0.4353448275862069,90.31413612565444,0.09801909062916965,1.0588235294117647,0.1112565445026178,0.3,0.603448275862069,0.3879310344827586,1.2005649717514124,1.1299435028248588,4.237288135593221,2.9661016949152543,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3335,6,Division I,milescommunitycollege,Josh Gosar,,,,Wing,,,15,2.2074999999999996,1.7999999999999998,2.45,3,5.8,2.2,0.6666666666666666,1.1333333333333333,0.9333333333333333,0.3333333333333333,1.6,5.466666666666667,2.7333333333333334,2.066666666666667,0.6666666666666666,1.5333333333333334,0.4548306148055207,0.38414634146341464,77.2372159090909,0.08193668528864058,0.5882352941176471,0.15092329545454544,0.21951219512195122,0.5,0.3780487804878049,1.3616339607529035,1.5218261914297158,2.643171806167401,1.922306768121746,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3439,7,Division I,milescommunitycollege,Owen McPartland,,,,Wing,,,16,2.175,2.0500000000000003,2.0,3,3.1875,0.8125,0.6875,0.75,0.375,0.0625,0.6875,2.9375,1.8125,0.4375,0.25,0.5625,0.509185303514377,0.5106382978723404,82.15206185567011,0.043149466192170804,0.9166666666666666,0.19329896907216496,0.41379310344827586,0.6170212765957447,0.14893617021276595,0.91324200913242,0.532724505327245,0.989345509893455,0.837138508371385,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3441,8,Division I,milescommunitycollege,Dylan Swenson,,,,Wing,,,15,2.175,2.0500000000000003,2.0,3,2.066666666666667,0.8666666666666667,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.6,1.8666666666666667,1.1333333333333333,0.13333333333333333,0.2,0.6666666666666666,0.5367036011080333,0.5357142857142857,91.49940968122787,0.024557842853000864,0.8,0.1475796930342385,0.47058823529411764,0.6071428571428571,0.07142857142857142,0.39824771007566706,0.15929908403026682,1.0354440461967345,0.7168458781362007,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3689,9,Division I,milescommunitycollege,Randy Otieno,,,,Wing,,,15,2.125,1.9499999999999997,2.0,3,4.8,2.6666666666666665,0.4,1.0,0.4,0.06666666666666667,0.9333333333333333,4.6,3.6666666666666665,1.0,0.5333333333333333,2.1333333333333333,0.4761904761904762,0.47101449275362317,79.47019867549669,0.06590432960893854,0.4,0.16556291390728478,0.34545454545454546,0.7971014492753623,0.21739130434782608,1.2014417300760913,0.5606728073688426,3.2038446135362433,1.1213456147376852,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3836,10,Division I,milescommunitycollege,Bony Shindani,,,,Wing,,,13,2.075,1.85,2.0,3,0.9230769230769231,1.4615384615384615,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.6923076923076923,1.3076923076923077,0.0,0.38461538461538464,0.23076923076923078,1.2307692307692308,0.3125,0.29411764705882354,51.724137931034484,0.019537829279795183,1.25,0.1724137931034483,,0.0,0.29411764705882354,0.3708854891052388,0.6490496059341678,1.7617060732498842,0.8344923504867872,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
