MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
222,1,Division I,mineralareacollege,Nazir Allen,,,,Wing,,,15,3.4825,3.3,3.95,3,14.333333333333334,7.2,0.7333333333333333,0.8666666666666667,0.8666666666666667,1.5333333333333334,1.0,11.2,2.0,3.3333333333333335,1.7333333333333334,5.466666666666667,0.5657894736842105,0.5357142857142857,105.91133004926108,0.15668899935163175,0.8461538461538461,0.06403940886699508,0.3333333333333333,0.17857142857142858,0.2976190476190476,1.1333914559721012,3.1386224934612033,9.415867480383609,1.3077593722755012,Average,3,Average,3,Average,3,Below Average,2,Elite,5,Average,3,Average,3,Average,3,Very Good,4,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
405,2,Division I,mineralareacollege,Edwon Duling Jr,,,,Wing,,,15,3.2725,3.3,3.35,3,6.2,3.6666666666666665,4.2,1.4,2.0,0.4,0.7333333333333333,4.066666666666666,2.2666666666666666,1.8666666666666667,0.9333333333333333,2.7333333333333334,0.6342062193126023,0.5819672131147541,98.60050890585242,0.07280249467411776,3.0,0.22264631043257,0.4411764705882353,0.5573770491803278,0.45901639344262296,1.8308631211857018,3.1386224934612033,4.795117698343505,0.9590235396687009,Elite,5,Poor,1,Below Average,2,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
653,3,Division I,mineralareacollege,Carl Claxton,,,,Wing,,,11,3.0999999999999996,3.9,2.0,3,3.8181818181818183,1.1818181818181819,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.0,0.45454545454545453,2.727272727272727,2.090909090909091,0.2727272727272727,0.36363636363636365,0.8181818181818182,0.6704980842911877,0.65,122.37762237762237,0.03602922650541699,1.6666666666666667,0.08741258741258741,0.4782608695652174,0.7666666666666667,0.1,0.3519061583577713,0.3519061583577713,1.5249266862170088,0.5865102639296188,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
992,4,Division I,mineralareacollege,Nassir Binion,,,,Wing,,,15,2.915,2.9,2.9000000000000004,3,11.333333333333334,3.533333333333333,1.4,2.0,1.5333333333333334,0.2,0.7333333333333333,7.133333333333334,1.1333333333333333,4.666666666666667,1.8,1.7333333333333334,0.6168359941944848,0.5654205607476636,101.31108462455303,0.12951928123745718,0.7,0.17878426698450536,0.4117647058823529,0.1588785046728972,0.6542056074766355,2.6155187445510024,2.2667829119442024,4.620749782040105,0.9590235396687009,Elite,5,Below Average,2,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1825,5,Division I,mineralareacollege,Ngundeng Ruey,,,,Wing,,,15,2.5650000000000004,2.2,2.9000000000000004,3,7.0,4.6,0.3333333333333333,1.4666666666666666,0.6666666666666666,1.0666666666666667,0.2,5.2,0.8,2.2666666666666666,1.9333333333333333,2.6666666666666665,0.5647590361445782,0.5192307692307693,91.33611691022963,0.08873382938652012,0.22727272727272727,0.19137091162143352,0.25,0.15384615384615385,0.4358974358974359,1.9180470793374018,2.2667829119442024,6.015693112467306,0.26155187445510025,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1852,6,Division I,mineralareacollege,Terron Garrett,,,,Wing,,,14,2.5575,2.5,2.45,3,11.428571428571429,3.5714285714285716,1.2857142857142858,1.2142857142857142,0.9285714285714286,0.5714285714285714,0.42857142857142855,10.571428571428571,5.285714285714286,2.2142857142857144,0.5714285714285714,3.0,0.49492699826775555,0.46621621621621623,89.56560680698612,0.14653192466697287,1.0588235294117647,0.09516345723242275,0.2972972972972973,0.5,0.20945945945945946,1.5828677839851024,1.9553072625698324,4.655493482309125,0.5586592178770949,Below Average,2,Below Average,2,Poor,1,Below Average,2,Elite,5,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1881,7,Division I,mineralareacollege,Iziah Purvey,,,,Wing,,,13,2.55,2.8,2.0,3,4.6923076923076925,2.5384615384615383,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.07692307692307693,0.15384615384615385,2.769230769230769,0.38461538461538464,1.7692307692307692,0.6153846153846154,1.9230769230769231,0.6613183000867303,0.625,104.9552649690296,0.051686112692088795,0.6666666666666666,0.20646937370956642,0.2,0.1388888888888889,0.6388888888888888,1.1988011988011988,0.8991008991008991,3.2967032967032965,0.1998001998001998,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2471,8,Division I,mineralareacollege,Kevin Peyrolon-Nunez,,,,Wing,,,12,2.35,2.4000000000000004,2.0,3,1.0833333333333333,0.75,0.0,0.25,0.08333333333333333,0.0,0.25,0.75,0.25,0.3333333333333333,0.5,0.25,0.604089219330855,0.7222222222222222,94.47674418604652,0.013239425778393566,0.0,0.2180232558139535,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.32555615843733043,0.10851871947911014,0.9766684753119913,0.32555615843733043,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2727,9,Division I,mineralareacollege,Ramello Smith,,,,Wing,,,14,2.2824999999999998,1.9500000000000002,2.45,3,7.714285714285714,1.8571428571428572,2.142857142857143,2.857142857142857,1.4285714285714286,0.0,0.2857142857142857,7.142857142857143,3.357142857142857,1.3571428571428572,0.35714285714285715,1.5,0.4983388704318937,0.48,72.79590186033971,0.12347281866906357,0.75,0.2696144513345915,0.3404255319148936,0.47,0.19,3.764705882352941,1.8823529411764706,2.447058823529412,0.3764705882352941,Below Average,2,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2931,10,Division I,mineralareacollege,Lorenzo Shields,,,,Wing,,,15,2.2249999999999996,2.15,2.0,3,4.466666666666667,1.4,1.0666666666666667,0.6666666666666666,0.8,0.0,0.0,4.4,1.8666666666666667,1.2666666666666666,0.5333333333333333,0.8666666666666667,0.45051102743410437,0.3939393939393939,79.42152678994785,0.06511469943499336,1.6,0.11853959222380275,0.21428571428571427,0.42424242424242425,0.2878787878787879,0.8718395815170009,1.046207497820401,1.8308631211857018,0.0,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
