MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
479,1,Division I,monroeuniversity,Nico Pena,,,,Wing,,,17,3.2,4.1000000000000005,2.0,3,9.352941176470589,3.235294117647059,1.7058823529411764,1.1176470588235294,0.8823529411764706,0.0,0.5294117647058824,6.588235294117647,3.6470588235294117,1.0,1.0,2.235294117647059,0.6653833277535989,0.6473214285714286,114.81802426343152,0.10603044317172522,1.5263157894736843,0.13720392836510686,0.46774193548387094,0.5535714285714286,0.15178571428571427,1.6836508639787329,1.329198050509526,4.873726185201595,0.7975188303057156,Elite,5,Poor,1,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
574,2,Division I,monroeuniversity,Naceiar Kirksey,,,,Wing,,,15,3.1400000000000006,3.35,2.9000000000000004,3,16.533333333333335,3.466666666666667,3.2,2.1333333333333333,1.4,0.2,1.8666666666666667,12.8,6.2,4.6,0.5333333333333333,2.933333333333333,0.5576542543622953,0.4973958333333333,97.49960685642397,0.2086902300548062,1.5,0.12580594433086964,0.2903225806451613,0.484375,0.359375,3.0260047281323876,2.269503546099291,4.91725768321513,2.647754137115839,Average,3,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
955,3,Division I,monroeuniversity,Abraham Rosario,,,,Wing,,,17,2.9325,3.25,2.45,3,3.7058823529411766,5.529411764705882,0.058823529411764705,0.4117647058823529,0.35294117647058826,1.1764705882352942,3.2941176470588234,2.588235294117647,0.058823529411764705,1.1176470588235294,2.5294117647058822,3.0,0.6016042780748663,0.6704545454545454,106.13207547169812,0.04545036905454656,0.14285714285714285,0.1179245283018868,1.0,0.022727272727272728,0.4318181818181818,0.6202924235711121,2.303943287549845,8.329641116526362,4.962339388568897,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Below Average,2,Below Average,2,Elite,5,Unknown
998,4,Division I,monroeuniversity,Nick Williams,,,,Wing,,,15,2.915,2.2,3.9,3,13.866666666666667,6.6,1.0,2.2666666666666666,1.7333333333333334,0.4666666666666667,2.6,12.466666666666667,2.466666666666667,2.8,2.7333333333333334,3.8666666666666667,0.5061319836480437,0.48663101604278075,86.85485217972274,0.21019555524347852,0.4411764705882353,0.14197427760146986,0.2702702702702703,0.19786096256684493,0.22459893048128343,3.450025367833587,3.34855403348554,10.045662100456621,3.95738203957382,Below Average,2,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Average,3,Very Good,4,Below Average,2,Elite,5,Average,3,Average,3,Average,3,Unknown
1143,5,Division I,monroeuniversity,Faquir Mosley,,,,Wing,,,16,2.8475,2.45,3.35,3,8.75,3.6875,3.75,1.75,1.6875,0.1875,1.75,8.0625,3.0625,3.6875,1.25,2.4375,0.45172947857511614,0.4108527131782946,76.5194578049847,0.1501099405992583,2.142857142857143,0.15303891560996938,0.20408163265306123,0.3798449612403101,0.4573643410852713,2.647754137115839,2.8368794326241136,5.57919621749409,2.647754137115839,Poor,1,Average,3,Poor,1,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1326,6,Division I,monroeuniversity,Riley Dunn,,,,Wing,,,10,2.7750000000000004,2.2,3.5,3,5.2,6.2,0.9,0.9,0.9,0.8,1.2,3.9,0.7,2.8,1.5,4.7,0.5066250974279034,0.4358974358974359,86.20689655172414,0.07744055872233349,1.0,0.14920424403183025,0.2857142857142857,0.1794871794871795,0.717948717948718,1.3303769401330376,2.512934220251293,9.164818920916481,1.7738359201773837,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Unknown
1554,7,Division I,monroeuniversity,Kylian 't Hart,,,,Wing,,,14,2.675,3.05,2.0,3,2.5714285714285716,2.642857142857143,0.7857142857142857,0.5,0.42857142857142855,0.0,0.6428571428571429,1.7857142857142858,0.7142857142857143,0.7142857142857143,0.5,2.142857142857143,0.6122448979591837,0.56,98.9010989010989,0.03204112531248899,1.5714285714285714,0.19230769230769232,0.4,0.4,0.4,0.7121057985757884,0.6103763987792472,3.763987792472024,0.9155645981688708,Elite,5,Poor,1,Below Average,2,Very Good,4,Below Average,2,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1563,8,Division I,monroeuniversity,Qingfang Pang,,,,Wing,,,15,2.675,2.0,3.5,3,10.533333333333333,6.6,1.3333333333333333,1.8666666666666667,1.2,0.6,2.066666666666667,9.0,2.933333333333333,4.0,1.6666666666666667,4.933333333333334,0.48946716232961585,0.4074074074074074,83.42133051742344,0.1553936529815234,0.7142857142857143,0.14783526927138332,0.22727272727272727,0.32592592592592595,0.4444444444444444,2.647754137115839,2.5531914893617023,9.361702127659575,2.9314420803782504,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Unknown
1968,9,Division I,monroeuniversity,Tavien Tyler,,,,Wing,,,17,2.5075000000000003,2.4000000000000004,2.45,3,4.9411764705882355,1.2941176470588236,1.9411764705882353,0.8823529411764706,0.9411764705882353,0.0,1.4705882352941178,4.176470588235294,2.2941176470588234,1.5294117647058822,0.29411764705882354,1.0,0.5094614264919942,0.4788732394366197,86.20689655172414,0.07460720958010474,2.2,0.1539408866995074,0.2564102564102564,0.5492957746478874,0.36619718309859156,1.329198050509526,1.4178112538768277,1.949490474080638,2.2153300841825434,Below Average,2,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2900,10,Division I,monroeuniversity,Nehemiah McMorris,,,,Wing,,,13,2.225,2.1500000000000004,2.0,3,3.3076923076923075,2.3076923076923075,0.0,0.6923076923076923,0.23076923076923078,0.0,1.3846153846153846,2.230769230769231,0.0,1.6923076923076923,1.0769230769230769,1.2307692307692308,0.5558428128231644,0.5517241379310345,90.18456375838926,0.04868883261171472,0.0,0.18875838926174496,,0.0,0.7586206896551724,1.0688836104513064,0.35629453681710216,3.5629453681710213,2.137767220902613,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
