MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
135,1,Division I,navarrocollege,Jaquarious Patterson,,,,Wing,,,13,3.6724999999999994,4.1,3.35,3,13.23076923076923,4.153846153846154,0.7692307692307693,0.9230769230769231,1.3846153846153846,0.46153846153846156,1.7692307692307692,9.461538461538462,5.846153846153846,3.6153846153846154,1.1538461538461537,3.0,0.5985523385300668,0.5650406504065041,110.48304213771839,0.15101660717057275,0.8333333333333334,0.07708119218910585,0.3815789473684211,0.6178861788617886,0.3821138211382114,1.3022246337493217,2.6044492674986435,5.860010851871948,2.4959305480195333,Very Good,4,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
636,2,Division I,navarrocollege,Brave Rutsindura,,,,Wing,,,13,3.1624999999999996,3.5,2.75,3,6.769230769230769,5.615384615384615,0.46153846153846156,0.9230769230769231,0.3076923076923077,1.0,1.3076923076923077,3.923076923076923,0.23076923076923078,2.3076923076923075,2.6153846153846154,3.0,0.6853582554517134,0.6470588235294118,115.48556430446193,0.07310614782408474,0.5,0.15748031496062992,0.0,0.058823529411764705,0.5882352941176471,1.293103448275862,1.831896551724138,7.866379310344827,1.831896551724138,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
843,3,Division I,navarrocollege,Josue Kangudi,,,,Wing,,,10,3.05,3.8,2.0,3,1.6,2.0,0.3,0.2,0.4,0.0,0.6,1.0,0.0,0.4,0.9,1.1,0.6802721088435374,0.6,116.27906976744187,0.017136594599980074,1.5,0.14534883720930233,,0.0,0.4,0.27952480782669464,0.5590496156533893,2.795248078266946,0.8385744234800838,Elite,5,Poor,1,Elite,5,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1186,4,Division I,navarrocollege,Jalyn Olson Patterson,,,,Wing,,,14,2.8900000000000006,2.8500000000000005,2.9000000000000004,3,11.214285714285714,2.0,3.0714285714285716,1.5714285714285714,1.2857142857142858,0.5,1.9285714285714286,10.428571428571429,4.357142857142857,2.2857142857142856,0.2857142857142857,1.7142857142857142,0.49037981009495246,0.4554794520547945,86.22583479789103,0.16126403797782268,1.9545454545454546,0.12082601054481545,0.3442622950819672,0.4178082191780822,0.2191780821917808,2.203304957436154,2.5037556334501754,2.8042063094641962,2.704056084126189,Below Average,2,Average,3,Poor,1,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1724,5,Division I,navarrocollege,Albert Ntungicimpaye,,,,Wing,,,12,2.6825,2.7500000000000004,2.45,3,4.75,2.3333333333333335,1.0833333333333333,0.5833333333333334,0.9166666666666666,0.3333333333333333,1.1666666666666667,3.75,0.9166666666666666,2.25,0.5,1.8333333333333333,0.501054852320675,0.4666666666666667,89.22980588603632,0.0662078686621616,1.8571428571428572,0.10958046336881652,0.36363636363636365,0.24444444444444444,0.6,0.8220786846741045,1.7615971814445097,3.288314738696418,1.644157369348209,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2219,6,Division I,navarrocollege,Liban Aadan,,,,Wing,,,12,2.5150000000000006,2.1,2.9000000000000004,3,10.333333333333334,2.5,3.5,2.5,1.3333333333333333,0.08333333333333333,1.5833333333333333,8.666666666666666,2.1666666666666665,2.9166666666666665,0.25,2.25,0.5192629815745393,0.47596153846153844,82.99866131191432,0.15748197495467386,1.4,0.20080321285140562,0.2692307692307692,0.25,0.33653846153846156,3.548196333530455,2.0106445890005915,3.548196333530455,2.247191011235955,Below Average,2,Average,3,Poor,1,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Unknown
2435,7,Division I,navarrocollege,Favian Mbaoma,,,,Wing,,,14,2.455,2.4000000000000004,2.3,3,4.5,5.214285714285714,0.6428571428571429,0.7857142857142857,0.42857142857142855,0.35714285714285715,1.0714285714285714,3.2857142857142856,0.21428571428571427,1.8571428571428572,2.0714285714285716,3.142857142857143,0.5483983286908078,0.5434782608695652,92.05143191116306,0.06188065099457504,0.8181818181818182,0.16072472238457045,0.0,0.06521739130434782,0.5652173913043478,1.1060834590246356,1.1060834590246356,7.340372046254399,1.5082956259426847,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2971,8,Division I,navarrocollege,Shawn Mitchell,,,,Wing,,,15,2.3,2.3000000000000003,2.0,3,3.8666666666666667,1.0,1.2666666666666666,0.6,0.06666666666666667,0.0,0.13333333333333333,3.8666666666666667,1.7333333333333334,0.9333333333333333,0.3333333333333333,0.6666666666666666,0.45199501246882795,0.39655172413793105,79.27829414980864,0.06130589260575183,2.111111111111111,0.1230180426462548,0.3076923076923077,0.4482758620689655,0.2413793103448276,0.8478568064060292,0.09420631182289213,1.413094677343382,0.18841262364578426,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3077,9,Division I,navarrocollege,Tavariyuan Williams,,,,Wing,,,15,2.275,2.25,2.0,3,6.733333333333333,3.066666666666667,0.6666666666666666,1.1333333333333333,0.7333333333333333,0.13333333333333333,1.4,5.533333333333333,1.6,1.6,1.0,2.066666666666667,0.539760581445062,0.5180722891566265,91.35311143270621,0.09199227850629037,0.5882352941176471,0.15376266280752532,0.3333333333333333,0.2891566265060241,0.2891566265060241,1.591760299625468,1.2172284644194757,4.307116104868914,1.9662921348314606,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3263,10,Division I,navarrocollege,Zamir Parker - Barnes,,,,Wing,,,12,2.225,2.1500000000000004,2.0,3,2.3333333333333335,1.5833333333333333,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.5833333333333334,2.8333333333333335,1.0833333333333333,1.1666666666666667,0.5,1.0833333333333333,0.34860557768924305,0.27941176470588236,59.372349448685334,0.04864062048764388,1.1428571428571428,0.14843087362171334,0.07692307692307693,0.38235294117647056,0.4117647058823529,0.81537565521258,0.6988934187536401,2.21316249271986,0.81537565521258,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
