MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
142,1,Division I,newmexicomilitaryinstitute,Joel Pinto,,,,Wing,,,18,3.6499999999999995,4.3,3.0,3,17.61111111111111,7.277777777777778,0.4444444444444444,1.2777777777777777,0.5555555555555556,1.1666666666666667,3.111111111111111,10.166666666666666,2.2777777777777777,7.055555555555555,2.888888888888889,4.388888888888889,0.6635130609511052,0.5846994535519126,121.04780815640751,0.16559591258599754,0.34782608695652173,0.08782648541316634,0.43902439024390244,0.22404371584699453,0.6939890710382514,1.708132194578537,2.3022651318232454,9.728926847382102,4.158930560712959,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Average,3,Average,3,Average,3,Elite,5,Unknown
1510,2,Division I,newmexicomilitaryinstitute,Carlos Da Mata,,,,Wing,,,15,2.76,2.45,3.1,3,12.2,4.466666666666667,0.6,1.1333333333333333,1.3333333333333333,0.6666666666666666,2.4,10.733333333333333,3.7333333333333334,4.466666666666667,1.6,2.8666666666666667,0.4803653926921462,0.422360248447205,88.20127241179873,0.1574537838083963,0.5294117647058824,0.08193560825139773,0.2857142857142857,0.34782608695652173,0.4161490683229814,1.5057573073516386,2.657218777679362,5.9344552701505755,3.1886625332152345,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
2104,3,Division I,newmexicomilitaryinstitute,Anatoli Da Silva,,,,Wing,,,12,2.55,2.8,2.0,3,2.4166666666666665,2.0,0.3333333333333333,0.5,0.08333333333333333,0.16666666666666666,1.25,1.5833333333333333,0.0,0.5,0.75,1.25,0.6700554528650646,0.631578947368421,104.92040520984081,0.02617225967729717,0.6666666666666666,0.2170767004341534,,0.0,0.3157894736842105,0.6655574043261231,0.33277870216306155,2.6622296173044924,1.663893510815308,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2263,4,Division I,newmexicomilitaryinstitute,David Popa,,,,Wing,,,16,2.5,2.7,2.0,3,11.25,3.0,1.3125,1.0625,0.625,0.0,0.75,9.8125,2.4375,1.875,0.8125,2.1875,0.5287896592244419,0.49363057324840764,96.15384615384616,0.13268690992600152,1.2352941176470589,0.09081196581196582,0.28205128205128205,0.2484076433121019,0.1910828025477707,1.4190317195325544,0.8347245409015025,4.006677796327212,1.001669449081803,Below Average,2,Below Average,2,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Average,3,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2400,5,Division I,newmexicomilitaryinstitute,Demari Larkins,,,,Wing,,,15,2.465,2.0,2.9000000000000004,3,5.8,2.2,4.866666666666666,1.9333333333333333,1.4,0.2,1.9333333333333333,4.866666666666666,0.7333333333333333,3.4,0.2,2.0,0.4557837384744342,0.363013698630137,69.91321118611378,0.09463405730972804,2.5172413793103448,0.23304403728704598,0.2727272727272727,0.1506849315068493,0.6986301369863014,2.59159964253798,2.1447721179624666,2.9490616621983916,2.59159964253798,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2492,6,Division I,newmexicomilitaryinstitute,Taye Williams,,,,Wing,,,16,2.4400000000000004,1.9500000000000002,2.9000000000000004,3,9.0625,3.1875,1.4375,1.0,1.0625,0.4375,1.125,8.875,1.6875,1.3125,1.5625,1.625,0.4793705368950013,0.4788732394366197,86.70174599378139,0.11853930991466079,1.4375,0.09567089213106912,0.2222222222222222,0.19014084507042253,0.14788732394366197,1.335559265442404,2.003338898163606,4.257095158597663,1.5025041736227045,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Below Average,2,Average,3,Below Average,2,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2912,7,Division I,newmexicomilitaryinstitute,Kiffen Teixeira,,,,Wing,,,10,2.325,2.35,2.0,3,5.0,2.5,0.7,0.6,0.7,0.1,1.8,5.4,1.1,1.3,0.8,1.7,0.4186202277294039,0.3888888888888889,76.08034083992696,0.07528064146620847,1.1666666666666667,0.09129640900791236,0.0,0.2037037037037037,0.24074074074074073,0.7989347536617842,1.0652463382157125,3.3288948069241013,2.396804260985353,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3140,8,Division I,newmexicomilitaryinstitute,Kelvin John,,,,Wing,,,18,2.25,2.2,2.0,3,4.222222222222222,4.0,0.6666666666666666,0.7777777777777778,0.3888888888888889,0.2222222222222222,2.0,3.2777777777777777,0.05555555555555555,1.7222222222222223,2.111111111111111,1.8888888888888888,0.5231277533039648,0.5084745762711864,87.71929824561404,0.054785511938486436,0.8571428571428571,0.1615881809787627,0.0,0.01694915254237288,0.5254237288135594,1.0397326401782399,0.8169327887114742,5.347196435202377,2.6735982176011883,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3644,9,Division I,newmexicomilitaryinstitute,Mickael Heritiana,,,,Wing,,,15,2.125,1.9500000000000002,2.0,3,4.266666666666667,1.0666666666666667,1.3333333333333333,1.1333333333333333,0.4666666666666667,0.0,1.6,3.8,1.6,0.4,0.4666666666666667,0.6,0.5365526492287056,0.5526315789473685,83.50730688935282,0.058161066083841785,1.1764705882352942,0.22181628392484343,0.375,0.42105263157894735,0.10526315789473684,1.5057573073516386,0.6200177147918512,1.41718334809566,2.1257750221434897,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3739,10,Division I,newmexicomilitaryinstitute,Rushawn Greene,,,,Wing,,,11,2.0999999999999996,1.9000000000000001,2.0,3,4.363636363636363,2.8181818181818183,1.3636363636363635,1.3636363636363635,0.8181818181818182,0.0,0.6363636363636364,3.0,0.2727272727272727,2.6363636363636362,1.0,1.8181818181818181,0.5244755244755245,0.42424242424242425,78.99934167215274,0.06311022477045161,1.0,0.2468729427254773,0.0,0.09090909090909091,0.8787878787878788,1.8159806295399517,1.089588377723971,3.7530266343825667,0.847457627118644,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
