MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
460,1,Division I,northeasternjuniorcollege,Ethan Carter,,,,Wing,,,14,3.285,3.5,3.1,3,15.571428571428571,7.5,0.35714285714285715,1.2857142857142858,0.5,0.5714285714285714,2.142857142857143,11.0,0.21428571428571427,5.214285714285714,2.142857142857143,5.357142857142857,0.5856436707500537,0.5616883116883117,106.79992161473643,0.19268237426370638,0.2777777777777778,0.08818342151675485,0.3333333333333333,0.01948051948051948,0.474025974025974,2.0489470688673874,1.707455890722823,11.952191235059761,3.414911781445646,Very Good,4,Very Good,4,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Unknown
691,2,Division I,northeasternjuniorcollege,Keziah Williams,,,,Wing,,,8,3.135,3.5500000000000003,2.6,3,14.75,4.375,5.875,2.25,1.625,0.25,3.625,10.375,3.625,5.125,1.25,3.125,0.5839271575613619,0.5180722891566265,99.12634408602152,0.1780756342747726,2.611111111111111,0.15120967741935484,0.3448275862068966,0.3493975903614458,0.4939759036144578,3.2697547683923704,2.7247956403269753,6.357856494096276,5.2679382379654855,Very Good,4,Average,3,Below Average,2,Elite,5,Average,3,Very Good,4,Very Good,4,Very Good,4,Elite,5,Average,3,Very Good,4,Poor,1,Below Average,2,Very Good,4,Unknown
884,3,Division I,northeasternjuniorcollege,Dodge Davis,,,,Wing,,,15,3.0300000000000002,3.2,2.8,3,13.066666666666666,6.0,1.5333333333333334,1.4666666666666666,0.9333333333333333,0.26666666666666666,2.2,9.733333333333333,3.8666666666666667,4.2,2.933333333333333,3.066666666666667,0.5641261800598665,0.5102739726027398,100.14306151645208,0.17185908468265956,1.0454545454545454,0.11240547721234416,0.3620689655172414,0.3972602739726027,0.4315068493150685,2.3231256599788805,1.9007391763463568,9.503695881731785,3.484688489968321,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Unknown
893,4,Division I,northeasternjuniorcollege,Trevor Thomas,,,,Wing,,,13,3.0250000000000004,3.75,2.0,3,5.769230769230769,3.769230769230769,0.5384615384615384,0.6153846153846154,0.23076923076923078,0.23076923076923078,1.1538461538461537,3.4615384615384617,0.15384615384615385,1.9230769230769231,1.9230769230769231,1.8461538461538463,0.6696428571428571,0.6444444444444445,117.1875,0.060030765767455814,0.875,0.125,0.0,0.044444444444444446,0.5555555555555556,0.9080590238365494,0.681044267877412,5.561861520998865,1.7026106696935301,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3040,5,Division I,northeasternjuniorcollege,Jakobe Jones,,,,Wing,,,15,2.2874999999999996,2.4499999999999997,1.75,3,7.133333333333334,3.4,1.2666666666666666,1.0666666666666667,0.2,0.13333333333333333,2.2666666666666666,6.266666666666667,5.666666666666667,1.8,0.3333333333333333,3.066666666666667,0.505289006422365,0.4627659574468085,87.79127010173941,0.10702117944575182,1.1875,0.13127666557269446,0.29411764705882354,0.9042553191489362,0.2872340425531915,1.689545934530095,0.5279831045406547,5.385427666314678,3.5902851108764517,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
3235,6,Division I,northeasternjuniorcollege,Parker Davis,,,,Wing,,,14,2.23,1.9500000000000002,2.3,3,5.928571428571429,4.857142857142857,1.0,1.3571428571428572,0.5,0.2857142857142857,1.9285714285714286,5.071428571428571,0.7857142857142857,1.5714285714285714,2.2857142857142856,2.5714285714285716,0.5143777887952404,0.45774647887323944,83.26645264847511,0.09204402748023935,0.7368421052631579,0.1906099518459069,0.09090909090909091,0.15492957746478872,0.30985915492957744,2.066340402392605,1.1963023382272975,7.395323545405112,2.936378466557912,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3569,7,Division I,northeasternjuniorcollege,Colby Homer,,,,Wing,,,11,2.15,2.0,2.0,3,3.5454545454545454,2.272727272727273,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.0,0.8181818181818182,3.4545454545454546,2.3636363636363638,0.8181818181818182,0.7272727272727273,1.5454545454545454,0.46472831267874165,0.4605263157894737,84.85639686684073,0.05019001441488665,0.25,0.08703220191470844,0.2692307692307692,0.6842105263157895,0.23684210526315788,0.5167958656330749,0.3875968992248062,3.2299741602067185,1.1627906976744187,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3780,8,Division I,northeasternjuniorcollege,Xavier Shufford,,,,Wing,,,12,2.0999999999999996,1.9,2.0,3,2.0833333333333335,2.0833333333333335,0.25,0.5,0.16666666666666666,0.3333333333333333,1.0,2.25,0.3333333333333333,0.8333333333333334,0.5833333333333334,1.5,0.3980891719745223,0.4074074074074074,66.84491978609626,0.03702090592334495,0.5,0.16042780748663102,0.5,0.14814814814814814,0.37037037037037035,0.70298769771529,0.70298769771529,2.9291154071470418,1.40597539543058,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3880,9,Division I,northeasternjuniorcollege,Brady Greene,,,,Wing,,,12,2.0625,2.0,1.75,3,3.5833333333333335,2.3333333333333335,0.4166666666666667,0.9166666666666666,0.25,0.3333333333333333,2.3333333333333335,2.75,0.0,0.9166666666666666,1.1666666666666667,1.1666666666666667,0.5681818181818181,0.5454545454545454,88.04258804258804,0.04834494773519164,0.45454545454545453,0.2252252252252252,,0.0,0.3333333333333333,1.2888107791446983,0.8201523140011716,3.2806092560046864,3.2806092560046864,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
4067,10,Division I,northeasternjuniorcollege,Chase Manzani,,,,Wing,,,12,2.0,1.7000000000000002,2.0,3,3.3333333333333335,2.25,3.75,2.4166666666666665,0.4166666666666667,0.3333333333333333,1.5833333333333333,4.833333333333333,0.6666666666666666,1.0,0.8333333333333334,1.4166666666666667,0.31605562579013907,0.28448275862068967,43.346337234503686,0.09134463097877733,1.5517241379310345,0.3142609449501517,0.125,0.13793103448275862,0.20689655172413793,3.397773872290568,1.054481546572935,3.1634446397188047,2.2261277094317515,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
