MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
73,1,Division I,northeasternoklahomaamcollege,Keyne Costa,,,,Wing,,,13,3.7825000000000006,3.9000000000000004,3.95,3,9.0,6.384615384615385,2.0,0.6153846153846154,1.0,1.1538461538461537,1.2307692307692308,7.0,2.0,1.4615384615384615,2.6153846153846154,3.769230769230769,0.5887681159420289,0.5604395604395604,108.97913561847989,0.09397759103641455,3.25,0.07451564828614009,0.46153846153846156,0.2857142857142857,0.2087912087912088,0.8217770929635336,2.8762198253723676,8.52593733949666,1.6435541859270673,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
195,2,Division I,northeasternoklahomaamcollege,Justin McCarter,,,,Wing,,,12,3.5149999999999997,3.05,4.4,3,17.166666666666668,7.583333333333333,4.416666666666667,2.6666666666666665,1.75,0.8333333333333334,1.3333333333333333,13.916666666666666,3.1666666666666665,4.666666666666667,2.6666666666666665,4.916666666666667,0.5374660822375288,0.49700598802395207,92.11232337685567,0.210496592748767,1.65625,0.14308710427472726,0.3157894736842105,0.2275449101796407,0.33532934131736525,3.532008830022075,3.4216335540838854,10.044150110375275,1.7660044150110374,Average,3,Very Good,4,Poor,1,Very Good,4,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Average,3,Unknown
347,3,Division I,northeasternoklahomaamcollege,Jed Ethan-Nansha,,,,Wing,,,13,3.325,3.3,3.5,3,6.923076923076923,6.769230769230769,0.6153846153846154,0.9230769230769231,0.8461538461538461,0.6923076923076923,1.6153846153846154,4.076923076923077,0.0,2.4615384615384617,2.3846153846153846,4.384615384615385,0.670840787119857,0.6792452830188679,113.80880121396055,0.06922268907563024,0.6666666666666666,0.15174506828528073,,0.0,0.6037735849056604,1.2326656394453004,2.054442732408834,9.03954802259887,2.157164869029276,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Unknown
375,4,Division I,northeasternoklahomaamcollege,Cedric Dixon,,,,Wing,,,7,3.3,4.3,2.0,3,16.428571428571427,2.4285714285714284,1.7142857142857142,0.8571428571428571,0.42857142857142855,0.0,0.0,11.571428571428571,9.571428571428571,0.14285714285714285,0.8571428571428571,1.5714285714285714,0.7060412573673871,0.7037037037037037,131.51875571820676,0.1414612049440238,2.0,0.0686184812442818,0.47761194029850745,0.8271604938271605,0.012345679012345678,1.1538461538461537,0.5769230769230769,3.269230769230769,0.0,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
383,5,Division I,northeasternoklahomaamcollege,Jaylin Faison,,,,Wing,,,13,3.29,3.6500000000000004,2.9000000000000004,3,9.153846153846153,2.3076923076923075,2.3076923076923075,1.1538461538461537,1.4615384615384615,0.15384615384615385,1.0769230769230769,6.923076923076923,4.0,2.1538461538461537,1.0769230769230769,1.2307692307692308,0.5815089913995309,0.5388888888888889,101.43198090692125,0.10269607843137253,2.0,0.12785543811796796,0.40384615384615385,0.5777777777777777,0.3111111111111111,1.5408320493066257,2.157164869029276,3.0816640986132513,1.4381099126861838,Very Good,4,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
466,6,Division I,northeasternoklahomaamcollege,Damario Adams Jr,,,,Wing,,,12,3.21,2.65,4.1,3,10.833333333333334,6.0,2.1666666666666665,1.6666666666666667,1.3333333333333333,1.5,1.4166666666666667,8.5,1.75,3.0833333333333335,1.3333333333333333,4.666666666666667,0.5495434562056138,0.5294117647058824,94.01214926236621,0.13235068912710568,1.3,0.1446340757882557,0.38095238095238093,0.20588235294117646,0.3627450980392157,2.262443438914027,3.8461538461538463,8.144796380090497,1.9230769230769231,Average,3,Below Average,2,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Elite,5,Unknown
835,7,Division I,northeasternoklahomaamcollege,Landen Simington,,,,Wing,,,12,3.0,3.6999999999999997,2.0,3,4.5,1.3333333333333333,1.0,0.6666666666666666,0.5,0.25,0.75,2.4166666666666665,1.1666666666666667,1.0,0.4166666666666667,0.9166666666666666,0.7876312718786465,0.7241379310344828,127.71996215704824,0.04013365227626533,1.5,0.1892147587511826,0.5714285714285714,0.4827586206896552,0.41379310344827586,0.89736399326977,1.0095344924284912,1.79472798653954,1.0095344924284912,Elite,5,Poor,1,Elite,5,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1858,8,Division I,northeasternoklahomaamcollege,Kelton Williams,,,,Wing,,,12,2.5575,2.5,2.45,3,6.583333333333333,2.75,3.0,2.1666666666666665,1.0833333333333333,0.16666666666666666,0.8333333333333334,5.083333333333333,2.9166666666666665,1.5833333333333333,0.8333333333333334,1.9166666666666667,0.5694925028835064,0.5409836065573771,82.84395973154362,0.09128853149530922,1.3846153846153846,0.2726510067114094,0.4,0.5737704918032787,0.3114754098360656,2.9099048684946838,1.6787912702853944,3.693340794627868,1.119194180190263,Average,3,Poor,1,Poor,1,Average,3,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2562,9,Division I,northeasternoklahomaamcollege,Barron Harris,,,,Wing,,,13,2.3324999999999996,2.05,2.45,3,11.846153846153847,4.230769230769231,2.230769230769231,2.1538461538461537,1.3076923076923077,0.15384615384615385,0.5384615384615384,11.307692307692308,3.8461538461538463,1.8461538461538463,1.3076923076923077,2.923076923076923,0.4887027164254887,0.46938775510204084,82.9920241431343,0.1624299719887955,1.0357142857142858,0.15089458935115327,0.28,0.3401360544217687,0.16326530612244897,2.8762198253723676,1.9517205957883923,5.649717514124294,0.7190549563430919,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Below Average,2,Very Good,4,Very Good,4,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
3217,10,Division I,northeasternoklahomaamcollege,Jesiah Mays,,,,Wing,,,8,2.15,2.0,2.0,3,0.5,0.125,0.0,0.0,0.0,0.0,0.25,0.75,0.25,0.0,0.125,0.0,0.3333333333333333,0.3333333333333333,66.66666666666667,0.008618708342909676,,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.17226528854435832,0.34453057708871665,Poor,1,Poor,1,Poor,1,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
