MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
408,1,Division I,northidahocollege,Ace Arnold,,,,Wing,,,12,3.2250000000000005,4.15,2.0,3,6.583333333333333,0.8333333333333334,0.4166666666666667,0.5,0.16666666666666666,0.0,0.4166666666666667,4.583333333333333,3.8333333333333335,1.25,0.3333333333333333,0.5,0.6412337662337663,0.6,116.8639053254438,0.06365108658807578,0.8333333333333334,0.08875739644970415,0.43478260869565216,0.8363636363636363,0.2727272727272727,0.6528835690968444,0.2176278563656148,1.088139281828074,0.544069640914037,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
661,2,Division I,northidahocollege,Sawyr Hansen,,,,Wing,,,11,3.05,3.8,2.0,3,1.8181818181818181,1.2727272727272727,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.6363636363636364,1.2727272727272727,0.09090909090909091,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.5854800936768151,0.5714285714285714,110.61946902654869,0.01840016283329941,4.0,0.05530973451327434,0.0,0.07142857142857142,0.5,0.11764705882352941,0.47058823529411764,1.6470588235294117,0.8235294117647058,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1048,3,Division I,northidahocollege,Ne'quan Brown,,,,Wing,,,12,2.84,2.4000000000000004,3.4,3,10.75,6.0,2.6666666666666665,2.0,1.25,0.9166666666666666,2.8333333333333335,10.5,3.5833333333333335,4.833333333333333,1.0833333333333333,4.916666666666667,0.4256863780359028,0.38095238095238093,73.49589790337284,0.16526684493992694,1.3333333333333333,0.13673655423883319,0.23255813953488372,0.3412698412698413,0.4603174603174603,2.6115342763873777,2.8291621327529923,7.834602829162133,3.6996735582154514,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Unknown
1095,4,Division I,northidahocollege,Ajayi Simmons,,,,Wing,,,12,2.8150000000000004,2.7,2.9,3,12.5,8.25,1.0,1.9166666666666667,0.4166666666666667,0.25,2.0833333333333335,10.5,4.583333333333333,2.6666666666666665,3.0833333333333335,5.166666666666667,0.5354083380925185,0.5238095238095238,91.9793966151582,0.1535535384731272,0.5217391304347826,0.14103507480990923,0.36363636363636365,0.4365079365079365,0.25396825396825395,2.50272034820457,0.8705114254624592,10.772578890097932,2.720348204570185,Average,3,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Very Good,4,Elite,5,Elite,5,Unknown
1580,5,Division I,northidahocollege,Aly Toure,,,,Wing,,,12,2.6075,2.5999999999999996,2.45,3,6.333333333333333,4.833333333333333,0.16666666666666666,1.3333333333333333,0.5833333333333334,0.5,2.25,4.083333333333333,0.0,1.8333333333333333,1.6666666666666667,3.1666666666666665,0.6475800954328562,0.6122448979591837,101.76754151044456,0.07031750216564349,0.125,0.2142474558114622,,0.0,0.4489795918367347,1.7410228509249184,1.4145810663764962,6.311207834602829,2.9379760609358,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1708,6,Division I,northidahocollege,Justus Haseley,,,,Wing,,,12,2.5575,2.5,2.45,3,10.833333333333334,2.5833333333333335,2.9166666666666665,2.1666666666666665,1.1666666666666667,0.08333333333333333,1.8333333333333333,8.333333333333334,2.5,5.166666666666667,0.5,2.0833333333333335,0.5106851037083595,0.43,84.81210855949895,0.14432601408609846,1.3461538461538463,0.16962421711899792,0.3333333333333333,0.3,0.62,2.8291621327529923,1.632208922742111,3.373231773667029,2.3939064200217626,Below Average,2,Below Average,2,Poor,1,Average,3,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2333,7,Division I,northidahocollege,Gage Ontiveros,,,,Wing,,,12,2.3499999999999996,2.3999999999999995,2.0,3,5.25,3.0,0.75,1.25,0.25,0.16666666666666666,1.6666666666666667,3.9166666666666665,0.0,0.6666666666666666,1.25,1.75,0.6235154394299287,0.6170212765957447,96.15384615384613,0.061692591616134995,0.6,0.2289377289377289,,0.0,0.1702127659574468,1.632208922742111,0.544069640914037,3.9173014145810665,2.176278563656148,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2396,8,Division I,northidahocollege,Austin Ouko,,,,Wing,,,12,2.325,2.35,2.0,3,10.166666666666666,4.25,1.4166666666666667,1.5,0.6666666666666666,0.25,2.1666666666666665,9.5,5.916666666666667,2.25,1.25,3.0,0.484588496981252,0.45614035087719296,84.79288295802057,0.13547512334751988,0.9444444444444444,0.12510425354462051,0.3380281690140845,0.6228070175438597,0.23684210526315788,1.9586507072905333,1.1969532100108813,5.549510337323177,2.8291621327529923,Poor,1,Below Average,2,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2483,9,Division I,northidahocollege,Jacori Ervin,,,,Wing,,,12,2.3,2.3,2.0,3,4.416666666666667,3.6666666666666665,0.08333333333333333,0.75,0.16666666666666666,0.75,1.4166666666666667,3.4166666666666665,0.08333333333333333,1.5,2.0833333333333335,1.5833333333333333,0.5417007358953393,0.5853658536585366,91.50552486187846,0.05453655229558209,0.1111111111111111,0.15538674033149172,0.0,0.024390243902439025,0.43902439024390244,0.9793253536452666,1.1969532100108813,4.787812840043525,1.8498367791077257,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2947,10,Division I,northidahocollege,Cason Miller,,,,Wing,,,12,2.15,2.0,2.0,3,2.9166666666666665,1.75,1.1666666666666667,0.9166666666666666,0.6666666666666666,0.0,0.8333333333333334,2.5,1.9166666666666667,0.6666666666666666,0.0,1.75,0.5220763723150358,0.4666666666666667,78.61635220125785,0.041919325072501984,1.2727272727272727,0.2470799640610961,0.34782608695652173,0.7666666666666667,0.26666666666666666,1.1969532100108813,0.8705114254624592,2.2850924918389555,1.088139281828074,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3019,11,Division I,northidahocollege,Vander Brown,,,,Wing,,,8,2.125,1.9500000000000004,2.0,3,0.5,0.875,0.25,0.125,0.375,0.0,0.625,0.5,0.0,0.0,0.25,0.625,0.5,0.5,80.0,0.007074537325258928,2.0,0.2,,0.0,0.0,0.16246953696181965,0.487408610885459,1.1372867587327375,0.8123476848090982,Below Average,2,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3792,12,Division I,northidahocollege,Nyale Robinson,,,,Wing,,,12,1.8375,1.55,1.75,3,4.833333333333333,3.25,2.5,1.4166666666666667,0.5833333333333334,0.0,2.3333333333333335,5.333333333333333,3.3333333333333335,0.75,0.25,3.0,0.42672160094173045,0.3828125,68.26741996233523,0.07999698693081239,1.7647058823529411,0.20009416195856874,0.275,0.625,0.140625,1.8498367791077257,0.7616974972796517,4.243743199129488,3.046789989118607,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
