MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
234,1,Division I,northwestcollege,Braydon Bradshaw,,,,Wing,,,17,3.465,3.9999999999999996,2.9000000000000004,3,8.058823529411764,4.0,0.7058823529411765,0.47058823529411764,0.8235294117647058,0.7058823529411765,2.1176470588235294,5.647058823529412,0.7647058823529411,1.588235294117647,1.2352941176470589,2.764705882352941,0.6349647756766779,0.6041666666666666,118.22575077666552,0.08138097645935165,1.5,0.06903693476009666,0.15384615384615385,0.13541666666666666,0.28125,0.6498781478472786,2.1121039805036554,5.523964256701868,2.9244516653127537,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
331,2,Division I,northwestcollege,Trey Rinn,,,,Wing,,,17,3.3499999999999996,4.3999999999999995,2.0,3,10.117647058823529,1.9411764705882353,0.8823529411764706,0.4117647058823529,0.8235294117647058,0.0,1.411764705882353,7.176470588235294,4.764705882352941,1.411764705882353,0.5294117647058824,1.411764705882353,0.6487628243814122,0.6270491803278688,123.2444826597879,0.09801112422046183,2.142857142857143,0.050157638291774144,0.43209876543209874,0.6639344262295082,0.19672131147540983,0.5686433793663688,1.1372867587327375,2.680747359870024,1.949634443541836,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
530,3,Division I,northwestcollege,Mateo Trujillo,,,,Wing,,,16,3.16,3.25,3.1,3,12.75,3.9375,4.0,1.8125,2.0,0.125,2.25,9.5,4.125,5.1875,0.5,3.4375,0.5410566518141311,0.46710526315789475,93.78447958808385,0.16260989175288562,2.206896551724138,0.13332107392423684,0.3333333333333333,0.4342105263157895,0.5460526315789473,2.4989228780697976,2.929771650150797,5.4286945282205945,3.102111158983197,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
792,4,Division I,northwestcollege,Eli Patterson,,,,Wing,,,17,3.0225,2.8000000000000003,3.35,3,8.823529411764707,3.7058823529411766,1.0588235294117647,1.2352941176470589,2.0,0.058823529411764705,1.6470588235294117,6.823529411764706,1.0588235294117647,2.1176470588235294,1.5294117647058822,2.176470588235294,0.568871359223301,0.5431034482758621,98.14184768385239,0.10733749087027362,0.8571428571428571,0.13739858675739336,0.2222222222222222,0.15517241379310345,0.3103448275862069,1.7059301380991063,2.843216896831844,5.117790414297319,2.274573517465475,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1200,5,Division I,northwestcollege,Nayel Girard,,,,Wing,,,17,2.8150000000000004,2.7000000000000006,2.9000000000000004,3,8.0,4.764705882352941,3.2941176470588234,1.0588235294117647,1.2352941176470589,0.23529411764705882,1.9411764705882353,6.588235294117647,0.8235294117647058,2.4705882352941178,1.411764705882353,3.3529411764705883,0.5211526670754139,0.5223214285714286,91.5948275862069,0.10427552109669083,3.111111111111111,0.12122844827586207,0.21428571428571427,0.125,0.375,1.4622258326563768,2.0308692120227456,6.580016246953696,2.680747359870024,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1486,6,Division I,northwestcollege,Travis Theran Archibald,,,,Wing,,,17,2.7,3.0999999999999996,2.0,3,8.470588235294118,2.6470588235294117,0.6470588235294118,0.6470588235294118,0.5294117647058824,0.0,1.1764705882352942,7.0588235294117645,5.588235294117647,1.3529411764705883,1.1764705882352942,1.4705882352941178,0.5533353827236397,0.5333333333333333,102.0408163265306,0.0991066913871566,1.0,0.07794784580498866,0.3368421052631579,0.7916666666666666,0.19166666666666668,0.8935824532900081,0.7311129163281884,3.655564581640942,1.6246953696181965,Average,3,Poor,1,Average,3,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1799,7,Division I,northwestcollege,Tate Monroe,,,,Wing,,,12,2.575,2.8500000000000005,2.0,3,6.5,2.0,1.3333333333333333,1.0,0.25,0.0,0.75,5.333333333333333,3.0,0.6666666666666666,0.5,1.5,0.5776066350710901,0.5546875,98.08853118712274,0.07720388349514563,1.3333333333333333,0.15090543259557346,0.3611111111111111,0.5625,0.125,1.381692573402418,0.3454231433506045,2.763385146804836,1.0362694300518134,Very Good,4,Poor,1,Below Average,2,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1966,8,Division I,northwestcollege,Logan Woolstenhulme,,,,Wing,,,17,2.5075000000000003,2.4000000000000004,2.45,3,7.235294117647059,3.6470588235294117,1.0588235294117647,1.1764705882352942,1.1176470588235294,0.23529411764705882,1.411764705882353,5.352941176470588,0.6470588235294118,3.0588235294117645,1.411764705882353,2.235294117647059,0.5400421496311908,0.47802197802197804,91.87331939049896,0.09402213607506041,0.9,0.14938751120406335,0.45454545454545453,0.12087912087912088,0.5714285714285714,1.6246953696181965,1.868399675060926,5.036555645816409,1.949634443541836,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2272,9,Division I,northwestcollege,R'Zha Zha'Quire Whittle,,,,Wing,,,17,2.4174999999999995,2.5,2.05,3,7.470588235294118,5.176470588235294,0.7058823529411765,0.7058823529411765,0.35294117647058826,0.5294117647058824,2.176470588235294,6.235294117647059,0.4117647058823529,2.588235294117647,2.1176470588235294,3.0588235294117645,0.5065411614550096,0.5235849056603774,92.45777518928362,0.09646609360076411,1.0,0.087361677344205,0.42857142857142855,0.0660377358490566,0.41509433962264153,0.974817221770918,1.2185215272136474,7.148659626320065,3.0056864337936635,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Unknown
2689,10,Division I,northwestcollege,Monybuony Kor,,,,Wing,,,12,2.3,2.3,2.0,3,2.0,1.3333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.0,0.5,1.5,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6355932203389831,0.6388888888888888,96.46302250803859,0.02385792643166737,0.3333333333333333,0.24115755627009647,0.25,0.2222222222222222,0.1111111111111111,0.6715165081141579,0.7834359261331841,1.7907106883044208,0.6715165081141579,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
