MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
259,1,Division I,northwestfloridastatecollege,Justin Burns,,,,Wing,,,20,3.4799999999999995,3.4,3.8,3,13.95,8.0,1.85,2.05,0.95,0.6,1.55,9.35,0.25,2.7,2.8,5.2,0.6618903017650408,0.6844919786096256,110.81982840800762,0.14862216345132115,0.9024390243902439,0.1628535112805847,0.0,0.026737967914438502,0.2887700534759358,2.7224435590969454,2.058432934926959,10.624169986719787,2.058432934926959,Elite,5,Below Average,2,Very Good,4,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Unknown
350,2,Division I,northwestfloridastatecollege,DJ Shine,,,,Wing,,,10,3.375,4.449999999999999,2.0,3,17.9,2.5,2.2,2.0,0.9,0.0,1.8,11.4,4.6,5.2,0.2,2.3,0.6538573933372297,0.6008771929824561,114.09994900560939,0.18130547337278108,1.1,0.12748597654258031,0.5434782608695652,0.40350877192982454,0.45614035087719296,2.609262883235486,1.1741682974559686,3.2615786040443573,2.3483365949119372,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
739,3,Division I,northwestfloridastatecollege,Braylon Roman,,,,Wing,,,20,3.1025,3.4499999999999997,2.6500000000000004,3,14.05,4.25,5.1,2.55,1.45,0.3,2.4,10.3,2.65,4.05,0.6,3.65,0.5814434696242344,0.5728155339805825,96.02241662110443,0.1727549646981038,2.0,0.1742755604155276,0.41509433962264153,0.25728155339805825,0.3932038834951456,3.3864541832669324,2.3240371845949537,5.644090305444887,3.187250996015936,Very Good,4,Average,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Poor,1,Very Good,4,Very Good,4,Unknown
763,4,Division I,northwestfloridastatecollege,Christian Reid,,,,Wing,,,15,3.09,3.5999999999999996,2.4000000000000004,3,6.466666666666667,3.6,0.8,0.8,1.0,0.7333333333333333,2.8666666666666667,4.0,0.0,1.8666666666666667,1.6,2.0,0.6706305309734514,0.65,115.03795066413663,0.06621018908222878,1.0,0.14231499051233398,,0.0,0.4666666666666667,1.0466637592673353,2.26777147841256,4.709986916703009,3.7505451373746186,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Unknown
845,5,Division I,northwestfloridastatecollege,Hassan Dorman,,,,Wing,,,9,3.05,3.8,2.0,3,4.777777777777778,1.6666666666666667,1.5555555555555556,0.3333333333333333,0.6666666666666666,0.0,0.8888888888888888,3.111111111111111,0.7777777777777778,2.111111111111111,0.5555555555555556,1.1111111111111112,0.5913091309130913,0.5535714285714286,109.2479674796748,0.051759507653463786,4.666666666666667,0.07621951219512195,0.42857142857142855,0.25,0.6785714285714286,0.43699927166788055,0.8739985433357611,2.184996358339403,1.1653313911143481,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1035,6,Division I,northwestfloridastatecollege,De'Erick Barber,,,,Wing,,,15,2.9574999999999996,3.3,2.45,3,4.533333333333333,1.5333333333333334,2.066666666666667,0.8666666666666667,0.9333333333333333,0.13333333333333333,1.8,3.1333333333333333,1.4666666666666666,0.8666666666666667,0.4,1.1333333333333333,0.6449165402124432,0.6170212765957447,103.46926354230067,0.05275494477266889,2.3846153846153846,0.1978088861838101,0.36363636363636365,0.46808510638297873,0.2765957446808511,1.1499336576735957,1.4153029632905794,2.034498009730208,2.3883237505528525,Elite,5,Poor,1,Average,3,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1348,7,Division I,northwestfloridastatecollege,Jonas Nichols,,,,Wing,,,18,2.825,3.35,2.0,3,10.277777777777779,3.3333333333333335,1.6666666666666667,1.0555555555555556,1.0,0.05555555555555555,1.3888888888888888,8.61111111111111,3.0555555555555554,2.2222222222222223,0.7777777777777778,2.5555555555555554,0.5359212050984936,0.4935483870967742,96.5553235908142,0.1250522138680033,1.5789473684210527,0.09916492693110647,0.34545454545454546,0.3548387096774194,0.25806451612903225,1.3944954128440368,1.3944954128440368,4.4036697247706424,1.834862385321101,Average,3,Below Average,2,Below Average,2,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1920,8,Division I,northwestfloridastatecollege,Damarion Vann-Kelly,,,,Wing,,,12,2.6075,2.6000000000000005,2.45,3,10.333333333333334,2.3333333333333335,1.0,0.6666666666666666,1.4166666666666667,0.08333333333333333,0.8333333333333334,9.75,5.583333333333333,1.1666666666666667,0.3333333333333333,2.0,0.5034101981162715,0.4700854700854701,94.5410186032327,0.12794100433103126,1.5,0.060994205550472705,0.29850746268656714,0.5726495726495726,0.11965811965811966,0.8686210640608035,1.9543973941368078,3.040173724212812,1.0857763300760044,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2094,9,Division I,northwestfloridastatecollege,Johnny Pierce,,,,Wing,,,20,2.55,2.8,2.0,3,5.05,3.45,1.2,1.05,0.1,0.6,1.6,3.1,0.0,2.35,1.45,2.0,0.6107885824866957,0.6129032258064516,97.41512345679011,0.0612056955300007,1.1428571428571428,0.20254629629629628,,0.0,0.7580645161290323,1.3944223107569722,0.9296148738379814,4.581673306772909,2.1248339973439574,Elite,5,Poor,1,Below Average,2,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2247,10,Division I,northwestfloridastatecollege,Jeiminson Marquez,,,,Wing,,,18,2.5075000000000003,2.4,2.45,3,3.5555555555555554,3.9444444444444446,0.6666666666666666,0.5,0.2777777777777778,0.8333333333333334,1.0555555555555556,3.2777777777777777,1.4444444444444444,1.0,0.9444444444444444,3.0,0.4781829049611476,0.4661016949152542,84.29926238145416,0.049872559581680104,1.3333333333333333,0.11854583772391991,0.34615384615384615,0.4406779661016949,0.3050847457627119,0.6605504587155964,1.4678899082568808,5.2110091743119265,1.3944954128440368,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
