MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
172,1,Division I,odessacollege,Ahmere Carson,,,,Wing,,,13,3.5649999999999995,4.199999999999999,2.9000000000000004,3,11.846153846153847,3.0,3.3076923076923075,1.0,1.7692307692307692,0.07692307692307693,1.1538461538461537,8.23076923076923,4.461538461538462,3.923076923076923,1.0,2.0,0.5948702101359703,0.5467289719626168,108.11569783768604,0.12752014324082367,3.3076923076923075,0.09126649817467004,0.3620689655172414,0.5420560747663551,0.4766355140186916,1.4061654948620876,2.5959978366684693,4.218496484586263,1.6224986479177934,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
553,2,Division I,odessacollege,Harvin Guevara,,,,Wing,,,11,3.1500000000000004,4.0,2.0,3,2.5454545454545454,1.2727272727272727,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,1.7272727272727273,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.6743737957610789,0.6578947368421053,123.02284710017574,0.023995276852359464,2.0,0.08787346221441124,0.6,0.2631578947368421,0.21052631578947367,0.2520478890989288,0.2520478890989288,1.7643352236925016,0.630119722747322,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
632,3,Division I,odessacollege,Adalbert Allotey,,,,Wing,,,13,3.1049999999999995,3.0,3.3,3,3.4615384615384617,3.1538461538461537,0.07692307692307693,0.23076923076923078,0.5384615384615384,1.7692307692307692,2.8461538461538463,2.4615384615384617,0.0,1.4615384615384615,1.7692307692307692,1.3846153846153846,0.5574826560951437,0.5625,103.78228782287823,0.038818263205013435,0.3333333333333333,0.06918819188191883,,0.0,0.59375,0.32449972958355866,3.244997295835587,4.434829637641968,4.002163331530557,Average,3,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Average,3,Elite,5,Unknown
681,4,Division I,odessacollege,Qwes Williams,,,,Wing,,,13,3.075,3.8500000000000005,2.0,3,7.076923076923077,4.538461538461538,0.7692307692307693,0.46153846153846156,0.5384615384615384,0.15384615384615385,1.0769230769230769,5.153846153846154,0.9230769230769231,1.4615384615384615,1.5384615384615385,3.0,0.6104033970276008,0.5895522388059702,113.07767944936087,0.07283795881826322,1.6666666666666667,0.07374631268436578,0.5833333333333334,0.1791044776119403,0.2835820895522388,0.6489994591671173,0.9734991887506761,6.381828015143321,1.5143320713899404,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
902,5,Division I,odessacollege,JD Bradford,,,,Wing,,,10,2.955,2.35,3.8,3,7.5,2.6,5.9,1.2,2.2,0.5,1.0,6.7,2.8,3.1,0.4,2.2,0.4650297619047619,0.3805970149253731,80.95854922279793,0.10835087719298248,4.916666666666667,0.12953367875647667,0.25,0.417910447761194,0.4626865671641791,1.700921332388377,3.8270729978738482,3.6853295535081503,1.4174344436569808,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1159,6,Division I,odessacollege,Ziyade Ndancky,,,,Wing,,,13,2.8375000000000004,3.2000000000000006,2.25,3,10.923076923076923,5.846153846153846,0.46153846153846156,1.2307692307692308,0.46153846153846156,0.5384615384615384,3.0,7.615384615384615,1.3076923076923077,3.3846153846153846,2.6153846153846154,3.230769230769231,0.5998648191956742,0.5656565656565656,105.68621613575468,0.1202864816472695,0.375,0.11908306043465317,0.23529411764705882,0.1717171717171717,0.4444444444444444,1.7306652244456462,1.4061654948620876,8.22065981611682,4.218496484586263,Very Good,4,Below Average,2,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Average,3,Elite,5,Unknown
1316,7,Division I,odessacollege,Desmon Rose,,,,Wing,,,13,2.7750000000000004,3.25,2.0,3,6.153846153846154,3.6923076923076925,0.8461538461538461,0.5384615384615384,0.6923076923076923,0.15384615384615385,1.6153846153846154,4.923076923076923,1.6923076923076923,1.2307692307692308,1.4615384615384615,2.230769230769231,0.563063063063063,0.5390625,102.51153254741158,0.06986571172784245,1.5714285714285714,0.08969759097898512,0.22727272727272727,0.34375,0.25,0.7571660356949702,1.1898323418063819,5.191995673336939,2.271498107084911,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1544,8,Division I,odessacollege,Lawrence Mitchell,,,,Wing,,,13,2.6775,2.5999999999999996,2.6500000000000004,3,4.076923076923077,2.3846153846153846,1.6153846153846154,0.6153846153846154,1.3846153846153846,0.07692307692307693,2.1538461538461537,4.923076923076923,0.46153846153846156,1.5384615384615385,1.3846153846153846,1.0,0.36401098901098905,0.359375,65.5940594059406,0.07233661593554164,2.625,0.09900990099009901,0.0,0.09375,0.3125,0.8653326122228231,2.055164954029205,3.3531638723634396,3.028664142779881,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1675,9,Division I,odessacollege,Jakeel Registe,,,,Wing,,,13,2.6325000000000003,2.3000000000000003,2.95,3,9.846153846153847,5.3076923076923075,1.2307692307692308,1.3846153846153846,1.5384615384615385,0.3076923076923077,2.4615384615384617,8.923076923076923,3.076923076923077,2.3846153846153846,2.1538461538461537,3.1538461538461537,0.4936747917309473,0.4353448275862069,86.69737198591169,0.13217547000895258,0.8888888888888888,0.12191817935518831,0.225,0.3448275862068966,0.2672413793103448,1.9469983775013522,2.5959978366684693,7.4634937804218495,3.4613304488912924,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Poor,1,Very Good,4,Very Good,4,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Unknown
1748,10,Division I,odessacollege,Jaiden Reynolds,,,,Wing,,,13,2.5999999999999996,2.9,2.0,3,10.615384615384615,3.1538461538461537,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.15384615384615385,0.9230769230769231,9.615384615384615,6.615384615384615,0.7692307692307693,0.9230769230769231,2.230769230769231,0.5332302936630603,0.524,97.59547383309759,0.1265890778871979,1.0,0.08486562942008487,0.36046511627906974,0.688,0.08,1.2979989183342346,1.1898323418063819,4.434829637641968,1.2979989183342346,Average,3,Below Average,2,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
