MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
432,1,Division I,olneycentralcollege,Gabe Johnson,,,,Wing,,,15,3.3075,2.9500000000000006,3.95,3,12.8,6.2,1.2666666666666666,1.9333333333333333,0.9333333333333333,0.9333333333333333,0.6,8.866666666666667,0.9333333333333333,4.466666666666667,2.1333333333333333,4.066666666666666,0.5908419497784343,0.5676691729323309,100.27156883225403,0.16670729583841198,0.6551724137931034,0.15145184875705034,0.35714285714285715,0.10526315789473684,0.5037593984962406,2.768496420047733,2.6730310262529833,8.878281622911695,0.8591885441527446,Very Good,4,Average,3,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Very Good,4,Unknown
1680,2,Division I,olneycentralcollege,Kasym Nash,,,,Wing,,,14,2.7,3.1000000000000005,2.0,3,13.928571428571429,3.9285714285714284,2.142857142857143,2.7142857142857144,0.8571428571428571,0.07142857142857142,0.42857142857142855,9.357142857142858,3.4285714285714284,5.428571428571429,0.9285714285714286,3.0,0.5929214303089273,0.4732824427480916,96.3248369887374,0.18874468561199373,0.7894736842105263,0.18770993874728314,0.375,0.366412213740458,0.5801526717557252,3.89543823680164,1.3326499231163507,5.6381342901076374,0.6150691952844695,Very Good,4,Average,3,Below Average,2,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Average,3,Unknown
1912,3,Division I,olneycentralcollege,Jaydon Eldridge,,,,Wing,,,15,2.615,2.3,2.9000000000000004,3,13.2,4.4,2.066666666666667,3.533333333333333,1.2,0.26666666666666666,0.4666666666666667,11.8,6.066666666666666,3.1333333333333333,0.4666666666666667,3.933333333333333,0.5008093889113719,0.4576271186440678,78.98516036381044,0.2182483022810378,0.5849056603773585,0.21142492420615924,0.3516483516483517,0.5141242937853108,0.2655367231638418,5.059665871121719,2.100238663484487,6.300715990453461,0.6682577565632458,Below Average,2,Very Good,4,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Below Average,2,Unknown
1948,4,Division I,olneycentralcollege,Cedric Schall,,,,Wing,,,14,2.5999999999999996,2.9,2.0,3,4.928571428571429,2.5714285714285716,0.21428571428571427,0.9285714285714286,0.2857142857142857,0.2857142857142857,0.21428571428571427,3.142857142857143,0.21428571428571427,0.7857142857142857,0.7857142857142857,1.7857142857142858,0.7063882063882063,0.7159090909090909,111.57826649417852,0.05765644812411427,0.23076923076923078,0.21021992238033635,0.3333333333333333,0.06818181818181818,0.25,1.3326499231163507,0.8200922603792927,3.690415171706817,0.30753459764223473,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2217,5,Division I,olneycentralcollege,Braden Walters,,,,Wing,,,15,2.5150000000000006,2.1,2.9000000000000004,3,5.733333333333333,4.666666666666667,3.8,2.4,1.0666666666666667,0.4,0.6,4.666666666666667,0.06666666666666667,2.3333333333333335,1.1333333333333333,3.533333333333333,0.5035128805620609,0.4714285714285714,70.84019769357495,0.10569388821173605,1.5833333333333333,0.29654036243822074,0.0,0.014285714285714285,0.5,3.4367541766109784,2.100238663484487,6.682577565632458,0.8591885441527446,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Unknown
2965,6,Division I,olneycentralcollege,Arjay Keller,,,,Wing,,,10,2.3000000000000003,2.3000000000000007,2.0,3,1.6,0.3,0.4,0.2,0.2,0.0,0.1,1.5,0.8,0.1,0.1,0.2,0.5181347150259068,0.5,91.74311926605506,0.021958098307816275,2.0,0.11467889908256883,0.375,0.5333333333333333,0.06666666666666667,0.2717391304347826,0.2717391304347826,0.4076086956521739,0.1358695652173913,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2977,7,Division I,olneycentralcollege,Landon Sanders,,,,Wing,,,13,2.3,2.3000000000000003,2.0,3,2.3846153846153846,1.2307692307692308,0.6153846153846154,0.5384615384615384,0.15384615384615385,0.15384615384615385,0.07692307692307693,2.0,1.0,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.5330123796423659,0.46153846153846156,85.92017738359202,0.0337739169506122,1.1428571428571428,0.19401330376940135,0.46153846153846156,0.5,0.2692307692307692,0.7183170856849667,0.41046690610569525,1.641867624422781,0.10261672652642381,Average,3,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2983,8,Division I,olneycentralcollege,Logan Webb,,,,Wing,,,7,2.3,2.3000000000000003,2.0,3,5.142857142857143,2.142857142857143,2.0,1.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,6.714285714285714,3.5714285714285716,0.2857142857142857,0.42857142857142855,1.7142857142857142,0.37593984962406013,0.3723404255319149,65.59766763848395,0.09245283018867925,2.0,0.12755102040816327,0.36,0.5319148936170213,0.0425531914893617,1.3059701492537314,0.373134328358209,2.798507462686567,0.746268656716418,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3369,9,Division I,olneycentralcollege,Jordan Babcock,,,,Wing,,,13,2.2,2.1,2.0,3,8.923076923076923,3.923076923076923,0.7692307692307693,1.3846153846153846,0.3076923076923077,0.5384615384615384,0.46153846153846156,8.153846153846153,6.615384615384615,0.5384615384615384,0.6923076923076923,3.230769230769231,0.5317198386505317,0.5188679245283019,91.28108278249921,0.11848288207652719,0.5555555555555556,0.141643059490085,0.32558139534883723,0.8113207547169812,0.0660377358490566,1.8452075858534085,1.1276268580215274,5.2280881599179905,0.6150691952844695,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4091,10,Division I,olneycentralcollege,Nash Harding,,,,Wing,,,12,1.9999999999999998,1.7,2.0,3,0.9166666666666666,0.5,0.75,0.75,0.25,0.16666666666666666,0.08333333333333333,1.0,0.4166666666666667,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.3647214854111406,0.2916666666666667,45.68106312292359,0.02437246963562753,1.0,0.37375415282392027,0.2,0.4166666666666667,0.5833333333333334,0.9983361064891847,0.5546311702717692,0.6655574043261231,0.11092623405435385,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
