MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1658,1,Division I,oterocollege,Jye Barlow,,,,Wing,,,12,2.575,2.85,2.0,3,4.5,1.3333333333333333,0.5833333333333334,1.25,0.6666666666666666,0.08333333333333333,1.5,2.25,1.25,1.8333333333333333,0.5,0.8333333333333334,0.7360959651035986,0.7407407407407407,104.48916408668731,0.04580423299181054,0.4666666666666667,0.29024767801857587,0.4,0.5555555555555556,0.8148148148148148,1.4705882352941178,0.8823529411764706,1.5686274509803921,1.7647058823529411,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1892,2,Division I,oterocollege,SirDevin Roberts,,,,Wing,,,12,2.4750000000000005,2.6500000000000004,2.0,3,9.916666666666666,3.25,0.75,1.8333333333333333,0.9166666666666666,0.0,1.6666666666666667,6.583333333333333,2.3333333333333335,4.083333333333333,1.0,2.25,0.5916865552903738,0.5126582278481012,97.09530026109661,0.10862551848831849,0.4090909090909091,0.17950391644908617,0.32142857142857145,0.35443037974683544,0.620253164556962,2.156862745098039,1.0784313725490196,3.823529411764706,1.9607843137254901,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1994,3,Division I,oterocollege,Sam Webb,,,,Wing,,,11,2.4499999999999997,2.5999999999999996,2.0,3,4.7272727272727275,3.0,1.6363636363636365,1.4545454545454546,0.6363636363636364,0.09090909090909091,1.6363636363636365,2.4545454545454546,0.0,2.8181818181818183,1.0,2.0,0.639763779527559,0.5925925925925926,91.80790960451978,0.055425082198215125,1.125,0.2824858757062147,,0.0,1.1481481481481481,1.7419706042460534,0.8709853021230267,3.592814371257485,1.95971692977681,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2177,4,Division I,oterocollege,Kaylan Graham,,,,Wing,,,12,2.3825000000000003,2.15,2.45,3,9.25,3.4166666666666665,1.8333333333333333,3.6666666666666665,1.0,0.3333333333333333,2.4166666666666665,7.916666666666667,3.5,2.1666666666666665,0.8333333333333334,2.5833333333333335,0.5214205186020293,0.5157894736842106,73.78356819994683,0.13333569681284785,0.5,0.2924754054772667,0.38095238095238093,0.4421052631578947,0.2736842105263158,4.313725490196078,1.5686274509803921,4.019607843137255,2.843137254901961,Below Average,2,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2374,5,Division I,oterocollege,Cole Corner,,,,Wing,,,12,2.325,2.3500000000000005,2.0,3,5.166666666666667,1.1666666666666667,0.8333333333333334,1.8333333333333333,0.9166666666666666,0.0,1.0,4.166666666666667,3.1666666666666665,0.6666666666666666,0.08333333333333333,1.0833333333333333,0.5792227204783258,0.6,82.09745762711863,0.06693373985180984,0.45454545454545453,0.29131355932203384,0.42105263157894735,0.76,0.16,2.156862745098039,1.0784313725490196,1.3725490196078431,1.1764705882352942,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2662,6,Division I,oterocollege,Felix Gasana,,,,Wing,,,12,2.2325,1.85,2.45,3,3.6666666666666665,4.083333333333333,0.5,1.25,0.4166666666666667,1.25,1.3333333333333333,3.25,1.0,1.0,1.25,2.8333333333333335,0.49683830171635046,0.44871794871794873,74.22402159244264,0.05254014960825326,0.4,0.25303643724696356,0.25,0.3076923076923077,0.3076923076923077,1.4705882352941178,1.9607843137254901,4.803921568627451,1.5686274509803921,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2900,7,Division I,oterocollege,Noah Banks,,,,Wing,,,10,2.1624999999999996,2.2,1.75,3,9.5,1.4,0.7,2.0,1.0,0.1,3.0,7.6,3.2,3.2,0.4,1.0,0.5273090586145649,0.4407894736842105,86.30087209302326,0.11382719113206766,0.35,0.1816860465116279,0.34375,0.42105263157894735,0.42105263157894735,2.2650056625141564,1.245753114382786,1.5855039637599093,3.3975084937712343,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
3013,8,Division I,oterocollege,Ray Gasaway,,,,Wing,,,7,2.1325000000000003,1.6500000000000001,2.45,3,5.428571428571429,3.2857142857142856,2.2857142857142856,3.142857142857143,0.8571428571428571,0.42857142857142855,2.142857142857143,5.142857142857143,1.0,2.0,1.4285714285714286,1.8571428571428572,0.4506641366223909,0.4444444444444444,59.226932668329184,0.09320704282642803,0.7272727272727273,0.3428927680798005,0.2857142857142857,0.19444444444444445,0.3888888888888889,3.4892942109436955,1.4274385408406027,3.647898493259318,2.379064234734338,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
3076,9,Division I,oterocollege,Nedum Chiadika,,,,Wing,,,12,2.12,1.8,2.2,3,8.333333333333334,4.0,1.25,1.9166666666666667,1.0833333333333333,0.16666666666666666,2.8333333333333335,7.25,1.3333333333333333,3.9166666666666665,1.0833333333333333,2.9166666666666665,0.4643387815750371,0.3850574712643678,76.52280379553106,0.11582231361009677,0.6521739130434783,0.17600244872972146,0.3125,0.1839080459770115,0.5402298850574713,2.2549019607843137,1.4705882352941178,4.705882352941177,3.3333333333333335,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
3132,10,Division I,oterocollege,Ayden Breese,,,,Wing,,,8,2.0999999999999996,1.9000000000000001,2.0,3,0.125,0.75,0.625,0.375,0.0,0.125,0.25,0.5,0.125,0.375,0.0,0.75,0.09398496240601503,0.0,12.019230769230768,0.010882075965261067,1.6666666666666667,0.3605769230769231,0.0,0.25,0.75,0.43352601156069365,0.14450867052023122,0.8670520231213873,0.28901734104046245,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
