MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1184,1,Division I,panolacollege,Keenan Emmanuel,,,,Wing,,,6,2.7824999999999998,2.95,2.45,3,10.666666666666666,2.1666666666666665,3.8333333333333335,2.1666666666666665,0.6666666666666666,0.3333333333333333,1.5,8.0,4.333333333333333,4.0,0.16666666666666666,2.0,0.5464480874316939,0.4479166666666667,89.43543879262157,0.1516744383213226,1.7692307692307692,0.18166573504751257,0.34615384615384615,0.5416666666666666,0.5,3.0878859857482186,1.4251781472684086,3.0878859857482186,2.137767220902613,Average,3,Average,3,Poor,1,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1434,2,Division I,panolacollege,CJ Worsham,,,,Wing,,,12,2.6675000000000004,2.6500000000000004,2.55,3,11.833333333333334,7.333333333333333,2.5833333333333335,1.75,0.75,0.3333333333333333,2.75,9.083333333333334,0.75,5.333333333333333,3.0833333333333335,4.25,0.5176436278798484,0.47706422018348627,89.78249873545776,0.16499061130815773,1.4761904761904763,0.13277693474962063,0.2222222222222222,0.08256880733944955,0.5871559633027523,2.491103202846975,1.5421115065243178,10.438908659549229,3.9145907473309607,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Unknown
1465,3,Division I,panolacollege,Benicio Leons,,,,Wing,,,12,2.6574999999999998,2.35,2.95,3,5.416666666666667,5.75,2.5,1.1666666666666667,1.25,0.4166666666666667,2.5,4.583333333333333,1.3333333333333333,2.5833333333333335,1.3333333333333333,4.416666666666667,0.4734848484848485,0.4,78.65440464666021,0.08620905487168788,2.142857142857143,0.16940948693126814,0.25,0.2909090909090909,0.5636363636363636,1.66073546856465,2.372479240806643,8.185053380782918,3.5587188612099645,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Unknown
1952,4,Division I,panolacollege,Aidan Agnew,,,,Wing,,,12,2.4574999999999996,2.65,1.95,3,10.916666666666666,3.25,1.75,2.0833333333333335,0.8333333333333334,0.25,2.6666666666666665,8.75,4.083333333333333,2.5,0.75,2.5,0.5541455160744501,0.5523809523809524,91.4804469273743,0.14938451909034006,0.84,0.1745810055865922,0.4489795918367347,0.4666666666666667,0.2857142857142857,2.965599051008304,1.5421115065243178,4.6263345195729535,3.795966785290629,Average,3,Below Average,2,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Average,3,Very Good,4,Unknown
2397,5,Division I,panolacollege,Akinde Redhead,,,,Wing,,,12,2.325,2.35,2.0,3,3.5833333333333335,1.8333333333333333,0.9166666666666666,0.5,0.5,0.0,0.75,3.0,0.75,1.6666666666666667,1.0,0.8333333333333334,0.4799107142857143,0.4444444444444444,84.64566929133859,0.05299394950970165,1.8333333333333333,0.11811023622047245,0.2222222222222222,0.25,0.5555555555555556,0.7117437722419929,0.7117437722419929,2.6097271648873073,1.0676156583629892,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2622,6,Division I,panolacollege,Jordan Ford,,,,Wing,,,10,2.25,2.2,2.0,3,5.7,0.8,0.7,0.6,0.2,0.0,1.7,6.0,4.1,0.5,0.4,0.4,0.45819935691318325,0.44166666666666665,83.57771260997067,0.08494843306262767,1.1666666666666667,0.0879765395894428,0.3170731707317073,0.6833333333333333,0.08333333333333333,0.8528784648187633,0.28429282160625446,1.1371712864250179,2.4164889836531627,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2729,7,Division I,panolacollege,George Bellevue,,,,Wing,,,12,2.2175000000000002,2.1,2.05,3,9.916666666666666,5.833333333333333,1.5833333333333333,1.8333333333333333,0.6666666666666666,0.16666666666666666,2.3333333333333335,10.166666666666666,2.5,2.3333333333333335,2.5,3.3333333333333335,0.4429720071471114,0.4139344262295082,76.12589559877175,0.16307114542040474,0.8636363636363636,0.14073694984646878,0.3,0.2459016393442623,0.22950819672131148,2.6097271648873073,1.1862396204033214,8.303677342823251,3.3214709371293,Poor,1,Average,3,Poor,1,Below Average,2,Average,3,Below Average,2,Average,3,Average,3,Very Good,4,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Unknown
2768,8,Division I,panolacollege,Dez Carpenter,,,,Wing,,,12,2.2,2.1,2.0,3,6.333333333333333,3.5833333333333335,2.8333333333333335,2.1666666666666665,0.75,0.0,1.9166666666666667,5.5,2.0,1.8333333333333333,0.6666666666666666,2.9166666666666665,0.5021141649048625,0.4621212121212121,74.74429583005507,0.10607135405800126,1.3076923076923077,0.25570416994492523,0.2916666666666667,0.36363636363636365,0.3333333333333333,3.0842230130486357,1.0676156583629892,5.100830367734282,2.7283511269276395,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2769,9,Division I,panolacollege,Jayden Maxwell,,,,Wing,,,12,2.2,2.1,2.0,3,5.083333333333333,3.0833333333333335,1.3333333333333333,0.9166666666666666,0.5833333333333334,0.16666666666666666,1.3333333333333333,7.166666666666667,4.5,0.75,0.9166666666666666,2.1666666666666665,0.33903957314361943,0.313953488372093,60.419968304278925,0.10532025871061965,1.4545454545454546,0.10895404120443741,0.2222222222222222,0.627906976744186,0.10465116279069768,1.3048635824436536,1.0676156583629892,4.389086595492289,1.8979833926453145,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Elite,5,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2967,10,Division I,panolacollege,Nile Ebi,,,,Wing,,,10,2.15,2.0,2.0,3,1.8,0.6,0.2,0.6,0.1,0.4,1.5,1.3,0.5,0.7,0.1,0.5,0.5597014925373135,0.5769230769230769,81.5217391304348,0.027224304596567366,0.3333333333333333,0.27173913043478265,0.2,0.38461538461538464,0.5384615384615384,0.8426966292134831,0.702247191011236,0.8426966292134831,2.106741573033708,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
