MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1045,1,Division I,parisjuniorcollege,Caleb Barrett,,,,Wing,,,13,2.95,3.6000000000000005,2.0,3,11.0,2.769230769230769,0.5384615384615384,1.1538461538461537,0.46153846153846156,0.0,1.2307692307692308,8.23076923076923,3.6923076923076925,0.9230769230769231,0.8461538461538461,1.9230769230769231,0.6368008550053438,0.6261682242990654,112.35072281583909,0.12293308607634058,0.4666666666666667,0.11785040854808297,0.4583333333333333,0.4485981308411215,0.11214953271028037,1.669449081803005,0.667779632721202,4.006677796327212,1.7807456872565386,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1110,2,Division I,parisjuniorcollege,Skyler Holt,,,,Wing,,,9,2.925,3.5500000000000003,2.0,3,2.5555555555555554,1.1111111111111112,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.7777777777777778,1.8888888888888888,1.3333333333333333,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.6431767337807607,0.6470588235294118,115.69416498993964,0.0252643350955673,0.5,0.1006036217303823,0.3333333333333333,0.7058823529411765,0.11764705882352941,0.29542097488921715,0.5908419497784343,1.4771048744460857,1.03397341211226,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1815,3,Division I,parisjuniorcollege,Troy Rice,,,,Wing,,,10,2.6500000000000004,2.6500000000000004,2.5,3,3.6,5.4,1.1,0.5,0.2,1.1,2.5,3.0,0.1,1.1,1.9,3.5,0.5166475315729047,0.5333333333333333,90.36144578313252,0.04701217785329936,2.2,0.1255020080321285,0.0,0.03333333333333333,0.36666666666666664,0.6702412868632708,1.742627345844504,7.238605898123325,3.351206434316354,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Below Average,2,Very Good,4,Elite,5,Unknown
1990,4,Division I,parisjuniorcollege,Amari Brown,,,,Wing,,,16,2.5825000000000005,2.5500000000000003,2.45,3,14.375,4.125,3.125,2.5625,1.1875,0.125,0.625,13.0625,3.375,4.0,0.6875,3.4375,0.48490470568392646,0.43779904306220097,82.6862237561116,0.21866549273630587,1.2195121951219512,0.1473971814782859,0.3148148148148148,0.2583732057416268,0.3062200956937799,3.6870503597122304,1.8884892086330936,5.9352517985611515,0.8992805755395683,Poor,1,Very Good,4,Poor,1,Average,3,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2180,5,Division I,parisjuniorcollege,Amari Edwards,,,,Wing,,,15,2.5250000000000004,2.75,2.0,3,8.666666666666666,1.4666666666666666,1.4,1.4666666666666666,0.5333333333333333,0.06666666666666667,2.2,7.133333333333334,3.8,1.1333333333333333,0.4666666666666667,1.0,0.5677847658979734,0.5514018691588785,95.25205158264946,0.10728884975787688,0.9545454545454546,0.16119577960140677,0.5263157894736842,0.5327102803738317,0.1588785046728972,1.9784172661870503,0.8093525179856115,1.9784172661870503,2.9676258992805757,Average,3,Poor,1,Below Average,2,Below Average,2,Average,3,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2767,6,Division I,parisjuniorcollege,"Odis Carter, Jr",,,,Wing,,,15,2.35,2.4000000000000004,2.0,3,13.333333333333334,4.333333333333333,1.9333333333333333,1.9333333333333333,0.9333333333333333,0.06666666666666667,1.9333333333333333,11.6,1.6666666666666667,4.533333333333333,0.9333333333333333,3.4,0.49038838760298153,0.4396551724137931,85.8663918942126,0.18310169171750207,1.0,0.12450626824660826,0.2,0.14367816091954022,0.39080459770114945,2.6079136690647484,1.3489208633093526,5.845323741007194,2.6079136690647484,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Poor,1,Below Average,2,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2795,7,Division I,parisjuniorcollege,Gregory Dumas,,,,Wing,,,8,2.35,2.4000000000000004,2.0,3,3.125,2.875,0.5,0.875,0.25,0.25,1.5,2.125,0.5,0.875,0.5,2.375,0.6225099601593626,0.6176470588235294,92.31905465288035,0.04102035870092098,0.5714285714285714,0.25849335302806503,0.75,0.23529411764705882,0.4117647058823529,1.183431952662722,0.6762468300929839,3.888419273034658,2.0287404902789516,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3307,8,Division I,parisjuniorcollege,Samuel Johnson,,,,Wing,,,16,2.2199999999999998,2.0,2.2,3,4.5,4.5625,0.9375,0.875,0.625,0.625,2.1875,4.125,0.0625,1.5,1.875,2.6875,0.4702194357366771,0.3939393939393939,79.50530035335689,0.07119049116407773,1.0714285714285714,0.15459363957597172,0.0,0.015151515151515152,0.36363636363636365,1.2589928057553956,1.7985611510791366,6.5647482014388485,3.147482014388489,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
3562,9,Division I,parisjuniorcollege,Samuel Cole,,,,Wing,,,12,2.15,2.0,2.0,3,1.75,2.0,1.8333333333333333,0.8333333333333334,0.8333333333333334,0.0,1.75,3.5,1.3333333333333333,0.6666666666666666,0.25,1.75,0.2306678383128295,0.17857142857142858,37.82420749279539,0.0583046290851046,2.2,0.18011527377521613,0.1875,0.38095238095238093,0.19047619047619047,1.2135922330097086,1.2135922330097086,2.912621359223301,2.5485436893203883,Poor,1,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3675,10,Division I,parisjuniorcollege,Kylen Defreeze,,,,Wing,,,7,2.125,1.9500000000000002,2.0,3,0.7142857142857143,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.31725888324873097,0.21428571428571427,56.30630630630631,0.015298738887740332,0.0,0.11261261261261263,0.25,0.5714285714285714,0.2857142857142857,0.19455252918287938,0.38910505836575876,0.7782101167315175,0.7782101167315175,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
