MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
80,1,Division I,pensacolastatecollege,Deven Bates,,,,Wing,,,14,3.7650000000000006,3.5500000000000003,4.4,3,18.5,6.642857142857143,4.714285714285714,1.9285714285714286,2.4285714285714284,0.42857142857142855,1.3571428571428572,15.214285714285714,3.0714285714285716,4.571428571428571,1.5714285714285714,5.071428571428571,0.5369878918560292,0.5,96.58412887828163,0.24738920255359967,2.4444444444444446,0.10068615751789978,0.2558139534883721,0.20187793427230047,0.3004694835680751,2.7593254982115485,4.087889626980072,9.504343382728667,1.941747572815534,Average,3,Elite,5,Below Average,2,Elite,5,Elite,5,Poor,1,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Very Good,4,Unknown
297,2,Division I,pensacolastatecollege,Malick Sene,,,,Wing,,,14,3.38,2.8499999999999996,4.3,3,9.714285714285714,11.142857142857142,2.0714285714285716,1.7142857142857142,1.4285714285714286,0.7142857142857143,2.357142857142857,6.642857142857143,0.0,3.642857142857143,3.7857142857142856,7.357142857142857,0.589050589050589,0.5806451612903226,97.53298909925417,0.12863943318941656,1.2083333333333333,0.1721170395869191,,0.0,0.5483870967741935,2.452733776188043,3.0659172202350535,15.942769545222278,3.372508942258559,Very Good,4,Below Average,2,Below Average,2,Average,3,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Unknown
945,3,Division I,pensacolastatecollege,Ethan McDonald,,,,Wing,,,14,2.9375,3.75,1.75,3,11.142857142857142,2.2142857142857144,0.6428571428571429,1.2857142857142858,0.7142857142857143,0.07142857142857142,2.357142857142857,8.142857142857142,7.142857142857143,1.5714285714285714,0.35714285714285715,1.8571428571428572,0.630659767141009,0.6140350877192983,110.1072840203275,0.13070593010812204,0.5,0.12704686617730096,0.42,0.8771929824561403,0.19298245614035087,1.8395503321410323,1.1241696474195197,3.1681144609095555,3.372508942258559,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1963,4,Division I,pensacolastatecollege,Sean Owens,,,,Wing,,,14,2.5124999999999993,2.8999999999999995,1.75,3,10.571428571428571,3.2142857142857144,2.642857142857143,1.0,0.6428571428571429,0.14285714285714285,2.2857142857142856,9.5,6.785714285714286,1.6428571428571428,0.2857142857142857,2.9285714285714284,0.5170486305198435,0.4924812030075188,94.19551934826883,0.14494999815491344,2.642857142857143,0.08910386965376782,0.3263157894736842,0.7142857142857143,0.17293233082706766,1.430761369443025,1.1241696474195197,4.59887583035258,3.270311701584057,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1972,5,Division I,pensacolastatecollege,Joshua Middlebrooks,,,,Wing,,,14,2.5075000000000003,2.4000000000000004,2.45,3,8.785714285714286,3.9285714285714284,1.5,1.6428571428571428,1.1428571428571428,0.07142857142857142,1.7857142857142858,6.285714285714286,1.7142857142857142,3.357142857142857,1.3571428571428572,2.5714285714285716,0.5658814869341184,0.5284090909090909,93.40826245443499,0.1214804974353297,0.9130434782608695,0.1746658566221142,0.375,0.2727272727272727,0.5340909090909091,2.350536535513541,1.7373530914665305,5.620848237097598,2.5549310168625445,Average,3,Below Average,2,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2247,6,Division I,pensacolastatecollege,Waris Njoya,,,,Wing,,,14,2.425,2.55,2.0,3,5.571428571428571,1.5,0.8571428571428571,1.0714285714285714,0.5,0.14285714285714285,1.2857142857142858,4.428571428571429,2.0,0.9285714285714286,0.21428571428571427,1.2857142857142858,0.5759007678676905,0.5403225806451613,94.29400386847196,0.07631277906933834,0.8,0.18133462282398452,0.39285714285714285,0.45161290322580644,0.20967741935483872,1.5329586101175268,0.9197751660705161,2.1461420541645375,1.8395503321410323,Very Good,4,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2504,7,Division I,pensacolastatecollege,Darius Hawthorne,,,,Wing,,,6,2.35,2.4000000000000004,2.0,3,1.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1.1666666666666667,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.3424657534246575,0.2857142857142857,68.4931506849315,0.018298796791443847,,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,0.23501762632197415,0.23501762632197415,0.0,Poor,1,Poor,1,Poor,1,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2954,8,Division I,pensacolastatecollege,Alex Madrid,,,,Wing,,,14,2.215,1.85,2.4000000000000004,3,5.785714285714286,2.142857142857143,2.357142857142857,1.3571428571428572,0.9285714285714286,0.6428571428571429,2.9285714285714284,5.714285714285714,2.9285714285714284,1.6428571428571428,0.42857142857142855,1.7142857142857142,0.44940079893475365,0.41875,74.23020527859238,0.10066792132551014,1.736842105263158,0.17412023460410556,0.2682926829268293,0.5125,0.2875,1.941747572815534,2.2483392948390395,3.0659172202350535,4.190086867654573,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Unknown
2987,9,Division I,pensacolastatecollege,Fabian Rudd,,,,Wing,,,13,2.2,2.1,2.0,3,1.2307692307692308,1.5384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,1.3076923076923077,0.8461538461538461,0.0,0.7692307692307693,0.23076923076923078,1.3076923076923077,0.5194805194805194,0.5454545454545454,86.95652173913044,0.018255417096594964,0.0,0.16304347826086957,,0.0,0.9090909090909091,0.32948929159802304,0.32948929159802304,2.196595277320154,1.8671059857221306,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3972,10,Division I,pensacolastatecollege,Edvard Herter,,,,Wing,,,10,1.9,1.5,2.0,3,0.4,1.3,0.0,0.4,0.1,0.0,0.3,0.8,0.7,0.2,0.3,1.0,0.2252252252252252,0.125,31.05590062111801,0.01646048461302525,0.0,0.3105590062111801,0.0,0.875,0.25,0.5698005698005698,0.14245014245014245,1.8518518518518519,0.42735042735042733,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
