MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
223,1,Division I,polkstatecollege,Ethan Simon,,,,Wing,,,10,3.4825,3.3,3.95,3,12.5,8.8,0.7,1.3,1.3,1.1,1.8,9.3,0.3,3.6,3.5,5.3,0.5742374127159132,0.5645161290322581,102.5935653315824,0.12421499062066715,0.5384615384615384,0.10669730794484569,0.3333333333333333,0.03225806451612903,0.3870967741935484,1.5195791934541203,2.805376972530684,10.286382232612507,2.104032729398013,Very Good,4,Below Average,2,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Average,3,Elite,5,Elite,5,Unknown
613,2,Division I,polkstatecollege,Isaiah McCray,,,,Wing,,,7,3.12,3.8,2.2,3,16.285714285714285,3.5714285714285716,3.7142857142857144,0.7142857142857143,1.5714285714285714,0.0,2.7142857142857144,13.714285714285714,7.428571428571429,2.2857142857142856,1.7142857142857142,1.8571428571428572,0.5531832298136645,0.5260416666666666,105.51647537948907,0.15511399529087463,5.2,0.04627915586819696,0.40384615384615385,0.5416666666666666,0.16666666666666666,0.823045267489712,1.8106995884773662,4.11522633744856,3.1275720164609053,Average,3,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
670,3,Division I,polkstatecollege,Eric Dailey,,,,Wing,,,10,3.09,3.25,2.9000000000000004,3,16.9,3.9,3.3,2.5,2.0,0.2,1.1,13.8,4.3,4.6,0.5,3.4,0.5339989888776542,0.4782608695652174,92.22877101069635,0.18681184242720822,1.32,0.13643309321108926,0.37209302325581395,0.3115942028985507,0.3333333333333333,2.922267679719462,2.5715955581531267,4.5587375803623615,1.2857977790765633,Average,3,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
795,4,Division I,polkstatecollege,Josh Pitts,,,,Wing,,,10,3.0225,2.8,3.35,3,11.3,4.9,3.7,1.9,2.4,0.1,1.2,9.7,4.1,1.7,1.3,3.6,0.5407733537519143,0.5309278350515464,91.51279559442824,0.12588695864937607,1.9473684210526316,0.15387107223841917,0.36585365853658536,0.422680412371134,0.17525773195876287,2.220923436586791,2.922267679719462,5.727644652250146,1.402688486265342,Average,3,Below Average,2,Poor,1,Very Good,4,Average,3,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1619,5,Division I,polkstatecollege,Marques DaSilva-Romeo,,,,Wing,,,10,2.6500000000000004,3.0,2.0,3,10.9,1.7,0.5,0.6,0.1,0.3,1.2,9.7,6.8,1.0,0.4,1.3,0.5374753451676528,0.5257731958762887,101.48975791433891,0.10949351602642526,0.8333333333333334,0.055865921787709494,0.38235294117647056,0.7010309278350515,0.10309278350515463,0.701344243132671,0.46756282875511396,1.9871420222092344,1.402688486265342,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3229,6,Division I,polkstatecollege,Adonys Christo,,,,Wing,,,7,2.15,2.0,2.0,3,2.5714285714285716,1.4285714285714286,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,2.0,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5408653846153846,0.5,79.50530035335689,0.033037590473966844,0.6666666666666666,0.26501766784452296,0.0,0.14285714285714285,0.42857142857142855,1.0058675607711651,1.0058675607711651,1.6764459346186085,0.16764459346186086,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3313,7,Division I,polkstatecollege,Braylin Wells,,,,Wing,,,10,2.125,1.95,2.0,3,4.6,4.5,0.6,1.0,0.4,0.5,2.1,4.5,1.5,2.0,1.4,3.1,0.42750929368029744,0.32222222222222224,72.10031347962382,0.06504363428757849,0.6,0.15673981191222572,0.06666666666666667,0.3333333333333333,0.4444444444444444,1.168907071887785,1.0520163646990064,5.260081823495032,2.4547048509643483,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3653,8,Division I,polkstatecollege,Jonathan Burgos,,,,Wing,,,9,2.025,1.75,2.0,3,0.3333333333333333,0.7777777777777778,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,1.2222222222222223,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.10997067448680352,0.09090909090909091,18.028846153846153,0.01914932793224084,0.0,0.18028846153846154,0.0,0.2727272727272727,0.5454545454545454,0.3976143141153082,0.26507620941020543,0.927766732935719,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3694,9,Division I,polkstatecollege,Tre Jackson,,,,Wing,,,10,2.0,1.7000000000000002,2.0,3,7.7,4.3,1.8,2.4,0.7,0.4,1.6,7.2,4.0,1.2,0.3,4.0,0.49818840579710144,0.4583333333333333,76.02685624012638,0.1032542206997798,0.75,0.23696682464454977,0.3,0.5555555555555556,0.16666666666666666,2.805376972530684,1.2857977790765633,5.026300409117475,1.8702513150204558,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
4132,10,Division I,polkstatecollege,Moises Valdez,,,,Wing,,,10,1.7874999999999999,1.45,1.75,3,7.6,2.9,0.5,1.7,0.6,0.4,2.6,8.0,5.5,0.6,0.7,2.2,0.45982575024201355,0.45625,76.2745885186672,0.10158225267107088,0.29411764705882354,0.17061421116017664,0.3090909090909091,0.6875,0.075,1.9871420222092344,1.168907071887785,3.389830508474576,3.0391583869082406,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
