MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1513,1,Division I,prattcommunitycollege,Hunter Vaughn,,,,Wing,,,17,2.7575000000000003,2.9000000000000004,2.45,3,14.235294117647058,3.235294117647059,3.6470588235294117,2.5294117647058822,1.4705882352941178,0.058823529411764705,1.8235294117647058,11.117647058823529,6.117647058823529,4.411764705882353,0.8823529411764706,2.3529411764705883,0.545045045045045,0.48677248677248675,91.32075471698113,0.1752599137588953,1.441860465116279,0.16226415094339622,0.3269230769230769,0.5502645502645502,0.3968253968253968,3.288718929254302,1.988527724665392,4.2065009560229445,2.3709369024856595,Average,3,Average,3,Poor,1,Average,3,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1570,2,Division I,prattcommunitycollege,Seydina Faye,,,,Wing,,,14,2.745,2.3500000000000005,3.2,3,13.071428571428571,5.714285714285714,1.3571428571428572,2.4285714285714284,1.5,0.5,2.0,9.214285714285714,0.7857142857142857,5.214285714285714,2.4285714285714284,3.2857142857142856,0.5678997020854022,0.5271317829457365,93.78843788437884,0.15539980885632368,0.5588235294117647,0.17425174251742517,0.18181818181818182,0.08527131782945736,0.5658914728682171,3.145235892691952,2.590194264569843,7.400555041628122,2.590194264569843,Average,3,Average,3,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
1775,3,Division I,prattcommunitycollege,"Ajieth ""AJ"" Akot",,,,Wing,,,8,2.6624999999999996,2.4999999999999996,2.75,3,7.75,6.0,0.625,1.75,0.625,0.75,1.625,5.625,0.625,1.375,1.375,4.625,0.6219903691813804,0.5777777777777777,97.11779448621553,0.08913213448006255,0.35714285714285715,0.21929824561403508,0.0,0.1111111111111111,0.24444444444444444,2.2672064777327936,1.7813765182186234,7.77327935222672,2.1052631578947367,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2284,4,Division I,prattcommunitycollege,Izeyah Harris,,,,Wing,,,9,2.5,2.7,2.0,3,4.666666666666667,2.6666666666666665,0.1111111111111111,0.7777777777777778,0.5555555555555556,0.3333333333333333,1.7777777777777777,3.4444444444444446,0.1111111111111111,1.4444444444444444,1.6666666666666667,1.0,0.5718954248366013,0.5806451612903226,96.06587374199451,0.05439434657111576,0.14285714285714285,0.16010978956999086,0.0,0.03225806451612903,0.41935483870967744,1.00647016534867,1.150251617541337,3.4507548526240117,2.300503235082674,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2969,5,Division I,prattcommunitycollege,Galvin Luketa,,,,Wing,,,17,2.3,2.3000000000000003,2.0,3,8.411764705882353,2.588235294117647,0.7647058823529411,0.5882352941176471,0.8823529411764706,0.11764705882352941,1.411764705882353,8.529411764705882,6.764705882352941,1.0,0.8235294117647058,1.7647058823529411,0.46891395592864643,0.46206896551724136,88.0108321024126,0.10745747466998229,1.3,0.061546036435253575,0.33043478260869563,0.7931034482758621,0.11724137931034483,0.7648183556405354,1.3001912045889101,3.3652007648183555,1.8355640535372848,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3318,6,Division I,prattcommunitycollege,Muna Godswill,,,,Wing,,,13,2.2124999999999995,2.3,1.75,3,5.384615384615385,5.153846153846154,0.46153846153846156,0.9230769230769231,0.07692307692307693,0.23076923076923078,2.4615384615384617,4.384615384615385,0.23076923076923078,1.5384615384615385,1.9230769230769231,3.230769230769231,0.5319148936170213,0.5,89.97429305912597,0.06616996665986255,0.5,0.15424164524421594,0.3333333333333333,0.05263157894736842,0.3508771929824561,1.1940298507462686,0.39800995024875624,6.666666666666667,3.18407960199005,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
3325,7,Division I,prattcommunitycollege,Kisean Robinson,,,,Wing,,,13,2.2075,1.8,2.45,3,5.6923076923076925,2.4615384615384617,0.7692307692307693,1.6923076923076923,0.9230769230769231,0.23076923076923078,2.076923076923077,5.538461538461538,1.7692307692307692,3.6923076923076925,1.3076923076923077,1.1538461538461537,0.39733676975945015,0.3055555555555556,64.28075052119527,0.09885957680681508,0.45454545454545453,0.1911049339819319,0.17391304347826086,0.3194444444444444,0.6666666666666666,2.1967049425861207,1.4977533699450825,3.1952071892161755,2.6959560659011483,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3611,8,Division I,prattcommunitycollege,Tomohito Kobari,,,,Wing,,,6,2.15,2.0,2.0,3,1.8333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.5055147058823529,0.45,85.40372670807453,0.023652122814749522,1.0,0.15527950310559005,0.25,0.4,0.2,0.43010752688172044,0.43010752688172044,0.8602150537634409,0.21505376344086022,Below Average,2,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3661,9,Division I,prattcommunitycollege,"Keletigui ""Kele"" Kane",,,,Wing,,,11,2.125,1.9500000000000002,2.0,3,7.545454545454546,4.363636363636363,0.6363636363636364,1.6363636363636365,0.7272727272727273,0.2727272727272727,1.8181818181818181,6.454545454545454,2.8181818181818183,1.5454545454545454,0.9090909090909091,3.4545454545454546,0.5287971457696228,0.5070422535211268,86.02819237147595,0.09784592917123039,0.3888888888888889,0.18656716417910446,0.3225806451612903,0.43661971830985913,0.23943661971830985,2.127659574468085,1.3002364066193854,5.673758865248227,2.3640661938534278,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3729,10,Division I,prattcommunitycollege,Scottie Guillory,,,,Wing,,,13,2.0999999999999996,1.9000000000000001,2.0,3,4.923076923076923,1.5384615384615385,1.1538461538461537,1.2307692307692308,0.7692307692307693,0.15384615384615385,1.1538461538461537,4.615384615384615,1.4615384615384615,1.6153846153846154,0.38461538461538464,1.1538461538461537,0.4621606008087811,0.4,75.08212106992023,0.0732000549601539,0.9375,0.18770530267480057,0.21052631578947367,0.31666666666666665,0.35,1.5976035946080878,1.1982026959560659,1.9970044932601099,1.4977533699450825,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
