MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
800,1,Division I,rangercollege,Cam Brown,,,,Wing,,,19,3.0725,2.9,3.35,3,19.31578947368421,4.368421052631579,2.9473684210526314,3.1052631578947367,1.631578947368421,0.3684210526315789,0.2631578947368421,15.368421052631579,6.368421052631579,5.052631578947368,0.9473684210526315,3.4210526315789473,0.5490067017711824,0.511986301369863,93.32723019021462,0.23528707847689256,0.9491525423728814,0.15003560166819244,0.30578512396694213,0.4143835616438356,0.3287671232876712,4.041095890410959,2.6027397260273974,5.684931506849315,0.3424657534246575,Average,3,Elite,5,Poor,1,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Average,3,Unknown
1207,2,Division I,rangercollege,Devin Whitten,,,,Wing,,,18,2.8825000000000003,3.15,2.45,3,10.166666666666666,3.611111111111111,1.3888888888888888,1.4444444444444444,1.0,0.1111111111111111,0.1111111111111111,7.666666666666667,4.388888888888889,3.0,1.5,2.111111111111111,0.565652818991098,0.4963768115942029,97.46484874307627,0.12052895108486326,0.9615384615384616,0.13847464848743077,0.34177215189873417,0.572463768115942,0.391304347826087,1.8867924528301887,1.4513788098693758,4.716981132075472,0.14513788098693758,Average,3,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1353,3,Division I,rangercollege,Ray Lomboto,,,,Wing,,,6,2.825,3.35,2.0,3,1.0,1.5,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.8333333333333334,0.75,0.75,120.0,0.008966358223943764,4.0,0.2,,0.0,0.0,0.2159827213822894,0.8639308855291576,1.9438444924406046,0.0,Elite,5,Poor,1,Elite,5,Elite,5,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1462,4,Division I,rangercollege,Gavin Headings,,,,Wing,,,18,2.7800000000000002,2.0,3.8,3,9.722222222222221,8.277777777777779,2.9444444444444446,2.4444444444444446,1.1666666666666667,0.7777777777777778,0.4444444444444444,8.722222222222221,0.7777777777777778,2.1666666666666665,3.4444444444444446,4.833333333333333,0.502411575562701,0.49363057324840764,80.21635496883022,0.13647965567288925,1.2045454545454546,0.20168683535020168,0.21428571428571427,0.08917197452229299,0.2484076433121019,3.1575170434158593,2.5116612845353425,10.692500897021887,0.5740940078937926,Below Average,2,Below Average,2,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Unknown
2029,5,Division I,rangercollege,Dave Meriwether,,,,Wing,,,17,2.575,1.8,3.5,3,5.294117647058823,7.294117647058823,1.7058823529411764,2.6470588235294117,0.4117647058823529,1.2941176470588236,0.6470588235294118,4.176470588235294,0.0,2.176470588235294,2.235294117647059,5.0588235294117645,0.5155820348304307,0.49295774647887325,68.0374962201391,0.08825020681557388,0.6444444444444445,0.34018748110069547,,0.0,0.5211267605633803,3.4495975469528557,2.2230739747029515,9.505557684936758,0.8432349559218091,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Average,3,Elite,5,Average,3,Unknown
2216,6,Division I,rangercollege,Jalen Hooks,,,,Wing,,,16,2.5150000000000006,2.1,2.9000000000000004,3,5.0625,5.0625,2.1875,2.0625,0.8125,0.75,0.25,4.0625,0.0,1.4375,1.6875,3.375,0.5391373801916932,0.5692307692307692,74.91675915649279,0.07795241528478733,1.0606060606060606,0.30521642619311873,,0.0,0.35384615384615387,2.6883910386965377,2.0366598778004072,6.59877800407332,0.3258655804480652,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2364,7,Division I,rangercollege,Rashad Bryant,,,,Wing,,,11,2.4750000000000005,2.6500000000000004,2.0,3,3.1818181818181817,1.2727272727272727,0.5454545454545454,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.2727272727272727,2.6363636363636362,0.0,0.8181818181818182,0.7272727272727273,0.5454545454545454,0.5309466019417476,0.5172413793103449,92.20231822971549,0.03842571972304328,1.2,0.13171759747102213,,0.0,0.3103448275862069,0.5837711617046117,0.5837711617046117,1.634559252772913,0.3502626970227671,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2549,8,Division I,rangercollege,Jace Jeffries,,,,Wing,,,12,2.425,2.55,2.0,3,3.3333333333333335,1.0833333333333333,1.5,0.8333333333333334,0.8333333333333334,0.0,0.0,2.4166666666666665,0.8333333333333334,1.0,0.08333333333333333,1.0,0.5834305717619603,0.5344827586206896,90.33423667570008,0.04062385321100918,1.8,0.22583559168925021,0.3,0.3448275862068966,0.41379310344827586,1.0672358591248665,1.0672358591248665,1.3874066168623265,0.0,Very Good,4,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2695,9,Division I,rangercollege,Mafatime Ndiaye,,,,Wing,,,18,2.375,2.45,2.0,3,12.11111111111111,4.333333333333333,0.9444444444444444,1.6666666666666667,0.4444444444444444,0.2222222222222222,0.1111111111111111,10.722222222222221,6.944444444444445,0.8333333333333334,1.0,3.3333333333333335,0.5460921843687375,0.5362694300518135,94.94773519163763,0.14738734112209526,0.5666666666666667,0.13066202090592335,0.36,0.6476683937823834,0.07772020725388601,2.1770682148040637,0.8708272859216255,5.660377358490566,0.14513788098693758,Average,3,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3360,10,Division I,rangercollege,Javon Alexander,,,,Wing,,,14,2.2,2.1,2.0,3,3.2857142857142856,2.642857142857143,2.9285714285714284,1.7857142857142858,1.0,0.07142857142857142,0.35714285714285715,2.7142857142857144,0.5714285714285714,1.4285714285714286,0.5714285714285714,2.0714285714285716,0.4914529914529915,0.42105263157894735,64.06685236768803,0.05756341596382644,1.64,0.34818941504178275,0.25,0.21052631578947367,0.5263157894736842,2.304147465437788,1.3824884792626728,3.410138248847926,0.4608294930875576,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3648,11,Division I,rangercollege,Jaylen Drane,,,,Wing,,,14,2.125,1.9500000000000002,2.0,3,7.142857142857143,1.6428571428571428,1.8571428571428572,1.7142857142857142,0.2857142857142857,0.0,0.07142857142857142,5.857142857142857,2.642857142857143,2.642857142857143,0.14285714285714285,1.5,0.5087505087505088,0.4268292682926829,81.77952240758914,0.09934355907968281,1.0833333333333333,0.19627085377821393,0.2702702702702703,0.45121951219512196,0.45121951219512196,2.2140221402214024,0.36900369003690037,2.121771217712177,0.09225092250922509,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
