MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
273,1,Division I,redlandscommunitycollege,Glenn Bishop Jr,,,,Wing,,,14,3.4000000000000004,3.45,3.5,3,11.142857142857142,7.071428571428571,2.357142857142857,1.2142857142857142,1.4285714285714286,0.14285714285714285,1.1428571428571428,8.428571428571429,0.5,2.7857142857142856,2.7857142857142856,4.285714285714286,0.5770938147380882,0.559322033898305,102.52365930599369,0.12003786683496372,1.9411764705882353,0.11172450052576235,0.0,0.059322033898305086,0.3305084745762712,1.5748031496062993,2.0379805465493286,9.170912459471978,1.4821676702176934,Very Good,4,Below Average,2,Average,3,Very Good,4,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Elite,5,Unknown
296,2,Division I,redlandscommunitycollege,Justice Johnson,,,,Wing,,,11,3.3774999999999995,3.3,3.65,3,16.636363636363637,5.636363636363637,2.1818181818181817,2.090909090909091,1.5454545454545454,0.9090909090909091,1.9090909090909092,13.0,3.5454545454545454,2.5454545454545454,2.1818181818181817,3.4545454545454546,0.5891063610610353,0.5769230769230769,102.62449528936743,0.17886374578719305,1.0434782608695652,0.12898160610139076,0.3333333333333333,0.2727272727272727,0.1958041958041958,2.657423454650491,3.119584055459272,7.1634893125361065,2.4263431542461005,Very Good,4,Average,3,Average,3,Below Average,2,Very Good,4,Average,3,Very Good,4,Very Good,4,Average,3,Elite,5,Very Good,4,Below Average,2,Elite,5,Very Good,4,Unknown
652,3,Division I,redlandscommunitycollege,Jayden Forrest,,,,Wing,,,14,3.0999999999999996,3.9,2.0,3,11.357142857142858,1.4285714285714286,2.642857142857143,1.4285714285714286,0.6428571428571429,0.07142857142857142,1.7857142857142858,7.642857142857143,4.785714285714286,2.0714285714285716,0.5714285714285714,0.8571428571428571,0.6638276553106213,0.6355140186915887,113.76645678305668,0.11025560113600505,1.85,0.14310246136233545,0.44776119402985076,0.6261682242990654,0.27102803738317754,1.8527095877721167,0.9263547938860583,1.8527095877721167,2.3158869847151458,Elite,5,Poor,1,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1072,4,Division I,redlandscommunitycollege,Jarren Cargil,,,,Wing,,,10,2.875,3.45,2.0,3,2.5,1.0,0.3,0.3,0.8,0.1,0.4,1.6,1.2,0.3,0.3,0.7,0.7217090069284064,0.75,123.03149606299212,0.022391678053510822,1.0,0.14763779527559054,0.5,0.75,0.1875,0.39011703511053314,1.1703511053315996,1.3003901170351104,0.5201560468140443,Elite,5,Poor,1,Elite,5,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1187,5,Division I,redlandscommunitycollege,Matthew Bingham,,,,Wing,,,10,2.825,3.3499999999999996,2.0,3,2.9,2.4,0.2,0.5,0.3,0.3,1.2,1.6,0.0,1.0,1.1,1.3,0.7107843137254902,0.6875,114.1732283464567,0.027720784039813158,0.4,0.1968503937007874,,0.0,0.625,0.6480881399870383,0.7777057679844459,3.1108230719377836,1.5554115359688918,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1197,6,Division I,redlandscommunitycollege,Damond Matthews,,,,Wing,,,14,2.8200000000000003,3.1999999999999997,2.2,3,11.642857142857142,4.714285714285714,3.0,2.357142857142857,0.9285714285714286,0.42857142857142855,2.5,7.142857142857143,2.0714285714285716,4.571428571428571,1.5,3.2142857142857144,0.6359238451935081,0.585,101.14172251178952,0.12713789839065953,1.2727272727272727,0.20476545048399106,0.3793103448275862,0.29,0.64,3.0569708198239924,1.760074108383511,6.113941639647985,3.2422417786012043,Elite,5,Below Average,2,Below Average,2,Average,3,Poor,1,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Very Good,4,Unknown
1376,7,Division I,redlandscommunitycollege,Emanuiel Gach,,,,Wing,,,6,2.75,3.2,2.0,3,1.8333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0,0.8333333333333334,0.8333333333333334,0.5,0.0,1.1666666666666667,0.5,0.8333333333333334,0.9046052631578947,1.0,136.13861386138615,0.014477173367734537,0.0,0.24752475247524752,,0.0,2.3333333333333335,0.423728813559322,1.0593220338983051,1.694915254237288,1.0593220338983051,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1503,8,Division I,redlandscommunitycollege,Devon Carter,,,,Wing,,,14,2.6949999999999994,2.5999999999999996,2.7,3,3.7857142857142856,5.357142857142857,0.6428571428571429,0.21428571428571427,0.5,1.3571428571428572,3.0,3.4285714285714284,0.42857142857142855,1.2142857142857142,1.6428571428571428,3.7142857142857144,0.4776496034607065,0.4375,90.62927496580026,0.04613442726412118,3.0,0.05129958960328317,0.0,0.125,0.3541666666666667,0.2779064381658175,2.408522464103752,6.947660954145437,3.8906901343214453,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Elite,5,Unknown
1739,9,Division I,redlandscommunitycollege,Isaiah Amous,,,,Wing,,,14,2.5999999999999996,2.9,2.0,3,5.785714285714286,4.071428571428571,0.6428571428571429,0.5,0.42857142857142855,0.5,1.5714285714285714,4.714285714285714,0.0,1.3571428571428572,2.4285714285714284,1.6428571428571428,0.5446476600322754,0.5606060606060606,99.5575221238938,0.06418428526349007,1.2857142857142858,0.08603736479842675,,0.0,0.2878787878787879,0.6484483557202408,1.204261232051876,5.2802223251505325,2.0379805465493286,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1861,10,Division I,redlandscommunitycollege,Treston Gage,,,,Wing,,,11,2.5575,2.5,2.45,3,10.272727272727273,3.3636363636363638,4.636363636363637,2.1818181818181817,1.2727272727272727,0.09090909090909091,2.1818181818181817,8.636363636363637,3.3636363636363638,2.8181818181818183,0.45454545454545453,2.909090909090909,0.5200662739322534,0.4789473684210526,85.19300361881785,0.13304445514363664,2.125,0.18094089264173704,0.2972972972972973,0.3894736842105263,0.3263157894736842,2.7729636048526864,1.733102253032929,4.274985557481225,2.7729636048526864,Below Average,2,Below Average,2,Poor,1,Elite,5,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
