MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
876,1,Division I,richardjdaleycollege,Isaiah Brown,,,,Wing,,,16,3.0349999999999993,3.3499999999999996,2.5999999999999996,3,15.5625,6.4375,2.3125,2.0625,0.75,0.1875,1.5625,12.1875,2.8125,4.8125,1.5,4.9375,0.54395316322964,0.49743589743589745,95.08171681686268,0.21888268529972255,1.121212121212121,0.12601191385367344,0.35555555555555557,0.23076923076923078,0.39487179487179486,2.9676258992805757,1.3489208633093526,9.262589928057555,2.2482014388489207,Average,3,Very Good,4,Below Average,2,Average,3,Very Good,4,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Poor,1,Average,3,Elite,5,Very Good,4,Unknown
895,2,Division I,richardjdaleycollege,Hamza Hassan,,,,Wing,,,10,3.0250000000000004,3.75,2.0,3,6.2,1.1,0.3,0.6,0.5,0.0,0.5,4.6,3.3,1.0,0.0,1.1,0.6150793650793651,0.6086956521739131,109.9290780141844,0.07528029898558462,0.5,0.10638297872340426,0.42424242424242425,0.717391304347826,0.21739130434782608,0.8583690987124464,0.7153075822603719,1.5736766809728182,0.7153075822603719,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1287,3,Division I,richardjdaleycollege,Mathis Coly,,,,Wing,,,16,2.8499999999999996,3.4,2.0,3,8.3125,1.6875,0.5,1.1875,0.9375,0.0,1.375,5.8125,2.625,2.25,0.625,1.0625,0.6109886071297317,0.5806451612903226,104.03629536921152,0.10685032262378391,0.42105263157894735,0.1486232790988736,0.38095238095238093,0.45161290322580644,0.3870967741935484,1.70863309352518,1.3489208633093526,2.4280575539568345,1.9784172661870503,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1848,4,Division I,richardjdaleycollege,Antwon Agee,,,,Wing,,,16,2.6325000000000003,2.65,2.45,3,11.75,3.6875,2.0625,1.8125,1.25,0.0625,0.75,11.6875,2.0625,2.75,1.0,2.6875,0.4555146346191122,0.42245989304812837,79.87763426240652,0.19671692688308653,1.1379310344827587,0.12321549966009517,0.36363636363636365,0.17647058823529413,0.23529411764705882,2.6079136690647484,1.8884892086330936,5.305755395683454,1.079136690647482,Poor,1,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Average,3,Average,3,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2074,5,Division I,richardjdaleycollege,Zaccai Armstrong,,,,Wing,,,11,2.5575,2.4999999999999996,2.45,3,4.545454545454546,3.909090909090909,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.6363636363636364,2.0,3.8181818181818183,0.0,1.0909090909090908,1.5454545454545454,2.3636363636363638,0.5287648054145516,0.5714285714285714,97.50390015600624,0.06295114166462067,0.25,0.078003120124805,,0.0,0.2857142857142857,0.5333333333333333,1.7333333333333334,5.733333333333333,2.933333333333333,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2530,6,Division I,richardjdaleycollege,Jokubas Cepronas,,,,Wing,,,14,2.425,2.5500000000000003,2.0,3,3.642857142857143,1.1428571428571428,0.14285714285714285,0.5714285714285714,0.07142857142857142,0.07142857142857142,1.2857142857142858,2.5714285714285716,1.1428571428571428,1.5714285714285714,0.21428571428571427,0.9285714285714286,0.558231173380035,0.5138888888888888,95.00745156482861,0.05154797572405317,0.25,0.14903129657228018,0.3125,0.4444444444444444,0.6111111111111112,0.8298755186721992,0.2074688796680498,1.6597510373443984,1.8672199170124482,Average,3,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3523,7,Division I,richardjdaleycollege,Aidan Dilosa,,,,Wing,,,13,2.1574999999999998,1.7,2.45,3,4.6923076923076925,1.6153846153846154,0.38461538461538464,1.2307692307692308,1.0,0.07692307692307693,1.3076923076923077,4.230769230769231,2.8461538461538463,0.46153846153846156,0.6923076923076923,0.9230769230769231,0.529146426092991,0.5181818181818182,82.83541553503531,0.07520424836601307,0.3125,0.21727322107550245,0.35135135135135137,0.6727272727272727,0.10909090909090909,1.7718715393133997,1.550387596899225,2.3255813953488373,1.8826135105204873,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3775,8,Division I,richardjdaleycollege,David Crittle,,,,Wing,,,13,2.0999999999999996,1.9,2.0,3,3.6923076923076925,2.0,0.15384615384615385,0.6923076923076923,0.38461538461538464,0.07692307692307693,1.0769230769230769,3.4615384615384617,2.3076923076923075,0.7692307692307693,0.5384615384615384,1.4615384615384615,0.4858299595141701,0.4444444444444444,82.19178082191782,0.05964052287581699,0.2222222222222222,0.1541095890410959,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.9966777408637874,0.6644518272425249,2.8792912513842746,1.550387596899225,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3837,9,Division I,richardjdaleycollege,Daveon Turner,,,,Wing,,,13,2.075,1.85,2.0,3,4.0,1.4615384615384615,3.076923076923077,2.4615384615384617,0.6153846153846154,0.07692307692307693,1.2307692307692308,4.384615384615385,1.0769230769230769,2.076923076923077,0.3076923076923077,1.1538461538461537,0.37746806039488967,0.2807017543859649,51.54639175257732,0.10302287581699346,1.25,0.3172085646312451,0.14285714285714285,0.24561403508771928,0.47368421052631576,3.5437430786267994,0.9966777408637874,2.104097452934662,1.7718715393133997,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Unknown
3961,10,Division I,richardjdaleycollege,Cyrus Jones,,,,Wing,,,8,2.05,1.8,2.0,3,0.5,0.125,0.0,0.125,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.125,0.5154639175257733,0.3333333333333333,81.9672131147541,0.008361318621067782,0.0,0.20491803278688525,,0.0,0.6666666666666666,0.1885014137606032,0.0,0.1885014137606032,0.0,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
