MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
109,1,Division I,santafecollege,Tre Dubois,,,,Wing,,,13,3.715,4.5,2.9000000000000004,3,14.846153846153847,5.3076923076923075,1.6923076923076923,0.7692307692307693,1.3846153846153846,0.23076923076923078,1.4615384615384615,10.615384615384615,5.461538461538462,2.076923076923077,1.7692307692307692,3.5384615384615383,0.6438484120629837,0.6231884057971014,120.71553665248938,0.13452024366438933,2.2,0.06254691018263699,0.4788732394366197,0.5144927536231884,0.1956521739130435,0.9596928982725528,2.015355086372361,6.621880998080615,1.8234165067178503,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
320,2,Division I,santafecollege,Palmer Walton,,,,Wing,,,13,3.4000000000000004,4.5,2.0,3,9.0,2.230769230769231,1.1538461538461537,0.46153846153846156,0.6923076923076923,0.15384615384615385,1.3076923076923077,6.153846153846154,5.230769230769231,1.3846153846153846,0.46153846153846156,1.7692307692307692,0.6653776160145587,0.65,124.57410562180578,0.07902265001851042,2.5,0.06388415672913117,0.4411764705882353,0.85,0.225,0.5758157389635317,1.055662188099808,2.783109404990403,1.6314779270633397,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
421,3,Division I,santafecollege,Alex Pierre-Louis,,,,Wing,,,13,3.3150000000000004,3.7,2.9000000000000004,3,12.23076923076923,4.0,1.3076923076923077,0.5384615384615384,1.3846153846153846,0.38461538461538464,0.8461538461538461,10.615384615384615,5.076923076923077,0.38461538461538464,1.5384615384615385,2.4615384615384617,0.5670470756062768,0.5652173913043478,108.0163043478261,0.12385151280584256,2.4285714285714284,0.04755434782608696,0.3939393939393939,0.4782608695652174,0.036231884057971016,0.6717850287907869,2.2072936660268714,4.990403071017274,1.055662188099808,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
487,4,Division I,santafecollege,Moses Horne,,,,Wing,,,13,3.2700000000000005,3.4000000000000004,3.2,3,13.23076923076923,6.3076923076923075,2.5384615384615383,0.9230769230769231,1.3076923076923077,0.38461538461538464,1.6923076923076923,11.538461538461538,5.461538461538462,2.076923076923077,2.5384615384615383,3.769230769230769,0.5312577217692118,0.5033333333333333,98.91879457096849,0.14629959950190152,2.75,0.06901311249137336,0.352112676056338,0.47333333333333333,0.18,1.1516314779270633,2.111324376199616,7.869481765834933,2.111324376199616,Average,3,Below Average,2,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
1141,5,Division I,santafecollege,Joel Harrison,,,,Wing,,,12,2.9000000000000004,3.5000000000000004,2.0,3,7.666666666666667,2.4166666666666665,3.25,1.5833333333333333,0.5833333333333334,0.08333333333333333,1.0833333333333333,4.25,2.0,2.0833333333333335,0.4166666666666667,2.0,0.7419354838709677,0.7254901960784313,113.58024691358025,0.0731337354183972,2.0526315789473686,0.2345679012345679,0.5,0.47058823529411764,0.49019607843137253,1.961796592669076,0.8260196179659267,2.994321115126484,1.342281879194631,Elite,5,Poor,1,Very Good,4,Elite,5,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1288,6,Division I,santafecollege,Jermichael Johnson,,,,Wing,,,13,2.8400000000000007,2.7500000000000004,2.9000000000000004,3,7.384615384615385,1.6153846153846154,1.6923076923076923,1.2307692307692308,1.2307692307692308,0.46153846153846156,1.1538461538461537,4.923076923076923,0.8461538461538461,3.6153846153846154,0.8461538461538461,0.7692307692307693,0.5668398677373642,0.484375,95.35160905840286,0.08471039612290918,1.375,0.15891934843067143,0.18181818181818182,0.171875,0.734375,1.5355086372360844,2.111324376199616,2.015355086372361,1.4395393474088292,Average,3,Poor,1,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1555,7,Division I,santafecollege,Harvey Wilson,,,,Wing,,,13,2.74,2.5500000000000003,2.9000000000000004,3,6.230769230769231,4.615384615384615,0.6153846153846154,1.0769230769230769,0.8461538461538461,1.0769230769230769,1.0769230769230769,4.3076923076923075,0.23076923076923078,2.076923076923077,0.9230769230769231,3.6923076923076925,0.5966411314083677,0.5803571428571429,98.92525647288716,0.06889240399824992,0.5714285714285714,0.17098192476795313,0.3333333333333333,0.05357142857142857,0.48214285714285715,1.3435700575815739,2.399232245681382,5.758157389635317,1.3435700575815739,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2178,8,Division I,santafecollege,Guy Twitty,,,,Wing,,,13,2.5075000000000003,2.4000000000000004,2.45,3,6.769230769230769,3.230769230769231,1.2307692307692308,0.8461538461538461,1.1538461538461537,0.0,0.7692307692307693,5.384615384615385,3.4615384615384617,2.6923076923076925,1.0769230769230769,2.1538461538461537,0.5152224824355972,0.44285714285714284,91.2863070539419,0.08110927876686973,1.4545454545454546,0.11410788381742738,0.2222222222222222,0.6428571428571429,0.5,1.055662188099808,1.4395393474088292,4.030710172744722,0.9596928982725528,Below Average,2,Poor,1,Poor,1,Average,3,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2329,9,Division I,santafecollege,Jahari Simmons,,,,Wing,,,13,2.4575000000000005,2.3000000000000007,2.45,3,7.230769230769231,2.076923076923077,5.153846153846154,1.6153846153846154,1.2307692307692308,0.23076923076923078,1.6153846153846154,6.769230769230769,3.6923076923076925,1.3076923076923077,0.3076923076923077,1.7692307692307692,0.4922496857980729,0.4715909090909091,80.70054945054945,0.0980042405681015,3.1904761904761907,0.18028846153846154,0.3125,0.5454545454545454,0.19318181818181818,2.015355086372361,1.8234165067178503,2.5911708253358925,2.015355086372361,Below Average,2,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Very Good,4,Elite,5,Average,3,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2401,10,Division I,santafecollege,Cornelius White,,,,Wing,,,7,2.4499999999999997,2.5999999999999996,2.0,3,4.428571428571429,3.4285714285714284,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1.2857142857142858,3.857142857142857,0.7142857142857143,1.5714285714285714,1.5714285714285714,1.8571428571428572,0.48680904522613067,0.42592592592592593,94.39707673568817,0.04822603383458648,2.0,0.03045066991473812,0.2,0.18518518518518517,0.4074074074074074,0.16906170752324598,0.8453085376162299,4.057480980557903,1.521555367709214,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
