MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
356,1,Division I,sewardcounty,Antonio Williams Jr,,,,Wing,,,14,3.2824999999999998,3.95,2.45,3,14.071428571428571,2.142857142857143,1.2857142857142858,1.4285714285714286,1.1428571428571428,0.21428571428571427,1.8571428571428572,8.357142857142858,4.357142857142857,6.071428571428571,0.07142857142857142,2.0714285714285716,0.6379533678756476,0.5341880341880342,112.95871559633026,0.14242780608911534,0.9,0.1146788990825688,0.3442622950819672,0.5213675213675214,0.7264957264957265,1.8058690744920993,1.7155756207674944,2.708803611738149,2.3476297968397293,Elite,5,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
736,2,Division I,sewardcounty,Lyna Brooks Jr,,,,Wing,,,14,3.0,3.7,2.0,3,11.357142857142858,3.4285714285714284,0.9285714285714286,1.3571428571428572,0.8571428571428571,0.14285714285714285,1.5,7.714285714285714,3.7857142857142856,3.7857142857142856,0.7142857142857143,2.7142857142857144,0.6053914102954615,0.5694444444444444,105.77434805747738,0.12276231543185676,0.6842105263157895,0.1263970196913252,0.4339622641509434,0.49074074074074076,0.49074074074074076,1.7155756207674944,1.2641083521444696,4.334085778781039,1.8961625282167043,Elite,5,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
766,3,Division I,sewardcounty,Awit Mamer,,,,Wing,,,14,2.9800000000000004,2.4000000000000004,3.8,3,6.214285714285714,3.7142857142857144,2.0714285714285716,2.0,2.5,0.35714285714285715,1.8571428571428572,4.785714285714286,2.5,0.9285714285714286,0.6428571428571429,3.0714285714285716,0.5981848184818482,0.5746268656716418,86.3780778395552,0.08225532470926432,1.0357142857142858,0.2779984114376489,0.37142857142857144,0.5223880597014925,0.19402985074626866,2.528216704288939,3.6117381489841986,4.6952595936794586,2.3476297968397293,Very Good,4,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
1010,4,Division I,sewardcounty,Lucas N'Gombo,,,,Wing,,,14,2.8550000000000004,3.2,2.3,3,12.857142857142858,5.857142857142857,0.7142857142857143,2.0,0.6428571428571429,0.2857142857142857,1.9285714285714286,7.5,0.42857142857142855,5.785714285714286,2.2857142857142856,3.5714285714285716,0.6399317406143346,0.5952380952380952,106.73624288425049,0.13772376845681428,0.35714285714285715,0.16603415559772297,0.16666666666666666,0.05714285714285714,0.7714285714285715,2.528216704288939,1.1738148984198646,7.404063205417607,2.4379232505643342,Elite,5,Below Average,2,Average,3,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1724,5,Division I,sewardcounty,Brevyn Coleman,,,,Wing,,,14,2.55,2.8000000000000003,2.0,3,3.2857142857142856,1.4285714285714286,0.42857142857142855,0.6428571428571429,0.7142857142857143,0.0,1.8571428571428572,1.9285714285714286,1.5714285714285714,1.7142857142857142,0.5714285714285714,0.8571428571428571,0.612353567625133,0.5740740740740741,98.79725085910653,0.03802430419443355,0.6666666666666666,0.19329896907216493,0.4090909090909091,0.8148148148148148,0.8888888888888888,0.8126410835214447,0.9029345372460497,1.8058690744920993,2.3476297968397293,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1875,6,Division I,sewardcounty,RJ McKinnie,,,,Wing,,,14,2.4825,2.35,2.45,3,7.5,3.0,3.5714285714285716,2.0714285714285716,1.2142857142857142,0.0,1.0714285714285714,5.357142857142857,1.4285714285714286,3.857142857142857,1.0714285714285714,1.9285714285714286,0.531591737545565,0.4666666666666667,82.18534752661239,0.10433816803867763,1.7241379310344827,0.22698810269254852,0.2,0.26666666666666666,0.72,2.618510158013544,1.5349887133182845,3.7923250564334086,1.3544018058690745,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1902,7,Division I,sewardcounty,Korbin Dowdell,,,,Wing,,,14,2.4749999999999996,2.65,2.0,3,5.428571428571429,1.4285714285714286,1.2857142857142858,0.8571428571428571,0.6428571428571429,0.14285714285714285,1.6428571428571428,4.285714285714286,1.7142857142857142,1.4285714285714286,0.5,0.9285714285714286,0.5523255813953488,0.525,94.05940594059406,0.06598719456422317,1.5,0.1485148514851485,0.375,0.4,0.3333333333333333,1.0835214446952597,0.9932279909706546,1.8058690744920993,2.0767494356659144,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2025,8,Division I,sewardcounty,JJ Chapman,,,,Wing,,,12,2.4400000000000004,1.9500000000000002,2.9000000000000004,3,4.583333333333333,3.6666666666666665,0.5833333333333334,1.0,0.75,0.8333333333333334,1.8333333333333333,3.8333333333333335,0.0,1.75,1.4166666666666667,2.25,0.49782766111513393,0.4782608695652174,81.7965496728138,0.0662802618090056,0.5833333333333334,0.1784651992861392,,0.0,0.45652173913043476,1.319406267179769,2.0890599230346343,4.837822979659153,2.4189114898295765,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2607,9,Division I,sewardcounty,Yanceeh Fleret,,,,Wing,,,12,2.25,2.2,2.0,3,1.3333333333333333,1.5,0.25,0.75,0.08333333333333333,0.08333333333333333,0.75,1.0,0.25,0.16666666666666666,0.4166666666666667,1.0833333333333333,0.6211180124223602,0.625,73.12614259597805,0.021355508706176314,0.3333333333333333,0.41133455210237657,0.3333333333333333,0.25,0.16666666666666666,0.977729494839761,0.21727322107550245,1.955458989679522,0.977729494839761,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2751,10,Division I,sewardcounty,Brooks Powers,,,,Wing,,,14,2.2,2.1,2.0,3,2.4285714285714284,1.9285714285714286,2.9285714285714284,1.7857142857142858,0.8571428571428571,0.07142857142857142,2.0,1.7142857142857142,0.7857142857142857,1.5714285714285714,0.35714285714285715,1.5714285714285714,0.504750593824228,0.3958333333333333,57.94137695978187,0.04792238337906702,1.64,0.42603953646898435,0.2727272727272727,0.4583333333333333,0.9166666666666666,2.2573363431151243,1.1738148984198646,2.4379232505643342,2.528216704288939,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
