MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
93,1,Division I,snowcollege,McCaden Adams,4,,SG,Guard,6'4,,20,3.7775000000000003,4.4,2.45,5,18.9,4.4,2.7,1.85,1.45,0.05,2.0,12.0,5.5,6.65,0.6,3.8,0.6331234088168297,0.56875,112.6609442060086,0.1869608826479438,1.4594594594594594,0.11027658559847402,0.4090909090909091,0.4583333333333333,0.5541666666666667,2.4302134646962235,1.9704433497536946,5.779967159277504,2.6272577996715927,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite
121,2,Division I,snowcollege,Brock McClure,23,,G,Guard,6'6,,19,3.7075,4.05,2.8,5,14.894736842105264,8.68421052631579,1.3157894736842106,1.1578947368421053,0.42105263157894735,0.2631578947368421,1.736842105263158,10.263157894736842,4.052631578947368,3.8947368421052633,3.0,5.684210526315789,0.6218140270697838,0.5820512820512821,113.39958326654913,0.14597225146814533,1.1363636363636365,0.08815515306940215,0.42857142857142855,0.39487179487179486,0.37948717948717947,1.5156734412676542,0.8956252152945229,11.367550809507406,2.273510161901481,Elite,5,Below Average,2,Elite,5,Below Average,2,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite
161,3,Division I,snowcollege,Blake Bahr,0,,PG,Guard,6'2,,17,3.6174999999999997,4.1,2.75,4,6.823529411764706,1.8823529411764706,2.4705882352941178,0.7647058823529411,1.1176470588235294,0.11764705882352941,1.4705882352941178,4.411764705882353,1.1764705882352942,1.3529411764705883,0.47058823529411764,1.411764705882353,0.681390977443609,0.6333333333333333,118.22258459029759,0.06464449480841196,3.230769230769231,0.13249082755809213,0.35,0.26666666666666666,0.30666666666666664,0.9973149213655543,1.6110471806674338,2.4549290372075183,1.9179133103183736,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Very Good
243,4,Division I,snowcollege,Sean Felts,22,,C,Big,6'11,,18,3.4850000000000003,4.3,2.0,5,13.666666666666666,6.611111111111111,1.3333333333333333,1.2222222222222223,0.5,1.0555555555555556,1.8888888888888888,8.88888888888889,0.5,2.388888888888889,2.2222222222222223,4.388888888888889,0.6874580818242789,0.684375,122.43679076249252,0.12410742964445434,1.0909090909090908,0.10949631694206649,0.5555555555555556,0.05625,0.26875,1.5953589557650472,2.030456852791878,8.629441624365482,2.4655547498187094,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
543,5,Division I,snowcollege,Keagan Caton,14,,SF,Wing,6'5,,15,3.2250000000000005,4.15,2.0,3,6.933333333333334,2.6666666666666665,1.1333333333333333,0.6,0.4,0.26666666666666666,1.2666666666666666,5.2,3.066666666666667,1.2,0.8666666666666667,1.8,0.6052141527001862,0.5769230769230769,109.56595027391488,0.07086120401337792,1.8888888888888888,0.09481668773704172,0.391304347826087,0.5897435897435898,0.23076923076923078,0.7856831078131821,0.8729812309035355,3.491924923614142,1.6586643387167177,Elite,5,Poor,1,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Average
1388,6,Division I,snowcollege,Aaron Bliss,30,,F,Big,6'11,,18,2.8100000000000005,2.8000000000000003,2.0,5,7.555555555555555,5.888888888888889,1.9444444444444444,0.9444444444444444,1.1111111111111112,0.5,2.0555555555555554,5.833333333333333,0.5555555555555556,1.7777777777777777,2.611111111111111,3.2777777777777777,0.5710446758481693,0.5523809523809524,99.94121105232217,0.0845974038891928,2.0588235294117645,0.12492651381540272,0.2,0.09523809523809523,0.3047619047619048,1.2354651162790697,2.1075581395348837,7.703488372093023,2.688953488372093,Average,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Elite
1394,7,Division I,snowcollege,Bron Roberts,33,,C,Big,7'0,,9,2.8075,3.1500000000000004,1.6,5,7.888888888888889,4.333333333333333,0.4444444444444444,1.2222222222222223,0.2222222222222222,0.7777777777777778,1.7777777777777777,5.777777777777778,2.6666666666666665,1.7777777777777777,1.5555555555555556,2.7777777777777777,0.6012872628726287,0.5961538461538461,101.37064534551686,0.08173076923076923,0.36363636363636365,0.1570531125071388,0.4166666666666667,0.46153846153846156,0.3076923076923077,1.5395381385584326,1.2596221133659902,5.4583624912526245,2.239328201539538,Very Good,4,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Elite
1615,8,Division I,snowcollege,James Rust,34,,G,Guard,6'6,,15,2.7275,2.6500000000000004,2.2,5,1.8666666666666667,2.066666666666667,1.0,0.26666666666666666,0.4,0.06666666666666667,1.0666666666666667,1.5333333333333334,0.8666666666666667,0.7333333333333333,0.7333333333333333,1.3333333333333333,0.5028735632183908,0.5434782608695652,87.93969849246231,0.023769708552317245,3.75,0.12562814070351758,0.38461538461538464,0.5652173913043478,0.4782608695652174,0.34919249236141425,0.6110868616324749,2.7062418158009605,1.396769969445657,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Elite
2405,9,Division I,snowcollege,Kyle Lemke,32,,C,Big,6'8,,14,2.4625000000000004,3.05,1.6,3,7.214285714285714,3.0,1.0,0.42857142857142855,0.2857142857142857,0.6428571428571429,2.0714285714285716,5.571428571428571,0.0,1.3571428571428572,1.1428571428571428,1.8571428571428572,0.5847614636405744,0.5769230769230769,109.35469900389779,0.07357955450750454,2.3333333333333335,0.06496318752706799,,0.0,0.24358974358974358,0.5681818181818182,1.231060606060606,3.977272727272727,2.746212121212121,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Average
2657,10,Division I,snowcollege,Jackson Rose,21,,C,Big,6'8,,9,2.395,2.9,1.6,3,1.8888888888888888,1.2222222222222223,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,1.5555555555555556,0.0,0.2222222222222222,1.0,0.2222222222222222,0.5712365591397849,0.5714285714285714,107.0528967254408,0.019108586830958802,2.0,0.06297229219143577,,0.0,0.14285714285714285,0.14347202295552366,0.430416068866571,1.5781922525107603,0.28694404591104733,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Average
3529,11,Division I,snowcollege,Sam Sivulich,10,,PG,Guard,6'0,,19,2.1525,2.35,1.6,3,8.210526315789474,2.3684210526315788,4.421052631578948,2.0,1.1578947368421053,0.0,2.4210526315789473,7.421052631578948,3.473684210526316,1.263157894736842,0.3157894736842105,2.0526315789473686,0.5146476642913698,0.5106382978723404,82.29584300485334,0.11142460793303707,2.210526315789474,0.2004642329605402,0.36363636363636365,0.46808510638297873,0.1702127659574468,2.647161267850923,1.5325670498084292,3.134796238244514,3.20445837687217,Below Average,2,Poor,1,Poor,1,Very Good,4,Below Average,2,Very Good,4,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Average,3,Elite,5,Average
4489,12,Division I,snowcollege,Max Toombs,5,,CG,Big,6'3,,14,1.8025,2.25,1.6,1,6.857142857142857,1.9285714285714286,1.2857142857142858,0.7857142857142857,0.6428571428571429,0.07142857142857142,1.5714285714285714,5.5,2.5714285714285716,1.8571428571428572,0.6428571428571429,1.2857142857142858,0.5427408412483039,0.5,96.54062751407885,0.07916441104353088,1.6363636363636365,0.11061946902654868,0.3611111111111111,0.4675324675324675,0.33766233766233766,1.0246856078248718,0.9315323707498836,2.5151374010246856,2.0493712156497437,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Poor
