MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
260,1,Division I,southernunionstatecommunitycollege,Don Tinsley,,,,Wing,,,16,3.4799999999999995,3.4,3.8,3,18.5,4.625,3.0625,2.9375,2.5625,0.125,1.8125,12.375,2.375,7.625,0.5625,4.0625,0.5880483153210426,0.5303030303030303,99.10271862863264,0.2161903934682533,1.0425531914893618,0.15735904647113969,0.42105263157894735,0.1919191919191919,0.6161616161616161,3.669008587041374,3.356752537080406,5.776736924277908,2.263856362217018,Very Good,4,Very Good,4,Below Average,2,Below Average,2,Average,3,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Elite,5,Average,3,Unknown
359,2,Division I,southernunionstatecommunitycollege,Isaiah Dennis,,,,Wing,,,17,3.37,4.3,2.2,3,17.823529411764707,1.6470588235294117,1.411764705882353,1.1764705882352942,1.411764705882353,0.17647058823529413,2.4705882352941178,13.529411764705882,8.705882352941176,4.0588235294117645,0.23529411764705882,1.411764705882353,0.5818866185281917,0.532608695652174,108.07533171636467,0.19151319744248319,1.2,0.07133685261806248,0.3716216216216216,0.6434782608695652,0.3,1.4689680499449136,1.9831068674256336,2.056555269922879,3.0848329048843186,Very Good,4,Very Good,4,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
471,3,Division I,southernunionstatecommunitycollege,Khalon Johnson,,,,Wing,,,16,3.2750000000000004,4.25,2.0,3,18.375,4.125,4.125,2.25,0.8125,0.0,2.375,12.375,4.125,5.75,1.0,3.125,0.6164038913116404,0.5681818181818182,107.11162926260565,0.1986739627667275,1.8333333333333333,0.1311570970562518,0.3787878787878788,0.3333333333333333,0.46464646464646464,2.810304449648712,1.014832162373146,5.152224824355972,2.966432474629196,Elite,5,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
995,4,Division I,southernunionstatecommunitycollege,Avery Osyczka,,,,Wing,,,16,2.9750000000000005,3.6500000000000004,2.0,3,2.1875,1.625,0.1875,0.25,0.125,0.0,1.1875,1.3125,0.0,0.625,0.375,1.25,0.6889763779527559,0.6666666666666666,119.04761904761905,0.02124093286709245,0.75,0.1360544217687075,,0.0,0.47619047619047616,0.31189083820662766,0.15594541910331383,2.02729044834308,1.4814814814814814,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1292,5,Division I,southernunionstatecommunitycollege,Trevon Palmer,,,,Wing,,,12,2.8499999999999996,3.3999999999999995,2.0,3,5.666666666666667,3.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.08333333333333333,1.5833333333333333,3.3333333333333335,0.25,2.3333333333333335,0.8333333333333334,2.1666666666666665,0.6498470948012233,0.675,109.11424903722721,0.05966833901420858,1.0,0.16046213093709885,0.0,0.075,0.7,1.0330578512396693,0.30991735537190085,3.71900826446281,1.962809917355372,Elite,5,Poor,1,Very Good,4,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2147,6,Division I,southernunionstatecommunitycollege,Jackson McDonald,,,,Wing,,,15,2.5324999999999998,2.45,2.45,3,4.2,1.5333333333333334,2.933333333333333,1.0666666666666667,1.1333333333333333,0.2,1.0666666666666667,3.2666666666666666,1.4,1.2,0.2,1.3333333333333333,0.5534082923401265,0.5102040816326531,86.3960504662644,0.05663249456352905,2.75,0.21941854086670323,0.38095238095238093,0.42857142857142855,0.3673469387755102,1.341156747694887,1.6764459346186085,1.9279128248114,1.341156747694887,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2390,7,Division I,southernunionstatecommunitycollege,Evan Coates,,,,Wing,,,16,2.4699999999999998,1.8,3.2,3,2.625,6.375,3.0625,1.4375,0.625,1.3125,2.375,3.25,0.625,0.625,1.5625,4.8125,0.3723404255319149,0.3557692307692308,52.896725440806044,0.0574712643678161,2.130434782608696,0.2896725440806045,0.3,0.19230769230769232,0.19230769230769232,1.795472287275566,2.419984387197502,7.962529274004684,2.966432474629196,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Average,3,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
3008,8,Division I,southernunionstatecommunitycollege,Lyle Robinson,,,,Wing,,,11,2.3,2.3,2.0,3,2.272727272727273,2.090909090909091,1.2727272727272727,0.6363636363636364,0.36363636363636365,0.36363636363636365,2.0,2.8181818181818183,0.18181818181818182,1.0,0.7272727272727273,1.3636363636363635,0.3487723214285714,0.3548387096774194,58.356676003734826,0.044595269820119916,2.0,0.1633986928104575,0.0,0.06451612903225806,0.3548387096774194,0.7941009642654566,0.9075439591605219,2.6091888825865004,2.495745887691435,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3193,9,Division I,southernunionstatecommunitycollege,Dakari Francis,,,,Wing,,,7,2.25,2.2,2.0,3,3.142857142857143,0.7142857142857143,0.7142857142857143,1.2857142857142858,0.5714285714285714,0.0,0.7142857142857143,2.4285714285714284,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.6004366812227074,0.6176470588235294,80.52708638360176,0.043069743977803006,0.5555555555555556,0.3294289897510981,1.0,0.058823529411764705,0.17647058823529413,1.5437392795883362,0.6861063464837049,0.8576329331046312,0.8576329331046312,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3283,10,Division I,southernunionstatecommunitycollege,Dash Thomas,,,,Wing,,,16,2.2249999999999996,2.15,2.0,3,6.4375,1.3125,0.625,0.8125,0.625,0.0,0.625,5.25,2.0,2.125,0.25,1.0625,0.5204122877930476,0.44047619047619047,91.99714183637012,0.08187801667397981,0.7692307692307693,0.11611289746337977,0.25,0.38095238095238093,0.40476190476190477,1.0220125786163523,0.7861635220125787,1.650943396226415,0.7861635220125787,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3582,11,Division I,southernunionstatecommunitycollege,Darrell Stewart,,,,Wing,,,9,2.15,2.0,2.0,3,0.8888888888888888,1.5555555555555556,1.1111111111111112,0.3333333333333333,0.4444444444444444,0.0,1.2222222222222223,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.37593984962406013,0.25,58.651026392961874,0.017291212413163632,3.3333333333333335,0.21994134897360704,0.0,0.25,0.75,0.4135079255685734,0.5513439007580979,1.9297036526533424,1.516195727084769,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3768,12,Division I,southernunionstatecommunitycollege,Jaevyn Yancey,,,,Wing,,,15,2.0999999999999996,1.9,2.0,3,2.466666666666667,2.3333333333333335,0.6,0.6,0.3333333333333333,0.4666666666666667,1.4,2.933333333333333,0.13333333333333333,0.6666666666666666,0.8,1.5333333333333334,0.3822314049586777,0.38636363636363635,64.45993031358886,0.044579061820441135,1.0,0.15679442508710803,0.0,0.045454545454545456,0.22727272727272727,0.7544006705783739,1.0058675607711651,2.933780385582565,1.760268231349539,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4209,13,Division I,southernunionstatecommunitycollege,Ke'Von Walker,,,,Wing,,,12,1.95,1.6,2.0,3,1.3333333333333333,1.9166666666666667,0.25,0.8333333333333334,0.25,0.3333333333333333,1.0833333333333333,1.5833333333333333,0.16666666666666666,0.5,0.75,1.1666666666666667,0.36968576709796674,0.3157894736842105,50.56890012642225,0.030683889987974708,0.3,0.31605562579013907,0.0,0.10526315789473684,0.3157894736842105,1.0471204188481675,0.7329842931937173,2.4083769633507854,1.361256544502618,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
