MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
503,1,Division I,southernuniversityshreveport,Kevin Kirk,,,,Wing,,,16,3.255,2.95,3.8,3,12.1875,3.125,1.3125,1.375,2.3125,0.5625,0.9375,10.3125,6.75,1.5,0.75,2.375,0.5553656869446343,0.5424242424242425,98.70419113180806,0.14557726884192532,0.9545454545454546,0.11135857461024498,0.39814814814814814,0.6545454545454545,0.14545454545454545,1.9031141868512111,3.9792387543252596,4.325259515570934,1.2975778546712802,Average,3,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Very Good,4,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
811,2,Division I,southernuniversityshreveport,Kalvin Vengeto,,,,Wing,,,16,3.0650000000000004,2.1500000000000004,4.4,3,9.0625,7.4375,0.6875,1.75,1.625,1.1875,1.25,6.9375,0.3125,2.75,3.25,4.1875,0.5561521939245166,0.5225225225225225,91.56352614296539,0.11669172045863178,0.39285714285714285,0.1768123263450366,0.0,0.04504504504504504,0.3963963963963964,2.422145328719723,3.8927335640138407,10.294117647058824,1.7301038062283738,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Unknown
1528,3,Division I,southernuniversityshreveport,Andre Thomas,,,,Wing,,,13,2.755,1.95,3.8,3,9.846153846153847,4.846153846153846,1.2307692307692308,2.1538461538461537,1.3846153846153846,1.8461538461538463,0.5384615384615384,8.923076923076923,4.538461538461538,1.6153846153846154,1.0769230769230769,3.769230769230769,0.5110188438198658,0.5,83.52910467240929,0.14019615018663545,0.5714285714285714,0.1827199164708953,0.3050847457627119,0.5086206896551724,0.1810344827586207,3.007518796992481,4.511278195488722,6.7669172932330826,0.7518796992481203,Below Average,2,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Average,3,Average,3,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
1958,4,Division I,southernuniversityshreveport,Joshua Stephens,,,,Wing,,,15,2.5999999999999996,2.8999999999999995,2.0,3,3.7333333333333334,3.1333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.2,0.6666666666666666,2.7333333333333334,0.26666666666666666,1.7333333333333334,1.6,1.5333333333333334,0.5339435545385203,0.5121951219512195,97.49303621169916,0.04513310494389792,1.0,0.08704735376044569,0.0,0.0975609756097561,0.6341463414634146,0.4612546125461255,1.014760147601476,4.3357933579335795,0.922509225092251,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2662,5,Division I,southernuniversityshreveport,Tayshaun Gilchrist,,,,Wing,,,15,2.39,1.85,2.9000000000000004,3,9.333333333333334,3.466666666666667,3.2,3.3333333333333335,1.5333333333333334,0.0,0.8666666666666667,10.0,3.3333333333333335,4.333333333333333,1.0666666666666667,2.4,0.3919372900335946,0.31333333333333335,61.24234470691164,0.17962095734984443,0.96,0.21872265966754156,0.16,0.3333333333333333,0.43333333333333335,4.612546125461255,2.121771217712177,4.797047970479705,1.1992619926199262,Poor,1,Average,3,Poor,1,Below Average,2,Poor,1,Poor,1,Very Good,4,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Below Average,2,Unknown
2738,6,Division I,southernuniversityshreveport,Dayton Foster,,,,Wing,,,15,2.365,1.8,2.9000000000000004,3,3.8666666666666667,2.8,2.4,1.8666666666666667,1.4,0.06666666666666667,0.6,3.8,0.4666666666666667,1.3333333333333333,0.9333333333333333,1.8666666666666667,0.4407294832826748,0.42105263157894735,61.833688699360344,0.07370273753025113,1.2857142857142858,0.2985074626865672,0.2857142857142857,0.12280701754385964,0.3508771929824561,2.5830258302583027,2.029520295202952,3.874538745387454,0.8302583025830258,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2768,7,Division I,southernuniversityshreveport,Jeremy Bargky,,,,Wing,,,15,2.35,2.4000000000000004,2.0,3,7.733333333333333,1.6,0.5333333333333333,0.8666666666666667,0.7333333333333333,0.13333333333333333,0.5333333333333333,7.4,5.866666666666666,0.6666666666666666,0.3333333333333333,1.2666666666666666,0.5025996533795494,0.5,90.34267912772586,0.10088946160857405,0.6153846153846154,0.10124610591900311,0.3522727272727273,0.7927927927927928,0.09009009009009009,1.1992619926199262,1.1992619926199262,2.2140221402214024,0.7380073800738007,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2972,8,Division I,southernuniversityshreveport,Eric Ballo,,,,Wing,,,14,2.3,2.3000000000000003,2.0,3,2.857142857142857,2.0,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.7142857142857143,0.35714285714285715,2.142857142857143,0.14285714285714285,0.5,1.2142857142857142,0.7857142857142857,0.6045949214026602,0.6333333333333333,92.85051067780873,0.03616156868011954,0.1,0.23212627669452182,0.0,0.06666666666666667,0.23333333333333334,0.991571641051066,1.2890431333663857,2.7764005949429844,0.495785820525533,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3053,9,Division I,southernuniversityshreveport,Shontez Anderson,,,,Wing,,,16,2.2824999999999998,1.95,2.45,3,5.9375,4.625,0.9375,1.375,0.625,0.625,1.0,6.8125,1.1875,2.0625,2.0625,2.5625,0.3845531088082902,0.3440366972477064,65.28312259483234,0.1072302296106346,0.6818181818181818,0.15118196811434856,0.05263157894736842,0.1743119266055046,0.30275229357798167,1.9031141868512111,1.7301038062283738,6.401384083044983,1.3840830449826989,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3147,10,Division I,southernuniversityshreveport,Kareem Washington,,,,Wing,,,15,2.25,2.2,2.0,3,2.0,0.8,0.8666666666666667,0.5333333333333333,0.4,0.13333333333333333,0.2,2.2,0.7333333333333333,1.0666666666666667,0.2,0.6,0.37462537462537465,0.25757575757575757,62.44796003330558,0.03758292652397045,1.625,0.16652789342214822,0.09090909090909091,0.3333333333333333,0.48484848484848486,0.7369875633348687,0.7369875633348687,1.105481345002303,0.2763703362505758,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
