MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
179,1,Division I,southgeorgiastatecollege,Chandler Thomas,,,,Wing,,,13,3.5025000000000004,3.1999999999999997,4.15,3,17.0,7.076923076923077,2.8461538461538463,2.3846153846153846,3.0,0.15384615384615385,2.4615384615384617,12.076923076923077,1.3846153846153846,6.769230769230769,2.1538461538461537,4.923076923076923,0.564582055998365,0.4872611464968153,97.4770642201835,0.20228408279800145,1.1935483870967742,0.13673253352152434,0.16666666666666666,0.11464968152866242,0.5605095541401274,3.2359081419624216,4.279749478079332,9.603340292275574,3.3402922755741127,Average,3,Very Good,4,Below Average,2,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Below Average,2,Elite,5,Average,3,Very Good,4,Very Good,4,Unknown
693,2,Division I,southgeorgiastatecollege,Aaron Jones,,,,Wing,,,13,3.0324999999999998,3.4499999999999997,2.45,3,5.230769230769231,4.769230769230769,0.5384615384615384,0.6153846153846154,0.15384615384615385,1.0769230769230769,1.4615384615384615,3.769230769230769,0.0,0.8461538461538461,1.6923076923076923,3.076923076923077,0.6315007429420505,0.6122448979591837,109.96119016817593,0.05517487508922199,0.875,0.129366106080207,,0.0,0.22448979591836735,0.8350730688935282,1.6701461377870563,6.471816283924843,1.9832985386221293,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
836,3,Division I,southgeorgiastatecollege,Steven Barros,,,,Wing,,,9,2.95,3.5999999999999996,2.0,3,1.3333333333333333,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.8888888888888888,0.0,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.6147540983606558,0.5,111.52416356877323,0.0135325485461314,0.0,0.0929368029739777,,0.0,0.5,0.1497005988023952,0.2994011976047904,1.1976047904191616,0.5988023952095808,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1171,4,Division I,southgeorgiastatecollege,Da'Avion Thomas,,,,Wing,,,13,2.785,2.5,3.1,3,7.846153846153846,1.9230769230769231,2.923076923076923,1.5384615384615385,2.1538461538461537,0.07692307692307693,2.4615384615384617,5.846153846153846,1.3846153846153846,3.0,1.0769230769230769,0.8461538461538461,0.5474452554744526,0.46710526315789475,90.13785790031814,0.10096359743040685,1.9,0.17674089784376104,0.16666666666666666,0.23684210526315788,0.5131578947368421,2.0876826722338206,3.0271398747390394,2.6096033402922756,3.3402922755741127,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
1487,5,Division I,southgeorgiastatecollege,Alagi Joof,,,,Wing,,,6,2.6500000000000004,3.0,2.0,3,1.6666666666666667,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6944444444444444,0.7,108.69565217391305,0.01712583767684289,0.5,0.2173913043478261,1.0,0.2,1.0,0.44642857142857145,0.44642857142857145,0.6696428571428571,0.44642857142857145,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1629,6,Division I,southgeorgiastatecollege,Jeremy Anderson,,,,Wing,,,13,2.585,2.8,2.0999999999999996,3,10.461538461538462,7.0,1.0,1.0769230769230769,0.6923076923076923,0.07692307692307693,3.076923076923077,8.76923076923077,0.3076923076923077,1.6153846153846154,2.6153846153846154,4.384615384615385,0.551768906199286,0.5263157894736842,99.09647333139026,0.1224482512491078,0.9285714285714286,0.10201107548819585,0.0,0.03508771929824561,0.18421052631578946,1.4613778705636744,1.0438413361169103,9.498956158663884,4.175365344467641,Average,3,Below Average,2,Below Average,2,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Average,3,Poor,1,Average,3,Average,3,Elite,5,Unknown
1669,7,Division I,southgeorgiastatecollege,Trey Callaway,,,,Wing,,,13,2.5675,1.75,3.55,3,6.538461538461538,2.5384615384615383,3.1538461538461537,2.6923076923076925,2.4615384615384617,0.15384615384615385,2.3076923076923075,6.923076923076923,0.9230769230769231,1.6153846153846154,0.38461538461538464,2.1538461538461537,0.428254735993551,0.40555555555555556,63.319427890345644,0.11977159172019987,1.1714285714285715,0.2607270560190703,0.08333333333333333,0.13333333333333333,0.23333333333333334,3.653444676409186,3.549060542797495,3.4446764091858038,3.1315240083507305,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Poor,1,Elite,5,Poor,1,Very Good,4,Average,3,Unknown
1976,8,Division I,southgeorgiastatecollege,Dominick Wright,,,,Wing,,,13,2.45,2.6,2.0,3,4.6923076923076925,2.076923076923077,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.6923076923076923,4.230769230769231,2.076923076923077,0.6153846153846154,0.38461538461538464,1.6923076923076923,0.5211893369788106,0.5,96.03274559193954,0.05667380442541042,1.2,0.0787153652392947,0.3333333333333333,0.4909090909090909,0.14545454545454545,0.5219206680584552,0.5219206680584552,2.8183716075156577,0.9394572025052192,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2145,9,Division I,southgeorgiastatecollege,Dawson Eaton,,,,Wing,,,13,2.3999999999999995,2.4999999999999996,2.0,3,3.230769230769231,1.3846153846153846,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.23076923076923078,1.3076923076923077,2.1538461538461537,0.38461538461538464,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.666243654822335,0.6428571428571429,101.15606936416187,0.03704496788008565,0.1,0.24084778420038538,0.4,0.17857142857142858,0.2857142857142857,1.0438413361169103,0.5219206680584552,1.8789144050104385,1.7745302713987474,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2311,10,Division I,southgeorgiastatecollege,Matthew Roberts,,,,Wing,,,13,2.3499999999999996,2.4,2.0,3,10.153846153846153,2.5384615384615383,1.9230769230769231,2.076923076923077,0.7692307692307693,0.0,1.5384615384615385,9.461538461538462,4.6923076923076925,2.4615384615384617,1.2307692307692308,1.3076923076923077,0.4814706740589436,0.44715447154471544,80.44856167723061,0.146395431834404,0.9259259259259259,0.1645538761579717,0.39344262295081966,0.4959349593495935,0.2601626016260163,2.8183716075156577,1.0438413361169103,3.4446764091858038,2.0876826722338206,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
