MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
185,1,Division I,southgeorgiatechnicalcollege,Matt Mbole,,,,Wing,,,12,3.5,2.5999999999999996,5.0,3,7.75,9.833333333333334,0.5833333333333334,1.6666666666666667,0.8333333333333334,2.0,1.4166666666666667,4.75,0.3333333333333333,3.0,3.4166666666666665,6.416666666666667,0.6383855024711697,0.631578947368421,100.1723395088324,0.08927266433324359,0.35,0.21542438604049977,0.0,0.07017543859649122,0.631578947368421,2.229654403567447,3.79041248606466,13.154960981047937,1.89520624303233,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Unknown
273,2,Division I,southgeorgiatechnicalcollege,Clark Mastin,,,,Wing,,,13,3.3724999999999996,3.5,3.35,3,10.846153846153847,3.3076923076923075,4.3076923076923075,1.8461538461538463,2.3846153846153846,0.0,1.5384615384615385,7.846153846153846,2.6153846153846154,2.769230769230769,1.2307692307692308,2.076923076923077,0.5982688391038696,0.5882352941176471,99.4077834179357,0.1254643880692071,2.3333333333333335,0.1692047377326565,0.5294117647058824,0.3333333333333333,0.35294117647058826,2.47167868177137,3.192584963954686,4.42842430484037,2.059732234809475,Very Good,4,Below Average,2,Below Average,2,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
805,3,Division I,southgeorgiatechnicalcollege,Jalexs Ewing,,,,Wing,,,13,2.955,3.4000000000000004,2.3,3,19.23076923076923,5.846153846153846,1.6153846153846154,1.3076923076923077,0.5384615384615384,0.23076923076923078,2.0,12.692307692307692,2.076923076923077,10.307692307692308,1.8461538461538463,4.0,0.5581353813180925,0.49696969696969695,103.75166002656042,0.2131408555355058,1.2352941176470589,0.07055112881806108,0.2222222222222222,0.16363636363636364,0.8121212121212121,1.7507723995880535,1.0298661174047374,7.826982492276004,2.677651905252317,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Poor,1,Average,3,Average,3,Elite,5,Average,3,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1854,4,Division I,southgeorgiatechnicalcollege,Marcellus Myles,,,,Wing,,,13,2.5,2.6999999999999997,2.0,3,6.923076923076923,1.6923076923076923,1.0,1.0769230769230769,0.5384615384615384,0.0,1.0769230769230769,5.615384615384615,2.230769230769231,1.7692307692307692,0.38461538461538464,1.3076923076923077,0.541385948026949,0.5136986301369864,92.66886326194398,0.0859073700597955,0.9285714285714286,0.1441515650741351,0.3793103448275862,0.3972602739726027,0.3150684931506849,1.4418125643666324,0.7209062821833162,2.265705458290422,1.4418125643666324,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2571,5,Division I,southgeorgiatechnicalcollege,Frankie Raines,,,,Wing,,,7,2.275,2.25,2.0,3,2.2857142857142856,1.7142857142857142,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,1.7142857142857142,0.8571428571428571,0.14285714285714285,0.5714285714285714,1.1428571428571428,0.6430868167202572,0.6666666666666666,97.32360097323603,0.02753215434083601,0.25,0.24330900243309006,0.6666666666666666,0.5,0.08333333333333333,0.7897334649555775,0.19743336623889438,2.3692003948667324,0.39486673247778875,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2658,6,Division I,southgeorgiatechnicalcollege,Marc Ferdy,,,,Wing,,,11,2.2375,1.6500000000000001,2.75,3,4.2727272727272725,5.7272727272727275,1.0909090909090908,1.8181818181818181,0.7272727272727273,0.36363636363636365,1.6363636363636365,3.8181818181818183,1.0,3.0,1.7272727272727273,4.0,0.4157820240622789,0.3333333333333333,61.4218504966022,0.08222298633198658,0.6,0.26136957658128596,0.18181818181818182,0.2619047619047619,0.7857142857142857,2.4721878862793574,1.4833127317676142,7.787391841779975,2.2249690976514214,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2806,7,Division I,southgeorgiatechnicalcollege,Guillaume Schoentgen,,,,Wing,,,13,2.1999999999999997,2.0999999999999996,2.0,3,6.384615384615385,3.076923076923077,0.8461538461538461,0.9230769230769231,0.15384615384615385,0.23076923076923078,0.8461538461538461,6.076923076923077,3.230769230769231,1.6923076923076923,1.0769230769230769,2.0,0.46797474064050515,0.4177215189873418,82.4394119984108,0.0890563634433712,0.9166666666666666,0.11918951132300357,0.2857142857142857,0.5316455696202531,0.27848101265822783,1.235839340885685,0.5149330587023687,4.11946446961895,1.132852729145211,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3055,8,Division I,southgeorgiatechnicalcollege,Jeremy Nixon,,,,Wing,,,7,2.125,1.9500000000000002,2.0,3,1.2857142857142858,2.5714285714285716,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,3.142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.8571428571428572,0.1966783216783217,0.18181818181818182,37.688442211055275,0.038548459998708595,0.0,0.04187604690117253,0.0,0.3181818181818182,0.09090909090909091,0.1899335232668566,0.949667616334283,3.4188034188034186,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3303,9,Division I,southgeorgiatechnicalcollege,Ilich Yacaman,,,,Wing,,,11,2.05,1.8,2.0,3,4.545454545454546,1.2727272727272727,0.8181818181818182,1.1818181818181819,0.7272727272727273,0.0,0.8181818181818182,5.0,1.6363636363636365,1.6363636363636365,0.18181818181818182,1.0909090909090908,0.39732994278448824,0.34545454545454546,65.85879873551106,0.07795621637162689,0.6923076923076923,0.17123287671232876,0.2222222222222222,0.32727272727272727,0.32727272727272727,1.5559545182525434,0.9575104727707959,1.6756433273488929,1.0771992818671454,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3415,10,Division I,southgeorgiatechnicalcollege,Dwight Brown,,,,Wing,,,13,2.0,1.7000000000000002,2.0,3,6.846153846153846,4.6923076923076925,0.46153846153846156,1.5384615384615385,0.38461538461538464,0.3076923076923077,1.0769230769230769,6.461538461538462,0.8461538461538461,1.6923076923076923,1.8461538461538463,2.8461538461538463,0.47502134927412465,0.4523809523809524,78.28993666432089,0.10055549658564202,0.3,0.17593244194229415,0.36363636363636365,0.13095238095238096,0.2619047619047619,2.059732234809475,0.9268795056642637,6.282183316168898,1.4418125643666324,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Below Average,2,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
