MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
457,1,Division I,southplainscollege,Zion Pipkin,,,,Wing,,,12,3.2250000000000005,4.15,2.0,3,14.666666666666666,2.3333333333333335,4.333333333333333,1.9166666666666667,0.8333333333333334,0.0,1.8333333333333333,10.416666666666666,2.9166666666666665,3.9166666666666665,0.16666666666666666,2.1666666666666665,0.6040637012630422,0.54,104.33957789898031,0.16530772246177972,2.260869565217391,0.13635285748162201,0.4857142857142857,0.28,0.376,2.4757804090419806,1.0764262648008611,3.013993541442411,2.3681377825618943,Elite,5,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
597,2,Division I,southplainscollege,Alexandre K'Medehouto,,,,Wing,,,13,3.1274999999999995,2.8,3.65,3,4.461538461538462,5.3076923076923075,0.3076923076923077,1.0769230769230769,0.6923076923076923,1.3846153846153846,2.3076923076923075,2.6923076923076925,0.0,1.0769230769230769,2.0,3.3076923076923075,0.7045675413022352,0.7428571428571429,105.14865844815084,0.04976004041424601,0.2857142857142857,0.2538071065989848,,0.0,0.4,1.3965087281795512,2.693266832917706,6.882793017456359,2.9925187032418954,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Below Average,2,Elite,5,Elite,5,Unknown
603,3,Division I,southplainscollege,Yohandry Ortiz,,,,Wing,,,11,3.125,3.95,2.0,3,14.181818181818182,2.1818181818181817,0.8181818181818182,1.4545454545454546,0.18181818181818182,0.09090909090909091,1.5454545454545454,10.181818181818182,3.4545454545454546,3.6363636363636362,0.36363636363636365,1.8181818181818181,0.6018518518518519,0.5535714285714286,107.14285714285715,0.15437465541371562,0.5625,0.10989010989010989,0.42105263157894735,0.3392857142857143,0.35714285714285715,1.8658892128279883,0.3498542274052478,2.7988338192419824,1.9825072886297377,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
853,4,Division I,southplainscollege,Antallah Sandlin'el,,,,Wing,,,13,2.9799999999999995,3.4499999999999997,2.3,3,10.846153846153847,5.384615384615385,1.3846153846153846,1.7692307692307692,0.23076923076923078,0.3076923076923077,1.9230769230769231,6.461538461538462,2.3076923076923075,3.6923076923076925,1.2307692307692308,4.153846153846154,0.670662100456621,0.6547619047619048,110.05307524196066,0.11557752679248004,0.782608695652174,0.17951920074929753,0.5333333333333333,0.35714285714285715,0.5714285714285714,2.29426433915212,0.6982543640897756,6.982543640897756,2.493765586034913,Elite,5,Poor,1,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1053,5,Division I,southplainscollege,Deion Ware,,,,Wing,,,13,2.8825000000000003,3.15,2.45,3,12.692307692307692,3.6153846153846154,2.769230769230769,2.923076923076923,0.9230769230769231,0.3076923076923077,2.230769230769231,7.6923076923076925,3.6153846153846154,4.846153846153846,0.46153846153846156,3.1538461538461537,0.6459442530535546,0.58,99.56553222302679,0.14949662613214013,0.9473684210526315,0.2293024378469708,0.3829787234042553,0.47,0.63,3.7905236907730675,1.5960099750623442,4.688279301745636,2.892768079800499,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
1084,6,Division I,southplainscollege,Keith Richard,,,,Wing,,,11,2.875,3.4499999999999997,2.0,3,9.272727272727273,2.272727272727273,2.0,1.6363636363636365,0.6363636363636364,0.18181818181818182,1.0909090909090908,5.181818181818182,2.272727272727273,4.181818181818182,0.6363636363636364,1.6363636363636365,0.6602796478508546,0.6228070175438597,107.09785804283915,0.10091121000211908,1.2222222222222223,0.1889962200755985,0.52,0.43859649122807015,0.8070175438596491,2.10896309314587,1.054481546572935,2.9291154071470418,1.40597539543058,Elite,5,Poor,1,Average,3,Average,3,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1122,7,Division I,southplainscollege,Jaylen Colon,,,,Wing,,,13,2.8500000000000005,3.4000000000000004,2.0,3,7.153846153846154,3.230769230769231,2.1538461538461537,0.9230769230769231,1.0769230769230769,0.0,1.3846153846153846,5.6923076923076925,3.923076923076923,1.0,0.38461538461538464,2.8461538461538463,0.583291520321124,0.5472972972972973,101.39555167902311,0.08274095189983038,2.3333333333333335,0.13083296990841692,0.4117647058823529,0.6891891891891891,0.17567567567567569,1.1970074812967582,1.3965087281795512,4.1895261845386536,1.7955112219451372,Very Good,4,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1688,8,Division I,southplainscollege,Harouna Coulibaly,,,,Wing,,,13,2.625,2.95,2.0,3,5.846153846153846,4.6923076923076925,0.3076923076923077,1.0769230769230769,0.6923076923076923,0.38461538461538464,2.3076923076923075,3.6923076923076925,0.46153846153846156,1.8461538461538463,1.8461538461538463,2.8461538461538463,0.6489071038251366,0.65625,104.74090407938257,0.06545664489589723,0.2857142857142857,0.19294377067254684,0.5,0.125,0.5,1.3965087281795512,1.3965087281795512,6.084788029925187,2.9925187032418954,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2096,9,Division I,southplainscollege,Aliou Maiga,,,,Wing,,,13,2.465,2.0,2.9000000000000004,3,2.769230769230769,3.769230769230769,0.46153846153846156,0.9230769230769231,0.46153846153846156,1.4615384615384615,1.7692307692307692,2.0,0.0,0.07692307692307693,1.2307692307692308,2.5384615384615383,0.680786686838124,0.6923076923076923,93.65244536940688,0.03467686645256738,0.5,0.3121748178980229,,0.0,0.038461538461538464,1.1970074812967582,2.493765586034913,4.887780548628429,2.29426433915212,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2409,10,Division I,southplainscollege,Micah Bell,,,,Wing,,,10,2.375,2.45,2.0,3,10.8,3.7,1.7,2.0,0.6,0.3,1.4,8.4,2.4,2.6,0.9,2.8,0.5658005029337804,0.5238095238095238,93.55509355509356,0.13563942285096584,0.85,0.17325017325017325,0.3333333333333333,0.2857142857142857,0.30952380952380953,2.6246719160104988,1.1811023622047243,4.8556430446194225,1.837270341207349,Average,3,Below Average,2,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
