MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
358,1,Division I,southwesternchristiancollege,Donny Thomas,,,,Wing,,,15,3.37,4.3,2.2,3,16.066666666666666,4.2,1.3333333333333333,1.2666666666666666,1.1333333333333333,0.26666666666666666,2.6,11.333333333333334,8.733333333333333,2.1333333333333333,0.4666666666666667,3.7333333333333334,0.6546066927422859,0.6294117647058823,118.67244435690368,0.1666995009193591,1.0526315789473684,0.09355918849714398,0.4122137404580153,0.7705882352941177,0.18823529411764706,1.7257039055404177,1.9073569482288828,5.722070844686648,3.542234332425068,Elite,5,Average,3,Elite,5,Below Average,2,Elite,5,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
595,2,Division I,southwesternchristiancollege,Daryl Banks,,,,Wing,,,8,3.1775,3.6,2.6500000000000004,3,13.875,3.75,1.875,1.0,0.875,0.875,2.375,11.75,5.625,2.75,0.875,2.875,0.5353009259259259,0.48936170212765956,99.39111747851003,0.17107843137254905,1.875,0.07163323782234957,0.4,0.4787234042553192,0.23404255319148937,1.362862010221465,2.385008517887564,5.1107325383304945,3.2367972742759794,Average,3,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Below Average,2,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
891,3,Division I,southwesternchristiancollege,Niko Smith,,,,Wing,,,15,3.0175,3.0000000000000004,3.05,3,14.2,7.4,1.6,1.9333333333333333,0.9333333333333333,0.5333333333333333,2.066666666666667,10.2,1.4,5.6,2.2666666666666666,5.133333333333334,0.5606443461781427,0.5163398692810458,97.27804165144319,0.17973469923824534,0.8275862068965517,0.13244428206065034,0.2857142857142857,0.13725490196078433,0.5490196078431373,2.6339691189827428,1.9981834695731153,10.08174386920981,2.815622161671208,Average,3,Average,3,Below Average,2,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Below Average,2,Average,3,Elite,5,Very Good,4,Unknown
1051,4,Division I,southwesternchristiancollege,Ahmare Rose,,,,Wing,,,12,2.9450000000000003,2.4000000000000004,3.7,3,9.166666666666666,7.5,2.0833333333333335,1.5833333333333333,1.0833333333333333,1.25,2.6666666666666665,6.083333333333333,0.16666666666666666,5.916666666666667,2.9166666666666665,4.583333333333333,0.5276285495011512,0.4657534246575342,89.25673482635509,0.12391409266409266,1.3157894736842106,0.15417072379097696,0.0,0.0273972602739726,0.9726027397260274,2.142051860202931,3.156708004509583,10.146561443066517,3.6076662908680945,Below Average,2,Below Average,2,Poor,1,Average,3,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Very Good,4,Average,3,Very Good,4,Elite,5,Unknown
1372,5,Division I,southwesternchristiancollege,Sebastian Mackey,,,,Wing,,,15,2.8000000000000007,3.3000000000000007,2.0,3,7.2,1.0666666666666667,0.5333333333333333,0.4,0.4666666666666667,0.0,1.5333333333333334,5.933333333333334,4.266666666666667,1.0666666666666667,0.13333333333333333,0.9333333333333333,0.5622657226155768,0.5280898876404494,105.8408467267738,0.08376017861833465,1.3333333333333333,0.058800470403763225,0.34375,0.7191011235955056,0.1797752808988764,0.5449591280653951,0.6357856494096276,1.4532243415077202,2.089009990917348,Average,3,Poor,1,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2134,6,Division I,southwesternchristiancollege,Ayden Rashada,,,,Wing,,,7,2.5250000000000004,2.7500000000000004,2.0,3,3.4285714285714284,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,1.0,2.5714285714285716,1.8571428571428572,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.6355932203389831,0.6666666666666666,104.8951048951049,0.04086298042577511,0.5,0.17482517482517484,0.46153846153846156,0.7222222222222222,0.1111111111111111,0.7874015748031497,0.1968503937007874,0.5905511811023622,1.3779527559055118,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2219,7,Division I,southwesternchristiancollege,Amir McMillian,,,,Wing,,,7,2.5,2.7,2.0,3,10.142857142857142,1.0,2.857142857142857,1.4285714285714286,0.7142857142857143,0.0,1.7142857142857142,10.714285714285714,4.0,2.7142857142857144,0.2857142857142857,0.7142857142857143,0.4258637236084453,0.4066666666666667,76.0497000856898,0.16216216216216214,2.0,0.10711225364181662,0.25,0.37333333333333335,0.25333333333333335,1.9569471624266144,0.9784735812133072,1.36986301369863,2.3483365949119372,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2507,8,Division I,southwesternchristiancollege,Ty Hurndon,,,,Wing,,,15,2.4074999999999998,2.55,1.95,3,6.8,3.933333333333333,0.8,1.0,0.13333333333333333,1.0666666666666667,2.7333333333333334,5.266666666666667,0.5333333333333333,2.066666666666667,0.8666666666666667,3.066666666666667,0.5505181347150259,0.5443037974683544,94.7603121516165,0.08835697399527187,0.8,0.13935340022296544,0.25,0.10126582278481013,0.3924050632911392,1.3623978201634876,1.6348773841961852,5.358764759309718,3.723887375113533,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Average,3,Elite,5,Unknown
3545,9,Division I,southwesternchristiancollege,Dominic Samuel,,,,Wing,,,12,2.125,1.9500000000000002,2.0,3,3.25,1.75,0.5,0.75,0.16666666666666666,0.0,0.6666666666666666,2.5833333333333335,0.5,1.3333333333333333,0.3333333333333333,1.4166666666666667,0.5126182965299685,0.4032258064516129,82.90816326530613,0.04838311528017773,0.6666666666666666,0.1913265306122449,0.16666666666666666,0.1935483870967742,0.5161290322580645,1.0256410256410255,0.22792022792022792,2.393162393162393,0.9116809116809117,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3772,10,Division I,southwesternchristiancollege,Elijah Clemons,,,,Wing,,,13,2.0575,1.5,2.45,3,2.4615384615384617,1.8461538461538463,1.0,1.8461538461538463,1.1538461538461537,0.15384615384615385,1.6923076923076923,3.230769230769231,0.07692307692307693,0.7692307692307693,0.6153846153846154,1.2307692307692308,0.3448275862068966,0.30952380952380953,45.45454545454545,0.06628003314001658,0.5416666666666666,0.3409090909090909,0.0,0.023809523809523808,0.23809523809523808,2.509147935180345,1.7773131207527444,2.509147935180345,2.300052273915316,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3794,11,Division I,southwesternchristiancollege,Jayden Gordon,,,,Wing,,,15,2.05,1.8,2.0,3,3.0,1.4666666666666666,1.4666666666666666,1.2,0.3333333333333333,0.0,0.4666666666666667,2.6666666666666665,0.26666666666666666,1.5333333333333334,0.4,1.0666666666666667,0.4489225857940942,0.4,66.0598943041691,0.055916732335172054,1.2222222222222223,0.26423957721667646,0.0,0.1,0.575,1.6348773841961852,0.45413260672116257,1.9981834695731153,0.6357856494096276,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3980,12,Division I,southwesternchristiancollege,JaCorie Bradley,,,,Wing,,,12,1.9999999999999998,1.7,2.0,3,1.0,1.25,0.6666666666666666,0.75,0.25,0.0,0.8333333333333334,1.0,0.5,1.1666666666666667,0.08333333333333333,1.1666666666666667,0.3303964757709251,0.16666666666666666,44.18262150220913,0.02798730472775236,0.8888888888888888,0.33136966126656847,0.0,0.5,1.1666666666666667,1.0227272727272727,0.3409090909090909,1.7045454545454546,1.1363636363636365,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
