MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1158,1,Division I,stpetersburgcollege,David Larkins,,,,Wing,,,11,2.9000000000000004,3.5000000000000004,2.0,3,4.090909090909091,1.0,0.9090909090909091,0.2727272727272727,0.5454545454545454,0.0,0.5454545454545454,3.1818181818181817,2.1818181818181817,1.0909090909090908,0.36363636363636365,0.6363636363636364,0.5585898709036743,0.5285714285714286,103.97412199630314,0.045764073933088026,3.3333333333333335,0.06931608133086876,0.375,0.6857142857142857,0.34285714285714286,0.36674816625916873,0.7334963325183375,1.3447432762836187,0.7334963325183375,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1190,2,Division I,stpetersburgcollege,Nadma Musonda,,,,Wing,,,15,2.8900000000000006,2.85,2.9000000000000004,3,12.466666666666667,2.7333333333333334,0.8,1.9333333333333333,1.0666666666666667,0.6,1.0666666666666667,8.533333333333333,1.6,4.666666666666667,1.0666666666666667,1.6666666666666667,0.5887909319899244,0.5390625,99.57401490947817,0.14781349368762398,0.41379310344827586,0.154419595314164,0.25,0.1875,0.546875,2.6149684400360687,2.254283137962128,3.69702434625789,1.442741208295762,Very Good,4,Below Average,2,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1655,3,Division I,stpetersburgcollege,Lamine Sanoh,,,,Wing,,,13,2.715,2.1500000000000004,3.4,3,7.0,5.230769230769231,1.0,1.3076923076923077,0.23076923076923078,1.6923076923076923,2.6153846153846154,5.0,0.0,3.076923076923077,2.1538461538461537,3.076923076923077,0.5508474576271187,0.49230769230769234,91.36546184738957,0.09085601693059914,0.7647058823529411,0.1706827309236948,,0.0,0.6153846153846154,1.771756122980719,2.6055237102657633,7.087024491922876,3.543512245961438,Average,3,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Below Average,2,Very Good,4,Elite,5,Unknown
2336,4,Division I,stpetersburgcollege,Michael Moten,,,,Wing,,,16,2.4850000000000003,1.9,3.1,3,10.625,4.1875,2.3125,3.0625,1.6875,0.625,2.5625,9.625,1.9375,4.6875,1.0625,3.125,0.45454545454545453,0.38311688311688313,72.03389830508475,0.17549599928611798,0.7551020408163265,0.2076271186440678,0.3225806451612903,0.2012987012987013,0.487012987012987,4.154302670623146,3.1369224247562526,5.680373039423484,3.4760491733785503,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Average,3,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Average,3,Unknown
2356,5,Division I,stpetersburgcollege,Carter McDole,,,,Wing,,,14,2.4775,2.2,2.6500000000000004,3,9.714285714285714,4.285714285714286,0.8571428571428571,1.5714285714285714,0.9285714285714286,0.6428571428571429,2.2857142857142856,8.214285714285714,1.3571428571428572,4.214285714285714,1.0714285714285714,3.2142857142857144,0.4824063564131668,0.41304347826086957,83.45606283750614,0.13761188988346562,0.5454545454545454,0.13500245459008345,0.2631578947368421,0.16521739130434782,0.5130434782608696,2.1174205967276225,2.1174205967276225,5.774783445620789,3.0798845043310874,Poor,1,Below Average,2,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
2604,6,Division I,stpetersburgcollege,Kevin Saenz,,,,Wing,,,6,2.4074999999999998,2.2,2.45,3,6.333333333333333,1.3333333333333333,1.6666666666666667,1.5,1.1666666666666667,0.16666666666666666,0.16666666666666666,5.0,2.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5982367758186398,0.5833333333333334,93.2286555446516,0.07969654309400909,1.1111111111111112,0.22080471050049064,0.3333333333333333,0.5,0.13333333333333333,1.9522776572668112,1.735357917570499,1.735357917570499,0.21691973969631237,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3041,7,Division I,stpetersburgcollege,Elijah Lubsey,,,,Wing,,,14,2.2874999999999996,1.7500000000000002,2.75,3,8.0,5.214285714285714,1.3571428571428572,2.7142857142857144,1.3571428571428572,0.07142857142857142,1.7857142857142858,7.857142857142857,1.1428571428571428,2.642857142857143,1.6428571428571428,3.5714285714285716,0.4434589800443459,0.37727272727272726,68.1762843925006,0.14107584501236603,0.5,0.23131239347455562,0.1875,0.14545454545454545,0.33636363636363636,3.6947010209042292,1.9445794846864366,7.0977151191054935,2.430724355858046,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Poor,1,Below Average,2,Below Average,2,Elite,5,Average,3,Unknown
3199,8,Division I,stpetersburgcollege,Alexander Collado,,,,Wing,,,10,2.25,2.1999999999999997,2.0,3,7.4,2.3,1.3,1.2,1.0,0.0,1.8,6.8,3.4,2.1,0.7,1.6,0.47902641118591405,0.4264705882352941,82.9224562976244,0.10593542260208927,1.0833333333333333,0.1344688480502017,0.29411764705882354,0.5,0.3088235294117647,1.6216216216216217,1.3513513513513513,3.108108108108108,2.4324324324324325,Poor,1,Poor,1,Poor,1,Below Average,2,Very Good,4,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3967,9,Division I,stpetersburgcollege,Nicholas Berry,,,,Wing,,,7,2.05,1.8,2.0,3,2.0,1.0,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.5714285714285714,1.4285714285714286,0.5714285714285714,1.1428571428571428,0.2857142857142857,0.7142857142857143,0.5177514792899408,0.4,75.5939524838013,0.031176351760824183,0.2,0.26997840172786175,0.0,0.4,0.8,0.9871668311944719,0.9871668311944719,1.3820335636722607,0.7897334649555775,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4013,10,Division I,stpetersburgcollege,Jaquez Green,,,,Wing,,,13,2.025,1.75,2.0,3,5.0,3.769230769230769,0.8461538461538461,0.9230769230769231,0.23076923076923078,0.5384615384615384,0.6153846153846154,5.230769230769231,1.7692307692307692,0.5384615384615384,1.3076923076923077,2.4615384615384617,0.45723128868880136,0.4632352941176471,78.23784304285027,0.07693162456478257,0.9166666666666666,0.14443909484833894,0.21739130434782608,0.3382352941176471,0.10294117647058823,1.2585212375458836,1.048767697954903,5.138961719979025,0.8390141583639223,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
