MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
315,1,Division I,tallahasseestatecollege,Shane Cherry,,,,Wing,,,21,3.41,3.75,3.1,3,17.714285714285715,3.5238095238095237,2.8095238095238093,2.4285714285714284,2.0476190476190474,0.23809523809523808,2.5238095238095237,12.857142857142858,6.761904761904762,5.333333333333333,0.6190476190476191,2.9047619047619047,0.5825607617138562,0.5314814814814814,100.46451334125527,0.20543263576041368,1.1568627450980393,0.13773360700010803,0.3732394366197183,0.5259259259259259,0.4148148148148148,3.249442497610704,3.0582988212806628,4.714877349474355,3.376871615164065,Very Good,4,Very Good,4,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Very Good,4,Very Good,4,Unknown
609,2,Division I,tallahasseestatecollege,Elijah Guillory,,,,Wing,,,21,3.1750000000000007,4.050000000000001,2.0,3,10.428571428571429,3.5238095238095237,0.9523809523809523,0.9047619047619048,0.7142857142857143,0.0,1.2380952380952381,7.428571428571429,3.1904761904761907,2.2857142857142856,1.8571428571428572,1.6666666666666667,0.6182249322493225,0.5961538461538461,111.66632673873139,0.10880806018508246,1.0526315789473684,0.09687946155415052,0.3880597014925373,0.42948717948717946,0.3076923076923077,1.210576616756929,0.9557183816502071,4.714877349474355,1.6565785281936922,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
819,3,Division I,tallahasseestatecollege,Orion Wilson,,,,Wing,,,7,3.0575,3.5,2.45,3,8.714285714285714,4.571428571428571,0.42857142857142855,1.0,0.5714285714285714,0.7142857142857143,1.8571428571428572,4.142857142857143,0.5714285714285714,3.2857142857142856,2.0,2.5714285714285716,0.7796523517382413,0.7068965517241379,132.26366001734607,0.07582034589333858,0.42857142857142855,0.1517779705117086,0.75,0.13793103448275862,0.7931034482758621,1.2974976830398517,1.6682113067655235,5.9314179796107505,2.4096385542168677,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1125,4,Division I,tallahasseestatecollege,Cedric Taylor,,,,Wing,,,16,2.92,3.4,2.2,3,9.5625,3.6875,0.4375,1.4375,0.375,0.8125,2.4375,5.125,1.0625,2.75,1.5625,2.125,0.7547355958958168,0.7195121951219512,123.02991315535542,0.08863610445888927,0.30434782608695654,0.18494692827275652,0.5882352941176471,0.2073170731707317,0.5365853658536586,1.8898931799506984,1.561216105176664,4.847986852917009,3.2046014790468367,Elite,5,Poor,1,Elite,5,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
1921,5,Division I,tallahasseestatecollege,Rodmik Allen,,,,Wing,,,21,2.6075,2.6,2.45,3,11.80952380952381,3.6666666666666665,5.0476190476190474,2.4285714285714284,1.1428571428571428,0.0,1.0952380952380953,10.19047619047619,3.3333333333333335,3.0476190476190474,0.9523809523809523,2.7142857142857144,0.5120581433762802,0.49065420560747663,84.59544276163189,0.16264619071924724,2.0784313725490198,0.1739664347114204,0.3142857142857143,0.32710280373831774,0.29906542056074764,3.249442497610704,1.5291494106403314,4.906021025804396,1.4654348518636509,Below Average,2,Average,3,Poor,1,Elite,5,Below Average,2,Average,3,Very Good,4,Very Good,4,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2011,6,Division I,tallahasseestatecollege,Cole Hansen,,,,Wing,,,16,2.575,2.8500000000000005,2.0,3,4.5,1.8125,0.4375,0.125,0.1875,0.0,0.4375,4.375,3.375,0.4375,0.5625,1.25,0.49261083743842365,0.4928571428571429,95.89770911028236,0.0535123731326263,3.5,0.02663825253063399,0.3148148148148148,0.7714285714285715,0.1,0.16433853738701726,0.2465078060805259,2.38290879211175,0.5751848808545604,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2093,7,Division I,tallahasseestatecollege,Cole Crissman,,,,Wing,,,21,2.55,2.8,2.0,3,7.571428571428571,4.761904761904762,2.0476190476190474,1.2857142857142858,0.2857142857142857,0.2857142857142857,1.6666666666666667,5.761904761904762,2.4761904761904763,2.142857142857143,1.4761904761904763,3.2857142857142856,0.5646306818181818,0.5165289256198347,94.75566150178784,0.09309602538780766,1.5925925925925926,0.1609058402860548,0.36538461538461536,0.4297520661157025,0.371900826446281,1.7202930869703728,0.7645747053201657,6.371455877668047,2.2300095571838163,Average,3,Poor,1,Poor,1,Very Good,4,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2255,8,Division I,tallahasseestatecollege,Cinque Lemon,,,,Wing,,,18,2.505,2.5,2.3,3,7.333333333333333,6.388888888888889,0.3333333333333333,1.0555555555555556,0.6666666666666666,0.2222222222222222,0.8333333333333334,5.833333333333333,1.1111111111111112,1.8888888888888888,2.1666666666666665,4.222222222222222,0.5501833944648216,0.5428571428571428,94.99136442141624,0.08862244897959186,0.3157894736842105,0.1367299942429476,0.2,0.19047619047619047,0.3238095238095238,1.3970588235294117,1.1764705882352942,8.455882352941176,1.1029411764705883,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3452,9,Division I,tallahasseestatecollege,Jaiden Blackmon,,,,Wing,,,10,2.175,2.0500000000000003,2.0,3,2.4,1.4,0.1,0.2,0.0,0.0,0.4,2.3,1.4,0.2,0.4,1.0,0.5025125628140704,0.4782608695652174,92.73570324574962,0.029700697759823723,0.5,0.07727975270479134,0.2857142857142857,0.6086956521739131,0.08695652173913043,0.26472534745201853,0.0,1.8530774321641297,0.5294506949040371,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3612,10,Division I,tallahasseestatecollege,Marquez Allen,,,,Wing,,,6,2.15,2.0,2.0,3,2.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,1.8333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.5454545454545454,0.5454545454545454,92.3076923076923,0.02443057956851838,1.0,0.15384615384615385,0.5,0.36363636363636365,0.0,0.4434589800443459,0.22172949002217296,1.3303769401330376,0.8869179600886918,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
