MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
762,1,Division I,templecollege,Roy Gardner,,,,Wing,,,14,3.04,3.15,2.9000000000000004,3,12.071428571428571,5.071428571428571,2.357142857142857,1.7142857142857142,1.6428571428571428,0.35714285714285715,2.2142857142857144,8.785714285714286,2.0714285714285716,4.857142857142857,1.8571428571428572,3.2142857142857144,0.5525765105937744,0.5040650406504065,95.52340040696359,0.124637191084059,1.375,0.13565453312231515,0.3448275862068966,0.23577235772357724,0.5528455284552846,1.900990099009901,2.217821782178218,5.623762376237623,2.4554455445544554,Average,3,Below Average,2,Below Average,2,Average,3,Very Good,4,Very Good,4,Average,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1181,2,Division I,templecollege,Joseph Lloyd,,,,Wing,,,13,2.825,3.35,2.0,3,3.769230769230769,1.0,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.07692307692307693,1.0769230769230769,2.923076923076923,2.8461538461538463,0.15384615384615385,0.07692307692307693,0.9230769230769231,0.6301440329218106,0.618421052631579,109.18003565062388,0.03375755934651143,0.5,0.1336898395721925,0.40540540540540543,0.9736842105263158,0.05263157894736842,0.5076142131979695,0.4230118443316413,1.0998307952622672,1.1844331641285957,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1304,3,Division I,templecollege,Jaymes Brown-Peterson,,,,Wing,,,14,2.7800000000000002,2.0,3.8,3,11.142857142857142,3.857142857142857,1.9285714285714286,2.7142857142857144,2.4285714285714284,0.5714285714285714,1.7142857142857142,8.428571428571429,2.2142857142857144,3.857142857142857,1.5,2.357142857142857,0.5502257336343116,0.4872881355932203,86.78237650200268,0.1266379237467242,0.7105263157894737,0.2113929684023142,0.22580645161290322,0.2627118644067797,0.4576271186440678,3.00990099009901,3.3267326732673266,4.2772277227722775,1.900990099009901,Average,3,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Elite,5,Poor,1,Elite,5,Very Good,4,Unknown
1788,4,Division I,templecollege,Harry Bates,,,,Wing,,,14,2.5825000000000005,2.5500000000000003,2.45,3,10.785714285714286,5.857142857142857,1.2857142857142858,2.0714285714285716,0.6428571428571429,0.8571428571428571,1.2857142857142858,7.785714285714286,0.35714285714285715,3.0714285714285716,2.642857142857143,3.2142857142857144,0.5902126328955597,0.5596330275229358,96.22737700739229,0.11054752444557166,0.6206896551724138,0.1848075452459852,0.4,0.045871559633027525,0.3944954128440367,2.297029702970297,1.6633663366336633,6.4950495049504955,1.4257425742574257,Very Good,4,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1975,5,Division I,templecollege,Tayshaun Goston,,,,Wing,,,13,2.5075000000000003,2.4000000000000004,2.45,3,6.538461538461538,1.2307692307692308,1.3076923076923077,1.4615384615384615,1.3076923076923077,0.0,2.076923076923077,5.538461538461538,3.076923076923077,1.0,0.23076923076923078,1.0,0.5468347915594441,0.5416666666666666,87.88254755996691,0.07560266391520497,0.8947368421052632,0.19644334160463192,0.4,0.5555555555555556,0.18055555555555555,1.6725352112676057,1.4964788732394365,1.408450704225352,2.3767605633802815,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Very Good,4,Elite,5,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2053,6,Division I,templecollege,Byron Piper,,,,Wing,,,14,2.4750000000000005,2.6500000000000004,2.0,3,7.857142857142857,2.4285714285714284,0.9285714285714286,0.5,0.7857142857142857,0.14285714285714285,1.2857142857142858,6.857142857142857,3.7857142857142856,1.3571428571428572,0.7142857142857143,1.7142857142857142,0.5270218474511307,0.5208333333333334,98.77873563218391,0.0784512638430975,1.8571428571428572,0.06285919540229885,0.2641509433962264,0.5520833333333334,0.19791666666666666,0.5544554455445545,1.0297029702970297,2.6930693069306932,1.4257425742574257,Below Average,2,Poor,1,Below Average,2,Very Good,4,Elite,5,Poor,1,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2296,7,Division I,templecollege,Ovie Agbigbe,,,,Wing,,,14,2.4074999999999998,2.1999999999999997,2.45,3,7.571428571428571,3.9285714285714284,0.42857142857142855,0.9285714285714286,1.2142857142857142,0.35714285714285715,1.5714285714285714,7.071428571428571,3.5714285714285716,0.9285714285714286,1.0,2.9285714285714284,0.5061115355233002,0.4898989898989899,90.04417261297995,0.08293177783413647,0.46153846153846156,0.11043153244988108,0.34,0.5050505050505051,0.13131313131313133,1.0297029702970297,1.7425742574257426,4.356435643564357,1.7425742574257426,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Very Good,4,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2450,8,Division I,templecollege,Josh Telfort,,,,Wing,,,13,2.3575,2.1,2.45,3,12.76923076923077,5.923076923076923,1.6923076923076923,3.076923076923077,1.3846153846153846,0.0,1.1538461538461537,8.923076923076923,0.46153846153846156,6.230769230769231,1.9230769230769231,4.0,0.5473489844368241,0.49137931034482757,86.62074723439784,0.14663932419196862,0.55,0.2087246921310791,0.3333333333333333,0.05172413793103448,0.6982758620689655,3.4305317324185247,1.5437392795883362,6.60377358490566,1.2864493996569468,Average,3,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2465,9,Division I,templecollege,Jonty Kells,,,,Wing,,,14,2.35,2.4000000000000004,2.0,3,5.214285714285714,3.0714285714285716,4.0,3.2142857142857144,0.9285714285714286,0.14285714285714285,1.9285714285714286,3.7857142857142856,0.21428571428571427,1.7142857142857142,0.14285714285714285,2.9285714285714284,0.5742605412208936,0.5660377358490566,67.24392041267502,0.07647871051370927,1.2444444444444445,0.41451731761238025,0.0,0.05660377358490566,0.4528301886792453,3.5643564356435644,1.188118811881188,3.405940594059406,2.1386138613861387,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2836,10,Division I,templecollege,Esbjorn Reidhav,,,,Wing,,,11,2.25,2.2,2.0,3,2.909090909090909,1.7272727272727273,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.6363636363636364,3.0,0.09090909090909091,1.5454545454545454,1.0909090909090908,0.6363636363636364,0.39525691699604737,0.36363636363636365,70.36059806508355,0.03994379062005973,0.2,0.10993843447669305,0.0,0.030303030303030304,0.5151515151515151,0.4930966469428008,0.39447731755424065,1.873767258382643,0.6903353057199211,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
