MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
728,1,Division I,trinidadstatecollege,Maurice Thomas,,,,Wing,,,13,3.05,3.8000000000000003,2.0,3,11.692307692307692,1.0769230769230769,1.4615384615384615,1.2307692307692308,0.6923076923076923,0.0,1.0769230769230769,8.76923076923077,5.461538461538462,2.769230769230769,0.46153846153846156,0.6153846153846154,0.5853357979051139,0.5482456140350878,104.22380691168404,0.13016779721528027,1.1875,0.10970927043335162,0.352112676056338,0.6228070175438597,0.3157894736842105,1.6088486676721971,0.9049773755656109,1.4077425842131726,1.4077425842131726,Very Good,4,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
787,2,Division I,trinidadstatecollege,Donavahan Cain,,,,Wing,,,11,3.0250000000000004,3.75,2.0,3,7.545454545454546,2.909090909090909,1.9090909090909092,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,5.818181818181818,3.1818181818181817,1.2727272727272727,1.3636363636363635,1.5454545454545454,0.5915051311288484,0.5703125,111.92017259978425,0.07929515418502202,5.25,0.05393743257820928,0.3142857142857143,0.546875,0.21875,0.4825090470446321,0.9650180940892642,3.860072376357057,1.3268998793727382,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1182,3,Division I,trinidadstatecollege,TaRea Fulcher,,,,Wing,,,6,2.825,3.35,2.0,3,10.666666666666666,2.0,2.5,2.0,0.5,0.16666666666666666,1.5,6.333333333333333,2.6666666666666665,3.8333333333333335,0.6666666666666666,1.3333333333333333,0.6650041562759768,0.5789473684210527,106.45375914836993,0.12371388591653633,1.25,0.1996007984031936,0.625,0.42105263157894735,0.6052631578947368,2.7874564459930316,0.9291521486643438,2.7874564459930316,2.0905923344947737,Elite,5,Below Average,2,Average,3,Average,3,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
1351,4,Division I,trinidadstatecollege,Dylan Omweno,,,,Wing,,,13,2.7574999999999994,2.8999999999999995,2.45,3,11.615384615384615,2.3846153846153846,2.0,2.0,1.1538461538461537,0.15384615384615385,1.2307692307692308,9.307692307692308,5.6923076923076925,1.7692307692307692,0.6923076923076923,1.6923076923076923,0.5758084197681513,0.5330578512396694,96.10488798370672,0.1402356301320957,1.0,0.16547861507128309,0.33783783783783783,0.6115702479338843,0.19008264462809918,2.6143790849673203,1.7094017094017093,3.117144293614882,1.6088486676721971,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1369,5,Division I,trinidadstatecollege,Woul Chak,,,,Wing,,,9,2.75,3.2,2.0,3,0.5555555555555556,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.4444444444444444,1.3297872340425532,1.5,173.61111111111111,0.0037151702786377707,0.0,0.3472222222222222,1.0,1.0,2.0,0.14545454545454545,0.0,0.5818181818181818,0.2909090909090909,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1405,6,Division I,trinidadstatecollege,Manning Shareef,,,,Wing,,,13,2.7375,2.65,2.75,3,9.0,6.0,2.923076923076923,2.230769230769231,0.8461538461538461,0.46153846153846156,1.6153846153846154,6.076923076923077,1.6153846153846154,3.0,1.6153846153846154,4.384615384615385,0.6083610648918469,0.5506329113924051,93.48034515819751,0.11171010353445199,1.3103448275862069,0.2317034196228827,0.23809523809523808,0.26582278481012656,0.4936708860759494,2.916038210155857,1.7094017094017093,7.8431372549019605,2.1116138763197587,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Below Average,2,Below Average,2,Elite,5,Very Good,4,Unknown
2061,7,Division I,trinidadstatecollege,Demorae Pritchett,,,,Wing,,,12,2.4750000000000005,2.6500000000000004,2.0,3,13.75,3.3333333333333335,1.4166666666666667,2.75,0.8333333333333334,0.0,0.9166666666666666,10.166666666666666,4.0,3.8333333333333335,0.6666666666666666,2.6666666666666665,0.5800056242969629,0.5327868852459017,94.1565852545081,0.16803467321264196,0.5151515151515151,0.1883131705090162,0.2916666666666667,0.39344262295081966,0.3770491803278688,3.5772357723577235,1.084010840108401,4.336043360433604,1.1924119241192412,Very Good,4,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Average,3,Unknown
2729,8,Division I,trinidadstatecollege,Kenny Black-Knox,,,,Wing,,,13,2.2824999999999998,1.9500000000000002,2.45,3,3.0,3.769230769230769,1.0,0.6923076923076923,1.1538461538461537,0.23076923076923078,1.4615384615384615,3.3846153846153846,0.9230769230769231,0.6153846153846154,1.6153846153846154,2.1538461538461537,0.4103535353535353,0.42045454545454547,69.00212314225053,0.05044626918957516,1.4444444444444444,0.1592356687898089,0.25,0.2727272727272727,0.18181818181818182,0.9049773755656109,1.8099547511312217,4.927099044746104,1.9105077928607341,Poor,1,Poor,1,Poor,1,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2782,9,Division I,trinidadstatecollege,Naz Reaves,,,,Wing,,,6,2.275,2.25,2.0,3,8.333333333333334,2.8333333333333335,1.0,2.1666666666666665,0.3333333333333333,0.6666666666666666,1.1666666666666667,6.166666666666667,1.6666666666666667,2.1666666666666665,0.5,2.3333333333333335,0.5852059925093633,0.5675675675675675,89.73438621679828,0.11180672606148165,0.46153846153846156,0.23330940416367552,0.2,0.2702702702702703,0.35135135135135137,2.9246344206974126,1.3498312710911136,3.824521934758155,1.5748031496062993,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2811,10,Division I,trinidadstatecollege,Damarius Taylor,,,,Wing,,,13,2.25,2.2,2.0,3,6.538461538461538,2.5384615384615383,1.8461538461538463,1.5384615384615385,0.8461538461538461,0.07692307692307693,0.6923076923076923,6.0,3.0,1.4615384615384615,0.6923076923076923,1.8461538461538463,0.4921259842519685,0.46794871794871795,79.91726212861978,0.09493038200642628,1.2,0.188040616773223,0.3333333333333333,0.5,0.24358974358974358,2.0110608345902463,1.2066365007541477,3.3182503770739067,0.9049773755656109,Below Average,2,Poor,1,Poor,1,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3072,11,Division I,trinidadstatecollege,Donovan Weese,,,,Wing,,,10,2.175,2.0500000000000003,2.0,3,1.8,0.6,0.2,0.4,0.1,0.0,0.0,1.5,1.2,0.0,0.1,0.5,0.6,0.6,94.73684210526316,0.022527863410007114,0.5,0.21052631578947367,0.5,0.8,0.0,0.5344021376085505,0.13360053440213762,0.8016032064128257,0.0,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3633,12,Division I,trinidadstatecollege,Logan Montgomery,,,,Wing,,,12,2.025,1.75,2.0,3,3.75,2.6666666666666665,0.4166666666666667,1.0833333333333333,0.3333333333333333,0.08333333333333333,0.25,3.3333333333333335,0.8333333333333334,0.3333333333333333,1.0833333333333333,1.5833333333333333,0.5387931034482759,0.525,82.17677136596056,0.05281635802469136,0.38461538461538464,0.23739956172388604,0.4,0.25,0.1,1.4130434782608696,0.5434782608695652,3.4782608695652173,0.32608695652173914,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Below Average,2,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3689,13,Division I,trinidadstatecollege,Sean Spencer,,,,Wing,,,11,2.0,1.7000000000000002,2.0,3,2.727272727272727,3.272727272727273,0.5454545454545454,1.5454545454545454,0.0,0.09090909090909091,0.7272727272727273,2.3636363636363638,0.0,0.5454545454545454,1.0,2.272727272727273,0.5237430167597765,0.5,65.73181419807186,0.04820040554241298,0.35294117647058826,0.37248028045574055,,0.0,0.23076923076923078,2.038369304556355,0.11990407673860912,4.316546762589928,0.9592326139088729,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4008,14,Division I,trinidadstatecollege,Nnamdi Ubawike,,,,Wing,,,11,1.875,1.4500000000000002,2.0,3,2.090909090909091,1.9090909090909092,1.2727272727272727,0.9090909090909091,0.6363636363636364,0.09090909090909091,0.36363636363636365,2.4545454545454546,1.1818181818181819,0.18181818181818182,0.7272727272727273,1.1818181818181819,0.41248206599713055,0.4074074074074074,60.718057022175294,0.040052444594823204,1.4,0.2639915522703274,0.15384615384615385,0.48148148148148145,0.07407407407407407,1.1961722488038278,0.9569377990430622,2.511961722488038,0.4784688995215311,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
