MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
487,1,Division I,tritoncollege,Terez Holmes,,,,Wing,,,16,3.2650000000000006,2.5500000000000003,4.4,3,11.5,7.3125,1.25,1.75,1.5625,1.9375,1.8125,9.0,3.0625,3.375,2.0625,5.25,0.5484024797329519,0.5277777777777778,93.99264405394361,0.14207745456656795,0.7142857142857143,0.1430322844299142,0.32653061224489793,0.3402777777777778,0.375,2.2792022792022792,4.5584045584045585,9.523809523809524,2.3606023606023605,Average,3,Below Average,2,Poor,1,Poor,1,Average,3,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Unknown
519,2,Division I,tritoncollege,Papa Kounta,,,,Wing,,,16,3.25,3.15,3.5,3,12.75,6.9375,2.0,2.25,1.3125,0.25,2.0,9.4375,2.875,3.3125,1.875,5.0625,0.5851307939421754,0.5529801324503312,96.99505515405097,0.15264471927074258,0.8888888888888888,0.17116774438950172,0.41304347826086957,0.304635761589404,0.3509933774834437,2.93040293040293,2.035002035002035,9.035409035409035,2.6048026048026047,Very Good,4,Average,3,Below Average,2,Below Average,2,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Very Good,4,Unknown
928,3,Division I,tritoncollege,Miles Mitchell,,,,Wing,,,14,3.0075000000000003,2.6999999999999997,3.45,3,10.714285714285714,7.928571428571429,1.6428571428571428,1.5,0.7142857142857143,1.3571428571428572,2.857142857142857,8.214285714285714,1.0714285714285714,4.0,3.0714285714285716,4.857142857142857,0.5370953881409338,0.5217391304347826,93.37649402390439,0.13414837826101478,1.0952380952380953,0.13072709163346616,0.13333333333333333,0.13043478260869565,0.48695652173913045,1.969057665260197,2.7191748710736054,10.40787623066104,3.750586029067042,Average,3,Below Average,2,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Below Average,2,Elite,5,Average,3,Very Good,4,Average,3,Average,3,Elite,5,Unknown
1037,4,Division I,tritoncollege,Brandon Davis,,,,Wing,,,7,2.9574999999999996,3.2999999999999994,2.45,3,10.714285714285714,2.4285714285714284,5.571428571428571,2.142857142857143,1.2857142857142858,0.0,2.0,6.571428571428571,1.1428571428571428,4.714285714285714,0.2857142857142857,2.142857142857143,0.6196298744216788,0.5217391304347826,99.3114406779661,0.1366136034732272,2.6,0.1986228813559322,0.25,0.17391304347826086,0.717391304347826,2.9732408325074333,1.7839444995044598,3.3696729435084243,2.7750247770069376,Elite,5,Below Average,2,Below Average,2,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1222,5,Division I,tritoncollege,Matt Sullivan,,,,Wing,,,14,2.875,3.45,2.0,3,9.428571428571429,2.2142857142857144,1.0,1.0,0.42857142857142855,0.35714285714285715,1.6428571428571428,7.285714285714286,5.142857142857143,1.6428571428571428,0.35714285714285715,1.8571428571428572,0.5886550124866214,0.5490196078431373,104.66222645099904,0.1057414984237709,1.0,0.11100539169045354,0.3888888888888889,0.7058823529411765,0.22549019607843138,1.3220018885741265,1.0387157695939566,2.927289896128423,2.1718602455146363,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1231,6,Division I,tritoncollege,Nathan Nyarko,,,,Wing,,,6,2.875,3.45,2.0,3,1.6666666666666667,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.5,0.6666666666666666,1.1666666666666667,0.0,0.16666666666666666,0.3333333333333333,0.5,0.6720430107526881,0.7142857142857143,118.48341232227486,0.015925730243791986,1.0,0.11848341232227487,,0.0,0.14285714285714285,0.2107481559536354,0.6322444678609063,1.053740779768177,0.8429926238145417,Elite,5,Poor,1,Elite,5,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1322,7,Division I,tritoncollege,Ethan Johnson,,,,Wing,,,14,2.8375000000000004,3.5500000000000003,1.75,3,10.285714285714286,2.5,1.0714285714285714,1.2142857142857142,0.9285714285714286,0.07142857142857142,2.357142857142857,7.428571428571429,5.071428571428571,3.0,0.7857142857142857,1.7142857142857142,0.5878510777269759,0.5336538461538461,103.24060797246916,0.11694278623650148,0.8823529411764706,0.12188127330083165,0.38028169014084506,0.6826923076923077,0.40384615384615385,1.6052880075542966,1.3220018885741265,3.305004721435316,3.1161473087818696,Very Good,4,Poor,1,Average,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2187,8,Division I,tritoncollege,Will Scott,,,,Wing,,,12,2.5250000000000004,2.75,2.0,3,11.0,2.3333333333333335,2.1666666666666665,1.5833333333333333,1.0,0.0,1.25,10.083333333333334,4.416666666666667,1.8333333333333333,0.75,1.5833333333333333,0.505050505050505,0.49173553719008267,88.18813468733298,0.14185526365669662,1.368421052631579,0.12693746659540353,0.4339622641509434,0.4380165289256198,0.18181818181818182,2.0309994655264565,1.282736504543025,2.9930518439337255,1.6034206306787815,Below Average,2,Below Average,2,Poor,1,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2849,9,Division I,tritoncollege,Keashawn Jordan,,,,Wing,,,8,2.3375,1.85,2.75,3,8.375,5.75,1.125,2.0,0.75,0.625,2.0,7.125,0.375,3.25,2.0,3.75,0.48947983635300996,0.47368421052631576,79.3462813832307,0.12274683102686357,0.5625,0.18948365703458078,0.0,0.05263157894736842,0.45614035087719296,2.593192868719611,1.7828200972447326,7.455429497568882,2.593192868719611,Poor,1,Below Average,2,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2949,10,Division I,tritoncollege,Saadiq Moore,,,,Wing,,,16,2.3075,2.0,2.45,3,7.25,3.75,4.125,2.125,1.125,0.25,1.6875,5.8125,2.625,2.4375,0.75,3.0,0.5265068990559186,0.43548387096774194,80.4661487236404,0.10462753295012482,1.9411764705882353,0.2358490566037736,0.2619047619047619,0.45161290322580644,0.41935483870967744,2.7676027676027677,1.7908017908017908,4.884004884004884,2.197802197802198,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
