MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
168,1,Division I,tylerjuniorcollege,Caden Bell,,,,Wing,,,16,3.6075,4.6,2.45,3,13.3125,2.125,1.75,1.0625,0.8125,0.1875,1.0625,9.0625,2.8125,2.75,0.4375,1.6875,0.6479678753954733,0.6241379310344828,117.44596382884869,0.15587183718371836,1.6470588235294117,0.0937362152624614,0.5111111111111111,0.3103448275862069,0.30344827586206896,1.644895984518626,1.548137397194001,3.289791969037252,1.644895984518626,Elite,5,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
285,2,Division I,tylerjuniorcollege,Chris Uwayo Jr,,,,Wing,,,17,3.4400000000000004,3.95,2.9000000000000004,3,13.117647058823529,1.3529411764705883,3.1176470588235294,1.7647058823529411,1.5294117647058822,0.058823529411764705,0.7647058823529411,8.823529411764707,2.8823529411764706,4.647058823529412,0.23529411764705882,1.1176470588235294,0.6034856029443603,0.53,103.83684112497673,0.1703903522691209,1.7666666666666666,0.13969081765691935,0.3469387755102041,0.32666666666666666,0.5266666666666666,2.6881720430107525,2.4193548387096775,2.060931899641577,1.1648745519713262,Elite,5,Average,3,Average,3,Very Good,4,Very Good,4,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
303,3,Division I,tylerjuniorcollege,Ryan Mpouli,,,,Wing,,,11,3.4225000000000003,3.6,3.35,3,8.0,3.1818181818181817,1.4545454545454546,1.2727272727272727,1.9090909090909092,0.18181818181818182,1.3636363636363635,5.636363636363637,2.909090909090909,1.9090909090909092,0.9090909090909091,2.272727272727273,0.617630544637844,0.5967741935483871,103.23791647114031,0.09521469103257227,1.1428571428571428,0.1642421398404505,0.4375,0.5161290322580645,0.3387096774193548,1.798330122029544,2.954399486191394,4.49582530507386,1.9267822736030829,Elite,5,Poor,1,Average,3,Average,3,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
465,4,Division I,tylerjuniorcollege,Fareed Allim,,,,Wing,,,15,3.2824999999999998,3.95,2.45,3,6.4,2.1333333333333333,0.7333333333333333,0.26666666666666666,0.8666666666666667,0.3333333333333333,0.8,4.933333333333334,3.066666666666667,1.0,0.7333333333333333,1.4,0.5955334987593053,0.5878378378378378,113.47517730496455,0.07162450472416945,2.75,0.047281323877068564,0.41304347826086957,0.6216216216216216,0.20270270270270271,0.3829583532790809,1.723312589755864,3.063666826232647,1.1488750598372428,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
525,5,Division I,tylerjuniorcollege,Josiah Hill,,,,Wing,,,17,3.2424999999999997,3.45,3.05,3,8.705882352941176,5.823529411764706,0.0,1.0588235294117647,0.4117647058823529,0.7647058823529411,1.7058823529411764,5.0,0.0,4.352941176470588,1.7647058823529411,4.0588235294117645,0.6294658046954746,0.5411764705882353,109.17674830333432,0.10755315772770549,0.0,0.13278253172027146,,0.0,0.8705882352941177,1.6129032258064515,1.7921146953405018,8.870967741935484,2.598566308243728,Elite,5,Poor,1,Very Good,4,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
663,6,Division I,tylerjuniorcollege,Segun Obe,,,,Wing,,,11,3.1500000000000004,4.0,2.0,3,4.090909090909091,3.4545454545454546,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.7272727272727273,1.8181818181818181,2.090909090909091,0.0,2.090909090909091,1.7272727272727273,1.7272727272727273,0.6793478260869565,0.6521739130434783,121.22844827586208,0.041463741566507305,1.25,0.10775862068965518,,0.0,1.0,0.5138086062941555,1.2845215157353886,4.881181759794477,2.5690430314707773,Elite,5,Poor,1,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
815,7,Division I,tylerjuniorcollege,Luis Gil,,,,Wing,,,10,3.0575,3.5000000000000004,2.45,3,7.1,2.8,1.1,0.9,0.6,0.4,1.2,5.4,3.3,1.2,1.0,1.8,0.5988529014844804,0.5648148148148148,103.98359695371998,0.08441719004994809,1.2222222222222223,0.13181019332161686,0.3939393939393939,0.6111111111111112,0.2222222222222222,1.2838801711840229,1.4265335235378032,3.9942938659058487,1.7118402282453637,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
979,8,Division I,tylerjuniorcollege,Sabree Scott,,,,Wing,,,13,2.9825,3.3500000000000005,2.45,3,8.76923076923077,1.9230769230769231,1.6153846153846154,0.9230769230769231,0.7692307692307693,0.23076923076923078,0.46153846153846156,7.0,3.0,1.3846153846153846,0.38461538461538464,1.5384615384615385,0.5762232106752931,0.5494505494505495,102.77677605481428,0.11382480912897135,1.75,0.10818608005769924,0.3076923076923077,0.42857142857142855,0.1978021978021978,1.411764705882353,1.5294117647058822,2.9411764705882355,0.7058823529411765,Very Good,4,Poor,1,Average,3,Very Good,4,Elite,5,Below Average,2,Very Good,4,Elite,5,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1551,9,Division I,tylerjuniorcollege,Ahmed Jwao,,,,Wing,,,6,2.75,3.2,2.0,3,2.8333333333333335,1.3333333333333333,0.16666666666666666,0.5,0.0,0.5,0.8333333333333334,1.0,0.16666666666666666,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.8173076923076923,0.6666666666666666,126.86567164179104,0.02596697930392993,0.3333333333333333,0.22388059701492538,0.0,0.16666666666666666,1.6666666666666667,0.6734006734006734,0.6734006734006734,1.7957351290684624,1.122334455667789,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1569,10,Division I,tylerjuniorcollege,Zander Frazier,,,,Wing,,,15,2.745,2.3500000000000005,3.2,3,5.933333333333334,5.2,2.6666666666666665,1.1333333333333333,1.4,0.13333333333333333,1.3333333333333333,5.066666666666666,1.6666666666666667,1.6666666666666667,1.2,4.0,0.5114942528735632,0.47368421052631576,85.57692307692308,0.09323674962346697,2.3529411764705883,0.16346153846153846,0.24,0.32894736842105265,0.32894736842105265,1.7346938775510203,2.3469387755102042,7.959183673469388,2.0408163265306123,Below Average,2,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Elite,5,Elite,5,Unknown
