MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
41,1,Division I,utahstateeastern,Bowen Davies,,,,Wing,,,15,3.99,4.0,4.4,3,13.0,7.466666666666667,1.2666666666666666,0.7333333333333333,0.8,2.2,1.7333333333333334,9.133333333333333,0.0,3.6666666666666665,2.466666666666667,5.0,0.6048387096774194,0.635036496350365,113.2404181184669,0.13914027149321267,1.7272727272727273,0.06387921022067364,,0.0,0.40145985401459855,0.9838998211091234,4.025044722719142,10.01788908765653,2.3255813953488373,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Elite,5,Unknown
110,2,Division I,utahstateeastern,Isaac Castagnetto,,,,Wing,,,20,3.7299999999999995,3.9,3.8,3,10.6,4.1,3.95,1.6,2.2,0.35,1.35,7.35,2.25,2.55,0.65,3.45,0.625590179414542,0.5884353741496599,105.24225575853852,0.1227693807898586,2.46875,0.15885623510722796,0.4222222222222222,0.30612244897959184,0.3469387755102041,2.1476510067114094,3.422818791946309,5.503355704697986,1.8120805369127517,Elite,5,Below Average,2,Average,3,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
380,3,Division I,utahstateeastern,Kayin Turner,,,,Wing,,,20,3.3525,3.95,2.6500000000000004,3,11.05,3.1,1.55,1.4,1.15,0.4,2.75,7.35,3.9,2.7,0.4,2.7,0.6471070508315765,0.6054421768707483,111.18937411954116,0.12113603120429059,1.1071428571428572,0.1408734151740793,0.38461538461538464,0.5306122448979592,0.3673469387755102,1.8791946308724832,2.0805369127516777,4.1610738255033555,3.6912751677852347,Elite,5,Below Average,2,Very Good,4,Average,3,Average,3,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
913,4,Division I,utahstateeastern,Ike Palmer,,,,Wing,,,20,3.0150000000000006,3.1,2.9000000000000004,3,16.2,4.2,3.85,2.5,1.55,0.15,2.2,11.6,2.3,6.1,0.95,3.25,0.5670680481657798,0.4892241379310345,96.5204957102002,0.2045831301803998,1.54,0.14895138226882745,0.2826086956521739,0.19827586206896552,0.5258620689655172,3.3557046979865772,2.2818791946308723,5.6375838926174495,2.953020134228188,Average,3,Very Good,4,Below Average,2,Very Good,4,Average,3,Below Average,2,Average,3,Average,3,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
1538,5,Division I,utahstateeastern,Liam Davis,,,,Wing,,,15,2.75,3.2,2.0,3,5.066666666666666,2.6666666666666665,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.2,1.0,3.533333333333333,0.26666666666666666,1.4666666666666666,1.4,1.2666666666666666,0.6062539885130823,0.6320754716981132,103.1487513572204,0.05953458306399484,0.9090909090909091,0.14929424538545058,0.25,0.07547169811320754,0.41509433962264153,0.9838998211091234,0.9838998211091234,3.5778175313059033,1.3416815742397137,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1599,6,Division I,utahstateeastern,Ethen Stoddard,,,,Wing,,,20,2.7325,2.85,2.45,3,6.1,2.65,0.4,1.0,0.6,0.75,2.15,4.35,0.0,1.15,0.95,1.7,0.6280889621087314,0.6551724137931034,104.16666666666666,0.07137981472452462,0.4,0.17076502732240437,,0.0,0.26436781609195403,1.342281879194631,1.8120805369127517,3.557046979865772,2.8859060402684564,Elite,5,Poor,1,Average,3,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2122,7,Division I,utahstateeastern,Seven Bahati,,,,Wing,,,20,2.54,2.1500000000000004,2.9000000000000004,3,8.7,2.4,1.6,1.55,1.5,0.2,1.7,6.8,1.45,2.0,0.8,1.6,0.56640625,0.5441176470588235,94.2578548212351,0.11250609458800585,1.032258064516129,0.16793066088840738,0.27586206896551724,0.21323529411764705,0.29411764705882354,2.0805369127516777,2.2818791946308723,3.221476510067114,2.2818791946308723,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Poor,1,Below Average,2,Average,3,Very Good,4,Very Good,4,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2769,8,Division I,utahstateeastern,Justin Anderson,,,,Wing,,,15,2.35,2.4000000000000004,2.0,3,2.4,1.2,1.3333333333333333,0.5333333333333333,0.6,0.06666666666666667,0.7333333333333333,2.0,1.3333333333333333,0.3333333333333333,0.06666666666666667,1.1333333333333333,0.5590062111801242,0.5333333333333333,89.55223880597015,0.03248222365869425,2.5,0.1990049751243781,0.4,0.6666666666666666,0.16666666666666666,0.7155635062611807,0.8944543828264758,1.6100178890876566,0.9838998211091234,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3156,9,Division I,utahstateeastern,Easton Duft,,,,Wing,,,14,2.25,2.2,2.0,3,1.5,0.5714285714285714,2.0,0.42857142857142855,0.6428571428571429,0.0,0.6428571428571429,1.2857142857142858,0.6428571428571429,0.21428571428571427,0.0,0.5714285714285714,0.5434782608695652,0.5,82.93838862559241,0.02198145640170851,4.666666666666667,0.23696682464454977,0.4444444444444444,0.5,0.16666666666666666,0.5752636625119847,0.862895493767977,0.7670182166826462,0.862895493767977,Average,3,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3371,10,Division I,utahstateeastern,Weston Johnson,,,,Wing,,,13,2.2,2.1,2.0,3,1.2307692307692308,1.7692307692307692,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.0,0.46153846153846156,1.4615384615384615,1.0,0.15384615384615385,0.15384615384615385,1.6153846153846154,0.4024144869215292,0.3684210526315789,69.93006993006993,0.02164944551682374,1.6666666666666667,0.13111888111888112,0.3076923076923077,0.6842105263157895,0.10526315789473684,0.31185031185031187,0.4158004158004158,2.3908523908523907,0.6237006237006237,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
