MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
18,1,Division I,vincennesuniversity,Dayton Williams,,,,Wing,,,13,4.1325,4.25,4.45,3,17.384615384615383,8.076923076923077,3.3846153846153846,1.7692307692307692,1.3846153846153846,1.0769230769230769,2.4615384615384617,12.384615384615385,2.1538461538461537,4.153846153846154,1.6923076923076923,6.384615384615385,0.6116042433427149,0.6086956521739131,108.77936080092415,0.18402125775022143,1.9130434782608696,0.11070465922217944,0.5,0.17391304347826086,0.33540372670807456,2.338586680223691,3.253685815963396,10.676156583629894,3.253685815963396,Elite,5,Average,3,Very Good,4,Very Good,4,Very Good,4,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Elite,5,Unknown
627,2,Division I,vincennesuniversity,Drae Vasser,,,,Wing,,,13,3.1075,3.6,2.45,3,14.384615384615385,4.461538461538462,6.6923076923076925,2.076923076923077,1.0769230769230769,0.15384615384615385,2.1538461538461537,11.0,4.6923076923076925,2.4615384615384617,0.6923076923076923,3.769230769230769,0.5952380952380952,0.5594405594405595,101.58626684050412,0.16304694419840568,3.2222222222222223,0.14667535853976532,0.39344262295081966,0.42657342657342656,0.22377622377622378,2.745297407219115,1.626842907981698,5.8973055414336555,2.8469750889679717,Very Good,4,Average,3,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
981,3,Division I,vincennesuniversity,Jalen Calloway,,,,Wing,,,13,2.925,3.55,2.0,3,11.461538461538462,3.923076923076923,2.6153846153846154,1.5384615384615385,0.3076923076923077,0.38461538461538464,1.1538461538461537,8.615384615384615,2.923076923076923,2.230769230769231,0.7692307692307693,3.1538461538461537,0.5971465213209362,0.5714285714285714,102.92898590770932,0.12821966341895483,1.7,0.13815971262779775,0.3684210526315789,0.3392857142857143,0.25892857142857145,2.0335536349771224,0.9150991357397051,5.185561769191662,1.525165226232842,Very Good,4,Below Average,2,Average,3,Very Good,4,Very Good,4,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1125,4,Division I,vincennesuniversity,Jaloni Johnson,,,,Wing,,,11,2.8500000000000005,3.4000000000000004,2.0,3,4.2727272727272725,1.0909090909090908,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.0,0.7272727272727273,2.727272727272727,2.4545454545454546,0.0,0.2727272727272727,0.8181818181818182,0.7833333333333333,0.7833333333333333,134.28571428571428,0.036916715888954524,0.4,0.14285714285714285,0.5555555555555556,0.9,0.0,0.6105006105006106,0.3663003663003663,1.465201465201465,0.9768009768009768,Elite,5,Poor,1,Elite,5,Poor,1,Average,3,Elite,5,Average,3,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1166,5,Division I,vincennesuniversity,Alex Montes,,,,Wing,,,13,2.8325000000000005,3.0500000000000003,2.45,3,9.0,3.3076923076923075,1.9230769230769231,1.0,0.5384615384615384,0.6153846153846154,1.8461538461538463,7.384615384615385,3.076923076923077,2.5384615384615383,0.9230769230769231,2.3846153846153846,0.5293159609120521,0.5104166666666666,94.72150259067358,0.10940655447298493,1.9230769230769231,0.1052461139896373,0.45,0.4166666666666667,0.34375,1.3218098627351296,1.525165226232842,4.372140315200814,2.440264361972547,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1318,6,Division I,vincennesuniversity,Sheriff Akerele,,,,Wing,,,9,2.7750000000000004,3.25,2.0,3,2.5555555555555554,1.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.2222222222222222,0.3333333333333333,1.4444444444444444,0.0,1.5555555555555556,0.6666666666666666,0.6666666666666666,0.6002087682672234,0.46153846153846156,103.79061371841155,0.027648849628187856,0.6666666666666666,0.13537906137184116,,0.0,1.0769230769230769,0.42735042735042733,0.2849002849002849,1.7094017094017093,0.42735042735042733,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2053,7,Division I,vincennesuniversity,Lorenzo Malagnini,,,,Wing,,,13,2.4799999999999995,2.4499999999999997,2.3,3,9.384615384615385,6.0,1.3076923076923077,1.3076923076923077,0.23076923076923078,0.6153846153846154,1.8461538461538463,7.846153846153846,0.0,1.8461538461538463,2.923076923076923,3.076923076923077,0.5419331911869225,0.5392156862745098,94.1648656992899,0.11475642161204606,1.0,0.1312133374498302,,0.0,0.23529411764705882,1.7285205897305542,1.1184544992374175,7.930859176410777,2.440264361972547,Average,3,Poor,1,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
2168,8,Division I,vincennesuniversity,Elijah Lovemore,,,,Wing,,,11,2.4499999999999997,2.5999999999999996,2.0,3,2.272727272727273,1.7272727272727273,1.7272727272727273,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.9090909090909091,2.6363636363636362,0.6363636363636364,1.6363636363636365,0.5454545454545454,1.1818181818181819,0.33856988082340195,0.25862068965517243,61.09481915933529,0.04226574119980169,4.75,0.09775171065493646,0.14285714285714285,0.2413793103448276,0.6206896551724138,0.47647409172126265,0.357355568790947,2.2632519356759975,1.1911852293031566,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2757,9,Division I,vincennesuniversity,Jevon Guess,,,,Wing,,,12,2.275,2.25,2.0,3,5.833333333333333,3.25,0.3333333333333333,0.75,0.08333333333333333,0.08333333333333333,1.9166666666666667,4.5,0.0,2.4166666666666665,1.4166666666666667,1.8333333333333333,0.5242660275614139,0.5370370370370371,92.39704329461456,0.07291907291907292,0.4444444444444444,0.1187961985216473,,0.0,0.5370370370370371,1.001669449081803,0.22259321090706732,4.340567612687813,2.559821925431274,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3016,10,Division I,vincennesuniversity,Flavio Jean,,,,Wing,,,8,2.2,2.1,2.0,3,1.75,0.875,1.125,0.75,0.125,0.125,0.625,1.25,0.25,1.0,0.0,0.875,0.5177514792899408,0.4,71.72131147540983,0.027248869283600426,1.5,0.3073770491803279,0.0,0.2,0.8,0.9592326139088729,0.31974420463629094,1.1191047162270185,0.7993605115907274,Below Average,2,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
