MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
940,1,Division I,wabashvalleycollege,Michael Dempsey,,,,Wing,,,11,3.0,3.7000000000000006,2.0,3,4.090909090909091,0.9090909090909091,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.0,0.0,2.909090909090909,2.1818181818181817,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.6664691943127963,0.65625,119.17372881355932,0.04039539560956823,1.0,0.10593220338983052,0.4166666666666667,0.75,0.125,0.48721071863581,0.97442143727162,1.218026796589525,0.0,Elite,5,Poor,1,Elite,5,Below Average,2,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1009,2,Division I,wabashvalleycollege,Nazier Leonard,,,,Wing,,,16,2.9725,2.7,3.35,3,15.1875,4.25,1.75,2.4375,1.5,0.75,0.0,11.1875,1.875,6.9375,0.75,3.5,0.5332689606741573,0.4581005586592179,91.06580722530354,0.19647169700182604,0.717948717948718,0.14615499925048717,0.3333333333333333,0.16759776536312848,0.6201117318435754,3.2842105263157895,3.031578947368421,5.726315789473684,0.0,Average,3,Very Good,4,Poor,1,Poor,1,Average,3,Average,3,Average,3,Average,3,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1765,3,Division I,wabashvalleycollege,DeMario Spear,,,,Wing,,,16,2.665,2.4000000000000004,2.9000000000000004,3,3.8125,4.125,1.75,1.5625,1.125,0.6875,0.0,2.625,0.25,1.5625,1.25,2.875,0.5754716981132075,0.5714285714285714,78.2051282051282,0.05743064145608765,1.12,0.32051282051282054,0.5,0.09523809523809523,0.5952380952380952,2.1052631578947367,2.442105263157895,5.557894736842106,0.0,Very Good,4,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2009,4,Division I,wabashvalleycollege,Mohamed Diaby,,,,Wing,,,16,2.5774999999999997,1.7000000000000002,3.65,3,7.6875,5.25,1.0,2.1875,1.3125,0.875,0.0,7.125,0.75,2.6875,1.9375,3.3125,0.4626843213963286,0.42105263157894735,73.2491662696522,0.12363786299110564,0.45714285714285713,0.20843258694616482,0.16666666666666666,0.10526315789473684,0.37719298245614036,2.9473684210526314,2.9473684210526314,7.073684210526316,0.0,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Very Good,4,Unknown
2045,5,Division I,wabashvalleycollege,Jesiah Sloss,,,,Wing,,,12,2.5650000000000004,2.2,2.9000000000000004,3,5.666666666666667,3.5,0.16666666666666666,1.5833333333333333,1.0833333333333333,0.4166666666666667,0.0,3.8333333333333335,0.16666666666666666,2.3333333333333335,1.3333333333333333,2.1666666666666665,0.5829903978052127,0.5,87.94619762027936,0.07571484528006266,0.10526315789473684,0.2457320227625453,0.0,0.043478260869565216,0.6086956521739131,2.1134593993325916,2.0022246941045605,4.671857619577308,0.0,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2120,6,Division I,wabashvalleycollege,Khore Furlow,,,,Wing,,,16,2.5424999999999995,2.05,3.05,3,7.6875,6.5,0.625,1.25,0.625,0.6875,0.0,7.0625,0.125,2.5625,3.0625,3.4375,0.4693223443223444,0.4424778761061947,81.43538135593221,0.11120928314778819,0.5,0.13241525423728814,0.0,0.017699115044247787,0.36283185840707965,1.6842105263157894,1.768421052631579,8.757894736842106,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
2576,7,Division I,wabashvalleycollege,Taj Ford,,,,Wing,,,12,2.415,1.9,2.9000000000000004,3,8.583333333333334,2.5833333333333335,0.8333333333333334,1.8333333333333333,1.8333333333333333,0.0,0.0,8.166666666666666,2.4166666666666665,2.5,0.75,1.8333333333333333,0.4631294964028777,0.413265306122449,77.32732732732734,0.13043478260869565,0.45454545454545453,0.1651651651651652,0.1724137931034483,0.29591836734693877,0.30612244897959184,2.447163515016685,2.447163515016685,3.4482758620689653,0.0,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2655,8,Division I,wabashvalleycollege,Tristan Yarde,,,,Wing,,,6,2.3999999999999995,2.4999999999999996,2.0,3,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4504504504504504,0.5,90.09009009009009,0.016883413187314626,99.0,0.0,,0.0,0.25,0.0,0.44052863436123346,0.44052863436123346,0.0,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2868,9,Division I,wabashvalleycollege,Byron McNeill,,,,Wing,,,12,2.3324999999999996,2.05,2.45,3,7.5,2.3333333333333335,1.0833333333333333,1.6666666666666667,0.9166666666666666,0.4166666666666667,0.0,5.583333333333333,1.25,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.5673222390317701,0.5373134328358209,90.61619009262989,0.09714397496087636,0.65,0.20136931131695532,0.26666666666666666,0.22388059701492538,0.417910447761194,2.26628895184136,1.8130311614730878,3.1728045325779037,0.0,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3861,10,Division I,wabashvalleycollege,Cameron Marks,,,,Wing,,,9,2.075,1.85,2.0,3,6.222222222222222,2.2222222222222223,2.3333333333333335,2.111111111111111,0.7777777777777778,0.1111111111111111,0.0,5.666666666666667,1.4444444444444444,2.4444444444444446,0.3333333333333333,1.8888888888888888,0.4614370468029005,0.43137254901960786,70.28112449799197,0.10411875392013381,1.105263157894737,0.23845381526104414,0.3076923076923077,0.2549019607843137,0.43137254901960786,2.806499261447563,1.1816838995568686,2.9542097488921715,0.0,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
