MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
763,1,Division I,weatherfordcollege,Keith Gillespie,,,,Wing,,,15,2.9825,3.35,2.45,3,8.4,1.7333333333333334,1.4,0.8666666666666667,1.4,0.0,1.6,6.866666666666666,3.6666666666666665,1.8666666666666667,0.3333333333333333,1.4,0.5463059313215402,0.5097087378640777,98.19201995012469,0.10437272254034356,1.6153846153846154,0.10130922693266833,0.45454545454545453,0.5339805825242718,0.27184466019417475,1.1754068716094033,1.8987341772151898,2.3508137432188065,2.1699819168173597,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Elite,5,Very Good,4,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
810,2,Division I,weatherfordcollege,Dionte Alexander,,,,Wing,,,14,2.9524999999999997,3.15,2.6500000000000004,3,7.142857142857143,4.428571428571429,1.6428571428571428,1.2142857142857142,1.4285714285714286,0.42857142857142855,2.2142857142857144,5.214285714285714,1.6428571428571428,1.6428571428571428,1.2857142857142858,3.142857142857143,0.6015399422521656,0.5547945205479452,99.88014382740711,0.08708207215669903,1.3529411764705883,0.1697962445065921,0.391304347826087,0.3150684931506849,0.3150684931506849,1.651287032540068,2.525497814473045,6.022340942204954,3.011170471102477,Elite,5,Poor,1,Below Average,2,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Very Good,4,Average,3,Poor,1,Very Good,4,Elite,5,Unknown
1905,3,Division I,weatherfordcollege,Jel Malek,,,,Wing,,,13,2.4749999999999996,2.65,2.0,3,5.769230769230769,1.3076923076923077,0.9230769230769231,1.4615384615384615,0.46153846153846156,0.0,0.9230769230769231,3.6153846153846154,1.1538461538461537,1.6923076923076923,0.38461538461538464,0.9230769230769231,0.6616090331686661,0.6276595744680851,99.1014799154334,0.0713262459473724,0.631578947368421,0.25105708245243125,0.4666666666666667,0.3191489361702128,0.46808510638297873,2.0031628887717448,0.632577754348972,1.7923036373220875,1.265155508697944,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2031,4,Division I,weatherfordcollege,Andre Bennett,,,,Wing,,,15,2.4325,2.2500000000000004,2.45,3,10.133333333333333,3.933333333333333,1.4666666666666666,2.3333333333333335,1.2,0.26666666666666666,2.1333333333333333,8.8,2.6666666666666665,2.7333333333333334,0.6,3.3333333333333335,0.5065315915755799,0.4810606060606061,82.14440121054908,0.15050754815200415,0.6285714285714286,0.18914829226113275,0.325,0.30303030303030304,0.3106060606060606,3.1645569620253164,1.9891500904159132,5.334538878842676,2.8933092224231465,Below Average,2,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2053,5,Division I,weatherfordcollege,Josiah Coleman,,,,Wing,,,15,2.425,2.5500000000000003,2.0,3,8.6,2.2,2.533333333333333,1.9333333333333333,0.6,0.06666666666666667,1.1333333333333333,7.4,2.3333333333333335,2.533333333333333,0.5333333333333333,1.6666666666666667,0.5050109614782337,0.46396396396396394,82.312404287902,0.12747267048412284,1.3103448275862069,0.18504338948443083,0.37142857142857144,0.3153153153153153,0.34234234234234234,2.6220614828209765,0.9041591320072333,2.9837251356238697,1.5370705244122966,Below Average,2,Below Average,2,Poor,1,Average,3,Below Average,2,Elite,5,Average,3,Very Good,4,Elite,5,Below Average,2,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2242,6,Division I,weatherfordcollege,Kenji Franklin,,,,Wing,,,10,2.3625,2.5999999999999996,1.75,3,4.5,3.8,0.4,1.1,0.4,0.1,2.7,2.5,0.2,2.0,2.0,1.8,0.6656804733727811,0.66,100.44642857142858,0.05485087418580733,0.36363636363636365,0.2455357142857143,0.5,0.08,0.8,1.5058179329226558,0.6844626967830253,5.201916495550993,3.696098562628337,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2533,7,Division I,weatherfordcollege,Kyan Landveld,,,,Wing,,,14,2.2775,1.8000000000000003,2.6500000000000004,3,6.5,3.7857142857142856,0.8571428571428571,2.0,1.0,0.7142857142857143,2.5714285714285716,5.5,2.2857142857142856,1.7142857142857142,1.0,2.7857142857142856,0.5196436729100046,0.5,78.74697127033575,0.10160728730700243,0.42857142857142855,0.24229837313949462,0.28125,0.4155844155844156,0.3116883116883117,2.7330405075646658,2.342606149341142,5.1732552464616886,3.513909224011713,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Very Good,4,Very Good,4,Unknown
3143,8,Division I,weatherfordcollege,Daunte Smith,,,,Wing,,,15,2.0999999999999996,1.9,2.0,3,4.133333333333334,3.2666666666666666,1.8666666666666667,1.6666666666666667,0.9333333333333333,0.06666666666666667,1.7333333333333334,3.533333333333333,0.6666666666666666,0.9333333333333333,0.8666666666666667,2.4,0.5240027045300879,0.4811320754716981,73.66920152091255,0.06845393024466423,1.12,0.2970532319391635,0.3,0.18867924528301888,0.2641509433962264,2.2603978300180834,1.3562386980108498,4.430379746835443,2.3508137432188065,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3252,9,Division I,weatherfordcollege,Garang Dhieu,,,,Wing,,,9,2.0549999999999997,1.6,2.3,3,3.2222222222222223,5.0,0.7777777777777778,1.3333333333333333,0.3333333333333333,0.2222222222222222,2.0,2.7777777777777777,0.0,1.6666666666666667,1.5555555555555556,3.4444444444444446,0.4588607594936709,0.48,66.5137614678899,0.060025331791398205,0.5833333333333334,0.27522935779816515,,0.0,0.6,1.8223234624145785,0.7593014426727411,6.83371298405467,2.733485193621868,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
3514,10,Division I,weatherfordcollege,Jelani McGregor,,,,Wing,,,12,1.9749999999999999,1.65,2.0,3,3.75,1.4166666666666667,1.4166666666666667,1.4166666666666667,0.8333333333333334,0.0,1.0833333333333333,3.6666666666666665,1.0,1.0,0.5833333333333334,0.8333333333333334,0.4565746753246753,0.3977272727272727,67.89378394689197,0.06693867657752282,1.0,0.2564876282438141,0.08333333333333333,0.2727272727272727,0.2727272727272727,1.9047619047619047,1.1204481792717087,1.9047619047619047,1.4565826330532212,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
