MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
13,1,Division I,westernoklahomastatecollege,Stephen Semey,,,,Wing,,,12,4.1625,4.1,4.75,3,16.333333333333332,10.416666666666666,1.75,1.3333333333333333,1.75,0.9166666666666666,2.5,9.583333333333334,0.0,5.083333333333333,3.8333333333333335,6.583333333333333,0.6909193457416808,0.6695652173913044,124.17638114546376,0.14532999410724806,1.3125,0.10136847440446022,,0.0,0.5304347826086957,1.7553483269336259,3.5106966538672517,13.713658804168952,3.2912781130005486,Elite,5,Below Average,2,Elite,5,Average,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Unknown
31,2,Division I,westernoklahomastatecollege,Carlos Clater Jr,,,,Wing,,,12,4.03,4.5,3.8,3,22.083333333333332,1.0,2.4166666666666665,1.25,2.9166666666666665,0.08333333333333333,1.0,15.75,8.333333333333334,2.0833333333333335,0.3333333333333333,0.6666666666666666,0.6625,0.6507936507936508,123.25581395348837,0.19795963464938124,1.9333333333333333,0.06976744186046512,0.5,0.5291005291005291,0.13227513227513227,1.6456390565002743,3.9495337356006583,1.3165112452002194,1.3165112452002194,Elite,5,Very Good,4,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
69,3,Division I,westernoklahomastatecollege,Keisean Shields,,,,Wing,,,11,3.755,3.95,3.8,3,10.363636363636363,0.6363636363636364,4.090909090909091,1.0,3.8181818181818183,0.0,1.4545454545454546,7.0,2.0,1.0909090909090908,0.2727272727272727,0.36363636363636365,0.6927564414195431,0.6688311688311688,122.21269296740995,0.09382040553588669,4.090909090909091,0.1179245283018868,0.5,0.2857142857142857,0.15584415584415584,1.3079667063020215,4.9940546967895365,0.8323424494649228,1.9024970273483948,Elite,5,Poor,1,Elite,5,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Average,3,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
92,4,Division I,westernoklahomastatecollege,Jok Bulabek,,,,Wing,,,12,3.6799999999999997,3.8,3.8,3,10.666666666666666,4.833333333333333,2.5833333333333335,0.75,2.0,0.6666666666666666,1.5833333333333333,8.083333333333334,1.8333333333333333,1.9166666666666667,1.75,3.0833333333333335,0.5974607916355489,0.5773195876288659,110.23079572855666,0.10691661756040069,3.4444444444444446,0.0775060282466414,0.45454545454545453,0.2268041237113402,0.23711340206185566,0.9873834339001646,3.5106966538672517,6.363137685134394,2.084476138233681,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Elite,5,Unknown
187,5,Division I,westernoklahomastatecollege,Damarie Davis,,,,Wing,,,11,3.4975000000000005,3.7500000000000004,3.35,3,5.090909090909091,4.545454545454546,1.7272727272727273,0.5454545454545454,1.6363636363636365,0.36363636363636365,1.0,3.727272727272727,0.36363636363636365,1.0,1.3636363636363635,3.1818181818181817,0.6108202443280977,0.6097560975609756,108.02469135802468,0.05240386559378917,3.1666666666666665,0.11574074074074073,0.5,0.0975609756097561,0.2682926829268293,0.7177033492822966,2.6315789473684212,5.980861244019139,1.3157894736842106,Elite,5,Poor,1,Very Good,4,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
330,6,Division I,westernoklahomastatecollege,May Kueny,,,,Wing,,,8,3.3075,4.0,2.45,3,3.375,1.625,0.625,0.125,0.625,0.5,0.5,2.125,0.5,0.375,0.75,0.875,0.7368995633187773,0.7647058823529411,139.75155279503105,0.025871766029246346,5.0,0.05175983436853002,0.5,0.23529411764705882,0.17647058823529413,0.16273393002441008,1.4646053702196908,2.1155410903173313,0.6509357200976403,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
837,7,Division I,westernoklahomastatecollege,Ali Khan,,,,Wing,,,9,2.95,3.5999999999999996,2.0,3,4.0,0.2222222222222222,1.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.4444444444444444,2.7777777777777777,2.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.6512301013024602,0.62,110.29411764705883,0.03997452603732916,1.8,0.15318627450980393,0.3888888888888889,0.72,0.24,0.7342143906020558,0.2936857562408223,0.2936857562408223,0.5873715124816447,Elite,5,Poor,1,Very Good,4,Very Good,4,Average,3,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1004,8,Division I,westernoklahomastatecollege,Franciz Wai,,,,Wing,,,12,2.8575,3.1000000000000005,2.45,3,8.25,3.3333333333333335,1.25,1.0833333333333333,0.75,0.6666666666666666,1.1666666666666667,6.416666666666667,1.6666666666666667,1.1666666666666667,1.4166666666666667,1.9166666666666667,0.5952380952380952,0.577922077922078,102.95341098169717,0.08853859752504419,1.1538461538461537,0.13519134775374375,0.55,0.2597402597402597,0.18181818181818182,1.426220515633571,1.8650575973669774,4.3883708173340645,1.5359297860669228,Very Good,4,Poor,1,Average,3,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1020,9,Division I,westernoklahomastatecollege,Ibrahim Toure,,,,Wing,,,11,2.8500000000000005,3.4000000000000004,2.0,3,3.6363636363636362,4.2727272727272725,0.8181818181818182,0.2727272727272727,0.36363636363636365,0.0,0.6363636363636364,2.6363636363636362,0.09090909090909091,1.4545454545454546,1.7272727272727273,2.5454545454545454,0.5549389567147613,0.5172413793103449,102.45901639344262,0.0387624607808094,3.0,0.07684426229508197,0.0,0.034482758620689655,0.5517241379310345,0.3552397868561279,0.47365304914150386,5.56542332741267,0.8288928359976317,Average,3,Poor,1,Average,3,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1149,10,Division I,westernoklahomastatecollege,Yousif Gamar,,,,Wing,,,12,2.7975000000000003,2.3500000000000005,3.35,3,5.083333333333333,5.0,2.5,0.9166666666666666,1.5,0.5833333333333334,1.0,5.75,1.8333333333333333,0.9166666666666666,1.75,3.25,0.41305525460455034,0.37681159420289856,71.9000471475719,0.07811579257513258,2.727272727272727,0.12965582272512965,0.09090909090909091,0.3188405797101449,0.15942028985507245,1.206801974766868,2.7427317608337907,6.582556226001097,1.3165112452002194,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Average,3,Very Good,4,Average,3,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
1249,11,Division I,westernoklahomastatecollege,Carlos Adamson,,,,Wing,,,11,2.75,3.2,2.0,3,4.363636363636363,1.1818181818181819,1.7272727272727273,0.36363636363636365,0.6363636363636364,0.0,0.36363636363636365,3.5454545454545454,1.8181818181818181,0.9090909090909091,0.45454545454545453,0.7272727272727273,0.5529953917050692,0.48717948717948717,101.26582278481013,0.046638853904282115,4.75,0.08438818565400844,0.3,0.5128205128205128,0.2564102564102564,0.47337278106508873,0.8284023668639053,1.5384615384615385,0.47337278106508873,Average,3,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1519,12,Division I,westernoklahomastatecollege,Ryo Nagahama,,,,Wing,,,12,2.6325000000000003,2.6500000000000004,2.45,3,2.9166666666666665,0.4166666666666667,2.75,0.75,1.5,0.0,1.0833333333333333,2.1666666666666665,1.4166666666666667,0.08333333333333333,0.16666666666666666,0.25,0.661875945537065,0.6538461538461539,98.75846501128669,0.03263111373011195,3.6666666666666665,0.25395033860045146,0.47058823529411764,0.6538461538461539,0.038461538461538464,0.9873834339001646,1.9747668678003292,0.5485463521667581,1.426220515633571,Elite,5,Poor,1,Below Average,2,Elite,5,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1642,13,Division I,westernoklahomastatecollege,Komy Ocwor,,,,Wing,,,7,2.5824999999999996,2.55,2.45,3,3.0,2.7142857142857144,1.2857142857142858,0.7142857142857143,1.0,0.2857142857142857,0.42857142857142855,2.142857142857143,1.1428571428571428,0.8571428571428571,0.42857142857142855,2.2857142857142856,0.5952380952380952,0.6,92.75618374558303,0.03378096090719188,1.8,0.22084805653710246,0.5,0.5333333333333333,0.4,0.9115770282588879,1.6408386508659982,3.463992707383774,0.5469462169553327,Very Good,4,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
