MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
10,1,Division I,westerntexascollege,Calven Charles,,,,Wing,,,17,4.195,4.2,4.7,3,8.764705882352942,7.882352941176471,2.0588235294117645,0.47058823529411764,1.588235294117647,1.7058823529411764,1.1764705882352942,5.0588235294117645,0.058823529411764705,3.588235294117647,2.176470588235294,5.705882352941177,0.6602268699042892,0.6918604651162791,123.3035418735518,0.08503152443143437,4.375,0.06620324395895398,1.0,0.011627906976744186,0.7093023255813954,0.6374501992031872,4.46215139442231,10.677290836653386,1.593625498007968,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Unknown
1101,2,Division I,westerntexascollege,Javonte Johnson,,,,Wing,,,13,2.9250000000000007,3.5500000000000007,2.0,3,3.3846153846153846,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.15384615384615385,2.0,1.5384615384615385,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.7801418439716312,0.7692307692307693,132.5301204819277,0.03008227320503063,1.2,0.1506024096385542,0.5,0.7692307692307693,0.19230769230769232,0.5112474437627812,0.6134969325153374,0.6134969325153374,0.20449897750511248,Elite,5,Poor,1,Elite,5,Average,3,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1546,3,Division I,westerntexascollege,Devonta Hilliard,,,,Wing,,,7,2.75,3.2,2.0,3,2.142857142857143,1.4285714285714286,1.4285714285714286,0.5714285714285714,0.8571428571428571,0.0,0.5714285714285714,1.1428571428571428,0.7142857142857143,0.8571428571428571,0.42857142857142855,1.0,0.7048872180451128,0.6875,102.45901639344262,0.024317321108232013,2.5,0.27322404371584696,0.6,0.625,0.75,0.7561436672967864,1.1342155009451795,1.890359168241966,0.7561436672967864,Elite,5,Poor,1,Average,3,Elite,5,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1678,4,Division I,westerntexascollege,Justin McCall,,,,Wing,,,16,2.7,3.1000000000000005,2.0,3,15.5,3.0,1.25,2.25,0.625,0.125,0.75,11.9375,9.0,2.4375,0.4375,2.5625,0.595695618754804,0.5732984293193717,101.5727391874181,0.1819048754321135,0.5555555555555556,0.1474442988204456,0.3819444444444444,0.7539267015706806,0.20418848167539266,3.0290281867900717,1.0096760622633572,4.038704249053429,1.0096760622633572,Very Good,4,Average,3,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
2442,5,Division I,westerntexascollege,Isak Homelius,,,,Wing,,,15,2.45,2.6,2.0,3,13.866666666666667,2.0,2.466666666666667,3.6666666666666665,0.7333333333333333,0.06666666666666667,1.0,9.466666666666667,6.466666666666667,5.733333333333333,0.13333333333333333,1.8666666666666667,0.5782918149466192,0.5140845070422535,88.57094191790155,0.18531612007196746,0.6727272727272727,0.23420200987906659,0.32989690721649484,0.6830985915492958,0.6056338028169014,4.92831541218638,1.075268817204301,2.6881720430107525,1.3440860215053763,Very Good,4,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Below Average,2,Unknown
2456,6,Division I,westerntexascollege,Khedit Gatluak,,,,Wing,,,14,2.4499999999999997,2.5999999999999996,2.0,3,5.928571428571429,3.857142857142857,1.1428571428571428,1.2142857142857142,0.42857142857142855,0.21428571428571427,0.42857142857142855,4.214285714285714,0.7142857142857143,1.1428571428571428,1.3571428571428572,2.5,0.6284070260448212,0.652542372881356,99.95183044315992,0.07014224414636619,0.9411764705882353,0.20472061657032753,0.3,0.1694915254237288,0.2711864406779661,1.6244624940277115,0.8600095556617295,5.160057333970378,0.5733397037744864,Elite,5,Poor,1,Below Average,2,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2547,7,Division I,westerntexascollege,Jalen Brown,,,,Wing,,,14,2.425,2.55,2.0,3,3.9285714285714284,3.642857142857143,1.2857142857142858,0.5,0.7857142857142857,0.07142857142857142,0.5714285714285714,3.857142857142857,1.1428571428571428,1.1428571428571428,1.4285714285714286,2.2142857142857144,0.450524246395806,0.42592592592592593,80.83480305702528,0.05747204108524511,2.5714285714285716,0.10288065843621401,0.25,0.2962962962962963,0.2962962962962963,0.6688963210702341,1.1466794075489728,4.873387482083134,0.7644529383659818,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2755,8,Division I,westerntexascollege,Zayier Dean,,,,Wing,,,13,2.3575,2.1,2.45,3,9.307692307692308,2.923076923076923,3.769230769230769,4.538461538461538,1.3076923076923077,0.15384615384615385,0.9230769230769231,6.769230769230769,2.769230769230769,4.846153846153846,0.6153846153846154,2.3076923076923075,0.5228136882129277,0.42613636363636365,69.25366300366301,0.159148874152882,0.8305084745762712,0.3376831501831502,0.3055555555555556,0.4090909090909091,0.7159090909090909,6.0730828615542976,1.9557385486361296,3.9114770972722592,1.2352032938754502,Below Average,2,Average,3,Poor,1,Below Average,2,Poor,1,Below Average,2,Average,3,Elite,5,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Poor,1,Unknown
3535,9,Division I,westerntexascollege,Anesu Dehwe,,,,Wing,,,17,2.15,2.0,2.0,3,9.705882352941176,3.3529411764705883,1.5294117647058822,2.3529411764705883,0.7647058823529411,0.17647058823529413,1.3529411764705883,9.058823529411764,3.588235294117647,2.6470588235294117,0.5882352941176471,2.764705882352941,0.47468354430379744,0.4318181818181818,77.17492984097287,0.15044471965773476,0.65,0.18709073900841908,0.3114754098360656,0.3961038961038961,0.2922077922077922,3.187250996015936,1.2749003984063745,4.54183266932271,1.8326693227091633,Poor,1,Average,3,Poor,1,Poor,1,Below Average,2,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3539,10,Division I,westerntexascollege,Rayan Fadika,,,,Wing,,,15,2.15,2.0,2.0,3,3.8,2.0,0.4,0.6,0.26666666666666666,0.06666666666666667,0.7333333333333333,3.533333333333333,1.5333333333333334,0.8,0.9333333333333333,1.0666666666666667,0.4890185312285518,0.4811320754716981,84.7205707491082,0.05328011657005291,0.6666666666666666,0.133769322235434,0.30434782608695654,0.4339622641509434,0.22641509433962265,0.8086253369272237,0.44923629829290207,2.6954177897574123,0.9883198562443846,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
