MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1510,1,Division I,wilburwrightcollege,Jayden O'Neal,,,,Wing,,,6,2.7524999999999995,2.05,3.65,3,9.5,6.0,4.5,3.1666666666666665,1.5,0.8333333333333334,1.5,8.333333333333334,1.6666666666666667,4.5,2.0,4.0,0.46056884292178407,0.36,70.47477744807122,0.15681712424383434,1.4210526315789473,0.23491592482690407,0.0,0.2,0.54,4.055496264674493,2.9882604055496267,7.68409818569904,1.92102454642476,Poor,1,Average,3,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Average,3,Unknown
1887,2,Division I,wilburwrightcollege,Knyle Lundy,,,,Wing,,,12,2.6125,2.4000000000000004,2.75,3,20.166666666666668,6.0,1.75,3.25,1.0,0.3333333333333333,1.0,16.333333333333332,2.5833333333333335,6.916666666666667,2.6666666666666665,3.3333333333333335,0.5203853431962842,0.46938775510204084,89.12787271655864,0.27118373217210656,0.5384615384615384,0.1436358279316441,0.25806451612903225,0.15816326530612246,0.42346938775510207,4.508670520231214,1.8497109826589595,8.323699421965317,1.3872832369942196,Below Average,2,Elite,5,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Average,3,Elite,5,Below Average,2,Below Average,2,Below Average,2,Elite,5,Below Average,2,Unknown
2487,3,Division I,wilburwrightcollege,Sayveon Trplett,,,,Wing,,,12,2.4225,1.6,3.35,3,5.833333333333333,2.5833333333333335,2.4166666666666665,3.25,1.75,0.16666666666666666,1.3333333333333333,4.833333333333333,0.5,4.0,1.0833333333333333,1.5,0.442366026289181,0.3879310344827586,59.26176769387064,0.1179737125963805,0.7435897435897436,0.33017270572299356,0.16666666666666666,0.10344827586206896,0.8275862068965517,4.508670520231214,2.658959537572254,3.5838150289017343,1.8497109826589595,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Below Average,2,Unknown
3022,4,Division I,wilburwrightcollege,Artis El,,,,Wing,,,10,2.275,2.25,2.0,3,1.9,1.4,0.2,0.2,0.0,0.0,0.7,2.9,0.8,0.8,0.9,0.5,0.2921279212792128,0.29310344827586204,55.040556199304746,0.04190337460548677,1.0,0.057937427578215524,0.125,0.27586206896551724,0.27586206896551724,0.2822865208186309,0.0,1.9760056457304165,0.9880028228652082,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3044,5,Division I,wilburwrightcollege,Elijah Johnson,,,,Wing,,,12,2.2575000000000003,1.9000000000000001,2.45,3,4.333333333333333,3.5833333333333335,1.1666666666666667,1.5833333333333333,0.75,0.5,1.6666666666666667,3.5833333333333335,1.9166666666666667,0.5833333333333334,1.9166666666666667,1.6666666666666667,0.5642361111111112,0.5581395348837209,79.90165949600492,0.06499940074307858,0.7368421052631579,0.29194837123540257,0.34782608695652173,0.5348837209302325,0.16279069767441862,2.1965317919075145,1.7341040462427746,4.971098265895954,2.3121387283236996,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Average,3,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3096,6,Division I,wilburwrightcollege,Jovan Alexander,,,,Wing,,,8,2.25,2.2,2.0,3,2.0,0.875,0.0,0.5,0.125,0.125,0.375,1.375,0.125,0.75,0.375,0.5,0.5865102639296187,0.5909090909090909,90.70294784580499,0.027652370203160272,0.0,0.22675736961451246,1.0,0.09090909090909091,0.5454545454545454,0.7441860465116279,0.37209302325581395,1.302325581395349,0.5581395348837209,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3115,7,Division I,wilburwrightcollege,Chance Chandler,,,,Wing,,,12,2.245,2.05,2.2,3,4.0,4.0,0.9166666666666666,1.4166666666666667,1.0,0.16666666666666666,2.3333333333333335,3.0,0.8333333333333334,1.1666666666666667,1.3333333333333333,2.6666666666666665,0.5692599620493359,0.5277777777777778,81.13590263691684,0.05908673245175981,0.6470588235294118,0.2873563218390805,0.2,0.2777777777777778,0.3888888888888889,1.9653179190751444,1.6184971098265897,5.5491329479768785,3.2369942196531793,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Average,3,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
3271,8,Division I,wilburwrightcollege,Caleb Zarbock,,,,Wing,,,10,2.2,2.1,2.0,3,5.4,0.9,0.4,1.0,0.1,0.3,0.5,4.8,4.3,1.3,0.1,0.8,0.5026061057334327,0.4270833333333333,84.7457627118644,0.07607449856733524,0.4,0.15693659761456372,0.3023255813953488,0.8958333333333334,0.2708333333333333,1.3879250520471895,0.5551700208188758,1.2491325468424705,0.6939625260235948,Below Average,2,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3840,9,Division I,wilburwrightcollege,Darryl Thompson,,,,Wing,,,9,2.05,1.8,2.0,3,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.3073770491803279,0.25,35.79952267303103,0.022789078646796475,1.1428571428571428,0.4176610978520287,0.0,0.5,0.5,1.12,0.16,1.28,1.12,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3947,10,Division I,wilburwrightcollege,Kostantinos Oikonomidis,,,,Wing,,,9,2.0075000000000003,1.4000000000000001,2.45,3,7.444444444444445,3.5555555555555554,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.6666666666666666,1.8888888888888888,7.555555555555555,0.4444444444444444,0.7777777777777778,2.3333333333333335,1.2222222222222223,0.47129994372537987,0.45588235294117646,70.4669751787968,0.13263768762903858,0.25,0.2524190155658393,0.0,0.058823529411764705,0.10294117647058823,3.9900249376558605,1.4962593516209477,5.320033250207814,2.826267664172901,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
