MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
283,1,Division I,willistonstatecollege,Josiah McDonald,,,,Wing,,,15,3.4524999999999997,3.0999999999999996,4.15,3,26.733333333333334,7.8,2.466666666666667,4.0,2.3333333333333335,0.9333333333333333,3.0,20.6,8.8,6.733333333333333,1.8,6.0,0.5672815753734721,0.5226537216828478,96.99109907120743,0.2902229460324592,0.6166666666666667,0.14512383900928794,0.32575757575757575,0.42718446601941745,0.3268608414239482,4.678362573099415,3.820662768031189,9.12280701754386,3.508771929824561,Average,3,Elite,5,Below Average,2,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Elite,5,Average,3,Very Good,4,Below Average,2,Unknown
689,2,Division I,willistonstatecollege,Eden Hobbs,,,,Wing,,,15,3.125,3.95,2.0,3,22.8,5.4,1.1333333333333333,2.6666666666666665,0.9333333333333333,0.06666666666666667,1.5333333333333334,16.333333333333332,4.733333333333333,4.0,1.4666666666666666,3.933333333333333,0.6300663227708181,0.5938775510204082,109.82658959537574,0.21859381142247433,0.425,0.12845215157353887,0.352112676056338,0.2897959183673469,0.24489795918367346,3.1189083820662766,1.1695906432748537,6.315789473684211,1.793372319688109,Elite,5,Very Good,4,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Very Good,4,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
827,3,Division I,willistonstatecollege,Braden Bailey,,,,Wing,,,8,3.05,3.8000000000000003,2.0,3,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,200.0,0.0027498212616179946,99.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.30464584920030463,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
930,4,Division I,willistonstatecollege,Grant Overy,,,,Wing,,,7,3.0,3.7,2.0,3,2.0,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.4285714285714286,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.6183745583038869,0.6,113.63636363636364,0.01906294485362382,1.0,0.08116883116883117,,0.0,0.3,0.17167381974248927,0.5150214592274678,1.3733905579399142,0.17167381974248927,Elite,5,Poor,1,Very Good,4,Below Average,2,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1458,5,Division I,willistonstatecollege,Bridger Johnson,,,,Wing,,,13,2.7750000000000004,3.2500000000000004,2.0,3,2.6153846153846154,1.5384615384615385,0.6153846153846154,1.0,0.5384615384615384,0.0,0.6153846153846154,1.0,0.8461538461538461,0.6153846153846154,0.07692307692307693,1.4615384615384615,1.0290556900726393,1.0769230769230769,115.17615176151762,0.023860329776915618,0.6153846153846154,0.44037940379403795,0.7272727272727273,0.8461538461538461,0.6153846153846154,1.1759384893713252,0.6331976481230213,1.8091361374943464,0.7236544549977386,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1637,6,Division I,willistonstatecollege,Andrew Sauer,,,,Wing,,,15,2.705,2.9000000000000004,2.3,3,9.0,7.133333333333334,1.0,1.4,0.6666666666666666,0.13333333333333333,1.6,6.866666666666666,2.2,2.066666666666667,2.3333333333333335,4.8,0.5787037037037037,0.5436893203883495,98.0819529206626,0.09661930701409559,0.7142857142857143,0.15257192676547518,0.36363636363636365,0.32038834951456313,0.30097087378640774,1.6374269005847952,0.935672514619883,8.343079922027291,1.871345029239766,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Average,3,Very Good,4,Elite,5,Very Good,4,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
1660,7,Division I,willistonstatecollege,Zynan Zilkoski,,,,Wing,,,9,2.7,3.0999999999999996,2.0,3,2.3333333333333335,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,1.8888888888888888,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.5346232179226069,0.5,97.04251386321626,0.0256946093564474,1.5,0.09242144177449169,0.5,0.35294117647058826,0.35294117647058826,0.2635046113306983,0.6587615283267457,1.0540184453227932,0.5270092226613966,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1792,8,Division I,willistonstatecollege,Aidan Feenstra,,,,Wing,,,8,2.6500000000000004,3.0,2.0,3,2.0,0.375,0.375,0.125,0.25,0.0,0.375,1.625,0.375,0.625,0.25,0.125,0.5263157894736842,0.5,98.76543209876543,0.022273552219105756,3.0,0.0617283950617284,0.3333333333333333,0.23076923076923078,0.38461538461538464,0.15232292460015232,0.30464584920030463,0.456968773800457,0.456968773800457,Below Average,2,Poor,1,Below Average,2,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2361,9,Division I,willistonstatecollege,Carson Haerer,,,,Wing,,,15,2.4574999999999996,1.95,2.95,3,11.133333333333333,6.066666666666666,4.6,3.2,1.8,0.13333333333333333,2.8666666666666667,9.533333333333333,3.8666666666666667,5.266666666666667,0.6666666666666666,5.4,0.46973447344734476,0.4090909090909091,73.97236002834869,0.15847700342561916,1.4375,0.21261516654854715,0.1896551724137931,0.40559440559440557,0.5524475524475524,3.742690058479532,2.2612085769980506,7.09551656920078,3.3528265107212474,Poor,1,Average,3,Poor,1,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Average,3,Below Average,2,Very Good,4,Average,3,Unknown
2669,10,Division I,willistonstatecollege,Grantham Milner,,,,Wing,,,14,2.3625,2.5999999999999996,1.75,3,5.428571428571429,4.214285714285714,0.7857142857142857,1.1428571428571428,0.42857142857142855,0.42857142857142855,2.5714285714285716,3.642857142857143,0.07142857142857142,1.2857142857142858,1.5714285714285714,2.642857142857143,0.6449422946367956,0.5980392156862745,101.44153764014949,0.057204813389530276,0.6875,0.21356113187399892,1.0,0.0196078431372549,0.35294117647058826,1.3559322033898304,1.0169491525423728,5.0,3.0508474576271185,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
