MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
676,1,Division II,alpenacommunitycollege,Kavon Patterson,,,,Wing,,,10,3.1425,2.9000000000000004,3.55,3,17.3,4.4,1.6,2.3,2.9,0.0,2.7,13.8,3.2,5.8,1.2,3.2,0.5289872798434442,0.4891304347826087,92.75144756594466,0.20044706185788594,0.6956521739130435,0.12331117306455071,0.46875,0.2318840579710145,0.42028985507246375,2.808302808302808,3.5409035409035408,5.372405372405372,3.2967032967032965,Below Average,2,Very Good,4,Poor,1,Poor,1,Very Good,4,Elite,5,Very Good,4,Average,3,Elite,5,Below Average,2,Elite,5,Poor,1,Very Good,4,Very Good,4,Unknown
2199,2,Division II,alpenacommunitycollege,Derian Williams,,,,Wing,,,13,2.5249999999999995,2.7499999999999996,2.0,3,17.384615384615383,2.769230769230769,2.076923076923077,2.4615384615384617,1.0769230769230769,0.0,1.3076923076923077,15.615384615384615,4.153846153846154,4.615384615384615,0.15384615384615385,2.6153846153846154,0.4925893635571055,0.4408866995073892,86.45753634276971,0.2210682994485978,0.84375,0.12241775057383322,0.3148148148148148,0.2660098522167488,0.2955665024630542,3.0374940673943995,1.3289036544850499,3.4171808258186998,1.6136687233032747,Below Average,2,Very Good,4,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Very Good,4,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3310,3,Division II,alpenacommunitycollege,Kobe Johnson,,,,Wing,,,13,2.215,1.5,2.9000000000000004,3,8.076923076923077,4.615384615384615,1.3076923076923077,2.230769230769231,2.0,0.07692307692307693,2.076923076923077,9.076923076923077,3.076923076923077,1.1538461538461537,1.4615384615384615,3.1538461538461537,0.4213483146067416,0.4025423728813559,68.359375,0.12990088292006358,0.5862068965517241,0.18880208333333334,0.225,0.3389830508474576,0.1271186440677966,2.7527289985761745,2.5628856193640246,5.695301376364499,2.5628856193640246,Poor,1,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Very Good,4,Very Good,4,Below Average,2,Poor,1,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
3630,4,Division II,alpenacommunitycollege,Gary Reed,,,,Wing,,,9,2.1325000000000003,1.6500000000000001,2.45,3,5.555555555555555,3.7777777777777777,1.5555555555555556,1.5555555555555556,1.4444444444444444,0.1111111111111111,1.8888888888888888,8.666666666666666,1.5555555555555556,0.7777777777777778,1.1111111111111112,2.6666666666666665,0.30833744449926,0.2948717948717949,52.587294909549854,0.11515357039046603,1.0,0.1472444257467396,0.14285714285714285,0.1794871794871795,0.08974358974358974,1.9191226867717615,1.9191226867717615,4.660726525017135,2.3303632625085675,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Below Average,2,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3718,5,Division II,alpenacommunitycollege,Brayden Franzel,,,,Wing,,,8,2.1,1.9000000000000004,2.0,3,2.5,1.0,0.875,0.5,0.25,0.0,0.5,2.875,2.125,0.25,0.125,0.875,0.4187604690117253,0.41304347826086957,71.73601147776183,0.037477148080438755,1.75,0.14347202295552366,0.29411764705882354,0.7391304347826086,0.08695652173913043,0.6051437216338881,0.30257186081694404,1.2102874432677762,0.6051437216338881,Poor,1,Poor,1,Poor,1,Very Good,4,Average,3,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3805,6,Division II,alpenacommunitycollege,Oliver Duthler,,,,Wing,,,12,2.0874999999999995,2.05,1.75,3,4.25,3.3333333333333335,1.0,0.75,0.6666666666666666,0.08333333333333333,2.5833333333333335,5.25,0.08333333333333333,0.8333333333333334,1.6666666666666667,1.6666666666666667,0.3783382789317507,0.38095238095238093,66.75392670157068,0.06917783411807316,1.3333333333333333,0.11780104712041883,0.0,0.015873015873015872,0.15873015873015872,0.9188361408882083,0.9188361408882083,4.08371618172537,3.164880040837162,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
3889,7,Division II,alpenacommunitycollege,Oluwatobi Ogunyode,,,,Wing,,,11,2.0549999999999997,1.5999999999999999,2.3,3,6.454545454545454,5.636363636363637,0.9090909090909091,1.4545454545454546,0.5454545454545454,0.36363636363636365,1.6363636363636365,7.181818181818182,2.5454545454545454,1.3636363636363635,2.3636363636363638,3.272727272727273,0.41471962616822433,0.3860759493670886,69.88188976377953,0.10073768541286587,0.625,0.15748031496062992,0.17857142857142858,0.35443037974683544,0.189873417721519,1.7917133258678613,1.1198208286674132,6.942889137737962,2.015677491601344,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Average,3,Elite,5,Average,3,Poor,1,Poor,1,Below Average,2,Elite,5,Elite,5,Unknown
4077,8,Division II,alpenacommunitycollege,Jadin Mix,,,,Wing,,,10,2.0,1.7000000000000002,2.0,3,2.8,2.3,0.8,1.6,0.8,0.0,2.0,3.3,1.8,1.0,0.6,1.7,0.37433155080213903,0.3181818181818182,52.434456928838955,0.058251156296360934,0.5,0.299625468164794,0.16666666666666666,0.5454545454545454,0.30303030303030304,1.9692307692307693,0.9846153846153847,2.830769230769231,2.4615384615384617,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4244,9,Division II,alpenacommunitycollege,Aiden Steele,,,,Wing,,,9,1.95,1.6,2.0,3,0.7777777777777778,2.7777777777777777,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.3333333333333333,1.4444444444444444,0.5555555555555556,0.2222222222222222,1.1111111111111112,1.6666666666666667,0.2521613832853026,0.23076923076923078,33.524904214559385,0.02536073458679493,1.1428571428571428,0.3352490421455938,0.0,0.38461538461538464,0.15384615384615385,0.9510869565217391,1.0869565217391304,3.3967391304347827,0.4076086956521739,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4501,10,Division II,alpenacommunitycollege,Derby Kromer,,,,Wing,,,11,1.8,1.3,2.0,3,1.2727272727272727,1.4545454545454546,0.8181818181818182,1.4545454545454546,0.18181818181818182,0.0,1.2727272727272727,1.5454545454545454,0.0,0.18181818181818182,0.2727272727272727,1.1818181818181819,0.39149888143176736,0.35294117647058826,41.32231404958678,0.03446171372772397,0.5625,0.47225501770956324,,0.0,0.11764705882352941,1.821286283437678,0.22766078542970974,1.821286283437678,1.593625498007968,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
