MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
253,1,Division II,arkansasstatemidsouth,Braylon Frazier,,,,Wing,,,10,3.425,4.55,2.0,3,8.7,2.8,2.1,0.5,0.7,0.0,0.8,5.9,3.0,1.9,0.5,2.3,0.6457838479809976,0.6101694915254238,120.23217247097844,0.07763282121706291,4.2,0.06909894969596463,0.4,0.5084745762711864,0.3220338983050847,0.6075334143377886,0.850546780072904,3.402187120291616,0.9720534629404617,Elite,5,Poor,1,Elite,5,Elite,5,Elite,5,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
481,2,Division II,arkansasstatemidsouth,Michael Stewart,,,,Wing,,,9,3.2,4.1,2.0,3,8.777777777777779,1.1111111111111112,0.8888888888888888,0.5555555555555556,1.0,0.1111111111111111,1.2222222222222223,5.888888888888889,4.888888888888889,0.0,0.1111111111111111,1.0,0.7452830188679245,0.7452830188679245,136.20689655172413,0.06843173344659964,1.6,0.08620689655172414,0.4772727272727273,0.8301886792452831,0.0,0.6743088334457181,1.3486176668914363,1.3486176668914363,1.4834794335805799,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
847,3,Division II,arkansasstatemidsouth,Phillip Tillman,,,,Wing,,,14,2.9850000000000003,2.5500000000000003,3.6,3,18.285714285714285,7.0,5.285714285714286,4.357142857142857,3.5,0.7142857142857143,3.5,13.928571428571429,3.7142857142857144,5.214285714285714,1.0,6.0,0.5635787249031349,0.49743589743589745,88.85186727752325,0.22042352653161146,1.2131147540983607,0.21171733999722336,0.3076923076923077,0.26666666666666666,0.37435897435897436,5.242801890846583,5.0709067468844005,8.42286205414697,4.211431027073485,Average,3,Very Good,4,Poor,1,Average,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Average,3,Elite,5,Below Average,2,Average,3,Below Average,2,Unknown
1046,4,Division II,arkansasstatemidsouth,Jaxson Yancy,,,,Wing,,,14,2.8825000000000003,3.1500000000000004,2.45,3,13.142857142857142,4.285714285714286,1.5714285714285714,1.5714285714285714,1.3571428571428572,0.07142857142857142,1.5714285714285714,10.785714285714286,5.928571428571429,1.2857142857142858,1.0,3.2857142857142856,0.5789076264787315,0.5827814569536424,101.70240990493036,0.1384111634738968,1.0,0.12160070749502544,0.3855421686746988,0.5496688741721855,0.11920529801324503,1.8908465835840138,1.7189514396218306,5.156854318865492,1.8908465835840138,Very Good,4,Below Average,2,Below Average,2,Below Average,2,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1088,5,Division II,arkansasstatemidsouth,Hugh McFarland,,,,Wing,,,14,2.8724999999999996,2.5,3.35,3,11.214285714285714,4.642857142857143,7.357142857142857,2.642857142857143,2.2142857142857144,0.07142857142857142,2.142857142857143,8.5,2.0,3.4285714285714284,0.9285714285714286,3.7142857142857144,0.56023408506994,0.5126050420168067,88.64046973803072,0.13550400881326885,2.7837837837837838,0.20889792231255647,0.2857142857142857,0.23529411764705882,0.40336134453781514,3.1800601633003867,2.750322303394929,5.58659217877095,2.578427159432746,Average,3,Below Average,2,Poor,1,Elite,5,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1648,6,Division II,arkansasstatemidsouth,Mikell Lewis,,,,Wing,,,14,2.6375,3.15,1.75,3,5.642857142857143,3.357142857142857,0.9285714285714286,0.5,0.5714285714285714,0.21428571428571427,2.5714285714285716,3.9285714285714284,0.8571428571428571,2.9285714285714284,1.3571428571428572,2.0,0.5407995618838993,0.4818181818181818,98.70064967516242,0.0612338576412265,1.8571428571428572,0.08745627186406797,0.4166666666666667,0.21818181818181817,0.7454545454545455,0.6016330038676407,0.9454232917920069,4.039535883111302,3.0941125913192953,Average,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
1840,7,Division II,arkansasstatemidsouth,Randy Emerson,,,,Wing,,,14,2.5625,3.0000000000000004,1.75,3,8.5,2.5714285714285716,1.0714285714285714,1.4285714285714286,0.35714285714285715,0.5,2.5,6.642857142857143,4.214285714285714,1.7142857142857142,0.7857142857142857,1.7857142857142858,0.5745461568173039,0.5268817204301075,96.30948527031401,0.09452842891241814,0.75,0.16186468112657817,0.3728813559322034,0.6344086021505376,0.25806451612903225,1.7189514396218306,1.0313708637730985,3.0941125913192953,3.008165019338204,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Average,3,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
2518,8,Division II,arkansasstatemidsouth,David Brewer,,,,Wing,,,12,2.3499999999999996,2.4,2.0,3,3.75,1.25,0.8333333333333334,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.25,3.8333333333333335,1.8333333333333333,0.5,0.25,1.0,0.46258223684210525,0.43478260869565216,83.89261744966443,0.0476545842217484,2.0,0.09321401938851603,0.36363636363636365,0.4782608695652174,0.13043478260869565,0.49800796812749004,0.29880478087649404,1.4940239043824701,0.29880478087649404,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2655,9,Division II,arkansasstatemidsouth,Taylor Conner,,,,Wing,,,14,2.3,2.6500000000000004,1.5,3,8.357142857142858,3.2857142857142856,0.6428571428571429,1.0,0.42857142857142855,0.42857142857142855,3.2142857142857144,6.5,0.14285714285714285,2.2857142857142856,1.4285714285714286,1.8571428571428572,0.5567186905215075,0.5494505494505495,98.2532751091703,0.09110104657567782,0.6428571428571429,0.1175680214981525,0.0,0.02197802197802198,0.3516483516483517,1.2032660077352815,1.0313708637730985,3.9535883111302104,3.867640739149119,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Average,3,Elite,5,Unknown
4031,10,Division II,arkansasstatemidsouth,Dejavius Johnson,,,,Wing,,,14,1.8749999999999998,1.45,2.0,3,7.071428571428571,3.9285714285714284,0.8571428571428571,1.4285714285714286,0.7857142857142857,0.14285714285714285,1.5714285714285714,7.142857142857143,3.0,0.5714285714285714,1.7857142857142858,2.142857142857143,0.47816846986089645,0.46,80.14896373056995,0.09449782728441151,0.6,0.16191709844559585,0.19047619047619047,0.42,0.08,1.7189514396218306,1.1173184357541899,4.727116458960034,1.8908465835840138,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
