MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
992,1,Division II,arkansasstatenewport,Terrence Hall,,,,Wing,,,8,2.865,2.8000000000000007,2.9000000000000004,3,11.0,4.5,1.25,2.0,1.5,0.125,1.75,8.625,3.625,1.5,1.125,3.375,0.5923532579429187,0.572463768115942,97.4745237040319,0.1275213288886378,0.625,0.17722640673460346,0.4482758620689655,0.42028985507246375,0.17391304347826086,2.56,2.08,5.76,2.24,Very Good,4,Below Average,2,Below Average,2,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Average,3,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1152,2,Division II,arkansasstatenewport,Quentin Dabney,,,,Wing,,,12,2.7924999999999995,2.55,3.05,3,14.333333333333334,7.083333333333333,2.0,2.0,0.5833333333333334,0.6666666666666666,1.75,11.25,0.4166666666666667,5.166666666666667,3.25,3.8333333333333335,0.5299482376140005,0.5407407407407407,92.33412067854842,0.1770722433460076,1.0,0.12883830792355594,0.0,0.037037037037037035,0.45925925925925926,2.5959978366684693,1.6224986479177934,9.194159004867496,2.271498107084911,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Below Average,2,Average,3,Elite,5,Elite,5,Unknown
2296,3,Division II,arkansasstatenewport,Jerimiah Johnson,,,,Wing,,,8,2.35,2.4000000000000004,2.0,3,8.25,4.25,0.625,0.875,0.25,0.625,1.5,6.625,0.5,3.25,1.125,3.125,0.5121042830540038,0.49056603773584906,92.38521836506159,0.10010088555094719,0.7142857142857143,0.09798432250839866,0.0,0.07547169811320754,0.49056603773584906,1.1173184357541899,1.1173184357541899,5.426975259377494,1.9154030327214684,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2354,4,Division II,arkansasstatenewport,Braylin Green,,,,Wing,,,9,2.3325000000000005,2.0500000000000003,2.45,3,6.777777777777778,3.0,1.4444444444444444,1.5555555555555556,1.1111111111111112,0.0,1.2222222222222223,5.222222222222222,0.7777777777777778,2.7777777777777777,0.6666666666666666,2.3333333333333335,0.5258620689655172,0.48936170212765956,84.72222222222223,0.09033423667570008,0.9285714285714286,0.19444444444444445,0.2857142857142857,0.14893617021276595,0.5319148936170213,1.9943019943019944,1.4245014245014245,3.8461538461538463,1.566951566951567,Below Average,2,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2375,5,Division II,arkansasstatenewport,Matayo Rivers,,,,Wing,,,12,2.325,2.3500000000000005,2.0,3,5.166666666666667,2.4166666666666665,1.5833333333333333,0.6666666666666666,0.8333333333333334,0.0,1.5,5.166666666666667,3.0,1.0,0.5,1.9166666666666667,0.46076099881093935,0.43548387096774194,82.35919234856536,0.07155893536121673,2.375,0.10626992561105207,0.2222222222222222,0.5806451612903226,0.1935483870967742,0.8653326122228231,1.0816657652785289,3.136830719307734,1.9469983775013522,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2462,6,Division II,arkansasstatenewport,Jayce Couch,,,,Wing,,,12,2.3,2.3000000000000003,2.0,3,6.75,1.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.0,0.75,6.416666666666667,4.5,0.25,0.5,0.5,0.5171092951991829,0.5194805194805194,93.83688600556071,0.08205323193916349,0.875,0.09267840593141799,0.3333333333333333,0.7012987012987013,0.03896103896103896,0.8653326122228231,0.8653326122228231,1.2979989183342346,0.9734991887506761,Below Average,2,Poor,1,Poor,1,Below Average,2,Elite,5,Average,3,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3012,7,Division II,arkansasstatenewport,Branton Allen,,,,Wing,,,11,2.1325000000000003,1.6500000000000001,2.45,3,5.2727272727272725,1.9090909090909092,1.0909090909090908,1.4545454545454546,1.1818181818181819,0.09090909090909091,1.0,5.909090909090909,2.1818181818181817,0.9090909090909091,0.6363636363636364,1.2727272727272727,0.4178674351585014,0.3923076923076923,67.91569086651053,0.08822678623083599,0.75,0.18735362997658078,0.2916666666666667,0.36923076923076925,0.15384615384615385,1.8790369935408104,1.644157369348209,2.4662360540223136,1.291837933059307,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Average,3,Elite,5,Average,3,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3098,8,Division II,arkansasstatenewport,Gavin Lamar,,,,Wing,,,12,2.1,1.9000000000000004,2.0,3,2.1666666666666665,2.5,0.8333333333333334,0.75,0.5,0.08333333333333333,0.4166666666666667,2.8333333333333335,1.3333333333333333,0.6666666666666666,0.75,1.75,0.34648187633262256,0.35294117647058826,55.88993981083404,0.04422053231939164,1.1111111111111112,0.1934651762682717,0.125,0.47058823529411764,0.23529411764705882,0.9734991887506761,0.7571660356949702,3.244997295835587,0.5408328826392644,Poor,1,Poor,1,Poor,1,Average,3,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3124,9,Division II,arkansasstatenewport,Amir Parrimon,,,,Wing,,,10,2.0999999999999996,1.9000000000000001,2.0,3,4.8,2.7,0.9,1.4,0.4,0.1,1.2,4.1,1.8,0.9,1.1,1.6,0.5338078291814946,0.5121951219512195,81.41112618724559,0.06683291770573566,0.6428571428571429,0.23744911804613297,0.3333333333333333,0.43902439024390244,0.21951219512195122,1.7994858611825193,0.6426735218508998,3.4704370179948585,1.5424164524421593,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3222,10,Division II,arkansasstatenewport,Eli Tate,,,,Wing,,,11,2.075,1.85,2.0,3,2.4545454545454546,2.0,1.3636363636363635,1.6363636363636365,0.5454545454545454,0.18181818181818182,1.1818181818181819,2.1818181818181817,1.1818181818181819,0.6363636363636364,0.0,2.0,0.4985228951255539,0.4583333333333333,59.893522626441886,0.04672858445973961,0.8333333333333334,0.3992901508429459,0.3076923076923077,0.5416666666666666,0.2916666666666667,2.1139166177334117,0.9395184967704052,2.583675866118614,1.5267175572519085,Below Average,2,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Very Good,4,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3292,11,Division II,arkansasstatenewport,Khyre Ellis,,,,Wing,,,12,2.05,1.8,2.0,3,2.5833333333333335,1.3333333333333333,0.4166666666666667,1.8333333333333333,0.4166666666666667,0.0,0.5,2.1666666666666665,0.6666666666666666,0.3333333333333333,0.25,1.0833333333333333,0.55835734870317,0.5384615384615384,62.29903536977491,0.04730038022813689,0.22727272727272727,0.4421221864951768,0.5,0.3076923076923077,0.15384615384615385,2.3796646836127637,0.5408328826392644,1.7306652244456462,0.6489994591671173,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
