MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
742,1,Division II,baycollege,Trevor Nolan,,,,Wing,,,12,3.1000000000000005,3.9000000000000004,2.0,3,7.0,1.4166666666666667,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.0,1.0,5.583333333333333,5.166666666666667,0.6666666666666666,0.3333333333333333,1.0833333333333333,0.5955757231990925,0.582089552238806,112.72141706924316,0.06835944666642205,2.0,0.05367686527106817,0.3870967741935484,0.9253731343283582,0.11940298507462686,0.44150110375275936,1.2141280353200883,1.8763796909492274,1.3245033112582782,Very Good,4,Poor,1,Very Good,4,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
754,2,Division II,baycollege,Taveon Vann,,,,Wing,,,12,3.0999999999999996,3.2,3.0,3,11.25,7.583333333333333,1.4166666666666667,1.75,1.1666666666666667,0.6666666666666666,3.0833333333333335,7.333333333333333,0.08333333333333333,3.25,2.25,5.333333333333333,0.6418790414606315,0.6193181818181818,107.00697526949905,0.11462005305810954,0.8095238095238095,0.1664552948636652,1.0,0.011363636363636364,0.4431818181818182,2.2988505747126435,2.40831964969896,9.96168582375479,4.050355774493705,Elite,5,Poor,1,Average,3,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Average,3,Average,3,Average,3,Elite,5,Unknown
1079,3,Division II,baycollege,William Kelley,,,,Wing,,,17,2.9400000000000004,2.95,2.9000000000000004,3,9.294117647058824,2.6470588235294117,1.2941176470588236,1.2352941176470589,1.8823529411764706,0.0,1.8235294117647058,7.352941176470588,5.647058823529412,2.4705882352941178,0.8823529411764706,1.7647058823529411,0.5505993866741009,0.488,96.0603112840467,0.10949857534684312,1.0476190476190477,0.1276750972762646,0.3125,0.768,0.336,1.66865315852205,2.542709574890743,3.575685339690107,2.4632499006754074,Average,3,Poor,1,Below Average,2,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1193,4,Division II,baycollege,Ziad Abouali,,,,Wing,,,17,2.8900000000000006,1.8000000000000003,4.4,3,9.823529411764707,6.411764705882353,2.1176470588235294,2.3529411764705883,1.2352941176470589,1.2941176470588236,2.0,9.882352941176471,1.6470588235294117,2.411764705882353,2.6470588235294117,3.764705882352941,0.44882820898731457,0.4375,73.8807290745001,0.15048065400900063,0.9,0.1769598301185631,0.10714285714285714,0.16666666666666666,0.24404761904761904,3.1783869686134287,3.4167659912594357,8.661104489471594,2.7016289233214144,Poor,1,Average,3,Poor,1,Below Average,2,Below Average,2,Poor,1,Below Average,2,Average,3,Very Good,4,Poor,1,Elite,5,Average,3,Elite,5,Very Good,4,Unknown
1582,5,Division II,baycollege,Trey Frye III,,,,Wing,,,11,2.74,2.55,2.9000000000000004,3,9.545454545454545,4.181818181818182,3.727272727272727,1.5454545454545454,1.9090909090909092,0.0,1.6363636363636365,8.545454545454545,0.2727272727272727,3.0,2.272727272727273,1.9090909090909092,0.48378179137486177,0.4308510638297872,83.65200764818356,0.1238016333293881,2.411764705882353,0.1354365838113448,0.3333333333333333,0.031914893617021274,0.35106382978723405,2.0178041543026706,2.492581602373887,5.459940652818991,2.136498516320475,Poor,1,Below Average,2,Poor,1,Elite,5,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2176,6,Division II,baycollege,Kyler Sager,,,,Wing,,,6,2.5250000000000004,2.7500000000000004,2.0,3,2.8333333333333335,1.0,0.8333333333333334,0.5,0.5,0.0,0.16666666666666666,2.3333333333333335,1.5,0.3333333333333333,0.0,1.0,0.5712365591397849,0.5357142857142857,95.07829977628634,0.032809747504404,1.6666666666666667,0.16778523489932884,0.3333333333333333,0.6428571428571429,0.14285714285714285,0.6493506493506493,0.6493506493506493,1.2987012987012987,0.21645021645021645,Very Good,4,Poor,1,Below Average,2,Very Good,4,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2373,7,Division II,baycollege,Kyle Hustrulid,,,,Wing,,,13,2.4749999999999996,2.65,2.0,3,3.3846153846153846,2.1538461538461537,0.9230769230769231,0.46153846153846156,0.6923076923076923,0.07692307692307693,1.6153846153846154,3.6923076923076925,1.7692307692307692,2.0,0.8461538461538461,1.3076923076923077,0.37012113055181695,0.3541666666666667,67.23716381418093,0.055444470803538155,2.0,0.09168704156479218,0.08695652173913043,0.4791666666666667,0.5416666666666666,0.6109979633401222,1.0183299389002036,2.8513238289205702,2.1384928716904277,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2395,8,Division II,baycollege,Emerson Droubie,,,,Wing,,,17,2.465,2.0,2.9000000000000004,3,8.058823529411764,5.0,1.6470588235294117,1.6470588235294117,1.2941176470588236,0.23529411764705882,1.411764705882353,7.705882352941177,5.470588235294118,1.2352941176470589,0.8823529411764706,4.117647058823529,0.4884483742156303,0.48091603053435117,81.43128863528293,0.11200170425798206,1.0,0.16642891107941035,0.3225806451612903,0.7099236641221374,0.16030534351145037,2.2248708780294,2.0659515295987285,6.754072308303536,1.9070321811680573,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Average,3,Elite,5,Elite,5,Average,3,Below Average,2,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2594,9,Division II,baycollege,Adam Page,,,,Wing,,,14,2.4074999999999998,2.2,2.45,3,9.928571428571429,2.642857142857143,1.5714285714285714,2.357142857142857,1.0,0.14285714285714285,1.6428571428571428,8.857142857142858,3.5714285714285716,2.142857142857143,0.5,2.142857142857143,0.5065597667638484,0.46774193548387094,81.66862514688601,0.13513513513513511,0.6666666666666666,0.1938895417156287,0.36,0.4032258064516129,0.24193548387096775,3.126480341070583,1.515869256276646,3.505447655139744,2.179062055897679,Below Average,2,Below Average,2,Poor,1,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2844,10,Division II,baycollege,Savion Johnson,,,,Wing,,,16,2.3425,2.0,2.55,3,6.25,6.375,1.375,2.0,0.75,0.4375,2.75,4.8125,0.0625,1.875,2.6875,3.6875,0.5543237250554324,0.577922077922078,81.83306055646482,0.08634089817143825,0.6875,0.2618657937806874,1.0,0.012987012987012988,0.38961038961038963,2.694736842105263,1.6,8.589473684210526,3.705263157894737,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Average,3,Very Good,4,Unknown
