MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
3,1,Division II,bevillstatecommunitycollege,EJ King,,,,Wing,,,7,4.275,4.15,5.0,3,19.571428571428573,9.142857142857142,2.2857142857142856,1.4285714285714286,1.2857142857142858,1.2857142857142858,1.0,14.285714285714286,3.2857142857142856,5.285714285714286,4.0,5.142857142857143,0.5890952872377021,0.575,108.48907190370605,0.21318117361064212,1.6,0.07918910357934748,0.391304347826087,0.23,0.37,1.953125,3.515625,12.5,1.3671875,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Elite,5,Insufficient Volume,3,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Elite,5,Unknown
1391,2,Division II,bevillstatecommunitycollege,Jamari Mosley,,,,Wing,,,9,2.75,3.1999999999999997,2.0,3,6.555555555555555,1.6666666666666667,0.5555555555555556,1.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,3.7777777777777777,2.0,3.0,0.1111111111111111,1.5555555555555556,0.6429816913687881,0.5882352941176471,107.5072886297376,0.07169357788577102,0.5555555555555556,0.1639941690962099,0.4444444444444444,0.5294117647058824,0.7941176470588235,1.3636363636363635,0.45454545454545453,2.272727272727273,0.45454545454545453,Elite,5,Poor,1,Average,3,Poor,1,Average,3,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1694,3,Division II,bevillstatecommunitycollege,Nick Dyer,,,,Wing,,,15,2.625,2.9499999999999997,2.0,3,3.8666666666666667,1.2666666666666666,1.4666666666666666,0.8666666666666667,0.3333333333333333,0.0,1.0,2.3333333333333335,0.9333333333333333,1.9333333333333333,0.5333333333333333,0.7333333333333333,0.6072026800670017,0.5,95.45753785385122,0.04872493985565358,1.6923076923076923,0.21395655036208033,0.5,0.4,0.8285714285714286,1.1981566820276497,0.4608294930875576,1.7511520737327189,1.3824884792626728,Elite,5,Poor,1,Below Average,2,Very Good,4,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1778,4,Division II,bevillstatecommunitycollege,Carson Pringle,,,,Wing,,,15,2.5875000000000004,2.7,2.25,3,12.333333333333334,5.266666666666667,2.6,2.2,1.1333333333333333,0.13333333333333333,2.7333333333333334,8.6,2.6666666666666665,5.333333333333333,1.4666666666666666,3.8,0.5633373934226553,0.4883720930232558,93.8133874239351,0.15813953488372096,1.1818181818181819,0.16734279918864098,0.3,0.31007751937984496,0.6201550387596899,3.0414746543778803,1.7511520737327189,7.28110599078341,3.7788018433179724,Average,3,Average,3,Poor,1,Average,3,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Below Average,2,Average,3,Very Good,4,Unknown
2012,5,Division II,bevillstatecommunitycollege,Ja'Vion Hardaway,,,,Wing,,,7,2.5,2.7,2.0,3,4.142857142857143,1.1428571428571428,0.0,0.7142857142857143,0.42857142857142855,0.0,0.7142857142857143,3.0,0.7142857142857143,1.1428571428571428,0.14285714285714285,1.0,0.5913539967373572,0.5952380952380952,98.23848238482385,0.049275555852306877,0.0,0.16937669376693767,0.6,0.23809523809523808,0.38095238095238093,0.9523809523809523,0.5714285714285714,1.5238095238095237,0.9523809523809523,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2280,6,Division II,bevillstatecommunitycollege,Jason Foster,,,,Wing,,,11,2.415,1.9,2.9000000000000004,3,1.3636363636363635,2.8181818181818183,0.09090909090909091,0.36363636363636365,0.5454545454545454,1.0,1.3636363636363635,1.5454545454545454,0.0,0.9090909090909091,0.6363636363636364,2.1818181818181817,0.3504672897196262,0.29411764705882354,59.05511811023622,0.027169262365223348,0.25,0.15748031496062992,,0.0,0.5882352941176471,0.48959608323133413,2.08078335373317,3.7943696450428397,1.8359853121175032,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2505,7,Division II,bevillstatecommunitycollege,Johnathon Washington,,,,Wing,,,6,2.35,2.4000000000000004,2.0,3,1.0,1.8333333333333333,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,1.1666666666666667,0.0,1.0,0.8333333333333334,1.0,0.3112033195020747,0.2857142857142857,62.24066390041494,0.020373657959252684,,0.0,,0.0,0.8571428571428571,0.0,0.47904191616766467,2.6347305389221556,1.1976047904191616,Poor,1,Poor,1,Poor,1,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2701,8,Division II,bevillstatecommunitycollege,Kelton Battle,,,,Wing,,,11,2.3,2.3,2.0,3,2.5454545454545454,0.6363636363636364,0.8181818181818182,0.36363636363636365,0.2727272727272727,0.0,1.6363636363636365,3.090909090909091,2.0,0.0,0.09090909090909091,0.5454545454545454,0.4117647058823529,0.4117647058823529,73.6842105263158,0.04233511586452762,2.25,0.10526315789473684,0.2727272727272727,0.6470588235294118,0.0,0.507292327203551,0.3804692454026633,0.8877615726062144,2.28281547241598,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2751,9,Division II,bevillstatecommunitycollege,Jordan Presley,,,,Wing,,,15,2.275,2.25,2.0,3,6.266666666666667,2.7333333333333334,1.5333333333333334,0.8,0.4,0.0,0.6666666666666666,5.933333333333334,4.533333333333333,1.2,0.5333333333333333,2.2,0.48493602971522903,0.4550561797752809,86.30187293426368,0.087345629510826,1.9166666666666667,0.11017260374586853,0.3088235294117647,0.7640449438202247,0.20224719101123595,1.1059907834101383,0.5529953917050692,3.7788018433179724,0.9216589861751152,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Below Average,2,Elite,5,Elite,5,Average,3,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2804,10,Division II,bevillstatecommunitycollege,Javion Williams,,,,Wing,,,15,2.25,2.2,2.0,3,9.733333333333333,2.466666666666667,3.2,2.2,0.8,0.0,2.0,9.0,3.8666666666666667,2.8666666666666667,0.7333333333333333,1.7333333333333334,0.47427234927234924,0.43703703703703706,78.10828161780441,0.1498957497995189,1.4545454545454546,0.1765461159854483,0.3103448275862069,0.42962962962962964,0.31851851851851853,3.0414746543778803,1.1059907834101383,3.410138248847926,2.7649769585253456,Poor,1,Below Average,2,Poor,1,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
