MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
226,1,Division II,blackhawkcollege,Caeden Terrell,,,,Wing,,,19,3.5225,3.8000000000000003,3.35,3,11.789473684210526,2.473684210526316,2.6315789473684212,1.6842105263157894,1.7894736842105263,0.21052631578947367,1.4210526315789473,8.157894736842104,1.9473684210526316,3.473684210526316,0.7894736842105263,1.6842105263157894,0.6085633557922191,0.567741935483871,103.68450286983892,0.13523122762212375,1.5625,0.14812071838548418,0.4864864864864865,0.23870967741935484,0.4258064516129032,2.263083451202263,2.6874115983026874,3.323903818953324,1.9094766619519095,Elite,5,Below Average,2,Average,3,Very Good,4,Average,3,Elite,5,Average,3,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
595,2,Division II,blackhawkcollege,Dontae Graham-Hudspeth,,,,Wing,,,11,3.1900000000000004,2.4,4.4,3,9.545454545454545,7.090909090909091,1.0909090909090908,1.2727272727272727,0.9090909090909091,1.8181818181818181,1.8181818181818181,8.454545454545455,1.5454545454545454,2.0,2.272727272727273,4.818181818181818,0.5112972341254383,0.5053763440860215,89.98971546109016,0.12157712666194305,0.8571428571428571,0.11998628728145354,0.23529411764705882,0.1827956989247312,0.23655913978494625,1.6499705362404242,3.5356511490866236,9.192692987625222,2.3571007660577488,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Very Good,4,Average,3,Elite,5,Average,3,Elite,5,Elite,5,Unknown
692,3,Division II,blackhawkcollege,Kendall Webb,,,,Wing,,,19,3.135,3.2,3.1,3,10.421052631578947,8.157894736842104,0.6842105263157895,1.0,0.631578947368421,0.8421052631578947,2.6315789473684212,7.578947368421052,0.47368421052631576,2.8947368421052633,3.263157894736842,4.894736842105263,0.5885850178359097,0.5798611111111112,105.76923076923077,0.11717869751370841,0.6842105263157895,0.1014957264957265,0.3333333333333333,0.0625,0.3819444444444444,1.3437057991513437,1.9801980198019802,10.961810466760962,3.536067892503536,Very Good,4,Poor,1,Average,3,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Very Good,4,Very Good,4,Elite,5,Unknown
847,4,Division II,blackhawkcollege,Taylor Hafermann,,,,Wing,,,8,3.05,3.8,2.0,3,0.875,1.0,0.0,0.0,0.0,0.125,0.25,0.625,0.125,0.25,0.375,0.625,0.5952380952380952,0.6,119.04761904761905,0.008615637088266322,,0.0,0.0,0.2,0.4,0.0,0.16515276630883569,1.3212221304706855,0.33030553261767137,Very Good,4,Poor,1,Elite,5,N/A,3,Elite,5,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1408,5,Division II,blackhawkcollege,Deandre Smith,,,,Wing,,,14,2.8,3.3000000000000003,2.0,3,4.5,2.5,0.5,0.5,0.7142857142857143,0.07142857142857142,1.6428571428571428,3.2857142857142856,1.5714285714285714,0.42857142857142855,0.42857142857142855,2.0714285714285716,0.6476151315789473,0.6304347826086957,113.22789360172537,0.04545603084866508,1.0,0.12580877066858376,0.36363636363636365,0.4782608695652174,0.13043478260869565,0.6407322654462243,1.0068649885583525,3.203661327231121,2.1052631578947367,Elite,5,Poor,1,Very Good,4,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1520,6,Division II,blackhawkcollege,Siraaj Ali,,,,Wing,,,19,2.7575000000000003,2.9,2.45,3,12.105263157894736,3.0,4.631578947368421,2.263157894736842,1.3157894736842106,0.05263157894736842,1.6842105263157894,9.31578947368421,2.736842105263158,4.631578947368421,0.21052631578947367,2.789473684210526,0.5330984609679214,0.4774011299435028,88.89919604205318,0.1619469691279201,2.046511627906977,0.16620284477427333,0.28846153846153844,0.2937853107344633,0.4971751412429379,3.041018387553041,1.8387553041018387,4.0311173974540315,2.263083451202263,Average,3,Average,3,Poor,1,Elite,5,Average,3,Below Average,2,Average,3,Very Good,4,Elite,5,Below Average,2,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
1645,7,Division II,blackhawkcollege,Dion Doyle,,,,Wing,,,19,2.7199999999999998,2.3,3.2,3,12.473684210526315,5.421052631578948,1.4210526315789473,2.210526315789474,0.8421052631578947,1.0,1.4736842105263157,11.0,1.894736842105263,2.263157894736842,1.736842105263158,3.6842105263157894,0.5199192699192698,0.4904306220095694,87.80379371665678,0.16895766043215907,0.6428571428571429,0.15560165975103735,0.3611111111111111,0.1722488038277512,0.20574162679425836,2.9702970297029703,2.4752475247524752,7.284299858557285,1.9801980198019802,Below Average,2,Average,3,Poor,1,Poor,1,Average,3,Very Good,4,Average,3,Average,3,Average,3,Average,3,Average,3,Below Average,2,Elite,5,Very Good,4,Unknown
2042,8,Division II,blackhawkcollege,Dayten Guy,,,,Wing,,,14,2.5650000000000004,2.2,2.9000000000000004,3,4.571428571428571,2.5,1.2142857142857142,1.2857142857142858,1.6428571428571428,0.07142857142857142,0.9285714285714286,3.642857142857143,2.2142857142857144,1.2142857142857142,0.9285714285714286,1.5714285714285714,0.5471956224350205,0.5098039215686274,83.68200836820083,0.06248161824776968,0.9444444444444444,0.23535564853556484,0.3225806451612903,0.6078431372549019,0.3333333333333333,1.6475972540045767,2.196796338672769,3.203661327231121,1.1899313501144164,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2690,9,Division II,blackhawkcollege,Connor Pustelnik,,,,Wing,,,11,2.375,2.4500000000000006,2.0,3,2.272727272727273,0.9090909090909091,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.0,0.5454545454545454,1.8181818181818181,1.2727272727272727,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.5986590038314177,0.6,100.48231511254019,0.026242511180491094,0.25,0.1607717041800643,0.42857142857142855,0.7,0.1,0.47534165181224003,0.47534165181224003,1.1883541295306002,0.7130124777183601,Very Good,4,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2748,10,Division II,blackhawkcollege,Jaylen Blackwell,,,,Wing,,,19,2.3575,2.1,2.45,3,10.947368421052632,4.7368421052631575,1.3157894736842106,1.7894736842105263,0.8947368421052632,0.3157894736842105,1.894736842105263,10.631578947368421,3.0,3.1052631578947367,1.0526315789473684,3.6842105263157894,0.4562203895420249,0.43316831683168316,79.40143533363872,0.1639750619695035,0.7352941176470589,0.12979080775690943,0.15789473684210525,0.28217821782178215,0.29207920792079206,2.4045261669024045,1.6265912305516266,6.364922206506365,2.545968882602546,Poor,1,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Very Good,4,Very Good,4,Very Good,4,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
