MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
101,1,Division II,blackhawktechnicalcollege,Landon Petty,,,,Wing,,,8,3.6975,4.15,3.35,3,13.375,5.125,1.125,0.625,1.0,1.25,2.0,7.875,1.25,4.25,2.0,3.125,0.6862493586454591,0.6190476190476191,128.9778206364513,0.11060743427017228,1.8,0.06027000964320154,0.2,0.15873015873015872,0.5396825396825397,0.7396449704142012,2.662721893491124,6.06508875739645,2.366863905325444,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
564,2,Division II,blackhawktechnicalcollege,Kwame Hawkins,,,,Wing,,,13,3.1475,3.0500000000000003,3.35,3,13.923076923076923,2.230769230769231,1.4615384615384615,2.0,1.8461538461538463,0.38461538461538464,1.1538461538461537,10.615384615384615,3.3846153846153846,2.6923076923076925,0.5384615384615384,1.6923076923076923,0.589960886571056,0.5543478260869565,100.89186176142698,0.14759601145226578,0.7307692307692307,0.14492753623188406,0.4772727272727273,0.3188405797101449,0.2536231884057971,2.386415787058284,2.661771454795778,2.661771454795778,1.3767783386874712,Very Good,4,Below Average,2,Below Average,2,Poor,1,Average,3,Elite,5,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
915,3,Division II,blackhawktechnicalcollege,Leonard Petty,,,,Wing,,,11,2.95,3.6,2.0,3,10.636363636363637,3.909090909090909,1.8181818181818181,1.6363636363636365,0.5454545454545454,0.45454545454545453,2.0,7.545454545454546,2.3636363636363638,2.5454545454545454,1.0909090909090908,2.8181818181818183,0.6137221989089383,0.5843373493975904,103.24744087539712,0.11291801187771532,1.1111111111111112,0.15884221673138016,0.5,0.3132530120481928,0.3373493975903614,2.0044543429844097,1.2249443207126949,4.788418708240535,2.4498886414253898,Elite,5,Poor,1,Average,3,Average,3,Average,3,Elite,5,Average,3,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
1044,4,Division II,blackhawktechnicalcollege,Noah Cosme,,,,Wing,,,10,2.885,2.6999999999999997,3.1,3,7.4,3.9,4.1,1.8,2.1,0.5,2.6,5.1,2.1,2.7,1.0,2.9,0.5884223918575063,0.5784313725490197,91.49357072205737,0.08800487465181059,2.2777777777777777,0.2225519287833828,0.42857142857142855,0.4117647058823529,0.5294117647058824,2.187120291616039,3.1591737545565004,4.738760631834751,3.1591737545565004,Very Good,4,Poor,1,Poor,1,Elite,5,Poor,1,Insufficient Volume,3,Average,3,Elite,5,Elite,5,Elite,5,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
1957,5,Division II,blackhawktechnicalcollege,Davion Bland,,,,Wing,,,13,2.5150000000000006,2.1,2.9000000000000004,3,7.0,2.076923076923077,1.5384615384615385,1.4615384615384615,1.6153846153846154,0.15384615384615385,1.9230769230769231,7.3076923076923075,1.8461538461538463,2.3076923076923075,1.0769230769230769,1.0,0.42051756007393715,0.3894736842105263,71.54088050314465,0.10465001480896437,1.0526315789473684,0.14937106918238993,0.3333333333333333,0.25263157894736843,0.3157894736842105,1.7439192290041303,2.1110601193207894,2.4782010096374485,2.2946305644791187,Poor,1,Poor,1,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
2917,6,Division II,blackhawktechnicalcollege,Devonte Kershaw,,,,Wing,,,10,2.225,2.1500000000000004,2.0,3,1.5,1.0,0.2,0.2,0.1,0.0,0.3,2.3,1.6,0.5,0.4,0.6,0.2976190476190476,0.2608695652173913,55.14705882352941,0.029530551092196114,1.0,0.07352941176470588,0.125,0.6956521739130435,0.21739130434782608,0.2425712553062462,0.1212856276531231,1.212856276531231,0.3638568829593693,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Insufficient Volume,3,Below Average,2,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2984,7,Division II,blackhawktechnicalcollege,Kai Bickham,,,,Wing,,,13,2.2,2.1,2.0,3,3.3846153846153846,1.5384615384615385,1.1538461538461537,0.6153846153846154,0.7692307692307693,0.23076923076923078,0.9230769230769231,4.230769230769231,3.0,0.8461538461538461,0.15384615384615385,1.3846153846153846,0.3676470588235294,0.3181818181818182,64.85849056603773,0.05581334123144766,1.875,0.11792452830188678,0.23076923076923078,0.7090909090909091,0.2,0.7342817806333181,1.193207893529142,1.835704451583295,1.101422670949977,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Poor,1,Very Good,4,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3175,8,Division II,blackhawktechnicalcollege,Jeramiyah McAllister,,,,Wing,,,13,2.15,2.0,2.0,3,8.615384615384615,4.461538461538462,0.15384615384615385,2.0,0.38461538461538464,0.07692307692307693,1.6923076923076923,8.76923076923077,0.5384615384615384,3.0,2.3846153846153846,2.076923076923077,0.42695943885330895,0.38596491228070173,71.26495291422754,0.12929871326554118,0.07692307692307693,0.16543649783659964,0.2857142857142857,0.06140350877192982,0.34210526315789475,2.386415787058284,0.5507113354749885,5.323542909591556,2.0192748967416247,Poor,1,Below Average,2,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3219,9,Division II,blackhawktechnicalcollege,Logan Branch,,,,Wing,,,8,2.15,2.0,2.0,3,5.625,1.375,1.625,0.875,1.0,0.125,0.25,6.25,3.875,0.25,0.625,0.75,0.44221698113207547,0.43,77.74706288873531,0.07716921764172578,1.8571428571428572,0.12093987560469938,0.2903225806451613,0.62,0.04,1.0355029585798816,1.331360946745562,1.6272189349112427,0.2958579881656805,Poor,1,Poor,1,Poor,1,Very Good,4,Very Good,4,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3627,10,Division II,blackhawktechnicalcollege,Jaymion Copper,,,,Wing,,,13,2.025,1.75,2.0,3,3.769230769230769,1.8461538461538463,2.230769230769231,2.6923076923076925,1.0769230769230769,0.07692307692307693,1.5384615384615385,4.538461538461538,1.4615384615384615,2.076923076923077,0.5384615384615384,1.3076923076923077,0.34565462753950343,0.3135593220338983,46.27880619569324,0.0871096192450719,0.8285714285714286,0.33056290139780886,0.2631578947368421,0.3220338983050847,0.4576271186440678,3.212482790270766,1.3767783386874712,2.202845341899954,1.835704451583295,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3728,11,Division II,blackhawktechnicalcollege,Aidan Maves,,,,Wing,,,13,1.9825,1.3499999999999999,2.45,3,6.153846153846154,4.153846153846154,1.1538461538461537,1.8461538461538463,0.9230769230769231,0.38461538461538464,1.4615384615384615,7.0,2.230769230769231,0.9230769230769231,1.2307692307692308,2.923076923076923,0.4154549231408392,0.38461538461538464,66.51147322913202,0.09895679073287919,0.625,0.19953441968739608,0.20689655172413793,0.31868131868131866,0.13186813186813187,2.202845341899954,1.5603487838458008,4.956402019274897,1.7439192290041303,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Very Good,4,Below Average,2,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3779,12,Division II,blackhawktechnicalcollege,Aidan John,,,,Wing,,,13,1.9749999999999999,1.65,2.0,3,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.0,0.0,0.46153846153846156,1.4615384615384615,1.0769230769230769,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.07545271629778673,0.07894736842105263,12.56281407035176,0.01964655938394708,0.5,0.16750418760469013,0.07142857142857142,0.7368421052631579,0.10526315789473684,0.36714089031665903,0.0,0.45892611289582375,0.5507113354749885,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3856,13,Division II,blackhawktechnicalcollege,Elijah Jenkins,,,,Wing,,,9,1.95,1.6,2.0,3,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.0,0.3333333333333333,1.2222222222222223,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.08417508417508417,0.09090909090909091,11.848341232227487,0.020236896369826885,1.4,0.29620853080568715,0.0,0.2727272727272727,0.18181818181818182,0.6779661016949152,0.13559322033898305,0.9491525423728814,0.4067796610169492,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3958,14,Division II,blackhawktechnicalcollege,Moses Mathiang,,,,Wing,,,13,1.9,1.5,2.0,3,1.4615384615384615,1.3846153846153846,0.3076923076923077,0.6923076923076923,0.38461538461538464,0.38461538461538464,1.8461538461538463,2.076923076923077,0.07692307692307693,0.5384615384615384,0.5384615384615384,0.8461538461538461,0.3158244680851064,0.2962962962962963,48.618219037871036,0.032151907065521436,0.4444444444444444,0.23029682702149437,0.0,0.037037037037037035,0.25925925925925924,0.8260670032124828,0.9178522257916475,1.6521340064249657,2.202845341899954,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4154,15,Division II,blackhawktechnicalcollege,Justin Bedard,,,,Wing,,,10,1.75,1.2000000000000002,2.0,3,0.0,0.4,0.1,0.2,0.1,0.0,0.0,0.4,0.4,0.0,0.1,0.3,0.0,0.0,0.0,0.006384880602732729,0.5,0.3333333333333333,0.0,1.0,0.0,0.2386634844868735,0.11933174224343675,0.477326968973747,0.0,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
