MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
710,1,Division II,bryantstrattoncollegeva,Jalen Milt,,,,Wing,,,14,3.125,2.9000000000000004,3.5,3,18.571428571428573,7.642857142857143,1.5714285714285714,2.142857142857143,1.3571428571428572,0.35714285714285715,2.142857142857143,14.5,4.071428571428571,6.785714285714286,1.9285714285714286,5.714285714285714,0.5310457516339869,0.4605911330049261,94.61426491994177,0.20902424924696503,0.7333333333333333,0.10917030567685589,0.22807017543859648,0.28078817733990147,0.46798029556650245,2.623524267599475,2.09881941407958,9.357236554438128,2.623524267599475,Average,3,Very Good,4,Poor,1,Poor,1,Elite,5,Poor,1,Elite,5,Very Good,4,Elite,5,Below Average,2,Average,3,Average,3,Elite,5,Very Good,4,Unknown
974,2,Division II,bryantstrattoncollegeva,Elijah Mendoza,,,,Wing,,,11,2.9875,2.8,3.25,3,7.090909090909091,7.909090909090909,1.0909090909090908,1.1818181818181819,0.7272727272727273,1.3636363636363635,2.909090909090909,5.181818181818182,0.18181818181818182,2.0,3.8181818181818183,4.090909090909091,0.5848830233953208,0.543859649122807,97.89156626506023,0.07635694572217112,0.9230769230769231,0.16315261044176704,0.0,0.03508771929824561,0.38596491228070173,1.4340871483728626,2.53723110865968,9.597352454495311,3.530060672917816,Very Good,4,Poor,1,Below Average,2,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Unknown
1092,3,Division II,bryantstrattoncollegeva,Mikel Chappell,,,,Wing,,,12,2.9325,3.25,2.45,3,9.333333333333334,1.9166666666666667,1.6666666666666667,1.5,1.3333333333333333,0.08333333333333333,2.0833333333333335,6.75,3.75,2.1666666666666665,0.4166666666666667,1.5,0.6057983556901775,0.5617283950617284,101.41253169141615,0.0979946761313221,1.1111111111111112,0.1629844259326331,0.3333333333333333,0.5555555555555556,0.32098765432098764,1.8528049408131755,1.7498713329902214,2.3674729799279466,2.573340195573855,Elite,5,Poor,1,Below Average,2,Average,3,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Elite,5,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1317,4,Division II,bryantstrattoncollegeva,Azaiah Thompson,,,,Wing,,,14,2.84,2.75,2.9000000000000004,3,10.357142857142858,3.5,1.0,1.2857142857142858,1.2857142857142858,0.5,2.0714285714285716,8.071428571428571,2.7857142857142856,2.357142857142857,1.6428571428571428,1.8571428571428572,0.5685382685069009,0.5752212389380531,99.64266080263883,0.11068853257066356,0.7777777777777778,0.12369433754810337,0.358974358974359,0.34513274336283184,0.2920353982300885,1.5741145605596851,2.1862702229995628,4.285089637079143,2.5360734586794926,Average,3,Poor,1,Below Average,2,Poor,1,Very Good,4,Very Good,4,Average,3,Very Good,4,Very Good,4,Elite,5,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1318,5,Division II,bryantstrattoncollegeva,Kylan Clark,,,,Wing,,,14,2.84,2.75,2.9000000000000004,3,13.785714285714286,5.0,2.0,2.0714285714285716,1.2857142857142858,0.5714285714285714,2.0714285714285716,11.285714285714286,4.928571428571429,4.571428571428571,1.5,3.5,0.5183712935109583,0.49050632911392406,89.70068786019706,0.16365959777284206,0.9655172413793104,0.13478341699200594,0.3333333333333333,0.43670886075949367,0.4050632911392405,2.5360734586794926,2.2737210319195453,6.121556624398775,2.5360734586794926,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Average,3,Elite,5,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1773,6,Division II,bryantstrattoncollegeva,Kashawn Cordes,,,,Wing,,,11,2.665,2.4,2.9000000000000004,3,8.272727272727273,3.6363636363636362,3.5454545454545454,2.3636363636363638,0.9090909090909091,0.7272727272727273,1.4545454545454546,6.363636363636363,1.9090909090909092,2.3636363636363638,1.2727272727272727,2.3636363636363638,0.5586935166994106,0.5214285714285715,84.69843633655994,0.10315296286339722,1.5,0.24199553239017127,0.3333333333333333,0.3,0.37142857142857144,2.9001673173452316,2.007808142777468,4.461795872838818,1.784718349135527,Average,3,Poor,1,Poor,1,Very Good,4,Poor,1,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2408,7,Division II,bryantstrattoncollegeva,Johntez Raspberry,,,,Wing,,,8,2.4625000000000004,2.1,2.75,3,5.25,6.25,1.375,1.0,0.75,0.375,2.25,6.25,1.75,1.125,1.75,4.5,0.38917716827279464,0.37,67.78566817301484,0.08510053840237337,1.375,0.1291155584247902,0.21428571428571427,0.28,0.18,1.2698412698412698,1.4285714285714286,7.936507936507937,2.857142857142857,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Insufficient Volume,3,Below Average,2,Very Good,4,Average,3,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Unknown
2679,8,Division II,bryantstrattoncollegeva,Travis Hamilton,,,,Wing,,,12,2.3825000000000003,2.15,2.45,3,6.75,3.1666666666666665,2.6666666666666665,1.6666666666666667,1.4166666666666667,0.08333333333333333,1.0833333333333333,6.333333333333333,2.0,2.0,0.3333333333333333,2.8333333333333335,0.46788354898336415,0.40131578947368424,76.01351351351352,0.09455190771960958,1.6,0.18768768768768768,0.2916666666666667,0.3157894736842105,0.3157894736842105,2.058672156459084,1.8528049408131755,3.9114770972722592,1.3381369016984046,Poor,1,Poor,1,Poor,1,Very Good,4,Below Average,2,Insufficient Volume,3,Average,3,Very Good,4,Elite,5,Poor,1,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3693,9,Division II,bryantstrattoncollegeva,Caleb Jackson,,,,Wing,,,12,2.12,1.8,2.2,3,3.9166666666666665,5.0,0.4166666666666667,1.1666666666666667,0.25,1.25,2.5833333333333335,3.25,0.0,1.5,2.4166666666666665,2.5833333333333335,0.5008525149190111,0.46153846153846156,77.15036112934996,0.0540550133096717,0.35714285714285715,0.22980958634274457,,0.0,0.46153846153846156,1.4410705095213587,1.8528049408131755,6.1760164693772515,3.19094184251158,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Unknown
4071,10,Division II,bryantstrattoncollegeva,Alonzo Martinez,,,,Wing,,,11,2.0,1.7000000000000002,2.0,3,3.272727272727273,1.0909090909090908,2.4545454545454546,1.3636363636363635,0.45454545454545453,0.0,1.6363636363636365,3.5454545454545454,2.3636363636363638,0.9090909090909091,0.36363636363636365,0.7272727272727273,0.4147465437788019,0.34615384615384615,61.64383561643836,0.055887306691165206,1.8,0.2568493150684932,0.2692307692307692,0.6666666666666666,0.2564102564102564,1.6501650165016502,0.5500550055005501,1.3201320132013201,1.9801980198019802,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Average,3,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4372,11,Division II,bryantstrattoncollegeva,Emmanuel White,,,,Wing,,,9,1.9,1.5,2.0,3,1.5555555555555556,0.4444444444444444,1.1111111111111112,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.5555555555555556,1.7777777777777777,0.7777777777777778,0.2222222222222222,0.0,0.4444444444444444,0.4146919431279621,0.40625,58.62646566164155,0.027916764086976853,1.4285714285714286,0.29313232830820773,0.42857142857142855,0.4375,0.125,0.948509485094851,0.4065040650406504,0.5420054200542005,0.6775067750677507,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
