MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
635,1,Division II,bryantstrattonohio,Donovan Barnes,,,,Wing,,,14,3.1025,2.75,3.65,3,18.428571428571427,7.214285714285714,3.857142857142857,4.071428571428571,2.642857142857143,0.0,1.8571428571428572,13.5,2.2857142857142856,6.357142857142857,2.357142857142857,4.857142857142857,0.5653927068723703,0.4894179894179894,90.47552251367654,0.2026838768373468,0.9473684210526315,0.19988778229765747,0.34375,0.1693121693121693,0.4708994708994709,4.534606205250597,2.9435163086714398,8.035003977724742,2.0684168655529036,Average,3,Very Good,4,Poor,1,Below Average,2,Below Average,2,Very Good,4,Average,3,Average,3,Elite,5,Below Average,2,Very Good,4,Below Average,2,Elite,5,Below Average,2,Unknown
1116,2,Division II,bryantstrattonohio,Aaron Wilson,,,,Wing,,,14,2.8550000000000004,2.1500000000000004,3.8,3,13.714285714285714,3.642857142857143,4.714285714285714,3.4285714285714284,3.0,0.0,1.1428571428571428,13.5,5.5,4.5,0.8571428571428571,2.7857142857142856,0.4429678848283499,0.3915343915343915,72.52946509519492,0.1881556876012851,1.375,0.18132366273798728,0.2077922077922078,0.4074074074074074,0.3333333333333333,3.818615751789976,3.341288782816229,4.05727923627685,1.2728719172633254,Poor,1,Average,3,Poor,1,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Elite,5,Average,3,Unknown
1198,3,Division II,bryantstrattonohio,Blake Brookenthal,,,,Wing,,,14,2.8225,2.05,3.85,3,10.285714285714286,6.214285714285714,0.8571428571428571,1.6428571428571428,1.0714285714285714,2.2142857142857144,3.2142857142857144,9.285714285714286,2.7857142857142856,2.0714285714285716,2.0,4.214285714285714,0.5043429532081816,0.47692307692307695,86.87258687258688,0.11789473684210526,0.5217391304347826,0.13875482625482627,0.15384615384615385,0.3,0.2230769230769231,1.8355945730247407,3.6711891460494814,6.943335993615324,3.5913806863527533,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Poor,1,Average,3,Very Good,4,Very Good,4,Below Average,2,Elite,5,Below Average,2,Very Good,4,Elite,5,Unknown
2088,4,Division II,bryantstrattonohio,Zavionn Thurman,,,,Wing,,,12,2.4725,1.7000000000000002,3.35,3,7.0,6.083333333333333,2.1666666666666665,2.8333333333333335,1.9166666666666667,0.8333333333333334,2.25,5.75,2.5833333333333335,2.8333333333333335,1.5833333333333333,4.5,0.5002382086707956,0.4855072463768116,71.21057985757884,0.09557917936086083,0.7647058823529411,0.2882332994235334,0.22580645161290322,0.4492753623188406,0.4927536231884058,3.10077519379845,3.009575923392613,6.657546739626083,2.462380300957592,Below Average,2,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
3321,5,Division II,bryantstrattonohio,Dantae Ealey,,,,Wing,,,7,2.125,1.95,2.0,3,0.8571428571428571,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,1.1428571428571428,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.29411764705882354,0.1875,49.18032786885246,0.016784987067305045,0.0,0.1639344262295082,0.16666666666666666,0.75,0.625,0.3108003108003108,0.0,0.4662004662004662,0.3108003108003108,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3491,6,Division II,bryantstrattonohio,Jahleel Wakeel,,,,Wing,,,8,2.075,1.85,2.0,3,6.625,2.75,2.0,1.625,0.625,0.125,1.5,5.75,1.375,1.25,1.5,1.25,0.5257936507936508,0.5,83.59621451104101,0.08097476243997138,1.2307692307692308,0.20504731861198738,0.36363636363636365,0.2391304347826087,0.21739130434782608,1.8505338078291815,0.8540925266903915,3.131672597864769,1.708185053380783,Below Average,2,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Below Average,2,Average,3,Average,3,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3537,7,Division II,bryantstrattonohio,Jayshaun Lewis,,,,Wing,,,14,2.05,1.8,2.0,3,3.2142857142857144,2.0,2.0,1.3571428571428572,0.42857142857142855,0.0,1.5,4.0,0.35714285714285715,1.7857142857142858,0.7857142857142857,1.2142857142857142,0.3358208955223881,0.2767857142857143,52.325581395348834,0.06181002759889605,1.4736842105263157,0.22093023255813954,0.2,0.08928571428571429,0.44642857142857145,1.525491770373344,0.48173424327579284,2.2480931352870335,1.686069851465275,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3750,8,Division II,bryantstrattonohio,Caron McClendon,,,,Wing,,,11,1.9749999999999999,1.6500000000000001,2.0,3,2.0,0.8181818181818182,0.36363636363636365,1.4545454545454546,0.45454545454545453,0.0,0.18181818181818182,2.4545454545454546,1.0,0.9090909090909091,0.09090909090909091,0.7272727272727273,0.35031847133757965,0.3148148148148148,46.413502109704645,0.04399806928303567,0.25,0.33755274261603374,0.2727272727272727,0.4074074074074074,0.37037037037037035,1.6701461377870563,0.5219206680584552,0.9394572025052192,0.20876826722338204,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3921,9,Division II,bryantstrattonohio,Remi Gilmore,,,,Wing,,,14,1.925,1.55,2.0,3,7.0,3.2857142857142856,1.3571428571428572,2.7142857142857144,0.7857142857142857,0.42857142857142855,2.0,6.785714285714286,3.0,2.5714285714285716,0.7142857142857143,2.5714285714285716,0.44207867195958134,0.39473684210526316,65.84251545283526,0.1057913740653342,0.5,0.25530771298038163,0.21428571428571427,0.4421052631578947,0.37894736842105264,3.023070803500398,1.3524264120922833,3.6595067621320605,2.2275258552108195,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Very Good,4,Unknown
3963,10,Division II,bryantstrattonohio,Kevon Clay,,,,Wing,,,12,1.9,1.5,2.0,3,1.75,1.25,0.6666666666666666,1.0,0.3333333333333333,0.08333333333333333,0.3333333333333333,1.8333333333333333,0.75,0.5,0.5,0.75,0.42613636363636365,0.4318181818181818,57.314410480349345,0.03058737102213911,0.6666666666666666,0.32751091703056767,0.3333333333333333,0.4090909090909091,0.2727272727272727,1.125703564727955,0.46904315196998125,1.4071294559099436,0.37523452157598497,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4003,11,Division II,bryantstrattonohio,Jack Smith,,,,Wing,,,11,1.875,1.4500000000000002,2.0,3,5.818181818181818,1.2727272727272727,0.5454545454545454,1.2727272727272727,0.2727272727272727,0.0,1.0,5.636363636363637,2.6363636363636362,0.2727272727272727,0.2727272727272727,1.0,0.505369551484523,0.5080645161290323,82.77289187791,0.07092536875321052,0.42857142857142855,0.1810657009829281,0.2413793103448276,0.46774193548387094,0.04838709677419355,1.453790238836968,0.3115264797507788,1.453790238836968,1.142263759086189,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Average,3,Elite,5,Poor,1,Average,3,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4048,12,Division II,bryantstrattonohio,Curtis Granger,,,,Wing,,,11,1.8499999999999999,1.4000000000000001,2.0,3,2.727272727272727,1.8181818181818181,0.36363636363636365,0.6363636363636364,0.0,0.18181818181818182,1.0909090909090908,2.8181818181818183,0.8181818181818182,0.0,0.9090909090909091,0.9090909090909091,0.4838709677419355,0.4838709677419355,78.94736842105263,0.034031882500447794,0.5714285714285714,0.18421052631578946,0.4444444444444444,0.2903225806451613,0.0,0.7056451612903226,0.20161290322580644,2.0161290322580645,1.2096774193548387,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Very Good,4,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4103,13,Division II,bryantstrattonohio,TJ Wooten,,,,Wing,,,14,1.8,1.3,2.0,3,0.6428571428571429,1.0,0.21428571428571427,0.7857142857142857,0.0,0.14285714285714285,0.5714285714285714,1.1428571428571428,0.7857142857142857,0.14285714285714285,0.35714285714285715,0.6428571428571429,0.2665876777251185,0.21875,32.281205164992826,0.019885309976890815,0.2727272727272727,0.39454806312769014,0.09090909090909091,0.6875,0.125,0.8785942492012779,0.1597444089456869,1.1182108626198084,0.6389776357827476,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Elite,5,Below Average,2,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4124,14,Division II,bryantstrattonohio,Hunter Graham,,,,Wing,,,13,1.7874999999999999,1.45,1.75,3,5.3076923076923075,5.615384615384615,0.6153846153846154,1.6153846153846154,1.0,0.07692307692307693,2.8461538461538463,6.461538461538462,0.0,0.6923076923076923,1.8461538461538463,3.769230769230769,0.39222373806275584,0.38095238095238093,63.32599118942731,0.08696485011014271,0.38095238095238093,0.19273127753303965,,0.0,0.10714285714285714,1.8658374055975122,1.2438916037316747,6.486006219458019,3.2874278098622836,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Below Average,2,Poor,1,Poor,1,Poor,1,Very Good,4,Elite,5,Unknown
