MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
214,1,Division II,ccbccatonsville,Messiah Anderson,,,,Wing,,,13,3.4575000000000005,3.6,3.45,3,14.153846153846153,7.3076923076923075,1.3076923076923077,1.6153846153846154,1.6923076923076923,0.7692307692307693,3.0,9.384615384615385,1.7692307692307692,5.384615384615385,2.3846153846153846,4.923076923076923,0.6020942408376962,0.5737704918032787,105.86881472957421,0.15157329240214892,0.8095238095238095,0.12082853855005753,0.34782608695652173,0.1885245901639344,0.5737704918032787,2.0659124446630597,3.148057058534186,9.345794392523365,3.8366945400885393,Elite,5,Average,3,Average,3,Below Average,2,Very Good,4,Insufficient Volume,3,Below Average,2,Average,3,Elite,5,Elite,5,Very Good,4,Average,3,Average,3,Elite,5,Unknown
399,2,Division II,ccbccatonsville,David McKay-Samuels,,,,Wing,,,12,3.2424999999999997,3.0999999999999996,3.55,3,3.5,3.6666666666666665,1.0,0.5,1.0,2.0833333333333335,2.4166666666666665,2.5,0.25,1.0,1.0833333333333333,2.5833333333333335,0.5952380952380952,0.6,101.74418604651163,0.03894045732397555,2.0,0.14534883720930233,0.0,0.1,0.4,0.6359300476947536,3.9215686274509802,4.663487016428193,3.073661897191309,Very Good,4,Poor,1,Below Average,2,Elite,5,Average,3,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Elite,5,Unknown
1061,3,Division II,ccbccatonsville,Yassir Supreme,,,,Wing,,,12,2.83,2.45,3.3,3,11.083333333333334,9.416666666666666,1.4166666666666667,1.5833333333333333,1.4166666666666667,0.5833333333333334,3.0,9.333333333333334,0.75,3.0833333333333335,2.8333333333333335,6.583333333333333,0.5183972560024945,0.5,90.30418250950571,0.1391797391797392,0.8947368421052632,0.12900597501357958,0.2222222222222222,0.08035714285714286,0.33035714285714285,2.0309994655264565,2.56547300908605,12.07910208444682,3.8482095136290755,Below Average,2,Below Average,2,Poor,1,Below Average,2,Very Good,4,Insufficient Volume,3,Poor,1,Below Average,2,Elite,5,Average,3,Average,3,Very Good,4,Average,3,Elite,5,Unknown
1381,4,Division II,ccbccatonsville,Jaden French,,,,Wing,,,11,2.6925,2.0,3.55,3,9.818181818181818,2.8181818181818183,2.6363636363636362,2.727272727272727,2.727272727272727,0.09090909090909091,2.4545454545454546,9.545454545454545,3.909090909090909,3.3636363636363638,1.1818181818181819,1.6363636363636365,0.44525065963060684,0.36666666666666664,71.39079851930195,0.15404667834304103,0.9666666666666667,0.19830777366472765,0.16279069767441862,0.4095238095238095,0.3523809523809524,3.442340791738382,3.5570854847963282,3.5570854847963282,3.098106712564544,Poor,1,Average,3,Poor,1,Below Average,2,Below Average,2,Poor,1,Very Good,4,Elite,5,Elite,5,Poor,1,Elite,5,Poor,1,Very Good,4,Average,3,Unknown
1458,5,Division II,ccbccatonsville,Kamren Hayes,,,,Wing,,,13,2.6574999999999998,2.7,2.45,3,21.0,3.3846153846153846,2.230769230769231,3.1538461538461537,1.3076923076923077,0.23076923076923078,1.3846153846153846,17.384615384615383,7.3076923076923075,4.153846153846154,0.7692307692307693,2.6153846153846154,0.54652466367713,0.5176991150442478,93.89186958316137,0.2535756645503384,0.7073170731707317,0.14100976750584676,0.29473684210526313,0.42035398230088494,0.23893805309734514,4.033448106246926,1.9675356615838662,4.3285784554845055,1.7707820954254796,Average,3,Elite,5,Poor,1,Poor,1,Average,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Average,3,Unknown
2013,6,Division II,ccbccatonsville,William DeShields,,,,Wing,,,11,2.4475,2.0,2.85,3,10.545454545454545,2.4545454545454546,4.2727272727272725,4.2727272727272725,1.9090909090909092,0.18181818181818182,3.272727272727273,9.181818181818182,2.0,3.6363636363636362,0.8181818181818182,1.6363636363636365,0.48903878583473864,0.43564356435643564,70.04830917874396,0.17241379310344826,1.0,0.28381642512077293,0.2727272727272727,0.21782178217821782,0.39603960396039606,5.481049562682216,2.682215743440233,3.1486880466472305,4.198250728862973,Poor,1,Average,3,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Average,3,Average,3,Elite,5,Poor,1,Very Good,4,Poor,1,Average,3,Below Average,2,Unknown
2081,7,Division II,ccbccatonsville,Amarian Joseph,,,,Wing,,,8,2.425,2.55,2.0,3,1.5,0.25,0.125,0.25,0.375,0.0,0.25,1.25,1.25,0.0,0.25,0.0,0.6,0.6,100.0,0.0169414953693246,0.5,0.16666666666666666,0.4,1.0,0.0,0.3262642740619902,0.4893964110929853,0.3262642740619902,0.3262642740619902,Elite,5,Poor,1,Below Average,2,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2172,8,Division II,ccbccatonsville,Khalil Montgomery,,,,Wing,,,12,2.3825000000000003,2.1500000000000004,2.45,3,4.583333333333333,1.8333333333333333,1.5,2.0833333333333335,1.25,0.0,1.8333333333333333,3.5,1.0833333333333333,0.9166666666666666,0.16666666666666666,1.6666666666666667,0.5871050384286933,0.5714285714285714,76.55902004454343,0.06791197156469789,0.72,0.34799554565701557,0.46153846153846156,0.30952380952380953,0.2619047619047619,2.672367717797969,1.6034206306787815,2.3516835916622125,2.3516835916622125,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Very Good,4,Very Good,4,Elite,5,Below Average,2,Poor,1,Elite,5,Very Good,4,Unknown
2463,9,Division II,ccbccatonsville,Alpha Thiam,,,,Wing,,,12,2.3,2.3000000000000003,2.0,3,2.8333333333333335,3.0,0.5833333333333334,0.75,0.5833333333333334,0.0,1.75,2.0,0.16666666666666666,0.5833333333333334,1.25,1.75,0.6277695716395865,0.6041666666666666,94.2350332594235,0.0337638031068688,0.7777777777777778,0.24944567627494457,0.5,0.08333333333333333,0.2916666666666667,0.9498680738786279,0.7387862796833773,3.7994722955145117,2.216358839050132,Elite,5,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3507,10,Division II,ccbccatonsville,Kelly Nwafor,,,,Wing,,,6,1.9749999999999999,1.6500000000000001,2.0,3,1.1666666666666667,1.6666666666666667,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,1.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3252788104089219,0.2222222222222222,47.42547425474255,0.02868916187218162,0.25,0.2710027100271003,0.0,0.6666666666666666,0.4444444444444444,0.8800880088008801,0.0,2.2002200220022003,0.22002200220022003,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3586,11,Division II,ccbccatonsville,Eric Forman,,,,Wing,,,9,1.95,1.6,2.0,3,0.0,0.8888888888888888,0.1111111111111111,0.2222222222222222,0.0,0.0,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0,0.0056018168054504155,0.5,0.4504504504504505,,0.0,0.5,0.2857142857142857,0.0,1.1428571428571428,0.8571428571428571,Poor,1,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
