MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
619,1,Division II,cecilcollege,Jeremiah Falko,,,,Wing,,,16,3.1725000000000003,3.1000000000000005,3.35,3,16.9375,3.875,5.5625,2.5,1.75,0.5,1.875,13.0625,3.6875,6.0,1.125,2.75,0.539324948256647,0.47368421052631576,93.0504051641258,0.20134952020132185,2.225,0.1373437714599643,0.2711864406779661,0.2822966507177033,0.45933014354066987,3.2206119162640903,2.898550724637681,4.99194847020934,2.4154589371980677,Average,3,Very Good,4,Poor,1,Elite,5,Very Good,4,Poor,1,Very Good,4,Very Good,4,Elite,5,Below Average,2,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
1442,2,Division II,cecilcollege,Marcus Edmond Jr,,,,Wing,,,16,2.79,2.65,2.9000000000000004,3,19.125,5.1875,1.875,2.8125,1.625,0.0,2.1875,15.3125,3.25,4.1875,1.6875,3.5,0.5574176624890702,0.5020408163265306,95.78064354576186,0.21913410886742757,0.6666666666666666,0.14085388756729686,0.2692307692307692,0.21224489795918366,0.27346938775510204,3.6407766990291264,2.103559870550162,6.715210355987055,2.831715210355987,Average,3,Very Good,4,Below Average,2,Poor,1,Average,3,Poor,1,Very Good,4,Average,3,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Average,3,Unknown
1593,3,Division II,cecilcollege,Joshua Louis,,,,Wing,,,14,2.7375,2.3000000000000003,3.25,3,8.428571428571429,6.857142857142857,0.42857142857142855,1.1428571428571428,1.0,0.9285714285714286,2.5,8.5,0.21428571428571427,3.4285714285714284,2.857142857142857,4.0,0.42106765629460463,0.41596638655462187,75.58288496028696,0.12245474225833776,0.375,0.10248526774276198,0.3333333333333333,0.025210084033613446,0.40336134453781514,1.484230055658627,2.504638218923933,8.905380333951763,3.2467532467532467,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Poor,1,Average,3,Average,3,Very Good,4,Elite,5,Unknown
1612,4,Division II,cecilcollege,Carlito McBryde,,,,Wing,,,17,2.7299999999999995,1.9,3.8,3,7.352941176470588,8.705882352941176,1.5294117647058822,1.9411764705882353,1.2941176470588236,0.5882352941176471,1.8235294117647058,6.235294117647059,0.7058823529411765,1.411764705882353,3.9411764705882355,4.764705882352941,0.5362045298558682,0.5235849056603774,83.57849692431131,0.09676501035196688,0.7878787878787878,0.22064723188018187,0.4166666666666667,0.11320754716981132,0.22641509433962265,2.503793626707132,2.4279210925644916,11.229135053110774,2.3520485584218513,Average,3,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Below Average,2,Very Good,4,Average,3,Average,3,Very Good,4,Elite,5,Elite,5,Unknown
1770,5,Division II,cecilcollege,David Maker,,,,Wing,,,17,2.665,2.4,2.9000000000000004,3,6.117647058823529,3.764705882352941,2.4705882352941178,2.411764705882353,1.3529411764705883,0.35294117647058826,2.0588235294117645,4.705882352941177,2.0,1.8235294117647058,0.9411764705882353,2.823529411764706,0.5553182400683468,0.5,77.24301841948902,0.08711180124223603,1.024390243902439,0.3045157456922163,0.4117647058823529,0.425,0.3875,3.110773899848255,2.200303490136571,4.855842185128983,2.655538694992413,Average,3,Poor,1,Poor,1,Below Average,2,Poor,1,Elite,5,Average,3,Elite,5,Elite,5,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2954,6,Division II,cecilcollege,BJ Spencer,,,,Wing,,,14,2.3075,2.0,2.45,3,5.785714285714286,4.428571428571429,0.9285714285714286,1.3571428571428572,1.1428571428571428,0.14285714285714285,1.0,5.428571428571429,3.4285714285714284,0.7142857142857143,1.4285714285714286,3.0,0.503731343283582,0.5,81.48893360160966,0.07796567627772721,0.6842105263157895,0.19114688128772633,0.375,0.631578947368421,0.13157894736842105,1.7625231910946197,1.6697588126159555,5.75139146567718,1.2987012987012987,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Elite,5,Very Good,4,Elite,5,Below Average,2,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3604,7,Division II,cecilcollege,Mohamed Sylla,,,,Wing,,,7,2.15,2.0,2.0,3,1.8571428571428572,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,1.0,1.4285714285714286,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5974264705882353,0.6,81.86397984886649,0.02528179328790677,0.2,0.3148614609571788,,0.0,0.2,0.9460737937559129,0.5676442762535477,0.7568590350047304,1.3245033112582782,Very Good,4,Poor,1,Poor,1,Poor,1,Poor,1,Insufficient Volume,3,Poor,1,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3671,8,Division II,cecilcollege,Tyrrell Wise Jr,,,,Wing,,,8,2.125,1.9500000000000002,2.0,3,1.75,1.25,0.75,0.375,0.125,0.125,1.0,1.875,1.375,0.0,0.375,0.875,0.4666666666666667,0.4666666666666667,77.77777777777777,0.02484266313348791,2.0,0.16666666666666666,0.36363636363636365,0.7333333333333333,0.0,0.4819277108433735,0.321285140562249,1.606425702811245,1.285140562248996,Poor,1,Poor,1,Poor,1,Elite,5,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Poor,1,Below Average,2,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4027,9,Division II,cecilcollege,Kyle Henry,,,,Wing,,,10,2.025,1.75,2.0,3,1.6,1.6,0.0,0.4,0.0,0.3,0.4,1.3,0.0,0.9,0.8,0.8,0.4716981132075471,0.5384615384615384,76.33587786259541,0.022964326408975368,0.0,0.19083969465648853,,0.0,0.6923076923076923,0.5154639175257731,0.3865979381443299,2.0618556701030926,0.5154639175257731,Poor,1,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
4104,10,Division II,cecilcollege,Jahsir Dean,,,,Wing,,,6,1.9999999999999998,1.7,2.0,3,1.5,1.3333333333333333,0.6666666666666666,0.8333333333333334,0.0,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3826530612244898,0.4,53.699284009546545,0.029945683247570035,0.8,0.2983293556085919,0.0,0.2,0.4,1.091703056768559,0.0,1.7467248908296944,0.4366812227074236,Poor,1,Poor,1,Poor,1,Below Average,2,Poor,1,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
