MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
263,1,Division II,centralcarolinacommunitycollege,Justin Brown,,,,Wing,,,18,3.4749999999999996,3.25,4.0,3,9.722222222222221,8.666666666666666,0.7777777777777778,1.2222222222222223,1.2222222222222223,1.1666666666666667,2.5555555555555554,6.388888888888889,0.3333333333333333,3.2222222222222223,3.0,5.666666666666667,0.6226871619698263,0.6130434782608696,107.67905488555255,0.10334215077830912,0.6363636363636364,0.13536795471326604,0.16666666666666666,0.05217391304347826,0.5043478260869565,1.6356877323420074,3.197026022304833,11.598513011152416,3.420074349442379,Elite,5,Poor,1,Average,3,Poor,1,Very Good,4,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Very Good,4,Very Good,4,Very Good,4,Elite,5,Unknown
339,2,Division II,centralcarolinacommunitycollege,Ma'Kyi Butler,,,,Wing,,,18,3.3875,3.2500000000000004,3.75,3,19.666666666666668,8.0,2.1666666666666665,2.8333333333333335,1.2777777777777777,0.7222222222222222,3.2777777777777777,13.166666666666666,3.1666666666666665,7.777777777777778,1.7222222222222223,6.277777777777778,0.5927662424648359,0.5295358649789029,101.25858123569793,0.22230135313867133,0.7647058823529411,0.14588100686498856,0.3684210526315789,0.24050632911392406,0.5907172995780591,3.79182156133829,2.676579925650558,10.706319702602231,4.386617100371748,Very Good,4,Very Good,4,Below Average,2,Poor,1,Average,3,Very Good,4,Very Good,4,Average,3,Elite,5,Average,3,Very Good,4,Very Good,4,Average,3,Average,3,Unknown
1324,3,Division II,centralcarolinacommunitycollege,Alan Griffin,,,,Wing,,,17,2.8375000000000004,2.5,3.25,3,9.882352941176471,8.705882352941176,1.2941176470588236,1.588235294117647,1.2941176470588236,1.0,4.0,6.823529411764706,0.11764705882352941,4.882352941176471,3.0588235294117645,5.647058823529412,0.5507474429583005,0.5172413793103449,93.58288770053476,0.12273025596149642,0.8148148148148148,0.15040106951871657,0.0,0.017241379310344827,0.7155172413793104,2.1686746987951806,3.1325301204819276,11.887550200803213,5.461847389558233,Average,3,Below Average,2,Poor,1,Below Average,2,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Very Good,4,Poor,1,Elite,5,Unknown
1820,4,Division II,centralcarolinacommunitycollege,Jeremiah Henson,,,,Wing,,,11,2.6475,2.05,3.35,3,10.545454545454545,3.8181818181818183,1.4545454545454546,2.3636363636363638,2.1818181818181817,0.0,1.4545454545454546,8.636363636363637,4.818181818181818,5.181818181818182,1.3636363636363635,2.4545454545454546,0.4830113257828115,0.39473684210526316,79.40854326396496,0.1546998771550811,0.6153846153846154,0.1779846659364732,0.2830188679245283,0.5578947368421052,0.6,3.282828282828283,3.0303030303030303,5.303030303030303,2.0202020202020203,Poor,1,Average,3,Poor,1,Poor,1,Below Average,2,Below Average,2,Elite,5,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Very Good,4,Unknown
2032,5,Division II,centralcarolinacommunitycollege,Reid Albright,,,,Wing,,,17,2.5725,1.9,3.35,3,5.529411764705882,4.294117647058823,4.529411764705882,1.7058823529411764,1.7647058823529411,0.35294117647058826,1.5294117647058822,5.294117647058823,2.5294117647058822,1.8235294117647058,1.1176470588235294,3.176470588235294,0.45349285989965266,0.4111111111111111,70.86851628468034,0.09018221376121839,2.6551724137931036,0.21863691194209894,0.27906976744186046,0.4777777777777778,0.34444444444444444,2.285263987391647,2.8368794326241136,5.752561071710008,2.048857368006304,Poor,1,Poor,1,Poor,1,Elite,5,Poor,1,Poor,1,Average,3,Elite,5,Elite,5,Poor,1,Very Good,4,Poor,1,Elite,5,Elite,5,Unknown
2092,6,Division II,centralcarolinacommunitycollege,Jacoby Smith,,,,Wing,,,8,2.55,2.8000000000000003,2.0,3,3.625,1.625,0.25,0.625,0.125,0.125,0.75,2.5,1.375,1.125,0.5,1.125,0.6051752921535893,0.55,100.13812154696133,0.042102814608048385,0.4,0.17265193370165746,0.36363636363636365,0.55,0.45,0.8576329331046312,0.34305317324185247,2.229845626072041,1.0291595197255574,Elite,5,Poor,1,Below Average,2,Poor,1,Below Average,2,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Very Good,4,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
2394,7,Division II,centralcarolinacommunitycollege,Jani Vanholten,,,,Wing,,,18,2.465,2.0,2.9000000000000004,3,10.0,4.388888888888889,2.2777777777777777,2.4444444444444446,1.1111111111111112,0.4444444444444444,1.7777777777777777,8.833333333333334,1.7222222222222223,2.1666666666666665,1.1666666666666667,3.2222222222222223,0.510899182561308,0.4937106918238994,81.75872093023256,0.13999389561501682,0.9318181818181818,0.1998546511627907,0.2903225806451613,0.1949685534591195,0.24528301886792453,3.2713754646840147,2.0817843866171004,5.87360594795539,2.379182156133829,Below Average,2,Below Average,2,Poor,1,Below Average,2,Below Average,2,Below Average,2,Below Average,2,Average,3,Very Good,4,Average,3,Average,3,Poor,1,Elite,5,Very Good,4,Unknown
2462,8,Division II,centralcarolinacommunitycollege,Antoine Strickland Jr,,,,Wing,,,9,2.4499999999999997,2.5999999999999996,2.0,3,1.3333333333333333,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,1.0,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.4792332268370607,0.4444444444444444,88.75739644970415,0.017706532558017705,5.0,0.07396449704142012,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.1568627450980392,0.1568627450980392,0.9411764705882353,0.6274509803921569,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Insufficient Volume,3,Poor,1,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3962,9,Division II,centralcarolinacommunitycollege,Savion Pepper,,,,Wing,,,8,2.05,1.8,2.0,3,1.625,1.0,0.75,0.625,0.375,0.0,0.25,1.5,0.5,1.0,0.25,0.75,0.41881443298969073,0.375,63.35282651072125,0.030746179202876835,1.2,0.2436647173489279,0.25,0.3333333333333333,0.6666666666666666,0.9107468123861566,0.546448087431694,1.4571948998178506,0.36429872495446264,Poor,1,Poor,1,Poor,1,Average,3,Poor,1,Insufficient Volume,3,Poor,1,Very Good,4,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3985,10,Division II,centralcarolinacommunitycollege,Jaden Best,,,,Wing,,,7,2.05,1.7999999999999998,2.0,3,2.0,2.857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.42857142857142855,2.142857142857143,0.14285714285714285,0.5714285714285714,1.0,1.8571428571428572,0.4176610978520286,0.4,70.85020242914979,0.03354383105859985,0.6666666666666666,0.15182186234817813,0.0,0.06666666666666667,0.26666666666666666,0.6263048016701461,1.0438413361169103,4.175365344467641,0.6263048016701461,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Very Good,4,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
