MasterRank,TeamRank,Division,TeamSlug,PlayerName,Number,ClassYear,RosterPosRaw,PosGroup,Height,Weight,GamesPlayed,Overall,OffScore,DefScore,HeightScore,PTS_pg,REB_pg,AST_pg,TO_pg,STL_pg,BLK_pg,PF_pg,FGA_pg,3PA_pg,FTA_pg,OREB_pg,DREB_pg,TS,eFG,ScORtg,UsageProxy,AST_TO,TOV,3Ppct,3PAr,FTr,TO_100,Stocks_100,Reb_100,PF_100,TS_Tier,TS_Score,UsageProxy_Tier,UsageProxy_Score,ScORtg_Tier,ScORtg_Score,AST_TO_Tier,AST_TO_Score,TOV_Tier,TOV_Score,3Ppct_Tier,3Ppct_Score,3PA_pg_Tier,3PA_pg_Score,3PAr_Tier,3PAr_Score,FTr_Tier,FTr_Score,eFG_Tier,eFG_Score,Stocks_100_Tier,Stocks_100_Score,Reb_100_Tier,Reb_100_Score,PF_100_Tier,PF_100_Score,TO_100_Tier,TO_100_Score,Height_Tier
1169,1,Division II,centralcommunitycollege,Mo Abdalla,,,,Wing,,,15,2.8900000000000006,2.85,2.9000000000000004,3,12.733333333333333,3.4,1.8,1.8666666666666667,1.3333333333333333,0.2,1.4666666666666666,11.333333333333334,4.533333333333333,3.4,1.0666666666666667,2.3333333333333335,0.4962585741010185,0.4411764705882353,86.6448920341136,0.17332368851427854,0.9642857142857143,0.12701868989294138,0.35294117647058826,0.4,0.3,2.494432071269488,2.048997772828508,4.543429844097996,1.9599109131403119,Below Average,2,Average,3,Poor,1,Below Average,2,Very Good,4,Very Good,4,Elite,5,Elite,5,Elite,5,Poor,1,Average,3,Poor,1,Elite,5,Elite,5,Unknown
1249,2,Division II,centralcommunitycollege,Tee Liban,,,,Wing,,,15,2.8575,3.1,2.45,3,7.133333333333334,2.0,0.9333333333333333,0.7333333333333333,1.2,0.06666666666666667,1.0,5.6,2.2666666666666666,1.5333333333333334,0.6666666666666666,1.3333333333333333,0.5684232894177645,0.5595238095238095,101.78843226788432,0.08265190590011323,1.2727272727272727,0.10464231354642313,0.35294117647058826,0.40476190476190477,0.27380952380952384,0.9799554565701559,1.6926503340757237,2.6726057906458798,1.3363028953229399,Average,3,Poor,1,Below Average,2,Average,3,Elite,5,Very Good,4,Average,3,Elite,5,Very Good,4,Very Good,4,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
1973,3,Division II,centralcommunitycollege,Brody Johnson,,,,Wing,,,16,2.58,2.3,2.8,3,8.0,6.5625,0.25,1.4375,0.4375,0.8125,2.5,5.75,0.0625,3.0,2.75,3.8125,0.5657708628005658,0.5652173913043478,94.0346752865119,0.107026041011448,0.17391304347826086,0.16896855715545106,0.0,0.010869565217391304,0.5217391304347826,2.048997772828508,1.78173719376392,9.35412026726058,3.56347438752784,Average,3,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Elite,5,Below Average,2,Average,3,Very Good,4,Elite,5,Unknown
2105,4,Division II,centralcommunitycollege,Brandon Jarmon,,,,Wing,,,13,2.5325000000000006,2.4500000000000006,2.45,3,10.384615384615385,3.6153846153846154,1.6923076923076923,1.3846153846153846,1.2307692307692308,0.07692307692307693,1.7692307692307692,10.0,4.538461538461538,0.9230769230769231,0.5384615384615384,3.076923076923077,0.49896510940272026,0.4846153846153846,88.0741127348643,0.1543045824273174,1.2222222222222223,0.1174321503131524,0.3050847457627119,0.45384615384615384,0.09230769230769231,2.037351443123939,1.9241652518392756,5.319750990379173,2.6032823995472554,Below Average,2,Average,3,Poor,1,Average,3,Very Good,4,Below Average,2,Elite,5,Elite,5,Below Average,2,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2169,5,Division II,centralcommunitycollege,Nevaeh Hawkins,,,,Wing,,,13,2.51,1.9500000000000002,3.1,3,5.6923076923076925,4.230769230769231,0.6923076923076923,1.2307692307692308,1.1538461538461537,1.0769230769230769,2.6923076923076925,4.769230769230769,0.0,1.6923076923076923,1.6153846153846154,2.6153846153846154,0.5161830357142857,0.5161290322580645,84.3978102189781,0.08065643742870811,0.5625,0.18248175182481752,,0.0,0.3548387096774194,1.6701461377870563,3.0271398747390394,5.741127348643007,3.653444676409186,Below Average,2,Poor,1,Poor,1,Poor,1,Below Average,2,Insufficient Volume,3,Poor,1,Poor,1,Elite,5,Average,3,Very Good,4,Poor,1,Very Good,4,Elite,5,Unknown
2509,6,Division II,centralcommunitycollege,Merkv Torrance,,,,Wing,,,15,2.4074999999999998,2.2,2.45,3,8.0,2.2666666666666666,3.0,1.6666666666666667,1.2,0.13333333333333333,1.4,6.666666666666667,1.6666666666666667,1.5333333333333334,0.6,1.6666666666666667,0.5448601525608427,0.505,88.80994671403197,0.10623977858850171,1.8,0.18502072232089994,0.2,0.25,0.23,2.2271714922048997,1.78173719376392,3.0289532293986636,1.8708240534521159,Average,3,Poor,1,Poor,1,Very Good,4,Below Average,2,Poor,1,Below Average,2,Very Good,4,Very Good,4,Average,3,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
2793,7,Division II,centralcommunitycollege,Keme Jones,,,,Wing,,,16,2.3324999999999996,2.05,2.45,3,6.8125,4.0625,1.375,1.0625,1.3125,0.0,2.0625,6.375,2.3125,1.5625,1.9375,2.125,0.4823008849557522,0.4803921568627451,83.84615384615384,0.10221411498301673,1.2941176470588236,0.13076923076923078,0.2702702702702703,0.3627450980392157,0.24509803921568626,1.5144766146993318,1.8708240534521159,5.79064587973274,2.939866369710468,Poor,1,Poor,1,Poor,1,Average,3,Very Good,4,Poor,1,Average,3,Elite,5,Very Good,4,Below Average,2,Below Average,2,Poor,1,Elite,5,Elite,5,Unknown
3232,8,Division II,centralcommunitycollege,Nino Nesbitt,,,,Wing,,,16,2.2,2.1,2.0,3,7.375,1.875,2.0,1.5625,0.875,0.0,0.625,7.625,4.0,1.5625,0.4375,1.4375,0.44360902255639095,0.4098360655737705,74.68354430379746,0.12422946282551266,1.28,0.15822784810126583,0.28125,0.5245901639344263,0.20491803278688525,2.2271714922048997,1.247216035634744,2.6726057906458798,0.89086859688196,Poor,1,Below Average,2,Poor,1,Average,3,Average,3,Below Average,2,Elite,5,Elite,5,Average,3,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3573,9,Division II,centralcommunitycollege,Malual Kong,,,,Wing,,,13,2.125,1.95,2.0,3,3.769230769230769,1.3076923076923077,0.38461538461538464,0.6923076923076923,0.5384615384615384,0.07692307692307693,0.8461538461538461,3.3076923076923075,1.6153846153846154,1.3076923076923077,0.15384615384615385,1.1538461538461537,0.48534072900158476,0.4186046511627907,82.3806321452589,0.05942770362081369,0.5555555555555556,0.15131136516476126,0.2857142857142857,0.4883720930232558,0.3953488372093023,1.0158013544018059,0.9029345372460497,1.9187358916478556,1.2415349887133182,Poor,1,Poor,1,Poor,1,Poor,1,Average,3,Insufficient Volume,3,Below Average,2,Elite,5,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
3743,10,Division II,centralcommunitycollege,Jasper Warren,,,,Wing,,,11,2.075,1.85,2.0,3,4.181818181818182,2.909090909090909,0.9090909090909091,1.0,0.8181818181818182,0.2727272727272727,1.6363636363636365,4.181818181818182,0.7272727272727273,1.2727272727272727,0.7272727272727273,2.1818181818181817,0.4409509202453988,0.3804347826086957,72.83090563647879,0.06434130638523287,0.9090909090909091,0.1741608613046232,0.125,0.17391304347826086,0.30434782608695654,1.2702078521939955,1.3856812933025404,3.695150115473441,2.0785219399538106,Poor,1,Poor,1,Poor,1,Below Average,2,Below Average,2,Insufficient Volume,3,Poor,1,Average,3,Elite,5,Poor,1,Poor,1,Poor,1,Elite,5,Elite,5,Unknown
